,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
303,1016315383609823200,"['daily', 'reversals', 'dlph', 'lfc', 'mtnb']",Mon Jul 09 13:37:24 +0000 2018,LargeVoidBot,DLPH,Delphi Technologies PLC,,False,5.4
337,1016325685583855600,"['top', 'gainers', 'mbvx', 'staf', 'bntc', 'nndm', 'bbox', 'pvg', 'hele', 'tgc', 'whd', 'lbix', 'auo', 'lc', 'tga', 'dlph', 'axon', 'httpstcozrdgfjjm']",Mon Jul 09 14:18:20 +0000 2018,Super1NYC,DLPH,Delphi Technologies PLC,https://twitter.com/i/web/status/1016325685583855617,False,6.76
350,1016332984268591100,"['morgan', 'stanley', 'upgrades', 'dlph', 'from', 'equalweight', 'to', 'overweight', 'httpstcovzepauend']",Mon Jul 09 14:47:20 +0000 2018,usratings,DLPH,Delphi Technologies PLC,http://99wallstreet.com/ratings/stock/DLPH/,False,5.16
355,1016333651951251500,"['forward', 'motion', 'again', 'for', 'auto', 'suppliers', 'httpstcoocmmjndd', 'dlph', 'dan', 'axl', 'mtor']",Mon Jul 09 14:49:59 +0000 2018,MarketCurrents,DLPH,Delphi Technologies PLC,https://seekingalpha.com/news/3368633-forward-motion-auto-suppliers?source=feed_f,False,5.52
359,1016335279110737900,"['benzingas', 'top', 'upgrades', 'downgrades', 'for', 'july', 'dlph', 'oas', 'rxii', 'kors', 'bidu', 'amt', 'adm', 'feye', 'tsco', 'pg', 'wba', 'httpstcoizyottka']",Mon Jul 09 14:56:27 +0000 2018,TopStockAlerts1,DLPH,Delphi Technologies PLC,https://twitter.com/i/web/status/1016335279110737920,False,5.986666666666667
363,1016336180609155100,"['upgrades', 'dlph', 'cvs', 'anet', 'brfs', 'bidu', 'adm', 'umc', 'feye', 'tsco', 'cp', 'dnkn', 'bp', 'es', 'atus', 'sni', 'rig', 'pbf', 'antm', 'cof', 'cni', 'olli']",Mon Jul 09 15:00:02 +0000 2018,TopStockAlerts1,DLPH,Delphi Technologies PLC,,False,4.8
379,1016339959991726100,"['notable', 'gainers', 'among', 'liquid', 'option', 'names', 'this', 'morning', 'include', 'dlph', 'do', 'mnk', 'rig', 'and', 'de']",Mon Jul 09 15:15:03 +0000 2018,OptionAlert,DLPH,Delphi Technologies PLC,,False,5.613999999999999
384,1016340701997666300,"['notable', 'gainers', 'among', 'liquid', 'option', 'names', 'this', 'morning', 'include', 'dlph', 'do', 'mnk', 'rig', 'and', 'de']",Mon Jul 09 15:18:00 +0000 2018,WinfieldSmart,DLPH,Delphi Technologies PLC,,False,5.613999999999999
392,1016343745959288800,"['top', 'gainers', 'gt', 'hele', 'pvg', 'esaly', 'lfin', 'jrsh', 'brbs', 'innt', 'tbvpy', 'wins', 'mcf', 'apen', 'qadb', 'eyen', 'xyigy', 'kzmyy', 'httpstcoixjfxkh']",Mon Jul 09 15:30:06 +0000 2018,MITickWatcher,DLPH,Delphi Technologies PLC,https://twitter.com/i/web/status/1016343745959288832,False,6.366666666666667
393,1016343760572158000,"['top', 'gainers', 'gt', 'hele', 'esaly', 'tbvpy', 'wins', 'qadb', 'mraaf', 'mtsfy', 'gelyy', 'dlph', 'bma', 'mraay', 'whd', 'pam', 'rtntf', 'cofws', 'httpstcosopdjvy']",Mon Jul 09 15:30:09 +0000 2018,MITickWatcher,DLPH,Delphi Technologies PLC,https://twitter.com/i/web/status/1016343760572157953,False,6.366666666666667
