,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8589,1018592927885471700,"['por', 'los', 'usa', 'me', 'llaman', 'anss', 'ansys', 'djussw', 'software', 'buen', 'cpm', 'aunque', 'la', 'mano', 'fuerte', 'no', 'acaba', 'de', 'decidirse', 'a', 'entrar', 'httpstcoquegyfiq']",Sun Jul 15 20:27:33 +0000 2018,ferele5447,DVN,Devon Energy Corporation,https://twitter.com/i/web/status/1018592927885471744,False,5.247272727272727
8681,1018614285457453000,"['bearish', 'macd', 'crossovers', 'scan', 'httpstcocdyuugjjd', 'dvn', 'bp', 'abx', 'pff', 'vnq', 'bsx', 'fnsr', 'oxy', 'httpstcouttptmemv']",Sun Jul 15 21:52:25 +0000 2018,ColinLeeMacleod,DVN,Devon Energy Corporation,http://algorithmbasedstockscans.com/bearish-macd-crossovers-scan-7-14-2018/,False,0.0
9198,1018805366178672600,"['institutional', 'investors', 'prodevon', 'energy', 'corp', 'dvn', 'sentiment', 'in', 'q', 'httpstcozhpbxhcex']",Mon Jul 16 10:31:42 +0000 2018,whatsonthorold2,DVN,Devon Energy Corporation,https://www.whatsonthorold.com/2018/07/16/institutional-investors-pro-devon-energy-corp-nysedvn-sentiment-in-q1-2018/,False,5.448571428571428
9201,1018805483543695400,"['institutional', 'investors', 'lead', 'shift', 'in', 'devon', 'energy', 'corp', 'dvn', 'sentiment', 'httpstcomtgynjox']",Mon Jul 16 10:32:10 +0000 2018,mmahotstuff1,DVN,Devon Energy Corporation,https://www.mmahotstuff.com/2018/07/16/institutional-investors-lead-shift-in-devon-energy-corp-nysedvn-sentiment.html,False,5.635
9202,1018805653421396000,"['devon', 'energy', 'corp', 'dvn', 'shifting', 'institutional', 'investors', 'sentiment', 'httpstcobijzgqpzn']",Mon Jul 16 10:32:50 +0000 2018,reurope_stock,DVN,Devon Energy Corporation,https://reurope.com/2018/07/16/devon-energy-corp-nysedvn-shifting-institutional-investors-sentiment/,False,5.608
9203,1018805764020940800,"['do', 'institutional', 'investors', 'love', 'devon', 'energy', 'corp', 'dvn', 'httpstcokommsqgr']",Mon Jul 16 10:33:17 +0000 2018,bibeypost_stock,DVN,Devon Energy Corporation,https://www.bibeypost.com/do-institutional-investors-love-devon-energy-corp-nysedvn/,False,6.07
10304,1018880416151998500,"['trndg', 'dvn', 'opk', 'ne', 'esv', 'hpr', 'kbr', 'bioc', 'charts', 'httpstconxlxeawwq']",Mon Jul 16 15:29:55 +0000 2018,US_proptrader,DVN,Devon Energy Corporation,http://goo.gl/fJlTyV,False,4.82
10598,1018895658416304100,"['us', 'is', 'set', 'to', 'become', 'worlds', 'top', 'oilproducer', 'government', 'says', 'uso', 'dvn', 'bp', 'rds', 'oilandgas', 'httpstcofdmfubfdgp']",Mon Jul 16 16:30:29 +0000 2018,PetroteqEnergy,DVN,Devon Energy Corporation,http://ow.ly/hge330kYdcK,False,5.624444444444444
10627,1018897573195780100,"['rt', 'petroteqenergy', 'us', 'is', 'set', 'to', 'become', 'worlds', 'top', 'oilproducer', 'government', 'says', 'uso', 'dvn', 'bp', 'rds', 'oilandgas', 'httpstcofdmfubfdgp']",Mon Jul 16 16:38:06 +0000 2018,SNIFFER78,DVN,Devon Energy Corporation,http://ow.ly/hge330kYdcK,False,5.55
10757,1018907513561940000,"['rt', 'petroteqenergy', 'us', 'is', 'set', 'to', 'become', 'worlds', 'top', 'oilproducer', 'government', 'says', 'uso', 'dvn', 'bp', 'rds', 'oilandgas', 'httpstcofdmfubfdgp']",Mon Jul 16 17:17:36 +0000 2018,Kevalp187,DVN,Devon Energy Corporation,http://ow.ly/hge330kYdcK,False,5.55
10965,1018923520439607300,"['americas', 'oil', 'and', 'gas', 'industry', 'is', 'on', 'pace', 'for', 'a', 'record', 'smashing', 'year', 'in', 'themotleyfool', 'stocks', 'dvn', 'mro', 'httpstcofpnbmnzde']",Mon Jul 16 18:21:12 +0000 2018,TotaLand,DVN,Devon Energy Corporation,https://twitter.com/i/web/status/1018923520439607296,False,5.3914285714285715
11054,1018929429823844400,"['rt', 'petroteqenergy', 'us', 'is', 'set', 'to', 'become', 'worlds', 'top', 'oilproducer', 'government', 'says', 'uso', 'dvn', 'bp', 'rds', 'oilandgas', 'httpstcofdmfubfdgp']",Mon Jul 16 18:44:41 +0000 2018,keya5000,DVN,Devon Energy Corporation,http://ow.ly/hge330kYdcK,False,5.55
11073,1018931126608584700,"['rt', 'totaland', 'americas', 'oil', 'and', 'gas', 'industry', 'is', 'on', 'pace', 'for', 'a', 'record', 'smashing', 'year', 'in', 'themotleyfool', 'stocks', 'dvn', 'mro', 'eqt', 'https']",Mon Jul 16 18:51:26 +0000 2018,OfficialOGGN,DVN,Devon Energy Corporation,,False,5.357333333333332
11255,1018943232284221400,"['rt', 'petroteqenergy', 'us', 'is', 'set', 'to', 'become', 'worlds', 'top', 'oilproducer', 'government', 'says', 'uso', 'dvn', 'bp', 'rds', 'oilandgas', 'httpstcofdmfubfdgp']",Mon Jul 16 19:39:32 +0000 2018,KarlCampbell6,DVN,Devon Energy Corporation,http://ow.ly/hge330kYdcK,False,5.55
11307,1018945908669546500,"['rt', 'totaland', 'americas', 'oil', 'and', 'gas', 'industry', 'is', 'on', 'pace', 'for', 'a', 'record', 'smashing', 'year', 'in', 'themotleyfool', 'stocks', 'dvn', 'mro', 'eqt', 'https']",Mon Jul 16 19:50:10 +0000 2018,fenstermaker,DVN,Devon Energy Corporation,,False,5.357333333333332
11400,1018953677854343200,"['via', 'themotleyfool', 'americas', 'oil', 'and', 'gas', 'industry', 'is', 'on', 'pace', 'for', 'a', 'record', 'smashing', 'year', 'in', 'stocks', 'dvn', 'mro', 'httpstcooswdefqri']",Mon Jul 16 20:21:02 +0000 2018,FieldAP,DVN,Devon Energy Corporation,https://twitter.com/i/web/status/1018953677854343168,False,5.385333333333333
11521,1018964292220186600,"['rt', 'petroteqenergy', 'us', 'is', 'set', 'to', 'become', 'worlds', 'top', 'oilproducer', 'government', 'says', 'uso', 'dvn', 'bp', 'rds', 'oilandgas', 'httpstcofdmfubfdgp']",Mon Jul 16 21:03:13 +0000 2018,addmo00,DVN,Devon Energy Corporation,http://ow.ly/hge330kYdcK,False,5.55
11558,1018965962685648900,"['breaking', 'bank', 'of', 'america', 'keeps', 'price', 'objective', 'on', 'devon', 'energy', 'dvn', 'shares', 'keeps', 'their', 'original', 'buy', 'rating', 'httpstcokpgrhfpt']",Mon Jul 16 21:09:51 +0000 2018,bibeypost_stock,DVN,Devon Energy Corporation,https://www.bibeypost.com/breaking-bank-of-america-keeps-65-price-objective-on-devon-energy-nysedvn-shares-keeps-their-original-buy-rating/,False,5.7906666666666675
11571,1018967087895711700,"['devon', 'energy', 'dvn', 'pt', 'raised', 'to', 'httpstcometxavl']",Mon Jul 16 21:14:19 +0000 2018,dispatchtribune,DVN,Devon Energy Corporation,http://dispatchtribunal.com/?p=2057579,False,5.92
11573,1018967273980260400,"['devon', 'energy', 'dvn', 'pt', 'raised', 'to', 'httpstcoqjytsbcfb']",Mon Jul 16 21:15:04 +0000 2018,EnterpriseLeade,DVN,Devon Energy Corporation,http://theenterpriseleader.com/?p=990796,False,5.92
11581,1018967981928468500,"['devon', 'energy', 'dvn', 'pt', 'raised', 'to', 'httpstcobkqnzhnb']",Mon Jul 16 21:17:53 +0000 2018,MareaInformativ,DVN,Devon Energy Corporation,http://www.mareainformativa.com/?p=458500,False,5.92
11980,1019020111179546600,"['dvn', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcodphjsigk', 'httpstcoxrkuz']",Tue Jul 17 00:45:01 +0000 2018,optioncharts,DVN,Devon Energy Corporation,http://maximum-pain.com/options/open-interest/DVN,False,5.5775
12056,1019032723741134800,"['rt', 'news', 'oil', 'stocks', 'buy', 'the', 'pullback', 'mxc', 'royl', 'cei', 'gbr', 'oilandgas', 'oil', 'bhp', 'oil', 'ped', 'tgc', 'dnr', 'mnga', 'httpstcobpipbqux']",Tue Jul 17 01:35:08 +0000 2018,CRYPTO_TRADIN,DVN,Devon Energy Corporation,https://twitter.com/i/web/status/1019032723741134848,False,5.2175
12057,1019032840498008000,"['rt', 'news', 'oil', 'stocks', 'buy', 'the', 'pullback', 'mxc', 'royl', 'cei', 'gbr', 'oilandgas', 'oil', 'bhp', 'oil', 'ped', 'tgc', 'dnr', 'mnga', 'httpstcokksxt']",Tue Jul 17 01:35:36 +0000 2018,CRYPTO_TRADIN,DVN,Devon Energy Corporation,https://twitter.com/i/web/status/1019032840498008065,False,5.2175
12064,1019033770765307900,"['rt', 'cryptotradin', 'rt', 'news', 'oil', 'stocks', 'buy', 'the', 'pullback', 'mxc', 'royl', 'cei', 'gbr', 'oilandgas', 'oil', 'bhp', 'oil', 'ped', 'tgc', 'dnr', 'mnga', 'amlp', 'ln']",Tue Jul 17 01:39:18 +0000 2018,CRYPTO_TRADIN,DVN,Devon Energy Corporation,,False,5.180000000000001
12065,1019033786934349800,"['rt', 'cryptotradin', 'rt', 'news', 'oil', 'stocks', 'buy', 'the', 'pullback', 'mxc', 'royl', 'cei', 'gbr', 'oilandgas', 'oil', 'bhp', 'oil', 'ped', 'tgc', 'dnr', 'mnga', 'amlp', 'ln']",Tue Jul 17 01:39:22 +0000 2018,CRYPTO_TRADIN,DVN,Devon Energy Corporation,,False,5.180000000000001
