,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
23,1019741289473028100,"['ebay', 'revenue', 'misses', 'as', 'weak', 'us', 'sporting', 'season', 'hits', 'stubhub', 'httpstcordnkmvun', 'httpstconixpxezjg']",Thu Jul 19 00:30:43 +0000 2018,Reuters,EBAY,eBay,https://reut.rs/2NrITEt,True,5.2075
25850,1019683540257173500,"['rt', 'reutersbiz', 'ebay', 'reports', 'secondquarter', 'revenue', 'of', 'billion', 'versus', 'forecast', 'of', 'billion', 'grew', 'active', 'buyers', 'by', 'percent', 'in', 's']",Wed Jul 18 20:41:15 +0000 2018,GaryC23619095,EBAY,eBay Inc.,,False,5.740000000000001
25851,1019683564588273700,"['rt', 'reutersbiz', 'ebay', 'shares', 'fall', 'percent', 'after', 'the', 'bell', 'following', 'results']",Wed Jul 18 20:41:21 +0000 2018,GaryC23619095,EBAY,eBay Inc.,,False,5.364
25860,1019683736319938600,"['ebay', 'ebay', 'secondquarter', 'earnings', 'a', 'slight', 'beat', 'httpstcodgzswkh']",Wed Jul 18 20:42:02 +0000 2018,StockNewsWires,EBAY,eBay Inc.,https://www.StockNewsWires.com/ebay-ebay-second-quarter-earnings-a-slight-beat/,False,5.536666666666666
25862,1019683800672976900,"['rt', 'thestalwart', 'ebay']",Wed Jul 18 20:42:17 +0000 2018,guruvan,EBAY,eBay Inc.,,False,5.33
25867,1019683842653872100,"['ebay', 'reshoted', 'this', 'is', 'a', 'tanker']",Wed Jul 18 20:42:27 +0000 2018,AlertsChina,EBAY,eBay Inc.,,False,5.3149999999999995
25881,1019684076029005800,"['thestalwart', 'looks', 'like', 'ebay', 'just', 'handed', 'out', 'coupons', 'for', 'ebay', 'shares']",Wed Jul 18 20:43:23 +0000 2018,global_chain,EBAY,eBay Inc.,,False,5.866666666666666
25882,1019684096803590100,"['i', 'know', 'ebay', 'is', 'a', 'tanker', 'cause', 'you', 'just', 'bought']",Wed Jul 18 20:43:28 +0000 2018,AlertsChina,EBAY,eBay Inc.,,False,5.748888888888889
25892,1019684330547818500,"['ebay', 'q', 'earnings', 'beat', 'estimates', 'httpstcowxzlvjrkp', 'ebay', 'ebay', 'earnings', 'amazon', 'httpstcorkdyf']",Wed Jul 18 20:44:23 +0000 2018,AmyLewis1414,EBAY,eBay Inc.,https://news.alphastreet.com/ebay-earnings-q2-2018/,False,5.922222222222222
25894,1019684339527966700,"['ebay', 'boooom', 'faot']",Wed Jul 18 20:44:26 +0000 2018,AlertsChina,EBAY,eBay Inc.,,False,5.78
25898,1019684468779569200,"['selecttrades', 'was', 'watching', 'ebay', 'after', 'hrs', 'amp', 'saw', 'a', 'flash', 'on', 'my', 'screen', 'for', 'about', 'secs', 'not', 'in', 'the', 'stock', 'httpstcodsjaxqvox']",Wed Jul 18 20:44:56 +0000 2018,Roymac28,EBAY,eBay Inc.,https://twitter.com/i/web/status/1019684468779569153,False,5.356666666666666
25906,1019684606998667300,"['ebay', 'short', 'more']",Wed Jul 18 20:45:29 +0000 2018,AlertsChina,EBAY,eBay Inc.,,False,5.493333333333333
25916,1019684717325684700,"['closing', 'bell', 'hit', 'talked', 'ebay', 'next', 'up', 'a', 'wrap', 'up', 'of', 'delivering', 'alpha', 'everyday', 'its', 'about', 'delivering', 'alpha', 'httpstcovhunaih']",Wed Jul 18 20:45:56 +0000 2018,petenajarian,EBAY,eBay Inc.,https://twitter.com/PetesAssistant/status/1019681646591795200,True,5.39
