,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
225,1016288901055606800,"['brokerages', 'anticipate', 'ecolab', 'inc', 'ecl', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcocraqsdiojn']",Mon Jul 09 11:52:10 +0000 2018,dispatchtribune,ECL,Ecolab Inc.,http://dispatchtribunal.com/?p=2042652,False,5.805714285714286
245,1016299152622411800,"['zacks', 'brokerages', 'expect', 'ecolab', 'inc', 'ecl', 'to', 'announce', 'eps', 'httpstcowruhvgkz']",Mon Jul 09 12:32:54 +0000 2018,EnterpriseLeade,ECL,Ecolab Inc.,http://theenterpriseleader.com/?p=975436,False,5.315
531,1016400067463467000,"['ecolab', 'inc', 'ecl', 'holder', 'caledonia', 'investments', 'plc', 'upped', 'its', 'position', 'httpstcowkohncru']",Mon Jul 09 19:13:54 +0000 2018,whatsonthorold2,ECL,Ecolab Inc.,https://www.whatsonthorold.com/2018/07/09/ecolab-inc-ecl-holder-caledonia-investments-plc-upped-its-position/,False,5.405
532,1016400508448378900,"['as', 'ecolab', 'inc', 'ecl', 'share', 'value', 'rose', 'shareholder', 'caledonia', 'investments', 'plc', 'raised', 'its', 'position', 'httpstcogicmatdz']",Mon Jul 09 19:15:39 +0000 2018,reurope_stock,ECL,Ecolab Inc.,https://reurope.com/2018/07/09/as-ecolab-inc-ecl-share-value-rose-shareholder-caledonia-investments-plc-raised-its-position/,False,5.984444444444445
533,1016400632616509400,"['caledonia', 'investments', 'plc', 'increases', 'position', 'in', 'ecolab', 'inc', 'ecl', 'httpstcoxgxtpctye']",Mon Jul 09 19:16:09 +0000 2018,bibeypost_stock,ECL,Ecolab Inc.,https://www.bibeypost.com/caledonia-investments-plc-increases-position-in-ecolab-inc-ecl/,False,5.72
1090,1016674665841004500,"['ecl', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcortxvvwbhex', 'httpstcorhkggys']",Tue Jul 10 13:25:03 +0000 2018,optioncharts,ECL,Ecolab Inc.,http://maximum-pain.com/options/max-pain/ECL,False,4.888
1853,1016997751635304400,"['were', 'analysts', 'bearish', 'ecolab', 'inc', 'ecl', 'this', 'week', 'httpstcokklnlofd']",Wed Jul 11 10:48:53 +0000 2018,whatsonthorold2,ECL,Ecolab Inc.,https://www.whatsonthorold.com/2018/07/11/were-analysts-bearish-ecolab-inc-nyseecl-this-week/,False,4.944
1855,1016997805901123600,"['how', 'analysts', 'rated', 'ecolab', 'inc', 'ecl', 'last', 'week', 'httpstcoqgcgubgq']",Wed Jul 11 10:49:06 +0000 2018,mmahotstuff1,ECL,Ecolab Inc.,https://www.mmahotstuff.com/2018/07/11/how-analysts-rated-ecolab-inc-nyseecl-last-week.html,False,4.786666666666666
1857,1016997960868155400,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'ecolab', 'inc', 'ecl', 'httpstcoviniivdzg']",Wed Jul 11 10:49:43 +0000 2018,reurope_stock,ECL,Ecolab Inc.,https://reurope.com/2018/07/11/can-analysts-adopt-a-bullish-outlook-for-ecolab-inc-nyseecl/,False,5.44
1859,1016998033828073500,"['are', 'analysts', 'bullish', 'ecolab', 'inc', 'ecl', 'after', 'last', 'week', 'httpstcopflqkkaei']",Wed Jul 11 10:50:00 +0000 2018,bibeypost_stock,ECL,Ecolab Inc.,https://www.bibeypost.com/are-analysts-bullish-ecolab-inc-nyseecl-after-last-week-2/,False,4.796666666666667
2271,1017089041399984100,"['ecolab', 'inc', 'ecl', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcocjcalxup']",Wed Jul 11 16:51:38 +0000 2018,dakotafinancial,ECL,Ecolab Inc.,http://dakotafinancialnews.com/?p=311420,False,5.6675
2273,1017089303644688400,"['eps', 'expected', 'for', 'ecolab', 'inc', 'ecl', 'this', 'quarter', 'httpstconhnugcata']",Wed Jul 11 16:52:41 +0000 2018,ledgerzette,ECL,Ecolab Inc.,http://ledgergazette.com/?p=2819770,False,5.255999999999999
2274,1017089612227936300,"['billion', 'in', 'sales', 'expected', 'for', 'ecolab', 'inc', 'ecl', 'this', 'quarter', 'httpstcozuxtsmbn']",Wed Jul 11 16:53:54 +0000 2018,TheMarketsDaily,ECL,Ecolab Inc.,http://zpr.io/6ampj,False,5.642500000000001
2304,1017098379434872800,"['ecolab', 'inc', 'ecl', 'valuation', 'rose', 'while', 'cam', 'group', 'holding', 'a', 'lowered', 'holding', 'httpstcopfnjjfmsm']",Wed Jul 11 17:28:45 +0000 2018,mmahotstuff1,ECL,Ecolab Inc.,https://www.mmahotstuff.com/2018/07/11/ecolab-inc-ecl-valuation-rose-while-cam-group-holding-a-lowered-holding.html,False,5.630000000000001
2306,1017099203120713700,"['cam', 'group', 'holding', 'a', 'lowered', 'ecolab', 'inc', 'ecl', 'position', 'by', 'million', 'valuation', 'rose', 'httpstcoyugjdnp']",Wed Jul 11 17:32:01 +0000 2018,bibeypost_stock,ECL,Ecolab Inc.,https://www.bibeypost.com/cam-group-holding-a-lowered-ecolab-inc-ecl-position-by-56-11-million-valuation-rose/,False,5.833333333333333
2313,1017099935282581500,"['ecolab', 'inc', 'ecl', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoshrpsviz']",Wed Jul 11 17:34:56 +0000 2018,MareaInformativ,ECL,Ecolab Inc.,http://www.mareainformativa.com/?p=426163,False,5.6675
2314,1017099943981518800,"['ecolab', 'inc', 'ecl', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcoaelakxaw']",Wed Jul 11 17:34:58 +0000 2018,MareaInformativ,ECL,Ecolab Inc.,http://www.mareainformativa.com/?p=426148,False,5.527500000000001
3821,1017487293270188000,"['ecl', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcortxvvwbhex', 'httpstcokmpztar']",Thu Jul 12 19:14:09 +0000 2018,optioncharts,ECL,Ecolab Inc.,http://maximum-pain.com/options/max-pain/ECL,False,4.680000000000001
5123,1017795601428295700,"['ecl', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcoareuothie']",Fri Jul 13 15:39:15 +0000 2018,optioncharts,ECL,Ecolab Inc.,https://twitter.com/i/web/status/1017795601428295681,False,5.9975000000000005
6236,1018162427693817900,"['ecl', 'tap', 'sbux', 'options', 'have', 'the', 'largest', 'change', 'in', 'price', 'free', 'options', 'screener', 'httpstcoeiisxdkab']",Sat Jul 14 15:56:53 +0000 2018,optioncharts,ECL,Ecolab Inc.,http://maximum-pain.com/screener/options-premium-screener,False,5.904000000000001
6701,1018277009745727500,"['ctas', 'can', 'move', 'thru', 'ers', 'earnings', 'tariff', 'proof', 'like', 'ecl', 'restaurants', 'hotels', 'amp', 'more', 'require', 'usage', 'to', 'pass', 'inspections', 'amp', 'cleaning']",Sat Jul 14 23:32:12 +0000 2018,tekmunnee,ECL,Ecolab Inc.,,False,5.856249999999999
9263,1018810582793846800,"['as', 'ecolab', 'inc', 'com', 'ecl', 'stock', 'price', 'rose', 'holder', 'capital', 'counsel', 'llc', 'has', 'lifted', 'position', 'httpstcomvxzg']",Mon Jul 16 10:52:26 +0000 2018,whatsonthorold2,ECL,Ecolab Inc.,https://www.whatsonthorold.com/2018/07/16/as-ecolab-inc-com-ecl-stock-price-rose-holder-capital-counsel-llc-has-lifted-position/,False,5.625454545454546
9264,1018810630768414700,"['as', 'ecolab', 'inc', 'com', 'ecl', 'shares', 'rose', 'capital', 'counsel', 'llc', 'lifted', 'its', 'stake', 'httpstcohxlxrkbtg']",Mon Jul 16 10:52:37 +0000 2018,mmahotstuff1,ECL,Ecolab Inc.,https://www.mmahotstuff.com/2018/07/16/as-ecolab-inc-com-ecl-shares-rose-capital-counsel-llc-lifted-its-stake.html,False,5.67
9265,1018810922666790900,"['capital', 'counsel', 'llc', 'has', 'upped', 'position', 'in', 'ecolab', 'inc', 'com', 'ecl', 'by', 'million', 'httpstcowjybklip']",Mon Jul 16 10:53:47 +0000 2018,bibeypost_stock,ECL,Ecolab Inc.,https://www.bibeypost.com/capital-counsel-llc-has-upped-position-in-ecolab-inc-com-ecl-by-5-94-million/,False,5.577777777777779
9356,1018819632529059800,"['ecolab', 'inc', 'ecl', 'institutional', 'investors', 'quarterly', 'sentiment', 'httpstcoyiclnns']",Mon Jul 16 11:28:23 +0000 2018,whatsonthorold2,ECL,Ecolab Inc.,https://www.whatsonthorold.com/2018/07/16/ecolab-inc-nyseecl-institutional-investors-quarterly-sentiment/,False,5.112
9358,1018819806445948900,"['ecolab', 'inc', 'ecl', 'institutional', 'investors', 'sentiment', 'index', 'dropped', 'in', 'q', 'httpstcojolpkjklj']",Mon Jul 16 11:29:05 +0000 2018,mmahotstuff1,ECL,Ecolab Inc.,https://www.mmahotstuff.com/2018/07/16/ecolab-inc-nyseecl-institutional-investors-sentiment-index-dropped-in-2018-q1.html,False,4.9975
9364,1018820004425412600,"['institutional', 'investors', 'are', 'dumping', 'ecolab', 'inc', 'ecl', 'httpstcoxatlpekurp']",Mon Jul 16 11:29:52 +0000 2018,reurope_stock,ECL,Ecolab Inc.,https://reurope.com/2018/07/16/institutional-investors-are-dumping-ecolab-inc-nyseecl/,False,4.975
9395,1018823926519132200,"['will', 'eastern', 'commercial', 'leasing', 'pcl', 'deliver', 'longterm', 'returns', 'ecl', 'httpstconhexbsdge']",Mon Jul 16 11:45:27 +0000 2018,SADIFAnalytics,ECL,Ecolab Inc.,https://www.sadifanalytics.com/reports/find/ECL-60849,False,5.572
9644,1018841482847969300,"['picked', 'these', 'ones', 'zeal', 'usba', 'ssnc', 'ecl', 'wow', 'vrtx', 'bsac', 'amrs', 'gjt', 'nx', 'more', 'details', 'at', 'httpstcofoorixawtk']",Mon Jul 16 12:55:13 +0000 2018,randomstocks_d,ECL,Ecolab Inc.,http://randomstocks.buckmaster.ca,False,5.811428571428571
11498,1018961313953931300,"['ecl', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcojdpvgtim', 'httpstcowdpgrhd']",Mon Jul 16 20:51:23 +0000 2018,optioncharts,ECL,Ecolab Inc.,http://maximum-pain.com/options/open-interest/ECL,False,5.5775
13855,1019209069586976800,"['mairs', 'amp', 'power', 'inc', 'has', 'trimmed', 'its', 'ecolab', 'inc', 'ecl', 'holding', 'by', 'million', 'stock', 'price', 'rose', 'httpstcoajbrkt']",Tue Jul 17 13:15:52 +0000 2018,whatsonthorold2,ECL,Ecolab Inc.,https://www.whatsonthorold.com/2018/07/17/mairs-stock-price-rose/,False,5.648333333333333
13858,1019209124742123500,"['ecolab', 'inc', 'ecl', 'holder', 'mairs', 'amp', 'power', 'inc', 'has', 'decreased', 'its', 'position', 'by', 'million', 'httpstcokvfrrdae']",Tue Jul 17 13:16:05 +0000 2018,mmahotstuff1,ECL,Ecolab Inc.,https://www.mmahotstuff.com/2018/07/17/ecolab-inc-ecl-holder-mairs-power-inc-has-decreased-its-position-by-7-60-million.html,False,5.346
13862,1019209251485634600,"['ecolab', 'inc', 'ecl', 'holder', 'mairs', 'amp', 'power', 'inc', 'has', 'lowered', 'its', 'stake', 'httpstcoaoulvrnj']",Tue Jul 17 13:16:36 +0000 2018,reurope_stock,ECL,Ecolab Inc.,https://reurope.com/2018/07/17/ecolab-inc-ecl-holder-mairs-power-inc-has-lowered-its-stake/,False,5.24
13863,1019209332863455200,"['as', 'ecolab', 'inc', 'ecl', 'shares', 'rose', 'mairs', 'amp', 'power', 'inc', 'decreased', 'holding', 'httpstcoifnjcpzwqo']",Tue Jul 17 13:16:55 +0000 2018,bibeypost_stock,ECL,Ecolab Inc.,https://www.bibeypost.com/as-ecolab-inc-ecl-shares-rose-mairs-power-inc-decreased-holding/,False,5.551111111111112
14883,1019262766539034600,"['eps', 'for', 'ecolab', 'inc', 'ecl', 'expected', 'at', 'httpstcoyhugsrhea']",Tue Jul 17 16:49:15 +0000 2018,reurope_stock,ECL,Ecolab Inc.,https://reurope.com/2018/07/17/eps-for-ecolab-inc-ecl-expected-at-1-27/,False,5.140000000000001
14886,1019262843294814200,"['analysts', 'see', 'eps', 'for', 'ecolab', 'inc', 'ecl', 'httpstcolsyymbuktj']",Tue Jul 17 16:49:33 +0000 2018,bibeypost_stock,ECL,Ecolab Inc.,https://www.bibeypost.com/analysts-see-1-27-eps-for-ecolab-inc-ecl/,False,5.249999999999999
18493,1019486534452428800,"['ecl', 'offer']",Wed Jul 18 07:38:25 +0000 2018,z_a_i_i,ECL,Ecolab Inc.,,False,6.62
19984,1019558782681174000,"['ecolab', 'inc', 'com', 'ecl', 'position', 'held', 'by', 'williams', 'jones', 'amp', 'associates', 'llc', 'httpstcovvjsiuag']",Wed Jul 18 12:25:30 +0000 2018,Fanob_stock,ECL,Ecolab Inc.,http://fanob.com/2018/07/18/ecolab-inc-com-ecl-position-held-by-williams-jones-associates-llc/,False,5.326666666666666
19991,1019558941024497700,"['ecolab', 'inc', 'com', 'ecl', 'shareholder', 'williams', 'jones', 'amp', 'associates', 'llc', 'boosted', 'its', 'stake', 'by', 'million', 'as', 'stock', 'value', 'httpstcodckjxyoo']",Wed Jul 18 12:26:08 +0000 2018,whatsonthorold2,ECL,Ecolab Inc.,https://twitter.com/i/web/status/1019558941024497664,False,5.503076923076923
19995,1019559033898926100,"['williams', 'jones', 'amp', 'associates', 'llc', 'continues', 'to', 'hold', 'holding', 'in', 'ecolab', 'inc', 'com', 'ecl', 'httpstcorziopnpndq']",Wed Jul 18 12:26:30 +0000 2018,mmahotstuff1,ECL,Ecolab Inc.,https://www.mmahotstuff.com/2018/07/18/williams-jones-associates-llc-continues-to-hold-holding-in-ecolab-inc-com-ecl.html,False,5.3909090909090915
20001,1019559174550839300,"['ecolab', 'inc', 'com', 'ecl', 'holding', 'held', 'by', 'williams', 'jones', 'amp', 'associates', 'llc', 'httpstcozddem']",Wed Jul 18 12:27:04 +0000 2018,reurope_stock,ECL,Ecolab Inc.,https://reurope.com/2018/07/18/ecolab-inc-com-ecl-holding-held-by-williams-jones-associates-llc/,False,5.302222222222222
