,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3100,1017372619933470700,"['rt', 'cryptonormand', 'my', 'ranking', 'top', 'moon', 'end', 'of', 'years', 'sprotocol', 'policypalnet', 'tefood', 'apexnetworkcpx', 'tomocha']",Thu Jul 12 11:38:29 +0000 2018,LuisTracana,EFX,Equifax Inc.,,False,5.6657142857142855
3253,1017402428365340700,"['efx', 'name', 'w', 'sizable', 'july', 'call', 'oi', 'looking', 'to', 'hit', 'multimonth', 'highs']",Thu Jul 12 13:36:56 +0000 2018,OptionsHawk,EFX,Equifax Inc.,,False,5.334999999999999
3580,1017447968293703700,"['as', 'equifax', 'efx', 'valuation', 'rose', 'shareholder', 'tpgaxon', 'management', 'lp', 'has', 'trimmed', 'its', 'stake', 'by', 'million', 'as', 'jpmor', 'httpstcoidnozveer']",Thu Jul 12 16:37:53 +0000 2018,skatroni_xxx,EFX,Equifax Inc.,https://twitter.com/i/web/status/1017447968293703681,False,5.56
3858,1017493923349057500,"['brokerages', 'expect', 'equifax', 'inc', 'efx', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcobdllpgzy']",Thu Jul 12 19:40:30 +0000 2018,WatchlistN,EFX,Equifax Inc.,http://zpr.io/6addb,False,5.7925
3862,1017494149849894900,"['million', 'in', 'sales', 'expected', 'for', 'equifax', 'inc', 'efx', 'this', 'quarter', 'httpstcohznrrxwk']",Thu Jul 12 19:41:24 +0000 2018,ZolmaxNews,EFX,Equifax Inc.,http://zolmax.com/?p=2378552,False,5.620000000000001
3864,1017494202442240000,"['analysts', 'anticipate', 'equifax', 'inc', 'efx', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcozprvytqp']",Thu Jul 12 19:41:36 +0000 2018,TickerReport,EFX,Equifax Inc.,http://tickerreport.com/?p=3632265,False,5.6825
4081,1017534378115727400,"['neos', 'little', 'gems', 'neps', 'that', 'can', 'x', 'toll', 'efx', 'swthhttpstcoblygfqajv']",Thu Jul 12 22:21:15 +0000 2018,btc_current,EFX,Equifax Inc.,http://www.btc-current.nl/crypto-news/neo/neos-little-gems-nep5s-that-can-100x-toll-efx-swth/,False,4.827999999999999
4627,1017702928499560400,"['efx', 'the', 'forecast', 'eps', 'for', 'enerflex', 'ltd', 'has', 'decreased', 'to', 'from', 'in', 'the', 'last', 'week', 'httpstcodymsarcrgh']",Fri Jul 13 09:31:00 +0000 2018,StockflareCA,EFX,Equifax Inc.,https://stockflare.com/stock/EFX.TO,False,4.928333333333333
4851,1017752066083696600,"['what', 'a', 'beautiful', 'image', 'of', 'the', 'first', 'participants', 'of', 'the', 'effect', 'force', 'platform', 'httpstcopmypcqapo', 'will', 'reach', 't', 'httpstcogfpuzcnx']",Fri Jul 13 12:46:16 +0000 2018,Jehudahx,EFX,Equifax Inc.,http://Effect.ai,False,5.467499999999999
4860,1017752885948440600,"['rt', 'jehudahx', 'what', 'a', 'beautiful', 'image', 'of', 'the', 'first', 'participants', 'of', 'the', 'effect', 'force', 'platform', 'httpstcopmypcqapo', 'will', 'reach', 'the', 'world']",Fri Jul 13 12:49:31 +0000 2018,MaverickCrypto,EFX,Equifax Inc.,http://Effect.ai,False,5.50111111111111
4909,1017759794168361000,"['rt', 'cryptonormand', 'my', 'ranking', 'top', 'moon', 'end', 'of', 'years', 'sprotocol', 'policypalnet', 'tefood', 'apexnetworkcpx', 'tomocha']",Fri Jul 13 13:16:58 +0000 2018,minminminje,EFX,Equifax Inc.,,False,5.6657142857142855
