,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
968,1016650426266128400,"['edison', 'international', 'eix', 'research', 'coverage', 'started', 'at', 'barclays', 'httpstcozpqnkjheng']",Tue Jul 10 11:48:44 +0000 2018,TheMarketsDaily,EIX,Edison International,http://zpr.io/6TCQd,False,5.97
976,1016651815968964600,"['avangrid', 'agr', 'versus', 'edison', 'international', 'eix', 'head', 'to', 'head', 'review', 'httpstcovnrzganrgf']",Tue Jul 10 11:54:16 +0000 2018,TranscriptDaily,EIX,Edison International,http://zpr.io/6TSZw,False,5.688571428571429
1330,1016743269559099400,"['edison', 'international', 'eix', 'lifted', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcoegquzpzpy']",Tue Jul 10 17:57:40 +0000 2018,ZolmaxNews,EIX,Edison International,http://zolmax.com/?p=2373218,False,5.8575
1723,1016920008860061700,"['edison', 'international', 'eix', 'given', 'new', 'price', 'target', 'at', 'argus', 'httpstcoyasbsccsm']",Wed Jul 11 05:39:58 +0000 2018,WatchlistN,EIX,Edison International,http://zpr.io/6aGvd,False,5.8028571428571425
1755,1016940921445867500,"['citigroup', 'lowers', 'edison', 'international', 'eix', 'price', 'target', 'to', 'httpstcopawzmfj']",Wed Jul 11 07:03:04 +0000 2018,TickerReport,EIX,Edison International,http://tickerreport.com/?p=3627850,False,5.628
1796,1016970088333959200,"['edison', 'international', 'eix', 'now', 'covered', 'by', 'analysts', 'at', 'barclays', 'httpstcooheabfqb']",Wed Jul 11 08:58:58 +0000 2018,dailypoliticaln,EIX,Edison International,http://www.dailypolitical.com/?p=2194401,False,5.645714285714286
1800,1016970572994146300,"['edison', 'international', 'eix', 'earns', 'equal', 'weight', 'rating', 'from', 'analysts', 'at', 'barclays', 'httpstcomizufqzzg']",Wed Jul 11 09:00:53 +0000 2018,ZolmaxNews,EIX,Edison International,http://zolmax.com/?p=2374467,False,5.662222222222223
2051,1017042392845881300,"['tradewar', 'china', 'usa', 'trump', 'aapl', 'ibm', 'ko', 'mcd', 'dis', 'xom', 'c', 'msft', 'intc', 'ba', 'gs', 'brk', 'ma', 'v', 'orcl', 'csco', 'amgn', 'httpstcoouauyowwz']",Wed Jul 11 13:46:16 +0000 2018,raymond10mm,EIX,Edison International,https://twitter.com/i/web/status/1017042392845881347,False,5.212000000000001
2078,1017047556604547100,"['edison', 'international', 'eix', 'upgraded', 'by', 'zacks', 'investment', 'research', 'to', 'hold', 'httpstcocieucha']",Wed Jul 11 14:06:47 +0000 2018,ThisLincolnian,EIX,Edison International,http://thelincolnianonline.com/?p=2176594,False,5.820000000000001
2079,1017047793259761700,"['rt', 'raymondmm', 'tradewar', 'china', 'usa', 'trump', 'aapl', 'ibm', 'ko', 'mcd', 'dis', 'xom', 'c', 'msft', 'intc', 'ba', 'gs', 'brk', 'ma', 'v', 'orcl', 'csco', 'amgn', 'cvx', 'd', 'e']",Wed Jul 11 14:07:44 +0000 2018,juliusagusta,EIX,Edison International,,False,5.110769230769231
2367,1017114384890548200,"['made', 'k', 'today', 'thx', 'to', 'the', 'options', 'trades', 'at', 'httpstcomqjucyyd', 'ggal', 'tsla', 'mnkd', 'psmt', 'cars', 'mplx', 'xom', 'httpstcoopxxxtedu']",Wed Jul 11 18:32:21 +0000 2018,JakeMat09278883,EIX,Edison International,http://optionsbypros.com,False,5.608888888888888
2373,1017116319869734900,"['avg', 'price', 'target', 'recap', 'edison', 'international', 'eix', 'likely', 'to', 'achieve', 'httpstcoocjnescl', 'eix', 'stocks', 'stockmarket']",Wed Jul 11 18:40:02 +0000 2018,StocksPredictr,EIX,Edison International,http://www.analystsbuzz.com/2018/03/15/avg-price-target-recap-edison-international-eix-likely-to-achieve-68-13-in-52-week-period/,False,5.92
2583,1017181748776636400,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'pbct', 'is', 'httpstcoimbemui', 'mgm', 'grpn', 'hpq', 'eix']",Wed Jul 11 23:00:01 +0000 2018,shortvolumes,EIX,Edison International,http://shortvolumes.com/?t=PBCT,False,5.2375
