,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
92,1016187286558466000,"['rt', 'kelvo', 'my', 'watch', 'list', 'for', 'tomorrow', 'fb', 'aapl', 'ba', 'nvda', 'baba', 'el', 'same', 'as', 'always', 'when', 'you', 'learn', 'and', 'tune', 'in', 'to', 'a', 'small', 'hand', 'full', 'of']",Mon Jul 09 05:08:23 +0000 2018,trickmitch1,EL,The EstíëŒ©e Lauder Companies Inc.,,False,5.509166666666666
360,1016335422174257200,"['hele', 'el', 'nus', 'nhtc', 'this', 'top', 'consumer', 'stock', 'is', 'booming', 'on', 'big', 'earnings', 'beat', 'httpstcovzztnh']",Mon Jul 09 14:57:01 +0000 2018,NewsToDesk,EL,The EstíëŒ©e Lauder Companies Inc.,https://www.StockNewsWires.com/hele-el-nus-nhtc-this-top-consumer-stock-is-booming-on-big-earnings-beat/,False,5.659999999999999
391,1016343721808400400,"['quite', 'accurate', 'analysts', 'target', 'price', 'el', 'is', 'showing', 'bullish', 'signals', 'currently', 'the', 'company', 'is', 'traded', 'at', 'httpstcouammvqnorg']",Mon Jul 09 15:30:00 +0000 2018,StockMetrixApp,EL,The EstíëŒ©e Lauder Companies Inc.,https://twitter.com/i/web/status/1016343721808400384,False,5.331333333333334
572,1016413635499847700,"['kymlang', 'el', 'lagging', 'the', 'turn']",Mon Jul 09 20:07:49 +0000 2018,awesom_o,EL,The EstíëŒ©e Lauder Companies Inc.,,False,4.993333333333333
583,1016417981021159400,"['farmers', 'trust', 'co', 'decreased', 'its', 'position', 'in', 'lauder', 'estee', 'cos', 'inc', 'el', 'by', 'million', 'as', 'shares', 'rose', 'httpstcoeznzvavuo']",Mon Jul 09 20:25:05 +0000 2018,whatsonthorold2,EL,The EstíëŒ©e Lauder Companies Inc.,https://www.whatsonthorold.com/2018/07/09/farmers-trust-co-decreased-its-position-in-lauder-estee-cos-inc-el-by-4-24-million-as-shares-rose/,False,5.611999999999998
584,1016418160839413800,"['lauder', 'estee', 'cos', 'inc', 'el', 'valuation', 'rose', 'while', 'farmers', 'trust', 'co', 'cut', 'position', 'by', 'million', 'httpstcopslkexyot']",Mon Jul 09 20:25:48 +0000 2018,reurope_stock,EL,The EstíëŒ©e Lauder Companies Inc.,https://reurope.com/2018/07/09/lauder-estee-cos-inc-el-valuation-rose-while-farmers-trust-co-cut-position-by-4-24-million/,False,5.565
585,1016418228137054200,"['farmers', 'trust', 'co', 'has', 'cut', 'its', 'lauder', 'estee', 'cos', 'inc', 'el', 'stake', 'by', 'million', 'httpstcopupqrjwif']",Mon Jul 09 20:26:04 +0000 2018,bibeypost_stock,EL,The EstíëŒ©e Lauder Companies Inc.,https://www.bibeypost.com/farmers-trust-co-has-cut-its-lauder-estee-cos-inc-el-stake-by-4-24-million/,False,5.303333333333334
1180,1016701702127439900,"['el', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcocpykpfnj']",Tue Jul 10 15:12:29 +0000 2018,optioncharts,EL,The EstíëŒ©e Lauder Companies Inc.,https://twitter.com/i/web/status/1016701702127439872,False,5.864444444444445
1481,1016780350180286500,"['abi', 'el', 'excolumbia', 'professor', 'tells', 'jury', 'of', 'male', 'mentors', 'harassment', 'via', 'httpstcojurzdympxi']",Tue Jul 10 20:25:01 +0000 2018,finzine,EL,The EstíëŒ©e Lauder Companies Inc.,http://www.hvper.com/?ref=ftw,False,5.242857142857143
1623,1016834158784602100,"['el', 'httpstcoicobqzcll']",Tue Jul 10 23:58:49 +0000 2018,ChriselAM__,EL,The EstíëŒ©e Lauder Companies Inc.,,False,4.8
1641,1016846692077973500,"['httpstcoobahvpyhx', 'el', 'este', 'lauder', 'notable', 'market', 'movement', 'up', 'million', 'gain', 'nasdaq', 'nysea', 'httpstcoqgcqfoq']",Wed Jul 11 00:48:38 +0000 2018,42Stocks,EL,The EstíëŒ©e Lauder Companies Inc.,http://42stocks.com/sym/el.html,False,5.8375
1762,1016943133203075100,"['trust', 'co', 'has', 'stake', 'in', 'estee', 'lauder', 'companies', 'inc', 'el', 'httpstcoapaimrr']",Wed Jul 11 07:11:51 +0000 2018,ConsumerFeed,EL,The EstíëŒ©e Lauder Companies Inc.,https://ift.tt/2uuVcYX,False,5.3275
1894,1017011234737217500,"['el', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcofamoeoqqhp', 'httpstcoyvinwwr']",Wed Jul 11 11:42:28 +0000 2018,optioncharts,EL,The EstíëŒ©e Lauder Companies Inc.,http://maximum-pain.com/options/max-pain/EL,False,4.873333333333334
2006,1017031275239133200,"['el', 'has', 'only', 'a', 'medium', 'technical', 'rating', 'but', 'it', 'does', 'show', 'a', 'decent', 'setup', 'pattern', 'httpstcohhmrkyione', 'httpstcowxlcuuhfa']",Wed Jul 11 13:02:06 +0000 2018,ChartMill,EL,The EstíëŒ©e Lauder Companies Inc.,https://www.chartmill.com/analyze.php?utm_source=twitter&utm_medium=TA&utm_content=SETUP&utm_campaign=social_tracking#/EL?key=7c2ea8f7-0158-4e7b-a5ee-11721d2765be,False,5.250666666666667
2345,1017109299116593200,"['the', 'estee', 'lauder', 'el', 'shareholder', 'meeder', 'asset', 'management', 'inc', 'increased', 'stake', 'httpstcoyungyypp']",Wed Jul 11 18:12:08 +0000 2018,whatsonthorold2,EL,The EstíëŒ©e Lauder Companies Inc.,https://www.whatsonthorold.com/2018/07/11/the-estee-lauder-el-shareholder-meeder-asset-management-inc-increased-stake/,False,5.3114285714285705
2346,1017109364090556400,"['meeder', 'asset', 'management', 'inc', 'holding', 'in', 'the', 'estee', 'lauder', 'el', 'was', 'has', 'boosted', 'httpstcobyfqgfww']",Wed Jul 11 18:12:24 +0000 2018,mmahotstuff1,EL,The EstíëŒ©e Lauder Companies Inc.,https://www.mmahotstuff.com/2018/07/11/meeder-asset-management-inc-holding-in-the-estee-lauder-el-was-has-boosted.html,False,5.188888888888889
2347,1017109507372089300,"['as', 'the', 'estee', 'lauder', 'el', 'stock', 'rose', 'meeder', 'asset', 'management', 'inc', 'upped', 'holding', 'by', 'million', 'httpstconlsklofgb']",Wed Jul 11 18:12:58 +0000 2018,reurope_stock,EL,The EstíëŒ©e Lauder Companies Inc.,https://reurope.com/2018/07/11/as-the-estee-lauder-el-stock-rose-meeder-asset-management-inc-upped-holding-by-4-59-million/,False,5.647272727272728
2468,1017144116101214200,"['rt', 'chriselam', 'el', 'httpstcoicobqzcll']",Wed Jul 11 20:30:29 +0000 2018,3amfries,EL,The EstíëŒ©e Lauder Companies Inc.,,False,4.84
2513,1017152789930299400,"['trade', 'war', 'fears', 'seemingly', 'hit', 'home', 'today', 'taking', 'down', 'stocks', 'like', 'rh', 'w', 'wsm', 'tpr', 'and', 'el', 'httpstcoavwfruhnd']",Wed Jul 11 21:04:57 +0000 2018,CNBCFastMoney,EL,The EstíëŒ©e Lauder Companies Inc.,,True,5.0030769230769225
2517,1017153533144125400,"['rt', 'cnbcfastmoney', 'trade', 'war', 'fears', 'seemingly', 'hit', 'home', 'today', 'taking', 'down', 'stocks', 'like', 'rh', 'w', 'wsm', 'tpr', 'and', 'el', 'httpstcoavwfruhnd']",Wed Jul 11 21:07:54 +0000 2018,DWHandyII,EL,The EstíëŒ©e Lauder Companies Inc.,,False,4.994285714285714
2670,1017214330205622300,"['el', 'technical', 'nearterm', 'short', 'consideration', 'ibdpartner', 'after', 'pullback', 'under', 'last', 'couple', 'weeks', 'lows', 'marketsmith', 'sh', 'httpstcocswgnbia']",Thu Jul 12 01:09:29 +0000 2018,MarkNewtonCMT,EL,The EstíëŒ©e Lauder Companies Inc.,https://twitter.com/i/web/status/1017214330205622272,False,5.171111111111112
2674,1017216218099568600,"['rt', 'marknewtoncmt', 'el', 'technical', 'nearterm', 'short', 'consideration', 'ibdpartner', 'after', 'pullback', 'under', 'last', 'couple', 'weeks', 'lows', 'marketsmith', 'shows', 'a']",Thu Jul 12 01:17:00 +0000 2018,DanRusso_CMT,EL,The EstíëŒ©e Lauder Companies Inc.,,False,5.2283333333333335
3583,1017448364412059600,"['rt', 'marknewtoncmt', 'el', 'technical', 'nearterm', 'short', 'consideration', 'ibdpartner', 'after', 'pullback', 'under', 'last', 'couple', 'weeks', 'lows', 'marketsmith', 'shows', 'a']",Thu Jul 12 16:39:28 +0000 2018,MarketSmith,EL,The EstíëŒ©e Lauder Companies Inc.,,True,5.2283333333333335
3658,1017459705965314000,"['its', 'been', 'a', 'crucial', 'week', 'for', 'the', 'este', 'lauder', 'companies', 'inc', 'el', 'heres', 'what', 'analysts', 'have', 'to', 'say', 'httpstcopuxmywor']",Thu Jul 12 17:24:32 +0000 2018,mmahotstuff1,EL,The EstíëŒ©e Lauder Companies Inc.,https://www.mmahotstuff.com/2018/07/12/its-been-a-crucial-week-for-the-estae-lauder-companies-inc-nyseel-heres-what-analysts-have-to-say.html,False,5.05875
5446,1017857774343028700,"['el', 'estee', 'lauder', 'companies', 'inc', 'the', 'sec', 'filing', 'form', 'httpstcozetrueqeps']",Fri Jul 13 19:46:18 +0000 2018,StockTexts,EL,The EstíëŒ©e Lauder Companies Inc.,http://www.sec.gov/Archives/edgar/data/1001250/000100125018000056/xslF345X03/edgar.xml,False,5.034285714285715
5475,1017863247452655600,"['el', 'new', 'insider', 'filing', 'on', 'director', 'barry', 's', 'sternlicht', 'httpstcobcpvatdgv']",Fri Jul 13 20:08:03 +0000 2018,InsiderAlertsIA,EL,The EstíëŒ©e Lauder Companies Inc.,http://insideri.com/1034657_000100125018000057_0001001250-18-000057,False,5.445714285714286
5771,1017980793711296500,"['el', 'new', 'insider', 'filing', 'on', 'sternlicht', 'barry', 's', 'transaction', 'code', 'httpstcoeemnncda', 'httpstcovujepaaby']",Sat Jul 14 03:55:09 +0000 2018,filing_scanner,EL,The EstíëŒ©e Lauder Companies Inc.,http://www.filingscanner.com/Alerts/EL.php,False,5.4025
5942,1018089486599708700,"['btw', 'estimated', 'earnings', 'per', 'share', 'for', 'el', 'is', 'its', 'of', 'the', 'current', 'price', 'httpstcoaoabemxyo']",Sat Jul 14 11:07:03 +0000 2018,1MinuteStock,EL,The EstíëŒ©e Lauder Companies Inc.,https://unicornbay.com/t/EL.US?utm_medium=tweet&utm_campaign=eps&utm_source=twitter,False,5.424615384615384
6410,1018226105038368800,"['analysts', 'see', 'eps', 'for', 'the', 'este', 'lauder', 'companies', 'inc', 'el', 'httpstcozpywrrmty']",Sat Jul 14 20:09:55 +0000 2018,reurope_stock,EL,The EstíëŒ©e Lauder Companies Inc.,https://reurope.com/2018/07/14/analysts-see-0-57-eps-for-the-estae-lauder-companies-inc-el/,False,5.1274999999999995
6412,1018226185325764600,"['eps', 'expected', 'for', 'the', 'este', 'lauder', 'companies', 'inc', 'el', 'httpstcoilmxipmpqu']",Sat Jul 14 20:10:14 +0000 2018,bibeypost_stock,EL,The EstíëŒ©e Lauder Companies Inc.,https://www.bibeypost.com/0-57-eps-expected-for-the-estae-lauder-companies-inc-el/,False,5.097142857142857
7264,1018390440004014100,"['lgt', 'capital', 'partners', 'ltd', 'increases', 'stake', 'in', 'estee', 'lauder', 'companies', 'inc', 'el', 'httpstcotnhkdi']",Sun Jul 15 07:02:56 +0000 2018,ConsumerFeed,EL,The EstíëŒ©e Lauder Companies Inc.,https://ift.tt/2uySmlC,False,5.506666666666666
7383,1018408440086097900,"['investors', 'buy', 'shares', 'of', 'estee', 'lauder', 'companies', 'el', 'on', 'weakness', 'httpstcozkxecb']",Sun Jul 15 08:14:27 +0000 2018,ledgerzette,EL,The EstíëŒ©e Lauder Companies Inc.,http://ledgergazette.com/?p=2826348,False,5.245
7634,1018450582774931500,"['el', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcofamoeoqqhp', 'httpstcolmnerwojdv']",Sun Jul 15 11:01:55 +0000 2018,optioncharts,EL,The EstíëŒ©e Lauder Companies Inc.,http://maximum-pain.com/options/max-pain/EL,False,4.71
7837,1018485848092889100,"['earnings', 'per', 'share', 'eps', 'under', 'review', 'estee', 'lauder', 'companies', 'inc', 'nyse', 'elc', 'httpstcostesukyzy', 'el', 'stocks', 'stockmarket']",Sun Jul 15 13:22:03 +0000 2018,StocksPredictr,EL,The EstíëŒ©e Lauder Companies Inc.,http://stocksmarketcap.com/2018/03/15/earnings-per-share-eps-under-review-estee-lauder-companies-inc-nyse-elc/,False,5.482222222222222
11254,1018943198713077800,"['estee', 'lauder', 'companies', 'inc', 'el', 'institutional', 'investors', 'sentiment', 'index', 'falls', 'in', 'q', 'httpstcofhakhbdmf']",Mon Jul 16 19:39:24 +0000 2018,whatsonthorold2,EL,The EstíëŒ©e Lauder Companies Inc.,https://www.whatsonthorold.com/2018/07/16/estee-lauder-companies-inc-nyseel-institutional-investors-sentiment-index-falls-in-2018-q1/,False,4.976000000000001
11257,1018943302337474600,"['estee', 'lauder', 'companies', 'inc', 'el', 'stock', 'price', 'while', 'sentiment', 'worsens', 'httpstcoclgeuohhl']",Mon Jul 16 19:39:48 +0000 2018,mmahotstuff1,EL,The EstíëŒ©e Lauder Companies Inc.,https://www.mmahotstuff.com/2018/07/16/estee-lauder-companies-inc-nyseel-stock-price-while-sentiment-worsens.html,False,5.211428571428572
11656,1018974382436298800,"['scan', 'results', 'stochastic', 'buy', 'signal', 'today', 'fhn', 'ppc', 'bsti', 'bk', 'wrd', 'rxn', 'cool', 'el', 'dk', 'mod', 'httpstcotxblmypb']",Mon Jul 16 21:43:19 +0000 2018,SwingTradeBot,EL,The EstíëŒ©e Lauder Companies Inc.,https://swingtradebot.com/events/24/equities?selected_date=2018-07-16,False,5.814285714285714
15163,1019277061146456000,"['an', 'altmanz', 'score', 'of', 'indicates', 'that', 'el', 'is', 'not', 'in', 'any', 'danger', 'for', 'bankruptcy', 'at', 'the', 'moment', 'httpstcojihehfpgv']",Tue Jul 17 17:46:03 +0000 2018,ChartMill,EL,The EstíëŒ©e Lauder Companies Inc.,https://twitter.com/i/web/status/1019277061146456065,False,4.790000000000001
16391,1019336569860132900,"['el', 'buy', 'calls', 'kevin', 'success', 'rate', 'httpstcowmbwekdiex']",Tue Jul 17 21:42:31 +0000 2018,stockhoot,EL,The EstíëŒ©e Lauder Companies Inc.,https://stockhoot.com/ExtRecommendation.aspx?Id=b326e891-51cb-4b13-8e29-eb3babe67fc0,False,5.816666666666666
16892,1019364651795144700,"['investors', 'sell', 'estee', 'lauder', 'companies', 'el', 'on', 'strength', 'el', 'httpstcovcshcntd']",Tue Jul 17 23:34:06 +0000 2018,OlympiaReport,EL,The EstíëŒ©e Lauder Companies Inc.,http://theolympiareport.com/?p=930843,False,5.542857142857143
16903,1019365209494958100,"['traders', 'sell', 'shares', 'of', 'estee', 'lauder', 'companies', 'el', 'on', 'strength', 'el', 'httpstcotopzdocul']",Tue Jul 17 23:36:19 +0000 2018,dispatchtribune,EL,The EstíëŒ©e Lauder Companies Inc.,http://dispatchtribunal.com/?p=2060048,False,5.611111111111111
16946,1019369455183228900,"['el', 'to', 'pay', 'm', 'to', 'settle', 'eeoc', 'class', 'sex', 'discrimination', 'lawsuit', 'httpstcoxynvp']",Tue Jul 17 23:53:11 +0000 2018,hotpennyalerts,EL,The EstíëŒ©e Lauder Companies Inc.,http://crweworld.com/article/regulatory/739743/esteacutee-lauder-companies-to-pay-11-million-to-settle-eeoc-class-sex-discrimination-lawsuit,False,4.894
18338,1019478489651703800,"['home', 'federal', 'bank', 'of', 'tennessee', 'cuts', 'position', 'in', 'estee', 'lauder', 'companies', 'inc', 'el', 'httpstcounojdw']",Wed Jul 18 07:06:27 +0000 2018,ConsumerFeed,EL,The EstíëŒ©e Lauder Companies Inc.,https://ift.tt/2utTc3K,False,5.319999999999999
22329,1019609764450353200,"['el', 'esteelaudercompanies', 'journalier', 'analyse', 'httpstcoyawwry', 'httpstcowucstpxeqs']",Wed Jul 18 15:48:05 +0000 2018,CentralCharts,EL,The EstíëŒ©e Lauder Companies Inc.,http://dlvr.it/QbzCqD,False,4.8
22799,1019618816177901600,"['hey', 'funny', 'buddies', 'jeffmacke', 'karenfinerman', 'caroljsroth', 'jorellarakalel', 'gerberkawasaki', 'do', 'you', 'think', 'el', 'should', 'bu', 'httpstcohywwdt']",Wed Jul 18 16:24:04 +0000 2018,davidmoble,EL,The EstíëŒ©e Lauder Companies Inc.,https://twitter.com/i/web/status/1019618816177901570,False,5.905000000000001
25011,1019668973779062800,"['el', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcofamoeoqqhp', 'httpstcoimngbprtf']",Wed Jul 18 19:43:22 +0000 2018,optioncharts,EL,The EstíëŒ©e Lauder Companies Inc.,http://maximum-pain.com/options/max-pain/EL,False,4.873333333333334
25737,1019681937215184900,"['rt', 'centralcharts', 'el', 'esteelaudercompanies', 'journalier', 'analyse', 'httpstcoyawwry', 'httpstcowucstpxeqs']",Wed Jul 18 20:34:53 +0000 2018,belle_aura,EL,The EstíëŒ©e Lauder Companies Inc.,http://dlvr.it/QbzCqD,False,4.84
