,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
146,1016234354446512100,"['rt', 'beepeminent', 'emn', 'eminent', 'token', 'fuel', 'for', 'beepbeep', 'nation', 'a', 'decentralized', 'helping', 'economy', 'on', 'a', 'mobile', 'application', 'you', 'can', 'get', 'a', 'ri']",Mon Jul 09 08:15:25 +0000 2018,abelceline23,EMN,Eastman Chemical Company,,False,5.5625
147,1016234370418368500,"['rt', 'beepeminent', 'the', 'emn', 'eminent', 'token', 'which', 'fuels', 'the', 'beepbeep', 'nation', 'app', 'will', 'be', 'available', 'for', 'purchase', 'on', 'wednesday', 'june', 'th', 're']",Mon Jul 09 08:15:29 +0000 2018,abelceline23,EMN,Eastman Chemical Company,,False,5.486249999999999
361,1016335700885692400,"['beepeminent', 'the', 'mother', 'of', 'all', 'app', 'will', 'be', 'powered', 'by', 'eminent', 'emn', 'httpstcozkvdiyqt', 'and', 'will', 'provide', 'all', 'httpstcoiizhxj']",Mon Jul 09 14:58:08 +0000 2018,marcio_teruel,EMN,Eastman Chemical Company,http://eminent.beepnation.com,False,5.796666666666667
369,1016336962288939000,"['at', 'the', 'moment', 'in', 'the', 'period', 'of', 'ico', 'it', 'is', 'already', 'possible', 'to', 'notice', 'the', 'growth', 'of', 'its', 'community', 'and', 'investors', 't', 'httpstcockzfo']",Mon Jul 09 15:03:09 +0000 2018,marcio_teruel,EMN,Eastman Chemical Company,https://twitter.com/i/web/status/1016336962288939009,False,5.279999999999999
456,1016362864062451700,"['emn', 'the', 'eps', 'has', 'grown', 'by', 'an', 'nice', 'over', 'the', 'past', 'year', 'httpstcocikizsamgp', 'httpstcopiazvebiq']",Mon Jul 09 16:46:04 +0000 2018,ChartMill,EMN,Eastman Chemical Company,https://www.chartmill.com/analyze.php?utm_source=twitter&utm_medium=FA&utm_content=GROWTH&utm_campaign=social_tracking#/EMN?r=fa&key=a1a0af90-c737-4691-82f0-4a1e5693da82,False,5.324000000000001
457,1016362875118608400,"['emn', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcohppacjie', 'httpstcoemoqoodsh']",Mon Jul 09 16:46:07 +0000 2018,optioncharts,EMN,Eastman Chemical Company,http://maximum-pain.com/options/max-pain/EMN,False,4.680000000000001
502,1016382716546187300,"['eminenttokenico', 'fuel', 'for', 'beepbeep', 'nation', 'a', 'decentralized', 'helping', 'economy', 'on', 'a', 'mobile', 'application', 'you', 'can', 'get', 'a', 'httpstcoeatkvt']",Mon Jul 09 18:04:57 +0000 2018,Alifal1079,EMN,Eastman Chemical Company,https://twitter.com/i/web/status/1016382716546187267,False,5.654285714285715
730,1016494199708045300,"['eastman', 'chemical', 'company', 'emn', 'analysts', 'see', 'eps', 'httpstcotxmakss']",Tue Jul 10 01:27:57 +0000 2018,whatsonthorold2,EMN,Eastman Chemical Company,https://www.whatsonthorold.com/2018/07/10/eastman-chemical-company-emn-analysts-see-2-20-eps/,False,5.175
731,1016494384345505800,"['eps', 'expected', 'for', 'eastman', 'chemical', 'company', 'emn', 'httpstcouzvcbtvyf']",Tue Jul 10 01:28:41 +0000 2018,reurope_stock,EMN,Eastman Chemical Company,https://reurope.com/2018/07/10/2-20-eps-expected-for-eastman-chemical-company-emn/,False,5.1450000000000005
732,1016494451898966000,"['eps', 'for', 'eastman', 'chemical', 'company', 'emn', 'expected', 'at', 'httpstcogunbuvlnr']",Tue Jul 10 01:28:57 +0000 2018,bibeypost_stock,EMN,Eastman Chemical Company,https://www.bibeypost.com/eps-for-eastman-chemical-company-emn-expected-at-2-20-2/,False,5.095999999999999
