,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3751,1017473189990010900,"['us', 'bancorp', 'de', 'decreased', 'its', 'emerson', 'electric', 'co', 'emr', 'holding', 'as', 'shares', 'declined', 'httpstcoczkxpvjcc']",Thu Jul 12 18:18:06 +0000 2018,The_CasualSmart,EMR,Emerson Electric Co.,https://thecasualsmart.com/2018/07/12/us-bancorp-de-decreased-its-emerson-electric-co-emr-holding-as-shares-declined/,False,5.0920000000000005
3752,1017473421985361900,"['as', 'emerson', 'electric', 'co', 'emr', 'share', 'price', 'declined', 'shareholder', 'us', 'bancorp', 'de', 'has', 'trimmed', 'its', 'holding', 'by', 'millio', 'httpstcomhicnhwau']",Thu Jul 12 18:19:02 +0000 2018,whatsonthorold2,EMR,Emerson Electric Co.,https://twitter.com/i/web/status/1017473421985361920,False,5.216666666666668
3754,1017473615657398300,"['as', 'emerson', 'electric', 'co', 'emr', 'market', 'valuation', 'declined', 'us', 'bancorp', 'de', 'has', 'cut', 'stake', 'httpstcovflrkimue']",Thu Jul 12 18:19:48 +0000 2018,The_CasualSmart,EMR,Emerson Electric Co.,https://floridarecorder.com/2018/07/12/as-emerson-electric-co-emr-market-valuation-declined-us-bancorp-de-has-cut-stake/,False,4.996
3756,1017473752441983000,"['emerson', 'electric', 'co', 'emr', 'shareholder', 'us', 'bancorp', 'de', 'trimmed', 'its', 'holding', 'httpstcosfecyzcrm']",Thu Jul 12 18:20:20 +0000 2018,reurope_stock,EMR,Emerson Electric Co.,https://reurope.com/2018/07/12/emerson-electric-co-emr-shareholder-us-bancorp-de-trimmed-its-holding/,False,5.38
3757,1017473847791153200,"['emerson', 'electric', 'co', 'emr', 'holder', 'us', 'bancorp', 'de', 'cut', 'holding', 'by', 'million', 'httpstcoqbjcncwl']",Thu Jul 12 18:20:43 +0000 2018,bibeypost_stock,EMR,Emerson Electric Co.,https://www.bibeypost.com/emerson-electric-co-emr-holder-us-bancorp-de-cut-holding-by-3-46-million/,False,5.3875
3761,1017475212965699600,"['ge', 'wins', 'new', 'respect', 'from', 'bearish', 'analyst', 'but', 'shares', 'little', 'changed', 'httpstcoiafzbsmhe', 'ge', 'hon', 'etn', 'emr']",Thu Jul 12 18:26:09 +0000 2018,MarketCurrents,EMR,Emerson Electric Co.,https://seekingalpha.com/news/3369764-ge-wins-new-respect-bearish-analyst-shares-little-changed?source=feed_f,False,5.880000000000001
3771,1017476641596100600,"['cdix', 'news', 'out', 'gnpx', 'cyad', 'kn', 'boom', 'sivb', 'enva', 'dnjr', 'exas', 'ehth', 'chke', 'flex', 'chtr', 'lbrdk', 'tndm', 'fii', 'ebio', 't', 's', 'httpstcoyaykbnuju']",Thu Jul 12 18:31:49 +0000 2018,OneOClockDrop,EMR,Emerson Electric Co.,https://twitter.com/i/web/status/1017476641596100608,False,5.181666666666667
3772,1017476727038271500,"['rt', 'oneoclockdrop', 'cdix', 'news', 'out', 'gnpx', 'cyad', 'kn', 'boom', 'sivb', 'enva', 'dnjr', 'exas', 'ehth', 'chke', 'flex', 'chtr', 'lbrdk', 'tndm', 'fii', 'ebio', 't', 's', 'cmcsa']",Thu Jul 12 18:32:10 +0000 2018,IamRealBW_trade,EMR,Emerson Electric Co.,,False,5.13857142857143
3777,1017477352941604900,"['rt', 'oneoclockdrop', 'cdix', 'news', 'out', 'gnpx', 'cyad', 'kn', 'boom', 'sivb', 'enva', 'dnjr', 'exas', 'ehth', 'chke', 'flex', 'chtr', 'lbrdk', 'tndm', 'fii', 'ebio', 't', 's', 'cmcsa']",Thu Jul 12 18:34:39 +0000 2018,TheRealMrPirate,EMR,Emerson Electric Co.,,False,5.13857142857143
3896,1017499101338972200,"['ge', 'wins', 'new', 'respect', 'from', 'bearish', 'analyst', 'but', 'shares', 'little', 'changed', 'httpstcoqbrfjxayu', 'ge', 'hon', 'etn', 'emr']",Thu Jul 12 20:01:04 +0000 2018,jjjinvesting,EMR,Emerson Electric Co.,https://seekingalpha.com/news/3369764-ge-wins-new-respect-bearish-analyst-shares-little-changed?source=tweet,False,5.880000000000001
4206,1017560345517482000,"['please', 'just', 'look', 'at', 'the', 'tweet', 'and', 'replys', 'gnpx', 'cyad', 'kn', 'boom', 'sivb', 'enva', 'dnjr', 'exas', 'ehth', 'chke', 'flex', 'chtr', 'httpstcoepjhewop']",Fri Jul 13 00:04:26 +0000 2018,OneOClockDrop,EMR,Emerson Electric Co.,https://twitter.com/i/web/status/1017560345517481984,False,5.47
4239,1017572513193381900,"['eps', 'expected', 'for', 'emerson', 'electric', 'co', 'emr', 'httpstcobzfwpidlxf']",Fri Jul 13 00:52:47 +0000 2018,The_CasualSmart,EMR,Emerson Electric Co.,https://thecasualsmart.com/2018/07/13/0-86-eps-expected-for-emerson-electric-co-emr/,False,5.390000000000001
4240,1017572738800726000,"['eps', 'for', 'emerson', 'electric', 'co', 'emr', 'expected', 'at', 'httpstcopkytzph']",Fri Jul 13 00:53:41 +0000 2018,whatsonthorold2,EMR,Emerson Electric Co.,https://www.whatsonthorold.com/2018/07/13/eps-for-emerson-electric-co-emr-expected-at-0-86/,False,5.292
4241,1017573306038440000,"['eps', 'for', 'emerson', 'electric', 'co', 'emr', 'expected', 'at', 'httpstconytbsfaa']",Fri Jul 13 00:55:56 +0000 2018,mmahotstuff1,EMR,Emerson Electric Co.,https://www.mmahotstuff.com/2018/07/13/eps-for-emerson-electric-co-emr-expected-at-0-86.html,False,5.292
4242,1017573369447841800,"['eps', 'expected', 'for', 'emerson', 'electric', 'co', 'emr', 'httpstcomlfudhtgo']",Fri Jul 13 00:56:11 +0000 2018,The_CasualSmart,EMR,Emerson Electric Co.,https://floridarecorder.com/2018/07/13/0-86-eps-expected-for-emerson-electric-co-emr/,False,5.390000000000001
4243,1017573478113988600,"['eps', 'expected', 'for', 'emerson', 'electric', 'co', 'emr', 'httpstcotikrhqfko']",Fri Jul 13 00:56:37 +0000 2018,reurope_stock,EMR,Emerson Electric Co.,https://reurope.com/2018/07/13/0-86-eps-expected-for-emerson-electric-co-emr/,False,5.390000000000001
4244,1017573573513351200,"['eps', 'for', 'emerson', 'electric', 'co', 'emr', 'expected', 'at', 'httpstcoucjgmavzte']",Fri Jul 13 00:57:00 +0000 2018,bibeypost_stock,EMR,Emerson Electric Co.,https://www.bibeypost.com/eps-for-emerson-electric-co-emr-expected-at-0-86/,False,5.292
4247,1017574735201177600,"['rt', 'reuropestock', 'eps', 'expected', 'for', 'emerson', 'electric', 'co', 'emr', 'httpstcotikrhqfko']",Fri Jul 13 01:01:37 +0000 2018,AviseAnalytics,EMR,Emerson Electric Co.,https://reurope.com/2018/07/13/0-86-eps-expected-for-emerson-electric-co-emr/,False,5.288
4390,1017615803292606500,"['ge', 'wins', 'new', 'respect', 'from', 'bearish', 'analyst', 'but', 'shares', 'little', 'changed', 'ge', 'hon', 'etn', 'emr', 'httpstcouzpyfyqy']",Fri Jul 13 03:44:48 +0000 2018,713CapitalLLC,EMR,Emerson Electric Co.,https://seekingalpha.com/news/3369764,False,5.880000000000001
4823,1017747964322869200,"['how', 'analysts', 'feel', 'about', 'emerson', 'electric', 'co', 'emr', 'after', 'forming', 'multiple', 'top', 'chart', 'pattern', 'httpstcotvhneni']",Fri Jul 13 12:29:58 +0000 2018,whatsonthorold2,EMR,Emerson Electric Co.,https://www.whatsonthorold.com/2018/07/13/how-analysts-feel-about-emerson-electric-co-emr-after-forming-multiple-top-chart-pattern/,False,5.421666666666667
4824,1017748085009723400,"['emerson', 'electric', 'co', 'emr', 'stock', 'formed', 'bullish', 'multiple', 'top', 'pattern', 'what', 'to', 'expect', 'httpstcoldnjwlyhp']",Fri Jul 13 12:30:26 +0000 2018,mmahotstuff1,EMR,Emerson Electric Co.,https://www.mmahotstuff.com/2018/07/13/emerson-electric-co-emr-stock-formed-bullish-multiple-top-pattern-what-to-expect.html,False,5.548
4826,1017748256200298500,"['bullish', 'chart', 'formation', 'for', 'emerson', 'electric', 'co', 'emr', 'after', 'forming', 'bullish', 'multiple', 'top', 'pattern', 'httpstcouxppgtevx']",Fri Jul 13 12:31:07 +0000 2018,reurope_stock,EMR,Emerson Electric Co.,https://reurope.com/2018/07/13/bullish-chart-formation-for-emerson-electric-co-emr-after-forming-bullish-multiple-top-pattern/,False,5.546
4828,1017748333866123300,"['whats', 'in', 'emerson', 'electric', 'co', 'emr', 'after', 'forming', 'bullish', 'multiple', 'top', 'chart', 'pattern', 'httpstcoydbdlpnk']",Fri Jul 13 12:31:26 +0000 2018,bibeypost_stock,EMR,Emerson Electric Co.,https://www.bibeypost.com/whats-in-emerson-electric-co-emr-after-forming-bullish-multiple-top-chart-pattern/,False,5.4559999999999995
4833,1017748973656739800,"['rt', 'reuropestock', 'bullish', 'chart', 'formation', 'for', 'emerson', 'electric', 'co', 'emr', 'after', 'forming', 'bullish', 'multiple', 'top', 'pattern', 'httpstcouxppgtevx']",Fri Jul 13 12:33:58 +0000 2018,AviseAnalytics,EMR,Emerson Electric Co.,https://reurope.com/2018/07/13/bullish-chart-formation-for-emerson-electric-co-emr-after-forming-bullish-multiple-top-pattern/,False,5.485454545454545
