,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
11,1019723744804245500,"['roger', 'federers', 'uniqlo', 'deal', 'makes', 'him', 'one', 'of', 'the', 'few', 'athletes', 'to', 'earn', 'more', 'than', 'm', 'from', 'endorsements', 'httpstcojqsoayebq']",Wed Jul 18 23:21:00 +0000 2018,Forbes,ENDP,Endo,https://twitter.com/i/web/status/1019723744804245504,True,5.498666666666666
16,1019726537778704400,"['president', 'trump', 'endorses', 'brian', 'kemp', 'over', 'casey', 'cagle', 'in', 'georgia', 'governors', 'race', 'httpstcovhgnrnraw']",Wed Jul 18 23:32:06 +0000 2018,nytimes,ENDP,Endo,https://nyti.ms/2NsnHy3,True,5.368888888888888
4504,1017656418160308200,"['endo', 'international', 'endp', 'rating', 'reiterated', 'by', 'citigroup', 'httpstcoarthkntyk']",Fri Jul 13 06:26:11 +0000 2018,ledgerzette,ENDP,Endo International plc,http://ledgergazette.com/?p=2823286,False,5.6933333333333325
4523,1017666204532691000,"['endo', 'international', 'endp', 'shares', 'gap', 'down', 'to', 'httpstcozkqexpixd']",Fri Jul 13 07:05:05 +0000 2018,TheMarketsDaily,ENDP,Endo International plc,http://zpr.io/6aVCB,False,5.359999999999999
4652,1017712055753887700,"['endo', 'international', 'plc', 'endp', 'sees', 'significant', 'increase', 'in', 'short', 'interest', 'httpstcoeavpjpa']",Fri Jul 13 10:07:16 +0000 2018,MareaInformativ,ENDP,Endo International plc,http://www.mareainformativa.com/?p=437701,False,6.002857142857143
4739,1017730609207283700,"['endo', 'who', 'piles', 'in', 'next', 'third', 'points', 'dan', 'loeb', 'httpstcogswqqlkzs', 'endp', 'httpstcofpffpxort']",Fri Jul 13 11:21:00 +0000 2018,ShockExchange,ENDP,Endo International plc,https://wp.me/p9mTD8-MH,False,5.413333333333333
4849,1017752007560462300,"['big', 'call', 'activity', 'httpstcocarxndgmmo', 'afl', 'lgih', 'mtb', 'vrns', 'ibm', 'hal', 'fox', 'oxy', 'jcp', 'sfix', 'baba', 'fti', 'hban', 'httpstcorthfzelts']",Fri Jul 13 12:46:02 +0000 2018,DailyStockPlays,ENDP,Endo International plc,http://www.dailystockplays.com/Unusual-Call-Option-Activity-Today-2018-07-12.html,False,5.864
4868,1017754161721544700,"['adding', 'to', 'endp']",Fri Jul 13 12:54:35 +0000 2018,JodieSwafford,ENDP,Endo International plc,,False,5.35
4888,1017756872126890000,"['endp', 'phase', 'trial', 'west', 'jul', 'completion', 'date', 'nct', 'httpstcoyklzwaidlg', 'trial', 'tracker', 'httpstcoarqorvrp']",Fri Jul 13 13:05:21 +0000 2018,fda_tracker,ENDP,Endo International plc,http://clinicaltrials.gov/ct2/show/NCT03329989,False,5.293333333333334
5084,1017789501538791400,"['trndg', 'i', 'aaoi', 'opk', 'itub', 'fcx', 'akrx', 'endp', 'chk', 'charts', 'httpstconxlxeawwq']",Fri Jul 13 15:15:01 +0000 2018,US_proptrader,ENDP,Endo International plc,http://goo.gl/fJlTyV,False,5.92
5177,1017804600437559300,"['trndg', 'akrx', 'endp', 'charts', 'httpstconxlxeawwq']",Fri Jul 13 16:15:01 +0000 2018,US_proptrader,ENDP,Endo International plc,http://goo.gl/fJlTyV,False,0.0
5273,1017820216213033000,"['endp', 'one', 'of', 'the', 'most', 'underrated', 'stock', 'i', 'health', 'care', 'wil', 'go', 'to', 's', 'if', 'cellulite', 'gets', 'approved', 'and', 'even', 'right', 'now', 'h', 'httpstconorekxit']",Fri Jul 13 17:17:04 +0000 2018,AjayAjhooda,ENDP,Endo International plc,https://twitter.com/i/web/status/1017820216213032961,False,5.674000000000001
5505,1017869090705338400,"['afternoon', 'most', 'tweeted', 'mid', 'caps', 'check', 'out', 'gambiste', 'top', 'xlrn', 'tree', 'five', 'grpn', 'gwph', 'hmsy', 'mnta', 'exls', 'endp', 'httpstcolypltitvr']",Fri Jul 13 20:31:16 +0000 2018,GambisteFinance,ENDP,Endo International plc,http://gambiste.com/index.php/current-month-stock-data/,False,5.808
5995,1018103482354675700,"['eps', 'expected', 'for', 'endo', 'international', 'plc', 'endp', 'httpstcohgyuqctv']",Sat Jul 14 12:02:40 +0000 2018,mmahotstuff1,ENDP,Endo International plc,https://www.mmahotstuff.com/2018/07/14/0-54-eps-expected-for-endo-international-plc-endp.html,False,5.84
