,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3610,1017454312694444000,"['equinix', 'inc', 'eqix', 'stock', 'value', 'declined', 'while', 'adell', 'harriman', 'amp', 'carpenter', 'inc', 'has', 'trimmed', 'its', 'stake', 'by', 'million', 'httpstcolfvyhul']",Thu Jul 12 17:03:06 +0000 2018,mmahotstuff1,EQIX,Equinix,https://twitter.com/i/web/status/1017454312694444037,False,5.233333333333333
3612,1017454562683293700,"['adell', 'harriman', 'amp', 'carpenter', 'inc', 'lowered', 'its', 'equinix', 'inc', 'eqix', 'position', 'by', 'million', 'market', 'value', 'declined', 'httpstcocboxycuzpw']",Thu Jul 12 17:04:05 +0000 2018,reurope_stock,EQIX,Equinix,https://reurope.com/2018/07/12/adell-harriman-market-value-declined/,False,5.382000000000001
3613,1017454681503694800,"['adell', 'harriman', 'amp', 'carpenter', 'inc', 'trimmed', 'stake', 'in', 'equinix', 'inc', 'eqix', 'as', 'share', 'value', 'declined', 'httpstcoqpbqleht']",Thu Jul 12 17:04:34 +0000 2018,bibeypost_stock,EQIX,Equinix,https://www.bibeypost.com/adell-harriman-carpenter-inc-trimmed-stake-in-equinix-inc-eqix-as-share-value-declined/,False,5.208888888888889
3689,1017465297303769100,"['equinix', 'expands', 'aws', 'collaboration', 'in', 'latin', 'america', 'httpstcokpawkmumuf', 'eqix']",Thu Jul 12 17:46:45 +0000 2018,MarketCurrents,EQIX,Equinix,https://seekingalpha.com/news/3369749-equinix-expands-aws-collaboration-latin-america?source=feed_f,False,5.88
3690,1017465298419527700,"['equinix', 'expands', 'aws', 'collaboration', 'in', 'latin', 'america', 'httpstcocamhoabx', 'eqix']",Thu Jul 12 17:46:45 +0000 2018,SAlphaTech,EQIX,Equinix,https://seekingalpha.com/news/3369749-equinix-expands-aws-collaboration-latin-america?source=twitter_salphatech,False,5.88
3722,1017470393467060200,"['commented', 'on', 'eqix', 'httpstcoxqjaxcdu']",Thu Jul 12 18:07:00 +0000 2018,REalBillStoller,EQIX,Equinix,https://seekingalpha.com/article/4186830-equinix-strong-guidance-free-option-hyperscale-data-center-market?source=tweet&sht=pbrmbn&shu=79lof#comment-79044651,False,5.56
3802,1017483339349946400,"['commented', 'on', 'eqix', 'httpstcoiyimyduh']",Thu Jul 12 18:58:26 +0000 2018,REalBillStoller,EQIX,Equinix,https://seekingalpha.com/article/4186830-equinix-strong-guidance-free-option-hyperscale-data-center-market?source=tweet&sht=pbrope&shu=79lof#comment-79045263,False,5.56
4164,1017551143092621300,"['eqix', 'triple', 'inside', 'day', 'flagging', 'on', 'lower', 'time', 'frame', 'httpstcohulyhftj']",Thu Jul 12 23:27:52 +0000 2018,NikeThisShit,EQIX,Equinix,,False,5.528571428571429
4285,1017582828580556800,"['eqix', 'collaboration', 'with', 'amzn', 's', 'aws', 'expands', 'in', 'latin', 'america', 'httpstcocxopwxais']",Fri Jul 13 01:33:46 +0000 2018,bdailystocks,EQIX,Equinix,http://crweworld.com/article/news-provided-by-pr-newswire/733802/equinix-collaboration-with-amazon-web-services-expands-in-latin-america,False,5.68
4767,1017740439267340300,"['eqix', 'httpstcotincrdo']",Fri Jul 13 12:00:04 +0000 2018,SAlphaTech,EQIX,Equinix,https://seekingalpha.com/article/4186830-equinix-strong-guidance-free-option-hyperscale-data-center-market?source=feed_tags,False,0.0
