,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
22006,1019602566966136800,"['everyone', 'likey', 'me', 'cl', 'booooooom', 'still', 'looking', 'for', 'august', 'cleq', 'clf', 'cl', 'clf', 'clf', 'opec', 'futures', 'httpstcoqsxroufup']",Wed Jul 18 15:19:29 +0000 2018,SirJohnSteele,ES,Eversource Energy,https://twitter.com/i/web/status/1019602566966136837,False,5.911428571428572
22013,1019602750018080800,"['es', 'breakout']",Wed Jul 18 15:20:13 +0000 2018,3TriggerTrader,ES,Eversource Energy,,False,4.8
22156,1019605532590690300,"['mining', 'gld', 'energy', 'economy', 'es', 'oil', 'copper', 'mining', 'is', 'central', 'to', 'chiles', 'sustainable', 'economic', 'development', 'repre', 'httpstcokyszxatt']",Wed Jul 18 15:31:16 +0000 2018,RediminMagazine,ES,Eversource Energy,https://twitter.com/i/web/status/1019605532590690304,False,5.386666666666667
22157,1019605535291859000,"['mining', 'gld', 'energy', 'economy', 'es', 'oil', 'rt', 'fvoetmann', 'eriksolheim', 'calls', 'for', 'action', 'to', 'improve', 'recycling', 'of', 'electro', 'httpstcodkovkfweg']",Wed Jul 18 15:31:17 +0000 2018,RediminMagazine,ES,Eversource Energy,https://twitter.com/i/web/status/1019605535291858946,False,5.331666666666666
22170,1019605858869825500,"['i', 'am', 'sharing', 'less', 'since', 'i', 'have', 'given', 'away', 'more', 'then', 'enough', 'for', 'a', 'bit', 'buti', 'still', 'give', 'subtle', 'hints', 'guys', 'es', 'esf', 'httpstcouootvmv']",Wed Jul 18 15:32:34 +0000 2018,wallstreetelix5,ES,Eversource Energy,https://twitter.com/i/web/status/1019605858869825537,False,5.4990000000000006
22181,1019606219034542100,"['mf', 'amet', 'we', 'email', 'highest', 'prob', 'inflection', 'clf', 'cl', 'clf', 'cl', 'oil', 's', 'for', 'daytrading', 'mid', 'morn', 'we', 'send', 'es', 'httpstcooaollwe']",Wed Jul 18 15:34:00 +0000 2018,InfinitusCap,ES,Eversource Energy,https://twitter.com/i/web/status/1019606219034542080,False,5.488333333333333
22193,1019606606097584100,"['spx', 'new', 'high', 'over', 'yesterday', 'now', 'need', 'es', 'nominal', 'new', 'higher', 'high', 'from', 'overnight', 'to', 'get', 'knocked', 'out', 'and', 'made', 'support', 'es']",Wed Jul 18 15:35:32 +0000 2018,kiwitrader24,ES,Eversource Energy,,False,5.5920000000000005
22196,1019606669402271700,"['closed', 'all', 'longs', 'bec', 'starting', 'to', 'see', 'neg', 'divg', 'esf', 'es', 'spx', 'spy', 'nq', 'nqf', 'ndx', 'qqq']",Wed Jul 18 15:35:48 +0000 2018,jomama_trades,ES,Eversource Energy,,False,5.208571428571429
22214,1019607111142002700,"['es', 'gt', 'within', 'reach', 'of', 'morn', 'email', 'target', 'ready', 'for', 'another', 'high', 'five', 'heardatthecme', 'es', 'httpstcooclqtqixb']",Wed Jul 18 15:37:33 +0000 2018,InfinitusCap,ES,Eversource Energy,https://twitter.com/i/web/status/1019607111142002693,False,5.428571428571428
22315,1019609423185104900,"['hmmm', 'still', 'looking', 'good', 'despite', 'the', 'neg', 'divg', 'chop', 'may', 'resolve', 'them', 'esf', 'es', 'spx', 'spy', 'nq', 'nqf', 'ndx', 'qqq', 'httpstcoxstzvxjhf']",Wed Jul 18 15:46:44 +0000 2018,jomama_trades,ES,Eversource Energy,https://twitter.com/jomama_trades/status/1019606669402271744,False,5.233333333333333
22415,1019611299578241000,"['esf', 'es', 'spy', 'come', 'to', 'me', 'over']",Wed Jul 18 15:54:11 +0000 2018,wallstreetelix5,ES,Eversource Energy,,False,5.206666666666667
22417,1019611336614056000,"['reentered', 'small', 'for', 'last', 'squiggles', 'esf', 'es', 'spx', 'spy', 'nq', 'nqf', 'ndx', 'qqq', 'httpstcocmefuka']",Wed Jul 18 15:54:20 +0000 2018,jomama_trades,ES,Eversource Energy,https://twitter.com/jomama_trades/status/1019609423185104896,False,4.504
22458,1019612276184186900,"['closed', 'longs', 'esf', 'es', 'spx', 'spy', 'nq', 'nqf', 'ndx', 'qqq']",Wed Jul 18 15:58:04 +0000 2018,jomama_trades,ES,Eversource Energy,,False,4.233333333333333
22463,1019612360632295400,"['target', 'gt', 'prints', 'es', 'esf', 'es', 'esf', 'nq', 'nqf', 'indu', 'nq', 'spx', 'ndx', 'nq', 'nqf', 'futures', 'httpstcoxthnstwpdp']",Wed Jul 18 15:58:24 +0000 2018,InfinitusCap,ES,Eversource Energy,https://twitter.com/i/web/status/1019612360632295429,False,5.252000000000001
22467,1019612393599533000,"['rt', 'aynabuttni', 'a', 'single', 'word', 'is', 'burnt', 'their', 'es', 'httpstcouocywwnvqy']",Wed Jul 18 15:58:32 +0000 2018,JunaidK49138870,ES,Eversource Energy,,False,4.91
