,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
6086,1018126366976434200,"['high', 'call', 'volume', 'nflx', 'pypl', 'skx', 'roku', 'aveo', 'kmb', 'csco', 'sna', 'wday', 'foxa', 'ctxs', 't', 'esrx', 'blmn', 'low', 'bx', 'lly', 'epc', 'neo', 'erj', 'tpx', 'sq', 'wpx']",Sat Jul 14 13:33:36 +0000 2018,TopStockAlerts1,ESRX,Express Scripts Holding Company,,False,5.332
6093,1018127016682512400,"['unusual', 'options', 'nflx', 'baba', 'skx', 'roku', 'syf', 'aveo', 'f', 'ms', 'sna', 'grpn', 'dlr', 'wday', 'gt', 'foxa', 'ctxs', 'esrx', 'bby', 'tpx', 'vrx', 'sq']",Sat Jul 14 13:36:11 +0000 2018,TopStockAlerts1,ESRX,Express Scripts Holding Company,,False,4.94
6137,1018137254504616000,"['express', 'scripts', 'hldg', 'esrx', 'shareholder', 'south', 'state', 'corp', 'has', 'decreased', 'position', 'as', 'share', 'value', 'declined', 'httpstcopqjvpt']",Sat Jul 14 14:16:52 +0000 2018,reurope_stock,ESRX,Express Scripts Holding Company,https://reurope.com/2018/07/14/express-scripts-hldg-esrx-shareholder-south-state-corp-has-decreased-position-as-share-value-declined/,False,5.327272727272727
6140,1018137315477278700,"['as', 'express', 'scripts', 'hldg', 'esrx', 'market', 'value', 'declined', 'shareholder', 'south', 'state', 'corp', 'has', 'decreased', 'stake', 'by', 'mill', 'httpstcotenclcyfja']",Sat Jul 14 14:17:06 +0000 2018,bibeypost_stock,ESRX,Express Scripts Holding Company,https://twitter.com/i/web/status/1018137315477278720,False,5.18923076923077
6167,1018145511088549900,"['rt', 'topstockalerts', 'high', 'call', 'volume', 'nflx', 'pypl', 'skx', 'roku', 'aveo', 'kmb', 'csco', 'sna', 'wday', 'foxa', 'ctxs', 't', 'esrx', 'blmn', 'low', 'bx', 'lly', 'epc', 'n']",Sat Jul 14 14:49:40 +0000 2018,RealPrav,ESRX,Express Scripts Holding Company,,False,5.194285714285714
6168,1018145816098361300,"['rt', 'teresaarthur', 'skx', 'f', 'nflx', 'grpn', 'roku', 'syf', 'wday', 'tpx', 'sq', 'gt', 'baba', 'foxa', 'ms', 'sna', 'esrx', 'aveo', 'nflx', 'dlr', 'ctxs', 'tpx', 'vrx', 'bby', 'unus']",Sat Jul 14 14:50:53 +0000 2018,RealPrav,ESRX,Express Scripts Holding Company,,False,4.725
6181,1018148858994544600,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'express', 'scripts', 'holding', 'company', 'esrx', 'httpstcolaiivferv']",Sat Jul 14 15:02:58 +0000 2018,reurope_stock,ESRX,Express Scripts Holding Company,https://reurope.com/2018/07/14/can-analysts-adopt-a-bullish-outlook-for-express-scripts-holding-company-nasdaqesrx/,False,5.611111111111111
6589,1018250763859046400,"['express', 'scripts', 'esrx', 'lowered', 'to', 'hold', 'at', 'bidaskclub', 'httpstcoikfapgir']",Sat Jul 14 21:47:54 +0000 2018,ThisLincolnian,ESRX,Express Scripts Holding Company,http://thelincolnianonline.com/?p=2181606,False,5.404999999999999
6597,1018251935714041900,"['bidaskclub', 'lowers', 'express', 'scripts', 'esrx', 'to', 'hold', 'httpstcoahajdoazq']",Sat Jul 14 21:52:34 +0000 2018,WeekHerald,ESRX,Express Scripts Holding Company,http://weekherald.com/?p=2988351,False,5.573333333333333
6817,1018307261289173000,"['im', 'downtown', 'manhattan', 'now', 'if', 'anyone', 'can', 'see', 'this', 'tweet', 'and', 'around', 'then', 'wishes', 'to', 'have', 'fun', 'dm', 'me', 'vrx', 'aapl', 'amzn', 'httpstcotnokoihnl']",Sun Jul 15 01:32:24 +0000 2018,brianfires,ESRX,Express Scripts Holding Company,https://twitter.com/i/web/status/1018307261289172992,False,5.682105263157895
