,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
11779,1018990252546027500,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Mon Jul 16 22:46:22 +0000 2018,AnjaKruitwagen,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
11802,1018995172200337400,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Mon Jul 16 23:05:55 +0000 2018,ninsewakishiko,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
11839,1018999166087901200,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Mon Jul 16 23:21:47 +0000 2018,mHon01,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
11869,1019004004557176800,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Mon Jul 16 23:41:01 +0000 2018,fynucalixaby,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
11960,1019016939467952100,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 00:32:25 +0000 2018,keisokuosan,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12009,1019025882952937500,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 01:07:57 +0000 2018,TheDriton,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12038,1019029242133151700,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 01:21:18 +0000 2018,rootsrogue,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12060,1019033304446582800,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 01:37:27 +0000 2018,foevibfaldif198,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12131,1019043540125540400,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 02:18:07 +0000 2018,morikubonzai,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12176,1019048221480497200,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 02:36:43 +0000 2018,camipaera1972,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12246,1019061781199818800,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 03:30:36 +0000 2018,kibagumizurichi,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12264,1019064990576373800,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 03:43:21 +0000 2018,SandsmarjudgOta,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12282,1019068629428645900,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 03:57:49 +0000 2018,sponjuncorge198,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12299,1019071236679307300,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 04:08:10 +0000 2018,sconnedkentledg,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12300,1019071699365564400,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 04:10:01 +0000 2018,kayoimekusagi,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12324,1019074578423873500,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 04:21:27 +0000 2018,kyanitefeather,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12381,1019086710184038400,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 05:09:40 +0000 2018,jaatemseno1974,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12397,1019088926034849800,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 05:18:28 +0000 2018,fernetfthepi191,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12412,1019091728924663800,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 05:29:36 +0000 2018,nosewaste,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12459,1019096424431214600,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 05:48:16 +0000 2018,assurepaperclip,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12535,1019104839819825200,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 06:21:42 +0000 2018,gozawewepuqo,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12549,1019107101745074200,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 06:30:41 +0000 2018,MarksNaser,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12567,1019109516280062000,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 06:40:17 +0000 2018,AnthonyJemmett,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12607,1019114501533306900,"['btc', 'top', 'last', 'h', 'hwc', 'st', 'toa', 'st', 'crpt', 'st', 'exy', 'httpstcoaxpqemjwu']",Tue Jul 17 07:00:06 +0000 2018,CryptoPriceCall,ESS,Essex Property Trust,https://twitter.com/i/web/status/1019114501533306881,False,4.989999999999999
12675,1019121274600255500,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 07:27:00 +0000 2018,erradentla1989,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12781,1019138388207775700,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 08:35:01 +0000 2018,cefewihAli,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12783,1019138806799372300,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 08:36:40 +0000 2018,AmyColhounx,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12810,1019140894178586600,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 08:44:58 +0000 2018,ForeignRJ835,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
12946,1019159807771725800,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 10:00:07 +0000 2018,variscancolourl,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
13140,1019172152824778800,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 10:49:11 +0000 2018,endermandog,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
13141,1019172156461154300,"['rt', 'bitscreener', 'new', 'coins', 'added', 'to', 'httpstcokozqowvpd', 'kbc', 'fti', 'pch', 'quro', 'seer', 'coni', 'ess', 'onl', 'otb', 'pai', 'got', 'thrt', 'bitscreener', 'h']",Tue Jul 17 10:49:12 +0000 2018,hakoliacf,ESS,Essex Property Trust,http://BitScreener.Com,False,5.476666666666667
