,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
541,1016404624922693600,"['alert', 'misinformation', 'on', 'behalf', 'of', 'minergate', 'blog', 'post', 'most', 'important', 'forks', 'of', 'summer', 'etheremerald', 'ete', 'httpstcolfhkrtgvo']",Mon Jul 09 19:32:01 +0000 2018,ClassicIsComing,ETE,Energy Transfer Equity,https://twitter.com/i/web/status/1016404624922693633,False,5.644
550,1016407983029456900,"['rt', 'classiciscoming', 'alert', 'misinformation', 'on', 'behalf', 'of', 'minergate', 'blog', 'post', 'most', 'important', 'forks', 'of', 'summer', 'etheremerald', 'ete', 'has']",Mon Jul 09 19:45:21 +0000 2018,BeerdHead,ETE,Energy Transfer Equity,,False,5.541666666666667
676,1016455137294835700,"['rt', 'classiciscoming', 'alert', 'misinformation', 'on', 'behalf', 'of', 'minergate', 'blog', 'post', 'most', 'important', 'forks', 'of', 'summer', 'etheremerald', 'ete', 'has']",Mon Jul 09 22:52:44 +0000 2018,JasonCrypto1688,ETE,Energy Transfer Equity,,False,5.541666666666667
756,1016509362423193600,"['eduardaladislau', 'iulynda', 'vocs', 'viram', 'o', 'texto', 'hitria', 'do', 'ete', 'ai', 'gente', 'ele', 'ao', 'muito', 'fofo', 'junto', 'teamjailey']",Tue Jul 10 02:28:12 +0000 2018,wreckingbel,ETE,Energy Transfer Equity,,False,5.025
1748,1016938231055577100,"['heres', 'my', 'research', 'on', 'ete', 'on', 'asx', 'tony', 'walsh', 'years', 'experience', 'dealing', 'with', 'listed', 'companies', 'corporate', 't', 'httpstcowjddguemxi']",Wed Jul 11 06:52:22 +0000 2018,traderstevo,ETE,Energy Transfer Equity,https://twitter.com/i/web/status/1016938231055577093,False,5.5
1749,1016938236726337500,"['tony', 'left', 'ago', 'in', 'august', 'last', 'year', 'as', 'it', 'was', 'going', 'through', 'its', 'transformation', 'stage', 'he', 'would', 'have', 'been', 'instru', 'httpstcobxmldkc']",Wed Jul 11 06:52:24 +0000 2018,traderstevo,ETE,Energy Transfer Equity,https://twitter.com/i/web/status/1016938236726337536,False,5.267368421052631
1750,1016938240022986800,"['mark', 'mcauliffe', 'md', 'of', 'ete', 'is', 'a', 'corporate', 'lawyer', 'with', 'decades', 'of', 'experience', 'he', 'runs', 'a', 'law', 'firm', 'in', 'margret', 'riv', 'httpstconqmmbkqth']",Wed Jul 11 06:52:24 +0000 2018,traderstevo,ETE,Energy Transfer Equity,https://twitter.com/i/web/status/1016938240022986752,False,5.207058823529413
1751,1016938241847484400,"['ete', 'needed', 'someone', 'of', 'mcauliffes', 'caliber', 'over', 'the', 'past', 'few', 'months', 'they', 'have', 'been', 'sorting', 'out', 'disputes', 'in', 'th', 'httpstcomfdcjbsma']",Wed Jul 11 06:52:25 +0000 2018,traderstevo,ETE,Energy Transfer Equity,https://twitter.com/i/web/status/1016938241847484416,False,5.081428571428572
2008,1017031364733030400,"['high', 'beta', 'dividend', 'contenders', 'httpstcotaghz', 'gt', 'ael', 'ete', 'amp', 'tif', 'laz', 'evr', 'vsec', 'alb', 'wlk', 'rbc', 'qcom']",Wed Jul 11 13:02:27 +0000 2018,DividendSheet,ETE,Energy Transfer Equity,http://long-term-investments.blogspot.com/2018/07/11-high-beta-dividend-contenders.html,False,5.672000000000001
2057,1017044344904306700,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'epd', 'on', 'is', 'httpstcotyuehjfy', 'paa', 'wmb', 'ete', 'eep']",Wed Jul 11 13:54:02 +0000 2018,shortvolumes,ETE,Energy Transfer Equity,http://shortvolumes.com/?t=EPD,False,5.273333333333333
