,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2667,1017211389184634900,"['rt', 'pharris', 'ibd', 'big', 'cap', 'withrank', 'july', 'crm', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ma', 'lulu', 'isrg', 'ctas', 'ew', 'idxx', 'bsx', 'cbre', 'tjx']",Thu Jul 12 00:57:48 +0000 2018,TradingMVPs,EW,Edwards Lifesciences Corporation,,False,5.567499999999999
2780,1017271024407244800,"['zacks', 'analysts', 'anticipate', 'edwards', 'lifesciences', 'corp', 'ew', 'will', 'announce', 'quarterly', 'sales', 'of', 'million', 'httpstcocfnmhpigz']",Thu Jul 12 04:54:46 +0000 2018,ConsumerFeed,EW,Edwards Lifesciences Corporation,http://zpr.io/6aSrt,False,5.426
2842,1017299417932746800,"['edwards', 'lifesciences', 'ew', 'price', 'target', 'raised', 'to', 'at', 'bmo', 'capital', 'markets', 'httpstcoetmeqhjdu']",Thu Jul 12 06:47:36 +0000 2018,ZolmaxNews,EW,Edwards Lifesciences Corporation,http://zolmax.com/?p=2376615,False,5.36
3696,1017466109925216300,"['ew', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcooyltnlyudf', 'httpstcodifmnndxzn']",Thu Jul 12 17:49:58 +0000 2018,optioncharts,EW,Edwards Lifesciences Corporation,http://maximum-pain.com/options/max-pain/EW,False,4.62
4114,1017540455163101200,"['ew', 'edwards', 'lifesciences', 'corporation', 'sec', 'filing', 'form', 'httpstcocjxsqdyfh']",Thu Jul 12 22:45:24 +0000 2018,StockTexts,EW,Edwards Lifesciences Corporation,http://www.sec.gov/Archives/edgar/data/1099800/000122520818011636/xslF345X03/doc4.xml,False,4.996666666666667
4160,1017550896362917900,"['ew', 'edwards', 'lifesciences', 'corporation', 'sec', 'filing', 'form', 'httpstcodmcckklqak']",Thu Jul 12 23:26:53 +0000 2018,StockTexts,EW,Edwards Lifesciences Corporation,http://www.sec.gov/Archives/edgar/data/1099800/000122520818011637/xslF345X03/doc4.xml,False,4.996666666666667
4187,1017554980675444700,"['ew', 'new', 'insider', 'filing', 'on', 'cvp', 'cfo', 'scott', 'b', 'ullem', 'httpstcoxpmcx']",Thu Jul 12 23:43:07 +0000 2018,InsiderAlertsIA,EW,Edwards Lifesciences Corporation,http://insideri.com/1446989_000122520818011636_0001225208-18-011636,False,5.276666666666666
4194,1017558930103439400,"['insider', 'alert', 'cvpstrategycorp', 'development', 'bobo', 'donald', 'e', 'jr', 'of', 'ew', 'bought', 'shares']",Thu Jul 12 23:58:48 +0000 2018,ExecPicks,EW,Edwards Lifesciences Corporation,,False,5.515555555555554
4361,1017604533722210300,"['ew', 'new', 'insider', 'selling', 'shares', 'httpstcosnpqjsorro']",Fri Jul 13 03:00:01 +0000 2018,insiderbuyings,EW,Edwards Lifesciences Corporation,http://insiderbuyingselling.com/?t=EW,False,5.925000000000001
4387,1017613978216697900,"['ew', 'new', 'insider', 'filing', 'on', 'wood', 'larry', 'l', 'transaction', 'code', 'f', 'httpstcoouvrbocc']",Fri Jul 13 03:37:33 +0000 2018,filing_scanner,EW,Edwards Lifesciences Corporation,http://www.filingscanner.com/Alerts/EW.php,False,5.3759999999999994
