,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
18336,1019478384638943200,"['rt', 'hmny', 'see', 'track', 'record', 'amp', 'subscribe', 'httpstcocfkrcufkp', 'httpstcothmngmbgzg', 'xrf', 'link', 'andr', 'httpstcojrgyhuwexm']",Wed Jul 18 07:06:02 +0000 2018,MeyersCohen,EXC,Exelon Corporation,http://tinyurl.com/o64sfva,False,5.513333333333333
18354,1019478799845449700,"['rt', 'takuetsuayabe', 'exc', 'exc', 'excaliburcoin', 'japancoi']",Wed Jul 18 07:07:41 +0000 2018,yazawanicoin,EXC,Exelon Corporation,,False,4.88
18369,1019479648386707500,"['rt', 'takuetsuayabe', 'exc', 'exc', 'excaliburcoin', 'japancoi']",Wed Jul 18 07:11:03 +0000 2018,milkyXqueen,EXC,Exelon Corporation,,False,4.88
18391,1019480532428587000,"['rt', 'takuetsucc', 'exc', 'zip', 'xrp', 'hydro', 'mame']",Wed Jul 18 07:14:34 +0000 2018,CoinDelisted,EXC,Exelon Corporation,,False,4.88
18490,1019486302922682400,"['rt', 'takuetsuayabe', 'exc', 'exc', 'excaliburcoin', 'japancoi']",Wed Jul 18 07:37:30 +0000 2018,putchers,EXC,Exelon Corporation,,False,4.88
18784,1019510332232904700,"['rt', 'excaliburcoin', 'amp', 'amp']",Wed Jul 18 09:12:59 +0000 2018,putchers,EXC,Exelon Corporation,,False,5.253333333333334
18819,1019512762588848100,"['rt', 'excaliburcoin', 'amp', 'amp']",Wed Jul 18 09:22:38 +0000 2018,zT2PA9,EXC,Exelon Corporation,,False,5.253333333333334
18860,1019514902031958000,"['rt', 'takuetsuayabe', 'exc', 'exc', 'excaliburcoin', 'japancoi']",Wed Jul 18 09:31:08 +0000 2018,rinrin_star5,EXC,Exelon Corporation,,False,4.88
18895,1019516515538702300,"['rt', 'takuetsuayabe', 'exc', 'exc', 'excaliburcoin', 'japancoi']",Wed Jul 18 09:37:33 +0000 2018,kottonchan,EXC,Exelon Corporation,,False,4.88
18962,1019523325654159400,"['rt', 'cryptomaestro', 'watchlist', 'binance', 'iotx', 'mft', 'kucoin', 'olt', 'man', 'dbc', 'trac', 'dag', 'bitfinex', 'zcn', 'fsn', 'idex', 'exc', 'ss', 'others', 'sem']",Wed Jul 18 10:04:37 +0000 2018,aakashbit,EXC,Exelon Corporation,,False,5.032000000000001
18980,1019523925829533700,"['mame', 'kndc', 'exc']",Wed Jul 18 10:07:00 +0000 2018,money43net,EXC,Exelon Corporation,,False,0.0
