,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
94,1016187350890606600,"['swing', 'trading', 'watchlist', 'this', 'week', 'chart', 'candleglance', 'ipgp', 'vrns', 'anet', 'mdb', 'tif', 'olli', 'expd', 'ea', 'kmg', 'hd', 'httpstcoynujqsj']",Mon Jul 09 05:08:38 +0000 2018,amoghp88,EXPD,Expeditors International of Washington,https://twitter.com/i/web/status/1016187350890606592,False,5.61
115,1016211565484363800,"['ch', 'robinson', 'worldwide', 'chrw', 'versus', 'expeditors', 'international', 'of', 'washington', 'expd', 'headtohead', 'analysis', 'httpstcoyflkrxo']",Mon Jul 09 06:44:52 +0000 2018,dailypoliticaln,EXPD,Expeditors International of Washington,http://www.dailypolitical.com/?p=2190049,False,5.629999999999999
116,1016211735454339100,"['critical', 'survey', 'ch', 'robinson', 'worldwide', 'chrw', 'and', 'expeditors', 'international', 'of', 'washington', 'expd', 'httpstcopnmjwmrdy']",Mon Jul 09 06:45:32 +0000 2018,TickerReport,EXPD,Expeditors International of Washington,http://tickerreport.com/?p=3623713,False,5.451111111111111
139,1016229600211488800,"['comparing', 'ch', 'robinson', 'worldwide', 'chrw', 'amp', 'expeditors', 'international', 'of', 'washington', 'expd', 'httpstcoxullcyske']",Mon Jul 09 07:56:31 +0000 2018,ledgerzette,EXPD,Expeditors International of Washington,http://ledgergazette.com/?p=2814592,False,5.697142857142857
183,1016265754310791200,"['were', 'analysts', 'bearish', 'expeditors', 'international', 'of', 'washington', 'inc', 'expd', 'this', 'week', 'httpstcoqvmqhkfk']",Mon Jul 09 10:20:11 +0000 2018,whatsonthorold2,EXPD,Expeditors International of Washington,https://www.whatsonthorold.com/2018/07/09/were-analysts-bearish-expeditors-international-of-washington-inc-nasdaqexpd-this-week/,False,5.2825
185,1016266479879229400,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'expeditors', 'international', 'of', 'washington', 'inc', 'expd', 'httpstcohfojfxfbkx']",Mon Jul 09 10:23:04 +0000 2018,reurope_stock,EXPD,Expeditors International of Washington,https://reurope.com/2018/07/09/can-analysts-adopt-a-bullish-outlook-for-expeditors-international-of-washington-inc-nasdaqexpd/,False,5.562
186,1016267105740705800,"['discussion', 'stirs', 'around', 'expeditors', 'international', 'of', 'washington', 'inc', 'expd', 'this', 'week', 'here', 'is', 'what', 'analysts', 'are', 'say', 'httpstcohbbygkysz']",Mon Jul 09 10:25:33 +0000 2018,bibeypost_stock,EXPD,Expeditors International of Washington,https://twitter.com/i/web/status/1016267105740705793,False,5.34857142857143
334,1016323814559486000,"['rt', 'samuelgarciab', 'sampp', 'companies', 'with', 'the', 'most', 'revenue', 'exposure', 'to', 'china', 'of', 'total', 'revenue', 'swks', 'wynn', 'qcon', 'qrvo', 'avgo', 'mu', 'txn', 'a']",Mon Jul 09 14:10:54 +0000 2018,LiveMarketChat,EXPD,Expeditors International of Washington,,False,5.485714285714286
528,1016396003329519600,"['rt', 'samuelgarciab', 'sampp', 'companies', 'with', 'the', 'most', 'revenue', 'exposure', 'to', 'china', 'of', 'total', 'revenue', 'swks', 'wynn', 'qcon', 'qrvo', 'avgo', 'mu', 'txn', 'a']",Mon Jul 09 18:57:45 +0000 2018,YuZhu4,EXPD,Expeditors International of Washington,,False,5.485714285714286
629,1016437156271796200,"['scan', 'results', 'stochastic', 'buy', 'signal', 'today', 'huya', 'cma', 'key', 'mcrn', 'expd', 'adp', 'rxn', 'epzm', 'cme', 'etfc', 'httpstcouyatvqubcs']",Mon Jul 09 21:41:17 +0000 2018,SwingTradeBot,EXPD,Expeditors International of Washington,https://swingtradebot.com/events/24/equities?selected_date=2018-07-09,False,5.932
