,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
164,1016249613181841400,"['wondering', 'about', 'risks', 'of', 'fbhs', 'the', 'day', 'volatility', 'is', 'httpstcotfmffev']",Mon Jul 09 09:16:03 +0000 2018,1MinuteStock,FBHS,Fortune Brands Home & Security,https://unicornbay.com/t/FBHS.US?utm_medium=tweet&utm_campaign=volatility&utm_source=twitter,False,5.185714285714285
165,1016250115839758300,"['do', 'you', 'know', 'that', 'book', 'value', 'for', 'fbhs', 'is', 'httpstcodvhdxpn']",Mon Jul 09 09:18:03 +0000 2018,1MinuteStock,FBHS,Fortune Brands Home & Security,https://unicornbay.com/t/FBHS.US?utm_medium=tweet&utm_campaign=bookvalue&utm_source=twitter,False,5.88
175,1016260432762302500,"['we', 'calculated', 'day', 'expected', 'return', 'of', 'fbhs', 'for', 'you', 'httpstcoydfhrbqnj']",Mon Jul 09 09:59:03 +0000 2018,1MinuteStock,FBHS,Fortune Brands Home & Security,https://unicornbay.com/t/FBHS.US?utm_medium=tweet&utm_campaign=expreturn&utm_source=twitter,False,5.6725
201,1016275972625055700,"['popular', 'opk', 'amd', 'adbe', 'iots', 'feye', 'xlu', 'fxa', 'mmm', 'omer', 'fbhs', 'tcbk', 'avy', 'sncr', 'mdrx', 'pfpt', 'prgo', 'web', 'ecpg', 'amph']",Mon Jul 09 11:00:48 +0000 2018,LargeVoidBot,FBHS,Fortune Brands Home & Security,,False,6.046666666666667
390,1016343623938531300,"['were', 'analysts', 'bullish', 'fortune', 'brands', 'home', 'amp', 'security', 'inc', 'fbhs', 'this', 'week', 'httpstcoscogrjs']",Mon Jul 09 15:29:37 +0000 2018,whatsonthorold2,FBHS,Fortune Brands Home & Security,https://www.whatsonthorold.com/2018/07/09/were-analysts-bullish-fortune-brands-home-security-inc-nysefbhs-this-week/,False,5.646
397,1016344082334044200,"['were', 'analysts', 'bullish', 'fortune', 'brands', 'home', 'amp', 'security', 'inc', 'fbhs', 'this', 'week', 'httpstcoejzkkjj']",Mon Jul 09 15:31:26 +0000 2018,reurope_stock,FBHS,Fortune Brands Home & Security,https://reurope.com/2018/07/09/were-analysts-bullish-fortune-brands-home-security-inc-nysefbhs-this-week/,False,5.646
399,1016344309396918300,"['is', 'there', 'a', 'bearish', 'outlook', 'for', 'fortune', 'brands', 'home', 'amp', 'security', 'inc', 'fbhs', 'this', 'week', 'httpstcobdwqwncpb']",Mon Jul 09 15:32:20 +0000 2018,bibeypost_stock,FBHS,Fortune Brands Home & Security,https://www.bibeypost.com/is-there-a-bearish-outlook-for-fortune-brands-home-security-inc-nysefbhs-this-week/,False,5.63076923076923
1154,1016695054931406800,"['trend', 'reversal', 'up', 'alert', 'fbhs', 'fortune', 'brands', 'home', 'tradeideas', 'via', 'httpstcovsrobzxj', 'to', 'free', 'trading', 'room']",Tue Jul 10 14:46:05 +0000 2018,AlertTrade,FBHS,Fortune Brands Home & Security,http://AlertTrade.us,False,6.11090909090909
1155,1016695058760962000,"['rt', 'alerttrade', 'trend', 'reversal', 'up', 'alert', 'fbhs', 'fortune', 'brands', 'home', 'tradeideas', 'via', 'httpstcovsrobzxj', 'to', 'free', 'trading', 'room']",Tue Jul 10 14:46:05 +0000 2018,tradnews_,FBHS,Fortune Brands Home & Security,http://AlertTrade.us,False,6.008333333333333
1926,1017017307325923300,"['eps', 'for', 'fortune', 'brands', 'home', 'amp', 'security', 'inc', 'fbhs', 'expected', 'at', 'httpstconelrocd']",Wed Jul 11 12:06:35 +0000 2018,whatsonthorold2,FBHS,Fortune Brands Home & Security,https://www.whatsonthorold.com/2018/07/11/eps-for-fortune-brands-home-security-inc-fbhs-expected-at-1-04/,False,5.811111111111112
