,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
13880,1019210336895979500,"['fedex', 'fdx', 'downgraded', 'to', 'neutral', 'at', 'ubs', 'group', 'httpstconrrjfxth']",Tue Jul 17 13:20:54 +0000 2018,dispatchtribune,FDX,FedEx Corporation,http://dispatchtribunal.com/?p=2059077,False,5.220000000000001
13888,1019210631075905500,"['aottrades', 'im', 'going', 'to', 'look', 'for', 'a', 'reentry', 'on', 'fdx', 'today', 'if', 'it', 'can', 'get', 'close', 'to', 'again', 'gapping', 'down', 'slightly', 'pass', 'yesterdays', 'low', 'now']",Tue Jul 17 13:22:05 +0000 2018,87AlwaysRed,FDX,FedEx Corporation,,False,5.183999999999999
14215,1019225705349955600,"['aottrades', 'does', 'anyone', 'know', 'if', 'amzn', 'puts', 'out', 'numbers', 'on', 'their', 'amazon', 'prime', 'day', 'sort', 'of', 'like', 'baba', 'does', 'i', 'want', 'to', 'httpstcolnghvbnuq']",Tue Jul 17 14:21:59 +0000 2018,87AlwaysRed,FDX,FedEx Corporation,https://twitter.com/i/web/status/1019225705349955587,False,5.591578947368421
15264,1019283104685482000,"['aottrades', 'waited', 'all', 'day', 'on', 'fdx', 're', 'entered', 'at', 'half', 'size', 'stop', 'target', 'lets', 'go']",Tue Jul 17 18:10:04 +0000 2018,87AlwaysRed,FDX,FedEx Corporation,,False,5.227692307692307
15584,1019299994963071000,"['aottrades', 'my', 'fdx', 'intraday', 'entry', 'though', 'httpstcomrnofaj']",Tue Jul 17 19:17:11 +0000 2018,87AlwaysRed,FDX,FedEx Corporation,,False,5.56
15743,1019307107093340200,"['aottrades', 'fdx', 'hod', 'all', 'about', 'the', 'close', 'baby']",Tue Jul 17 19:45:26 +0000 2018,87AlwaysRed,FDX,FedEx Corporation,,False,5.716
15967,1019317094683377700,"['having', 'a', 'trusted', 'team', 'on', 'your', 'side', 'will', 'make', 'all', 'the', 'difference', 'when', 'investing', 'have', 'you', 'tried', 'optionalarm', 'yet', 'fre', 'httpstcojzvtlzyim']",Tue Jul 17 20:25:08 +0000 2018,OptionAlarm,FDX,FedEx Corporation,https://twitter.com/i/web/status/1019317094683377670,False,5.656666666666667
16657,1019350707676287000,"['fdx', 'coiled']",Tue Jul 17 22:38:41 +0000 2018,WizDayTrader,FDX,FedEx Corporation,,False,0.0
17575,1019416286936301600,"['detailchange', 'h', 'buzz', 'opt', 'arct', 'fdx', 'xhi', 'cryptocurrency']",Wed Jul 18 02:59:17 +0000 2018,crptcur_long,FDX,FedEx Corporation,,False,5.21
17604,1019419757949476900,"['top', 'coins', 'of', 'last', 'one', 'hour', 'motocoin', 'moto', 'fidentiax', 'fdx', 'buzzcoin', 'buzz', 'httpstcopntjjxxfg']",Wed Jul 18 03:13:04 +0000 2018,CoinAnalytix,FDX,FedEx Corporation,https://twitter.com/i/web/status/1019419757949476865,False,5.296666666666667
17615,1019420641991069700,"['percent', 'changeh', 'descending', 'order', 'moto', 'fdx', 'buzz', 'opt', 'ett', 'arct', 'httpstcoxluqtbkvd']",Wed Jul 18 03:16:35 +0000 2018,GrassHopperCoin,FDX,FedEx Corporation,https://twitter.com/i/web/status/1019420641991069696,False,5.3933333333333335
17648,1019423630621540400,"['overview', 'changeh', 'moto', 'fdx', 'buzz', 'changeh', 'jiyo', 'tell', 'bun', 'httpstcoarxefyuw']",Wed Jul 18 03:28:28 +0000 2018,crptcur_long,FDX,FedEx Corporation,https://twitter.com/i/web/status/1019423630621540352,False,5.574999999999999
17663,1019424442634702800,"['fdx', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcojivdxfggf']",Wed Jul 18 03:31:41 +0000 2018,optioncharts,FDX,FedEx Corporation,https://twitter.com/i/web/status/1019424442634702848,False,5.9975000000000005
17664,1019424459613143000,"['detailchange', 'h', 'moto', 'fdx', 'buzz', 'xbts', 'pcl', 'cryptocurrency']",Wed Jul 18 03:31:45 +0000 2018,crptcur_long,FDX,FedEx Corporation,,False,5.21
17743,1019431082117226500,"['detailchange', 'h', 'xbts', 'moto', 'cld', 'brat', 'fdx', 'cryptocurrency']",Wed Jul 18 03:58:04 +0000 2018,crptcur_long,FDX,FedEx Corporation,,False,4.21
18586,1019494199857737700,"['dax', 'fdx', 'into', 'gap', 'be', 'aware', 'of', 'some', 'setback', 'as', 'unfilled', 'orders', 'gets', 'filled', 'reason', 'for', 'a', 'flow', 'change', 'and', 'a', 'turn', 'httpstcoprgqqhxt']",Wed Jul 18 08:08:53 +0000 2018,GregaHorvatFX,FDX,FedEx Corporation,https://twitter.com/i/web/status/1019494199857737728,False,5.27
18594,1019495424007245800,"['rt', 'gregahorvatfx', 'dax', 'fdx', 'into', 'gap', 'be', 'aware', 'of', 'some', 'setback', 'as', 'unfilled', 'orders', 'gets', 'filled', 'reason', 'for', 'a', 'flow', 'change', 'and', 'a', 'turn', 'mino']",Wed Jul 18 08:13:45 +0000 2018,JoseRicaurteJ,FDX,FedEx Corporation,,False,5.249473684210526
