,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3680,1017463683256127500,"['fe', 'firstenergy', 'corp', 'press', 'release', 'firstenergys', 'energizing', 'the', 'future', 'initiative', 'driving', 'enhanced', 'service', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Thu Jul 12 17:40:20 +0000 2018,Allstocknews,FE,FirstEnergy Corp.,,False,5.692857142857142
3810,1017484859311345700,"['thompson', 'siegel', 'amp', 'walmsley', 'llc', 'lowered', 'its', 'stake', 'in', 'firstenergy', 'corp', 'fe', 'as', 'market', 'value', 'rose', 'httpstcortkiguanas']",Thu Jul 12 19:04:29 +0000 2018,whatsonthorold2,FE,FirstEnergy Corp.,https://www.whatsonthorold.com/2018/07/12/thompson-siegel-walmsley-llc-lowered-its-stake-in-firstenergy-corp-fe-as-market-value-rose/,False,5.498333333333334
3814,1017485603582238700,"['firstenergy', 'corp', 'fe', 'stock', 'value', 'rose', 'while', 'thompson', 'siegel', 'amp', 'walmsley', 'llc', 'lowered', 'its', 'position', 'by', 'million', 'httpstcomcvggsuv']",Thu Jul 12 19:07:26 +0000 2018,reurope_stock,FE,FirstEnergy Corp.,https://reurope.com/2018/07/12/firstenergy-corp-fe-stock-value-rose-while-thompson-siegel-walmsley-llc-lowered-its-position-by-11-29-million/,False,5.623076923076923
3815,1017485674713362400,"['as', 'firstenergy', 'corp', 'fe', 'share', 'price', 'rose', 'thompson', 'siegel', 'amp', 'walmsley', 'llc', 'cut', 'holding', 'by', 'million', 'httpstcofulhupl']",Thu Jul 12 19:07:43 +0000 2018,bibeypost_stock,FE,FirstEnergy Corp.,https://www.bibeypost.com/as-firstenergy-corp-fe-share-price-rose-thompson-siegel-walmsley-llc-cut-holding-by-11-29-million/,False,5.466153846153846
3997,1017513534660513800,"['fe', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcopivvsktxu', 'httpstcoolikwhb']",Thu Jul 12 20:58:25 +0000 2018,optioncharts,FE,FirstEnergy Corp.,http://maximum-pain.com/options/max-pain/FE,False,4.8999999999999995
5085,1017789501815574500,"['fe', 'firstenergy', 'corp', 'press', 'release', 'jersey', 'central', 'power', 'amp', 'light', 'announces', 'program', 'to', 'enhance', 'reliability', 'fo', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Fri Jul 13 15:15:01 +0000 2018,Allstocknews,FE,FirstEnergy Corp.,,False,5.532222222222222
5142,1017799317661323300,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'so', 'is', 'httpstcogcilddqct', 'aep', 'fe', 'ee', 'etr']",Fri Jul 13 15:54:01 +0000 2018,shortvolumes,FE,FirstEnergy Corp.,http://shortvolumes.com/?t=SO,False,5.194
5674,1017933378660765700,"['fe', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcovyoyum', 'httpstcojiwnpwlcif']",Sat Jul 14 00:46:44 +0000 2018,optioncharts,FE,FirstEnergy Corp.,http://maximum-pain.com/options/open-interest/FE,False,5.8822222222222225
6629,1018258619823984600,"['head', 'to', 'head', 'survey', 'firstenergy', 'fe', 'and', 'idacorp', 'ida', 'httpstcovsnumvjlq']",Sat Jul 14 22:19:07 +0000 2018,dispatchtribune,FE,FirstEnergy Corp.,http://dispatchtribunal.com/?p=2051918,False,5.543333333333334
6630,1018258712404922400,"['comparing', 'firstenergy', 'fe', 'and', 'idacorp', 'ida', 'httpstcobmvxuvyvs']",Sat Jul 14 22:19:30 +0000 2018,TheMarketsDaily,FE,FirstEnergy Corp.,http://zpr.io/6NDZp,False,5.09
