,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3606,1017454053180178400,"['fireeye', 'inc', 'feye', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcobekqgyddi']",Thu Jul 12 17:02:04 +0000 2018,WeekHerald,FEYE,FireEye,http://weekherald.com/?p=2986274,False,5.6425
3608,1017454136965697500,"['earnings', 'per', 'share', 'expected', 'for', 'fireeye', 'inc', 'feye', 'this', 'quarter', 'httpstcobtzdlkbof']",Thu Jul 12 17:02:24 +0000 2018,OlympiaReport,FEYE,FireEye,http://theolympiareport.com/?p=920494,False,5.697500000000001
3636,1017457616933572600,"['feye', 'grinding', 'churning', 'higher', 'but', 'needs', 'to', 'speed', 'up', 'for', 'these', 'to', 'be', 'worth', 'a', 'damn', 'tomorrow', 'httpstcodpyomhuj']",Thu Jul 12 17:16:13 +0000 2018,HadjPadjj,FEYE,FireEye,https://twitter.com/hadjpadjj/status/1017131250249883648,False,5.371428571428573
3638,1017457831090499600,"['protected', 'swing', 'trading', 'report', 'thurs', 'july', 'part', 'a', 'aapl', 'amd', 'wmt', 'ltbr', 'rcl', 'jks', 'pcrx', 'ewz', 'feyemor', 'httpstcoxhluxtogc']",Thu Jul 12 17:17:05 +0000 2018,CompoundTrading,FEYE,FireEye,https://twitter.com/i/web/status/1017457831090499584,False,5.687500000000001
3649,1017458988424802300,"['protected', 'swing', 'trading', 'report', 'thurs', 'july', 'part', 'a', 'aapl', 'amd', 'wmt', 'ltbr', 'rcl', 'jks', 'pcrx', 'ewz', 'feye', 'mor', 'httpstcopypyrn']",Thu Jul 12 17:21:40 +0000 2018,swingtrading_ct,FEYE,FireEye,https://twitter.com/i/web/status/1017458988424802304,False,5.687500000000001
3760,1017475089221214200,"['jimcramer', 'are', 'you', 'seeing', 'the', 'formation', 'of', 'a', 'reverse', 'head', 'and', 'shoulders', 'pattern', 'in', 'the', 'mo', 'feye', 'chart']",Thu Jul 12 18:25:39 +0000 2018,rjaredp,FEYE,FireEye,,False,5.4175
3789,1017479983567077400,"['short', 'sellers', 'run', 'for', 'cover', 'from', 'cybersecurity', 'stocks', 'feye', 'cybr', 'ftnt', 'panw', 'chkp', 'httpstcowjyaprruo']",Thu Jul 12 18:45:06 +0000 2018,247WallSt,FEYE,FireEye,http://ow.ly/kFov30kVcxJ,False,5.17
3790,1017480232612216800,"['rt', 'wallst', 'short', 'sellers', 'run', 'for', 'cover', 'from', 'cybersecurity', 'stocks', 'feye', 'cybr', 'ftnt', 'panw', 'chkp', 'httpstcowjyaprruo']",Thu Jul 12 18:46:05 +0000 2018,PennyStocksMomo,FEYE,FireEye,http://ow.ly/kFov30kVcxJ,False,5.128571428571428
3799,1017482485230440400,"['feye', 'steady', 'creeping', 'up', 'today', 'still', 'in', 'sepc', 'reports', 'aug', 'see', 'if', 'it', 'gets', 'a', 'squeeze', 'before', 's']",Thu Jul 12 18:55:03 +0000 2018,jasonerwin_je,FEYE,FireEye,,False,5.35375
3809,1017484753421905900,"['nhod', 'and', 'closer', 'to', 'itm', 'feye', 'httpstcodpyomhuj']",Thu Jul 12 19:04:03 +0000 2018,HadjPadjj,FEYE,FireEye,https://twitter.com/hadjpadjj/status/1017131250249883648,False,5.34
3828,1017488268831666200,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'eufn', 'on', 'is', 'httpstcodqlqjpbdpx', 'mt', 'oxy', 'vnq', 'feye']",Thu Jul 12 19:18:01 +0000 2018,shortvolumes,FEYE,FireEye,http://shortvolumes.com/?t=EUFN,False,5.264
3835,1017489029674045400,"['wondering', 'about', 'sentiment', 'indicator', 'for', 'feye', 'the', 'short', 'ratio', 'is', 'httpstcohepsxb']",Thu Jul 12 19:21:03 +0000 2018,1MinuteStock,FEYE,FireEye,https://unicornbay.com/t/FEYE.US?utm_medium=tweet&utm_campaign=shortratio&utm_source=twitter,False,5.27875
3842,1017491324772257800,"['recent', 'feye', 'technical', 'alerts', 'nonadx', 'bearish', 'plus', 'more', 'alerts', 'httpstcoqjaypoczh']",Thu Jul 12 19:30:10 +0000 2018,SwingTradeBot,FEYE,FireEye,https://swingtradebot.com/equities/FEYE,False,5.984999999999999
3893,1017498831666270200,"['if', 'you', 'cant', 'measure', 'your', 'tradinginvesting', 'performance', 'then', 'its', 'not', 'a', 'business', 'amine', 'bel', 'jpm', 'isrg', 'tmus', 'feye', 'httpstcoxmjzimvne']",Thu Jul 12 20:00:00 +0000 2018,traderead,FEYE,FireEye,https://twitter.com/i/web/status/1017498831666270208,False,5.216363636363638
4007,1017514698156040200,"['wondering', 'about', 'risks', 'of', 'feye', 'the', 'day', 'volatility', 'is', 'httpstcoflahamy']",Thu Jul 12 21:03:03 +0000 2018,1MinuteStock,FEYE,FireEye,https://unicornbay.com/t/FEYE.US?utm_medium=tweet&utm_campaign=volatility&utm_source=twitter,False,5.185714285714285
