,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
27,1016082850326642700,"['the', 'robot', 'homie', 'rd', 'told', 'me', 'to', 'buy', 'sell', 'and', 'hold', 'fidelity', 'national', 'information', 'services', 'fis', 'bullmarket']",Sun Jul 08 22:13:24 +0000 2018,StockTipRobot,FIS,Fidelity National Information Services,,False,5.608571428571429
81,1016153473849716700,"['short', 'sale', 'volumenot', 'short', 'interest', 'for', 'wu', 'on', 'is', 'httpstcomnbezrlba', 'fis', 'ma', 'mgi', 'wex']",Mon Jul 09 02:54:02 +0000 2018,shortvolumes,FIS,Fidelity National Information Services,http://shortvolumes.com/?t=WU,False,5.4875
318,1016319390885863400,"['fidelity', 'national', 'information', 'servcs', 'inc', 'the', 'stock', 'is', 'testing', 'its', 'highs', 'fis', 'httpstcouswyuped', 'httpstcouslyatzn']",Mon Jul 09 13:53:19 +0000 2018,MScreener,FIS,Fidelity National Information Services,http://www.4-traders.com//FIDELITY-NATIONAL-INFORMA-12027/,False,5.3725000000000005
401,1016344584346128400,"['just', 'made', 'k', 'trading', 'options', 'today', 'makingmoney', 'thanks', 'to', 'the', 'option', 'trades', 'from', 'httpstcolfljcxab', 'hele', 'httpstcoldljdz']",Mon Jul 09 15:33:26 +0000 2018,WillSBritton1,FIS,Fidelity National Information Services,http://Optionsbypros.com,False,5.805454545454545
998,1016655821269323800,"['reviewing', 'fidelity', 'national', 'information', 'servcs', 'fis', 'amp', 'cass', 'information', 'systems', 'cass', 'httpstcozmiwugg']",Tue Jul 10 12:10:10 +0000 2018,dakotafinancial,FIS,Fidelity National Information Services,http://dakotafinancialnews.com/?p=308597,False,5.92
1008,1016659371458252800,"['zacks', 'brokerages', 'anticipate', 'fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcopcmsfkijyv']",Tue Jul 10 12:24:17 +0000 2018,TickerReport,FIS,Fidelity National Information Services,http://tickerreport.com/?p=3626432,False,5.877777777777777
1011,1016659454073417700,"['zacks', 'brokerages', 'anticipate', 'fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'to', 'post', 'earnings', 'per', 'share', 'httpstcovqpcwvun']",Tue Jul 10 12:24:37 +0000 2018,WatchlistN,FIS,Fidelity National Information Services,http://zpr.io/6TrJT,False,5.865
1488,1016782572255367200,"['largest', 'notional', 'buy', 'on', 'close', 'order', 'imbalances', 'twtr', 'ggp', 'baba', 'amt', 'kkr', 'pcg', 'bfb', 'cms', 'dfs', 'fis', 'httpstcovaciyvfa']",Tue Jul 10 20:33:50 +0000 2018,MarketChmln,FIS,Fidelity National Information Services,https://marketchameleon.com/Reports/StockOrderImbalanceReport/,False,5.668
1495,1016784885435064300,"['twtr', 'ggp', 'baba', 'amt', 'kkr', 'pcg', 'bfb', 'cms', 'dfs', 'fis', 'cag', 'jnpr', 'dxc', 'aph', 'fcx', 'pru', 'paa', 'dvn', 'bby', 'cci', 'vips', 'large', 'httpstcotmkqlwenr']",Tue Jul 10 20:43:02 +0000 2018,teresaarthur66,FIS,Fidelity National Information Services,https://twitter.com/i/web/status/1016784885435064320,False,6.06
1659,1016856820219072500,"['fis', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoilracxwxmk', 'httpstcoqrxwwdi']",Wed Jul 11 01:28:52 +0000 2018,optioncharts,FIS,Fidelity National Information Services,http://maximum-pain.com/options/max-pain/FIS,False,4.680000000000001
1711,1016904649780195300,"['brokerages', 'set', 'fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'target', 'price', 'at', 'httpstcoiostlpzth']",Wed Jul 11 04:38:56 +0000 2018,dakotafinancial,FIS,Fidelity National Information Services,http://dakotafinancialnews.com/?p=309756,False,5.428571428571428
1754,1016940283622314000,"['fidelitynationalinformationservices', 'fis', 'bidaskscore', 'is', 'lowered', 'to', 'bought']",Wed Jul 11 07:00:32 +0000 2018,BACScoreChanges,FIS,Fidelity National Information Services,,False,5.486666666666667
1929,1017018117279674400,"['fidelity', 'national', 'information', 'services', 'inc', 'fis', 'analysts', 'see', 'eps', 'httpstcoaknlezt']",Wed Jul 11 12:09:49 +0000 2018,whatsonthorold2,FIS,Fidelity National Information Services,https://www.whatsonthorold.com/2018/07/11/fidelity-national-information-services-inc-fis-analysts-see-1-20-eps-2/,False,5.683333333333334
1930,1017018190428328000,"['fidelity', 'national', 'information', 'services', 'inc', 'fis', 'analysts', 'see', 'eps', 'httpstcoubeenvgox']",Wed Jul 11 12:10:06 +0000 2018,mmahotstuff1,FIS,Fidelity National Information Services,https://www.mmahotstuff.com/2018/07/11/fidelity-national-information-services-inc-fis-analysts-see-1-20-eps.html,False,5.683333333333334
1931,1017018352286486500,"['analysts', 'see', 'eps', 'for', 'fidelity', 'national', 'information', 'services', 'inc', 'fis', 'httpstcokxqbkrctx']",Wed Jul 11 12:10:45 +0000 2018,reurope_stock,FIS,Fidelity National Information Services,https://reurope.com/2018/07/11/analysts-see-1-20-eps-for-fidelity-national-information-services-inc-fis/,False,5.617142857142857
2880,1017313578653798400,"['billion', 'in', 'sales', 'expected', 'for', 'fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'this', 'quarter', 'httpstcombyhommag']",Thu Jul 12 07:43:52 +0000 2018,dakotafinancial,FIS,Fidelity National Information Services,http://dakotafinancialnews.com/?p=312549,False,5.760000000000001
3260,1017403082160865300,"['fis', 'vystar', 'credit', 'union', 'powers', 'growth', 'with', 'modern', 'core', 'banking', 'system', 'from', 'fis', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Thu Jul 12 13:39:31 +0000 2018,Allstocknews,FIS,Fidelity National Information Services,,False,5.794666666666666
3634,1017457254189158400,"['cass', 'information', 'systems', 'cass', 'amp', 'fidelity', 'national', 'information', 'servcs', 'fis', 'headtohead', 'analysis', 'httpstcozsjiconh']",Thu Jul 12 17:14:47 +0000 2018,TheMarketsDaily,FIS,Fidelity National Information Services,http://zpr.io/6aJ8B,False,5.8999999999999995
5060,1017786579090268200,"['fis', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoilracxflya', 'httpstcohodhiql']",Fri Jul 13 15:03:24 +0000 2018,optioncharts,FIS,Fidelity National Information Services,http://maximum-pain.com/options/max-pain/FIS,False,4.888
5484,1017864701856944100,"['bessemer', 'group', 'inc', 'lowered', 'its', 'stake', 'in', 'fidelity', 'natl', 'info', 'svcs', 'fis', 'by', 'million', 'httpstcozcoagwua']",Fri Jul 13 20:13:50 +0000 2018,whatsonthorold2,FIS,Fidelity National Information Services,https://www.whatsonthorold.com/2018/07/13/bessemer-group-inc-lowered-its-stake-in-fidelity-natl-info-svcs-fis-by-87-12-million/,False,5.570000000000001
5488,1017865066618769400,"['as', 'fidelity', 'natl', 'info', 'svcs', 'fis', 'stock', 'value', 'rose', 'bessemer', 'group', 'inc', 'trimmed', 'its', 'stake', 'by', 'million', 'httpstcoosjsucqg']",Fri Jul 13 20:15:17 +0000 2018,reurope_stock,FIS,Fidelity National Information Services,https://reurope.com/2018/07/13/as-fidelity-natl-info-svcs-fis-stock-value-rose-bessemer-group-inc-trimmed-its-stake-by-87-12-million/,False,5.796363636363638
7715,1018461788889931800,"['boothbay', 'fund', 'management', 'llc', 'has', 'decreased', 'position', 'in', 'fidelity', 'natl', 'information', 'sv', 'fis', 'as', 'valuation', 'rose', 'httpstcocaxoyxox']",Sun Jul 15 11:46:27 +0000 2018,whatsonthorold2,FIS,Fidelity National Information Services,https://www.whatsonthorold.com/2018/07/15/boothbay-fund-management-llc-has-decreased-position-in-fidelity-natl-information-sv-fis-as-valuation-rose/,False,5.548888888888889
7719,1018462019534622700,"['fidelity', 'natl', 'information', 'sv', 'fis', 'market', 'valuation', 'rose', 'while', 'boothbay', 'fund', 'management', 'llc', 'lowered', 'position', 'httpstcoagdpwlp']",Sun Jul 15 11:47:22 +0000 2018,mmahotstuff1,FIS,Fidelity National Information Services,https://www.mmahotstuff.com/2018/07/15/fidelity-natl-information-sv-fis-market-valuation-rose-while-boothbay-fund-management-llc-lowered-position.html,False,5.9799999999999995
7720,1018462213718364200,"['boothbay', 'fund', 'management', 'llc', 'has', 'trimmed', 'its', 'fidelity', 'natl', 'information', 'sv', 'fis', 'position', 'as', 'valuation', 'rose', 'httpstcouswbdgufx']",Sun Jul 15 11:48:08 +0000 2018,reurope_stock,FIS,Fidelity National Information Services,https://reurope.com/2018/07/15/boothbay-fund-management-llc-has-trimmed-its-fidelity-natl-information-sv-fis-position-as-valuation-rose/,False,5.7275
7721,1018462334732390400,"['as', 'fidelity', 'natl', 'information', 'sv', 'fis', 'stock', 'rose', 'boothbay', 'fund', 'management', 'llc', 'has', 'lowered', 'by', 'million', 'its', 'hold', 'httpstcosucqeecf']",Sun Jul 15 11:48:37 +0000 2018,bibeypost_stock,FIS,Fidelity National Information Services,https://twitter.com/i/web/status/1018462334732390405,False,5.801818181818183
8573,1018591360121745400,"['fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcocpguazn']",Sun Jul 15 20:21:19 +0000 2018,ConsumerFeed,FIS,Fidelity National Information Services,http://zpr.io/6XNf6,False,5.76
8574,1018591365310111700,"['fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoobnkmcral']",Sun Jul 15 20:21:20 +0000 2018,ConsumerFeed,FIS,Fidelity National Information Services,http://zpr.io/6XNft,False,5.76
8575,1018591569996369900,"['billion', 'in', 'sales', 'expected', 'for', 'fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'this', 'quarter', 'httpstcownbtcf']",Sun Jul 15 20:22:09 +0000 2018,dailypoliticaln,FIS,Fidelity National Information Services,http://www.dailypolitical.com/?p=2204135,False,5.760000000000001
8576,1018591573783859200,"['billion', 'in', 'sales', 'expected', 'for', 'fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'this', 'quarter', 'httpstcosketetehtg']",Sun Jul 15 20:22:10 +0000 2018,dailypoliticaln,FIS,Fidelity National Information Services,http://www.dailypolitical.com/?p=2204134,False,5.760000000000001
8625,1018597154183635000,"['fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcotvqfpype']",Sun Jul 15 20:44:20 +0000 2018,dakotafinancial,FIS,Fidelity National Information Services,http://dakotafinancialnews.com/?p=319953,False,5.76
8666,1018608619351404500,"['fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcormkttop']",Sun Jul 15 21:29:54 +0000 2018,MareaInformativ,FIS,Fidelity National Information Services,http://www.mareainformativa.com/?p=452518,False,5.76
10539,1018892519604662300,"['short', 'sale', 'vol', 'not', 'short', 'interest', 'for', 'wu', 'on', 'is', 'httpstcomnbezrlba', 'ma', 'fis', 'mgi', 'wex']",Mon Jul 16 16:18:01 +0000 2018,shortvolumes,FIS,Fidelity National Information Services,http://shortvolumes.com/?t=WU,False,5.326
11478,1018959823940005900,"['fis', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoilracxwxmk', 'httpstcobszreolj']",Mon Jul 16 20:45:28 +0000 2018,optioncharts,FIS,Fidelity National Information Services,http://maximum-pain.com/options/max-pain/FIS,False,4.888
11501,1018961980575703000,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'ma', 'is', 'httpstcoymkwqxlai', 'vz', 'wu', 't', 'fis']",Mon Jul 16 20:54:02 +0000 2018,shortvolumes,FIS,Fidelity National Information Services,http://shortvolumes.com/?t=MA,False,5.281999999999999
13788,1019206125919588400,"['analysts', 'take', 'a', 'look', 'at', 'fidelity', 'national', 'information', 'services', 'inc', 'fis', 'having', 'this', 'to', 'say', 'httpstcogyogxfjlf']",Tue Jul 17 13:04:11 +0000 2018,whatsonthorold2,FIS,Fidelity National Information Services,https://www.whatsonthorold.com/2018/07/17/analysts-take-a-look-at-fidelity-national-information-services-inc-nysefis-having-this-to-say/,False,5.404615384615386
13794,1019206188259520500,"['discussion', 'stirs', 'around', 'fidelity', 'national', 'information', 'services', 'inc', 'fis', 'this', 'week', 'here', 'is', 'what', 'analysts', 'are', 'sayi', 'httpstcottsanqzt']",Tue Jul 17 13:04:25 +0000 2018,mmahotstuff1,FIS,Fidelity National Information Services,https://twitter.com/i/web/status/1019206188259520512,False,5.393846153846154
13799,1019206336544956400,"['are', 'analysts', 'bearish', 'fidelity', 'national', 'information', 'services', 'inc', 'fis', 'after', 'last', 'week', 'httpstcoquizkolm']",Tue Jul 17 13:05:01 +0000 2018,reurope_stock,FIS,Fidelity National Information Services,https://reurope.com/2018/07/17/are-analysts-bearish-fidelity-national-information-services-inc-nysefis-after-last-week/,False,5.233333333333333
13803,1019206425741062100,"['how', 'analysts', 'feel', 'about', 'fidelity', 'national', 'information', 'services', 'inc', 'fis', 'httpstcovvxylljfx']",Tue Jul 17 13:05:22 +0000 2018,bibeypost_stock,FIS,Fidelity National Information Services,https://www.bibeypost.com/how-analysts-feel-about-fidelity-national-information-services-inc-nysefis/,False,5.4725
13854,1019208969590640600,"['wolfe', 'research', 'starts', 'fidelity', 'national', 'information', 'services', 'fis', 'at', 'outperform', 'httpstcoltohcsmxzi']",Tue Jul 17 13:15:28 +0000 2018,AnalystWire,FIS,Fidelity National Information Services,http://streetinsider.com/r/14405708,False,5.94
14312,1019232817362948100,"['fidelity', 'national', 'information', 'servcs', 'fis', 'coverage', 'initiated', 'by', 'analysts', 'at', 'wolfe', 'research', 'httpstcolrbvpbb']",Tue Jul 17 14:50:14 +0000 2018,TickerReport,FIS,Fidelity National Information Services,http://tickerreport.com/?p=3641237,False,5.7075
14321,1019233019733925900,"['fidelity', 'national', 'information', 'servcs', 'fis', 'coverage', 'initiated', 'by', 'analysts', 'at', 'wolfe', 'research', 'httpstcozcnfnli']",Tue Jul 17 14:51:02 +0000 2018,WatchlistN,FIS,Fidelity National Information Services,http://zpr.io/6XSJ2,False,5.7075
16539,1019344028930801700,"['fidelity', 'national', 'information', 'services', 'inc', 'fis', 'analysts', 'see', 'eps', 'httpstcoeohrqeya']",Tue Jul 17 22:12:09 +0000 2018,whatsonthorold2,FIS,Fidelity National Information Services,https://www.whatsonthorold.com/2018/07/17/fidelity-national-information-services-inc-fis-analysts-see-1-20-eps-3/,False,5.683333333333334
16541,1019344080424316900,"['analysts', 'see', 'eps', 'for', 'fidelity', 'national', 'information', 'services', 'inc', 'fis', 'httpstcocbyfqdhpn']",Tue Jul 17 22:12:21 +0000 2018,mmahotstuff1,FIS,Fidelity National Information Services,https://www.mmahotstuff.com/2018/07/17/analysts-see-1-20-eps-for-fidelity-national-information-services-inc-fis.html,False,5.617142857142857
16544,1019344274545049600,"['analysts', 'see', 'eps', 'for', 'fidelity', 'national', 'information', 'services', 'inc', 'fis', 'httpstcouyjxgmsi']",Tue Jul 17 22:13:08 +0000 2018,reurope_stock,FIS,Fidelity National Information Services,https://reurope.com/2018/07/17/analysts-see-1-20-eps-for-fidelity-national-information-services-inc-fis-2/,False,5.617142857142857
16547,1019344353574125600,"['eps', 'for', 'fidelity', 'national', 'information', 'services', 'inc', 'fis', 'expected', 'at', 'httpstcofrjecsaxq']",Tue Jul 17 22:13:27 +0000 2018,bibeypost_stock,FIS,Fidelity National Information Services,https://www.bibeypost.com/eps-for-fidelity-national-information-services-inc-fis-expected-at-1-20-3/,False,5.554285714285713
17667,1019424874601828400,"['brokerages', 'expect', 'fidelity', 'national', 'information', 'servcs', 'inc', 'fis', 'will', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcojqtfryduk']",Wed Jul 18 03:33:24 +0000 2018,MareaInformativ,FIS,Fidelity National Information Services,http://www.mareainformativa.com/?p=465850,False,5.787999999999999
