,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3316,1017411256309780500,"['tech', 'action', 'by', 'sampp', 'stocks', 'to', 'bullish', 'breakouts', 'amzn', 'ctas', 'ca', 'ea', 'fisv', 'msft', 'tss', 'vrsn', 'atvi', 'bll', 'pypl', 'mnk', 'breakdownavgo']",Thu Jul 12 14:12:00 +0000 2018,EquityClock,FISV,Fiserv,,False,5.4366666666666665
3347,1017414035397009400,"['kennametal', 'kmt', 'holder', 'royal', 'bank', 'of', 'canada', 'has', 'raised', 'position', 'as', 'fiserv', 'fisv', 'stock', 'declined', 'kentucky', 'retiremen', 'httpstcohheejbsvy']",Thu Jul 12 14:23:03 +0000 2018,The_CasualSmart,FISV,Fiserv,https://twitter.com/i/web/status/1017414035397009409,False,5.476363636363636
3471,1017431996921008100,"['chesley', 'taft', 'amp', 'associates', 'lifted', 'its', 'fiserv', 'fisv', 'stake', 'by', 'million', 'as', 'facebook', 'fb', 'shares', 'declined', 'holder', 'httpstcobcqqskif']",Thu Jul 12 15:34:25 +0000 2018,The_CasualSmart,FISV,Fiserv,https://twitter.com/i/web/status/1017431996921008130,False,5.513333333333333
3640,1017457860530368500,"['reviewing', 'liberty', 'tripadvisor', 'holdings', 'inc', 'series', 'a', 'ltrpa', 'and', 'fiserv', 'fisv', 'httpstcopzrvyfaxf']",Thu Jul 12 17:17:12 +0000 2018,ledgerzette,FISV,Fiserv,http://ledgergazette.com/?p=2822332,False,5.566666666666666
3763,1017476091383083000,"['financial', 'engines', 'fngn', 'holding', 'upped', 'by', 'kayne', 'anderson', 'rudnick', 'investment', 'management', 'llc', 'as', 'fiserv', 'fisv', 'share', 'va', 'httpstcopoxdqxu']",Thu Jul 12 18:29:38 +0000 2018,The_CasualSmart,FISV,Fiserv,https://twitter.com/i/web/status/1017476091383083009,False,5.435555555555555
3796,1017481165131911200,"['fiserv', 'fisv', 'shareholder', 'court', 'place', 'advisors', 'has', 'upped', 'its', 'position', 'by', 'apollo', 'global', 'management', 'apo', 'sto', 'httpstcognxaxbgwd']",Thu Jul 12 18:49:48 +0000 2018,The_CasualSmart,FISV,Fiserv,https://twitter.com/i/web/status/1017481165131911168,False,5.135
3816,1017485895967092700,"['a', 'reversal', 'for', 'fiserv', 'inc', 'fisv', 'is', 'not', 'near', 'the', 'stock', 'reaches', 'all', 'time', 'high', 'today', 'httpstcoowmxdyxh']",Thu Jul 12 19:08:36 +0000 2018,whatsonthorold2,FISV,Fiserv,https://www.whatsonthorold.com/2018/07/12/a-reversal-for-fiserv-inc-fisv-is-not-near-the-stock-reaches-all-time-high-today/,False,5.498461538461537
3818,1017486506070544400,"['is', 'fiserv', 'inc', 'fisvs', 'fuel', 'running', 'low', 'the', 'stock', 'reaches', 'all', 'time', 'high', 'today', 'httpstcolwjxnmre']",Thu Jul 12 19:11:01 +0000 2018,reurope_stock,FISV,Fiserv,https://reurope.com/2018/07/12/is-fiserv-inc-fisvs-fuel-running-low-the-stock-reaches-all-time-high-today/,False,5.516666666666667
3819,1017486566917333000,"['how', 'analysts', 'feel', 'about', 'fiserv', 'inc', 'fisv', 'after', 'touching', 'record', 'high', 'httpstcoipltbligk']",Thu Jul 12 19:11:16 +0000 2018,bibeypost_stock,FISV,Fiserv,https://www.bibeypost.com/how-analysts-feel-about-fiserv-inc-fisv-after-touching-record-high/,False,5.507777777777778
3886,1017498544624762900,"['fiserv', 'fisv', 'reaches', 'new', 'week', 'high', 'at', 'httpstcohldaomzgn']",Thu Jul 12 19:58:51 +0000 2018,dakotafinancial,FISV,Fiserv,http://dakotafinancialnews.com/?p=314356,False,5.88
3975,1017509604144635900,"['fisv', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcoilsmuugs', 'httpstcosplnrcad']",Thu Jul 12 20:42:48 +0000 2018,optioncharts,FISV,Fiserv,http://maximum-pain.com/options/open-interest/FISV,False,5.5775
4022,1017517639973756900,"['no', 'trades', 'todaycurrently', 'net', 'longended', 'the', 'day', 'up', 'thanks', 'to', 'nvo', 'rop', 'wcn', 'httpstcopscikwidxy']",Thu Jul 12 21:14:44 +0000 2018,VaughnOkumura,FISV,Fiserv,https://twitter.com/i/web/status/1017517639973756930,False,5.597142857142858
4275,1017578243141095400,"['eps', 'for', 'fiserv', 'inc', 'fisv', 'expected', 'at', 'httpstcolbgbacwxbf']",Fri Jul 13 01:15:33 +0000 2018,The_CasualSmart,FISV,Fiserv,https://thecasualsmart.com/2018/07/13/eps-for-fiserv-inc-fisv-expected-at-0-74-2/,False,5.140000000000001
4276,1017578352796950500,"['eps', 'for', 'fiserv', 'inc', 'fisv', 'expected', 'at', 'httpstcofjuppoml']",Fri Jul 13 01:15:59 +0000 2018,whatsonthorold2,FISV,Fiserv,https://www.whatsonthorold.com/2018/07/13/eps-for-fiserv-inc-fisv-expected-at-0-74/,False,5.140000000000001
4277,1017578437794549800,"['fiserv', 'inc', 'fisv', 'analysts', 'see', 'eps', 'httpstcoawzuyylt']",Fri Jul 13 01:16:19 +0000 2018,mmahotstuff1,FISV,Fiserv,https://www.mmahotstuff.com/2018/07/13/fiserv-inc-fisv-analysts-see-0-74-eps-2.html,False,5.259999999999999
4278,1017578485668335600,"['fiserv', 'inc', 'fisv', 'eps', 'estimated', 'at', 'httpstcofdfoqirq']",Fri Jul 13 01:16:31 +0000 2018,The_CasualSmart,FISV,Fiserv,https://floridarecorder.com/2018/07/13/fiserv-inc-fisv-eps-estimated-at-0-74/,False,5.0600000000000005
4279,1017578590119059500,"['analysts', 'see', 'eps', 'for', 'fiserv', 'inc', 'fisv', 'httpstcosnzunqmno']",Fri Jul 13 01:16:56 +0000 2018,reurope_stock,FISV,Fiserv,https://reurope.com/2018/07/13/analysts-see-0-74-eps-for-fiserv-inc-fisv/,False,5.249999999999999
4280,1017578677184458800,"['fiserv', 'inc', 'fisv', 'eps', 'estimated', 'at', 'httpstcoklgcxzcb']",Fri Jul 13 01:17:16 +0000 2018,bibeypost_stock,FISV,Fiserv,https://www.bibeypost.com/fiserv-inc-fisv-eps-estimated-at-0-74/,False,5.0600000000000005
4666,1017715609386258400,"['fiserv', 'sees', 'unusually', 'high', 'options', 'volume', 'fisv', 'httpstcoqnectggdnp']",Fri Jul 13 10:21:24 +0000 2018,EnterpriseLeade,FISV,Fiserv,http://theenterpriseleader.com/?p=983649,False,6.105
4943,1017764751177338900,"['ccm', 'investment', 'advisers', 'llc', 'increases', 'holding', 'in', 'fiserv', 'inc', 'fisv', 'httpstcomnmndaon']",Fri Jul 13 13:36:40 +0000 2018,mmahotstuff1,FISV,Fiserv,https://www.mmahotstuff.com/2018/07/13/ccm-investment-advisers-llc-increases-holding-in-fiserv-inc-fisv.html,False,5.596666666666668
4944,1017764893255233500,"['as', 'fiserv', 'inc', 'fisv', 'stock', 'declined', 'ccm', 'investment', 'advisers', 'llc', 'raised', 'its', 'holding', 'by', 'million', 'httpstcofyerldyqi']",Fri Jul 13 13:37:14 +0000 2018,reurope_stock,FISV,Fiserv,https://reurope.com/2018/07/13/as-fiserv-inc-fisv-stock-declined-ccm-investment-advisers-llc-raised-its-holding-by-4-88-million/,False,5.427272727272729
4945,1017764966806556700,"['ccm', 'investment', 'advisers', 'llc', 'has', 'lifted', 'its', 'holding', 'in', 'fiserv', 'inc', 'fisv', 'by', 'million', 'httpstcoxyucgatrll']",Fri Jul 13 13:37:31 +0000 2018,bibeypost_stock,FISV,Fiserv,https://www.bibeypost.com/ccm-investment-advisers-llc-has-lifted-its-holding-in-fiserv-inc-fisv-by-4-88-million/,False,5.584000000000001
5057,1017786297145061400,"['fiserv', 'inc', 'the', 'stock', 'is', 'testing', 'its', 'highs', 'fisv', 'httpstconhuzxed', 'httpstcoufteolpts']",Fri Jul 13 15:02:17 +0000 2018,MScreener,FISV,Fiserv,http://www.4-traders.com//FISERV-INC-4873/,False,5.086666666666667
5139,1017798968296771600,"['fiserv', 'inc', 'fisv', 'cant', 'burn', 'your', 'long', 'portfolio', 'just', 'reaches', 'week', 'high', 'httpstcolvzvgsl']",Fri Jul 13 15:52:38 +0000 2018,whatsonthorold2,FISV,Fiserv,https://www.whatsonthorold.com/2018/07/13/fiserv-inc-fisv-cant-burn-your-long-portfolio-just-reaches-52-week-high/,False,5.082
5140,1017799028216619000,"['fiserv', 'inc', 'fisv', 'on', 'focus', 'after', 'trading', 'at', 'week', 'highs', 'httpstcorndfhsdqb']",Fri Jul 13 15:52:52 +0000 2018,mmahotstuff1,FISV,Fiserv,https://www.mmahotstuff.com/2018/07/13/fiserv-inc-fisv-on-focus-after-trading-at-52-week-highs.html,False,5.377142857142857
5143,1017799332505014300,"['fiserv', 'inc', 'fisv', 'cant', 'be', 'more', 'hot', 'just', 'reaches', 'week', 'high', 'httpstcottkjncmb']",Fri Jul 13 15:54:05 +0000 2018,bibeypost_stock,FISV,Fiserv,https://www.bibeypost.com/fiserv-inc-fisv-cant-be-more-hot-just-reaches-52-week-high/,False,5.395555555555556
5816,1018033613391007700,"['wondering', 'about', 'risks', 'of', 'fisv', 'the', 'day', 'volatility', 'is', 'httpstcoofnqlya']",Sat Jul 14 07:25:02 +0000 2018,1MinuteStock,FISV,Fiserv,https://unicornbay.com/t/FISV.US?utm_medium=tweet&utm_campaign=volatility&utm_source=twitter,False,5.185714285714285
5860,1018074133127561200,"['unicorn', 'bay', 'rating', 'for', 'fisv', 'is', 'out', 'of', 'httpstcoyouuhbxxj']",Sat Jul 14 10:06:02 +0000 2018,1MinuteStock,FISV,Fiserv,https://unicornbay.com/t/FISV.US?utm_medium=tweet&utm_campaign=rank&utm_source=twitter,False,5.243333333333333
5935,1018088973892292600,"['martin', 'investment', 'management', 'llc', 'increased', 'its', 'fiserv', 'inc', 'fisv', 'holding', 'httpstcodrrpbujgim']",Sat Jul 14 11:05:01 +0000 2018,whatsonthorold2,FISV,Fiserv,https://www.whatsonthorold.com/2018/07/14/martin-investment-management-llc-increased-its-fiserv-inc-fisv-holding/,False,5.359999999999999
5937,1018089034680332300,"['martin', 'investment', 'management', 'llc', 'position', 'in', 'fiserv', 'inc', 'fisv', 'has', 'boosted', 'as', 'shares', 'declined', 'httpstcozxgrbme']",Sat Jul 14 11:05:15 +0000 2018,mmahotstuff1,FISV,Fiserv,https://www.mmahotstuff.com/2018/07/14/martin-investment-management-llc-position-in-fiserv-inc-fisv-has-boosted-as-shares-declined.html,False,5.214
5938,1018089340512161800,"['as', 'fiserv', 'inc', 'fisv', 'share', 'value', 'declined', 'martin', 'investment', 'management', 'llc', 'increased', 'its', 'holding', 'httpstcotdkwrkqnb']",Sat Jul 14 11:06:28 +0000 2018,reurope_stock,FISV,Fiserv,https://reurope.com/2018/07/14/as-fiserv-inc-fisv-share-value-declined-martin-investment-management-llc-increased-its-holding/,False,5.367272727272727
5940,1018089408522793000,"['martin', 'investment', 'management', 'llc', 'has', 'boosted', 'fiserv', 'inc', 'fisv', 'holding', 'httpstcowiplpri']",Sat Jul 14 11:06:44 +0000 2018,bibeypost_stock,FISV,Fiserv,https://www.bibeypost.com/martin-investment-management-llc-has-boosted-fiserv-inc-fisv-holding/,False,5.226666666666667
6247,1018201893661761500,"['is', 'fiserv', 'inc', 'fisvs', 'fuel', 'running', 'low', 'the', 'stock', 'reaches', 'all', 'time', 'high', 'today', 'httpstcoxkobpnvd']",Sat Jul 14 18:33:43 +0000 2018,whatsonthorold2,FISV,Fiserv,https://www.whatsonthorold.com/2018/07/14/is-fiserv-inc-fisvs-fuel-running-low-the-stock-reaches-all-time-high-today/,False,5.516666666666667
6248,1018201997961556000,"['whats', 'propelling', 'fiserv', 'inc', 'fisv', 'to', 'reach', 'alltime', 'high', 'httpstcocgfwqqwpk']",Sat Jul 14 18:34:08 +0000 2018,mmahotstuff1,FISV,Fiserv,https://www.mmahotstuff.com/2018/07/14/whats-propelling-fiserv-inc-fisv-to-reach-all-time-high.html,False,5.364
6809,1018303959465971700,"['analyzing', 'fiserv', 'fisv', 'and', 'yy', 'yy', 'httpstcooaestpsd']",Sun Jul 15 01:19:17 +0000 2018,TranscriptDaily,FISV,Fiserv,http://zpr.io/6NkQm,False,5.22
6812,1018304503588716500,"['analyzing', 'fiserv', 'fisv', 'and', 'yy', 'yy', 'httpstcokerjyzb']",Sun Jul 15 01:21:27 +0000 2018,MareaInformativ,FISV,Fiserv,http://www.mareainformativa.com/?p=444156,False,5.22
7298,1018393741470715900,"['fiserv', 'fisv', 'sets', 'new', 'week', 'high', 'at', 'httpstcowwcnvyttsx']",Sun Jul 15 07:16:03 +0000 2018,WeekHerald,FISV,Fiserv,http://weekherald.com/?p=2990068,False,5.704000000000001
7305,1018394268405256200,"['fiserv', 'fisv', 'reaches', 'new', 'week', 'high', 'at', 'httpstcogvqnhrv']",Sun Jul 15 07:18:09 +0000 2018,ThisLincolnian,FISV,Fiserv,http://thelincolnianonline.com/?p=2183268,False,5.88
7893,1018491742205698000,"['fiserv', 'inc', 'fisv', 'holder', 'archon', 'partners', 'llc', 'has', 'lifted', 'its', 'position', 'httpstcossanabrwp']",Sun Jul 15 13:45:28 +0000 2018,whatsonthorold2,FISV,Fiserv,https://www.whatsonthorold.com/2018/07/15/fiserv-inc-fisv-holder-archon-partners-llc-has-lifted-its-position/,False,5.670000000000001
7894,1018491816507838500,"['archon', 'partners', 'llc', 'position', 'in', 'fiserv', 'inc', 'fisv', 'has', 'boosted', 'by', 'million', 'httpstcoatjzurlta']",Sun Jul 15 13:45:46 +0000 2018,mmahotstuff1,FISV,Fiserv,https://www.mmahotstuff.com/2018/07/15/archon-partners-llc-position-in-fiserv-inc-fisv-has-boosted-by-10-36-million.html,False,5.817142857142858
7895,1018491991645196300,"['archon', 'partners', 'llc', 'boosted', 'its', 'fiserv', 'inc', 'fisv', 'holding', 'by', 'million', 'as', 'share', 'price', 'declined', 'httpstcojrnjqlmwo']",Sun Jul 15 13:46:28 +0000 2018,reurope_stock,FISV,Fiserv,https://reurope.com/2018/07/15/archon-partners-llc-boosted-its-fiserv-inc-fisv-holding-by-10-36-million-as-share-price-declined/,False,5.494
7896,1018492075791265800,"['fiserv', 'inc', 'fisv', 'shareholder', 'archon', 'partners', 'llc', 'upped', 'position', 'by', 'million', 'as', 'share', 'value', 'declined', 'httpstcodedppyz']",Sun Jul 15 13:46:48 +0000 2018,bibeypost_stock,FISV,Fiserv,https://www.bibeypost.com/fiserv-inc-fisv-shareholder-archon-partners-llc-upped-position-by-10-36-million-as-share-value-declined/,False,5.728888888888889
9459,1018828637053898800,"['boys', 'arnold', 'amp', 'co', 'boosted', 'fiserv', 'fisv', 'position', 'by', 'gmt', 'capital', 'lifted', 'gran', 'tierra', 'energy', 'gte', 'stake', 'by', 'httpstcodytnqdtr']",Mon Jul 16 12:04:10 +0000 2018,The_CasualSmart,FISV,Fiserv,https://twitter.com/i/web/status/1018828637053898752,False,5.58
9882,1018855899023233000,"['fiserv', 'inc', 'the', 'stock', 'is', 'testing', 'its', 'highs', 'fisv', 'httpstconhuzxed', 'httpstcohrkmaa']",Mon Jul 16 13:52:30 +0000 2018,MScreener,FISV,Fiserv,http://www.4-traders.com//FISERV-INC-4873/,False,5.086666666666667
9976,1018860303415763000,"['fiserv', 'inc', 'fisv', 'institutional', 'investor', 'sentiment', 'analysis', 'httpstcoyvmqnxfr']",Mon Jul 16 14:10:00 +0000 2018,whatsonthorold2,FISV,Fiserv,https://www.whatsonthorold.com/2018/07/16/fiserv-inc-nasdaqfisv-institutional-investor-sentiment-analysis/,False,5.356
9980,1018860440598835200,"['sentiment', 'change', 'report', 'fiserv', 'inc', 'fisv', 'httpstcocpmyijkmh']",Mon Jul 16 14:10:33 +0000 2018,mmahotstuff1,FISV,Fiserv,https://www.mmahotstuff.com/2018/07/16/sentiment-change-report-fiserv-inc-nasdaqfisv.html,False,5.204999999999999
9986,1018860756044079100,"['is', 'fiserv', 'inc', 'fisv', 'going', 'to', 'burn', 'these', 'institutional', 'investors', 'httpstcocwfhrbq']",Mon Jul 16 14:11:48 +0000 2018,bibeypost_stock,FISV,Fiserv,https://www.bibeypost.com/is-fiserv-inc-nasdaqfisv-going-to-burn-these-institutional-investors/,False,4.7925
9989,1018861078820868100,"['marietta', 'investment', 'partners', 'llc', 'has', 'increased', 'position', 'in', 'fiserv', 'inc', 'fisv', 'as', 'stock', 'declined', 'httpstcourpzqiuuvw']",Mon Jul 16 14:13:05 +0000 2018,bibeypost_stock,FISV,Fiserv,https://www.bibeypost.com/marietta-investment-partners-llc-has-increased-position-in-fiserv-inc-fisv-as-stock-declined/,False,5.473999999999999
10467,1018888041820278800,"['a', 'bullish', 'big', 'mac', 'bullish', 'has', 'occurred', 'at', 'am', 'jul', 'at', 'on', 'fiserv', 'inc', 'fisv', 'fisv', 'want', 'to', 'earnregi', 'httpstcosiqxyiqe']",Mon Jul 16 16:00:13 +0000 2018,websofttechies,FISV,Fiserv,https://twitter.com/i/web/status/1018888041820278786,False,5.320000000000001
