,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8907,1018676577209643000,"['earnings', 'm', 'nflx', 'bac', 'blk', 't', 'gs', 'jnj', 'csx', 'schw', 'unh', 'w', 'aa', 'axp', 'ms', 'fitb', 'ibm', 'mtb', 'gww', 't', 'unp', 'msft', 'bk', 'tvr', 'httpstcoycpvrqxr']",Mon Jul 16 01:59:56 +0000 2018,ExileOnBaySt,FITB,Fifth Third Bancorp,https://twitter.com/i/web/status/1018676577209643009,False,5.254999999999999
10418,1018886450706894800,"['fifth', 'third', 'bancorp', 'fitb', 'stock', 'rating', 'upgraded', 'by', 'zacks', 'investment', 'research', 'httpstcouxfnmvkf']",Mon Jul 16 15:53:54 +0000 2018,WatchlistN,FITB,Fifth Third Bancorp,http://zpr.io/6XysJ,False,5.591428571428572
10530,1018892139118387200,"['institutional', 'investor', 'sentiment', 'about', 'third', 'bancorp', 'fifth', 'fitb', 'up', 'httpstcotmufmqmh']",Mon Jul 16 16:16:30 +0000 2018,whatsonthorold2,FITB,Fifth Third Bancorp,https://www.whatsonthorold.com/2018/07/16/institutional-investor-sentiment-about-third-bancorp-fifth-nasdaqfitb-up/,False,5.445714285714287
10533,1018892276498563100,"['third', 'bancorp', 'fifth', 'fitb', 'institutional', 'investors', 'arent', 'crazy', 'about', 'it', 'httpstcolebdpfim']",Mon Jul 16 16:17:03 +0000 2018,mmahotstuff1,FITB,Fifth Third Bancorp,https://www.mmahotstuff.com/2018/07/16/third-bancorp-fifth-nasdaqfitb-institutional-investors-arent-crazy-about-it.html,False,4.967499999999999
10540,1018892604136714200,"['third', 'bancorp', 'fifth', 'fitb', 'quarterly', 'sentiment', 'report', 'httpstcogvldyfhdo']",Mon Jul 16 16:18:21 +0000 2018,bibeypost_stock,FITB,Fifth Third Bancorp,https://www.bibeypost.com/third-bancorp-fifth-nasdaqfitb-quarterly-sentiment-report/,False,5.223999999999999
10647,1018898610551951400,"['fifth', 'third', 'bancorp', 'fitb', 'stock', 'rating', 'upgraded', 'by', 'zacks', 'investment', 'research', 'httpstcolbuwpxlv']",Mon Jul 16 16:42:13 +0000 2018,MareaInformativ,FITB,Fifth Third Bancorp,http://www.mareainformativa.com/?p=457143,False,5.591428571428572
11849,1019000408021262300,"['fitb', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoggskbobo', 'httpstconrfqudzox']",Mon Jul 16 23:26:44 +0000 2018,optioncharts,FITB,Fifth Third Bancorp,http://maximum-pain.com/options/max-pain/FITB,False,4.680000000000001
12522,1019103943916474400,"['fifth', 'third', 'bancorp', 'fitb', 'scheduled', 'to', 'post', 'quarterly', 'earnings', 'on', 'thursday', 'httpstcozsugrmpn']",Tue Jul 17 06:18:08 +0000 2018,ZolmaxNews,FITB,Fifth Third Bancorp,http://zolmax.com/?p=2386257,False,5.582222222222223
12527,1019104387589910500,"['fifth', 'third', 'bancorp', 'fitb', 'scheduled', 'to', 'post', 'quarterly', 'earnings', 'on', 'thursday', 'httpstcoujejiwha']",Tue Jul 17 06:19:54 +0000 2018,WatchlistN,FITB,Fifth Third Bancorp,http://zpr.io/6XwYj,False,5.582222222222223
13070,1019167490063110100,"['fifth', 'third', 'bancorp', 'fitb', 'scheduled', 'to', 'post', 'quarterly', 'earnings', 'on', 'thursday', 'httpstcognoidjud']",Tue Jul 17 10:30:39 +0000 2018,MareaInformativ,FITB,Fifth Third Bancorp,http://www.mareainformativa.com/?p=460640,False,5.582222222222223
13537,1019193914224529400,"['fifth', 'third', 'bancorp', 'fitb', 'upgraded', 'at', 'zacks', 'investment', 'research', 'httpstcovyegzipdqi']",Tue Jul 17 12:15:39 +0000 2018,ThisLincolnian,FITB,Fifth Third Bancorp,http://thelincolnianonline.com/?p=2188722,False,5.544
13563,1019195091234246700,"['fifth', 'third', 'bancorp', 'fitb', 'upgraded', 'to', 'buy', 'at', 'zacks', 'investment', 'research', 'httpstcoreoalryd']",Tue Jul 17 12:20:20 +0000 2018,WeekHerald,FITB,Fifth Third Bancorp,http://weekherald.com/?p=2995521,False,5.568571428571429
15779,1019309265822126100,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'fitb', 'is', 'httpstcokhikuybt', 'wfc', 'hban', 'pnc', 'bac']",Tue Jul 17 19:54:01 +0000 2018,shortvolumes,FITB,Fifth Third Bancorp,http://shortvolumes.com/?t=FITB,False,5.2375
17780,1019434025809842200,"['zacks', 'analysts', 'expect', 'fifth', 'third', 'bancorp', 'fitb', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcobzxowled']",Wed Jul 18 04:09:46 +0000 2018,dailypoliticaln,FITB,Fifth Third Bancorp,http://www.dailypolitical.com/?p=2208400,False,5.720000000000001
17785,1019434206412369900,"['zacks', 'analysts', 'expect', 'fifth', 'third', 'bancorp', 'fitb', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcofztffdfqbj']",Wed Jul 18 04:10:29 +0000 2018,MareaInformativ,FITB,Fifth Third Bancorp,http://www.mareainformativa.com/?p=465906,False,5.720000000000001
17789,1019434394862477300,"['eps', 'expected', 'for', 'fifth', 'third', 'bancorp', 'fitb', 'this', 'quarter', 'httpstconhsjmfps']",Wed Jul 18 04:11:14 +0000 2018,ZolmaxNews,FITB,Fifth Third Bancorp,http://zolmax.com/?p=2388527,False,5.353333333333334
18158,1019465716813135900,"['fifth', 'third', 'bancorp', 'fitb', 'scheduled', 'to', 'post', 'earnings', 'on', 'thursday', 'httpstcoaphdwvbdg']",Wed Jul 18 06:15:42 +0000 2018,ThisLincolnian,FITB,Fifth Third Bancorp,http://thelincolnianonline.com/?p=2190239,False,5.6525
18163,1019465825567301600,"['fifth', 'third', 'bancorp', 'fitb', 'scheduled', 'to', 'post', 'earnings', 'on', 'thursday', 'httpstcoqytxnob']",Wed Jul 18 06:16:08 +0000 2018,WeekHerald,FITB,Fifth Third Bancorp,http://weekherald.com/?p=2997062,False,5.6525
18662,1019501254941265900,"['zacks', 'investment', 'research', 'upgrades', 'fifth', 'third', 'bancorp', 'fitb', 'to', 'buy', 'httpstcoqjxlpuysg']",Wed Jul 18 08:36:55 +0000 2018,ledgerzette,FITB,Fifth Third Bancorp,http://ledgergazette.com/?p=2833491,False,5.680000000000001
19484,1019541563087704000,"['fifth', 'third', 'bancorp', 'fitb', 'analysts', 'see', 'eps', 'httpstcoamrrhad']",Wed Jul 18 11:17:05 +0000 2018,whatsonthorold2,FITB,Fifth Third Bancorp,https://www.whatsonthorold.com/2018/07/18/fifth-third-bancorp-fitb-analysts-see-0-57-eps-2/,False,5.404999999999999
