,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
608,1016427348319785000,"['flex', 'httpstcobzotxdyeeb']",Mon Jul 09 21:02:18 +0000 2018,jlumaz,FLEX,Flex Ltd.,,False,5.87
626,1016436530410414100,"['isr', 'offering', 'canceled', 'rumors', 'of', 'buyout', 'or', 'partnership', 'swirling', 'after', 'fda', 'approval', 'today', 'fcre', 'gnpx', 'cyad', 'kn', 'httpstcodtxepznfgq']",Mon Jul 09 21:38:47 +0000 2018,professorzinnel,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016436530410414081,False,5.362222222222223
627,1016436939635986400,"['isr', 'offering', 'canceled', 'rumors', 'of', 'buyout', 'or', 'partnership', 'swirling', 'after', 'fda', 'approval', 'today', 'fcre', 'gnpx', 'cyad', 'kn', 'httpstcououxqlwoi']",Mon Jul 09 21:40:25 +0000 2018,professorzinnel,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016436939635986433,False,5.362222222222223
630,1016437212467089400,"['brnde', 'isr', 'offering', 'canceled', 'rumors', 'of', 'buyout', 'or', 'partnership', 'swirling', 'after', 'fda', 'approval', 'today', 'fcre', 'gnpx', 'httpstcosqiyxibs']",Mon Jul 09 21:41:30 +0000 2018,professorzinnel,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016437212467089413,False,5.362222222222223
634,1016438458938781700,"['jameshoward', 'isr', 'offering', 'atmcanceledrumors', 'of', 'buyout', 'or', 'partnership', 'swirling', 'after', 'fda', 'approval', 'today', 'httpstcoqighnyiovm']",Mon Jul 09 21:46:27 +0000 2018,professorzinnel,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016438458938781702,False,5.848571428571428
743,1016504042917433300,"['analysts', 'see', 'eps', 'for', 'flex', 'ltd', 'flex', 'httpstcouynpqljmdw']",Tue Jul 10 02:07:04 +0000 2018,whatsonthorold2,FLEX,Flex Ltd.,https://www.whatsonthorold.com/2018/07/10/analysts-see-0-17-eps-for-flex-ltd-flex/,False,5.473333333333333
746,1016504359562117100,"['flex', 'ltd', 'flex', 'eps', 'estimated', 'at', 'httpstcotizopb']",Tue Jul 10 02:08:19 +0000 2018,reurope_stock,FLEX,Flex Ltd.,https://reurope.com/2018/07/10/flex-ltd-flex-eps-estimated-at-0-17/,False,5.403999999999999
747,1016504476793008100,"['eps', 'expected', 'for', 'flex', 'ltd', 'flex', 'httpstcotofxxkk']",Tue Jul 10 02:08:47 +0000 2018,bibeypost_stock,FLEX,Flex Ltd.,https://www.bibeypost.com/0-17-eps-expected-for-flex-ltd-flex/,False,5.500000000000001
886,1016609990692491300,"['compared', 'to', 'an', 'average', 'industry', 'enterprise', 'value', 'to', 'ebitda', 'ratio', 'of', 'flex', 'is', 'valued', 'rather', 'cheaply', 'httpstcookpkhtaki']",Tue Jul 10 09:08:04 +0000 2018,ChartMill,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016609990692491264,False,5.437142857142857
1144,1016691212349329400,"['rt', 'lauraeweiss', 'flex', 'is', 'among', 'several', 'manufacturers', 'w', 'some', 'of', 'the', 'highest', 'ceotoworker', 'pay', 'divides', 'of', 'flexs', 'manufacturing', 'is', 'in']",Tue Jul 10 14:30:48 +0000 2018,LandisWeaver,FLEX,Flex Ltd.,,False,5.368124999999999
1276,1016727706241646600,"['cdix', 'is', 'starting', 'to', 'come', 'thru', 'more', 'revs', 'and', 'bouncing', 'gnpx', 'cyad', 'kn', 'boom', 'sivb', 'enva', 'dnjr', 'exas', 'ehth', 'chke', 'httpstcoejsxiqmww']",Tue Jul 10 16:55:49 +0000 2018,OneOClockDrop,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016727706241646594,False,5.534999999999999
1320,1016742098417025000,"['the', 'below', 'news', 'is', 'about', 'one', 'of', 'their', 'subsidiaries', 'gnpx', 'cyad', 'kn', 'boom', 'sivb', 'enva', 'dnjr', 'exas', 'ehth', 'chke', 'flex', 'httpstcoopldtlsu']",Tue Jul 10 17:53:01 +0000 2018,OneOClockDrop,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016742098417025024,False,5.183
1398,1016759593341513700,"['nvcn', 'neovasc', 'fcre', 'gnpx', 'cyad', 'kn', 'boom', 'sivb', 'enva', 'dnjr', 'exas', 'ehth', 'chke', 'flex', 'chtr', 'lbrdk', 'tndm', 'fii', 'ebio', 'httpstcopysntsfzs']",Tue Jul 10 19:02:32 +0000 2018,PortoRicanRasta,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016759593341513734,False,5.495
1480,1016780228805447700,"['critical', 'survey', 'flex', 'flex', 'amp', 'benchmark', 'electronics', 'bhe', 'httpstcojqdgqimt']",Tue Jul 10 20:24:32 +0000 2018,ConsumerFeed,FLEX,Flex Ltd.,http://zpr.io/6aHYU,False,5.510000000000001
1688,1016883949337862100,"['cdix', 'is', 'about', 'to', 'go', 'ballistic', 'gnpx', 'cyad', 'kn', 'boom', 'sivb', 'enva', 'dnjr', 'exas', 'ehth', 'chke', 'flex', 'chtr', 'lbrdk', 'tndm', 'httpstcotqfnqxy']",Wed Jul 11 03:16:40 +0000 2018,OneOClockDrop,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016883949337862144,False,5.308333333333334
2162,1017062493154369500,"['analyzing', 'flex', 'flex', 'amp', 'kimball', 'electronics', 'ke', 'httpstcopifsjxfis']",Wed Jul 11 15:06:09 +0000 2018,EnterpriseLeade,FLEX,Flex Ltd.,http://theenterpriseleader.com/?p=979892,False,5.7
2266,1017086663519023100,"['flex', 'flex', 'downgraded', 'to', 'strong', 'sell', 'at', 'zacks', 'investment', 'research', 'httpstcodadtdy']",Wed Jul 11 16:42:11 +0000 2018,MareaInformativ,FLEX,Flex Ltd.,http://www.mareainformativa.com/?p=425926,False,5.805
2268,1017087286964613100,"['flex', 'flex', 'downgraded', 'to', 'strong', 'sell', 'at', 'zacks', 'investment', 'research', 'httpstcoaigxmeacb']",Wed Jul 11 16:44:40 +0000 2018,TickerReport,FLEX,Flex Ltd.,http://tickerreport.com/?p=3629284,False,5.805
2316,1017100038458126300,"['looks', 'like', 'someone', 'knows', 'something', 'gnpx', 'cyad', 'kn', 'boom', 'sivb', 'enva', 'dnjr', 'exas', 'ehth', 'chke', 'flex', 'chtr', 'lbrdk', 'httpstcorwqabgoug']",Wed Jul 11 17:35:20 +0000 2018,OneOClockDrop,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1017100038458126336,False,5.801428571428572
2378,1017116909924503600,"['flex', 'ltd', 'flex', 'given', 'average', 'recommendation', 'of', 'buy', 'by', 'analysts', 'httpstcozkufqppnj']",Wed Jul 11 18:42:23 +0000 2018,TheMarketsDaily,FLEX,Flex Ltd.,http://zpr.io/6ayfb,False,5.3999999999999995
2836,1017293981301043200,"['always', 'protect', 'those', 'profits', 'heres', 'how', 'flex', 'stocks', 'swingtrading', 'profits', 'stockmarket', 'httpstcoyilhgpapsu']",Thu Jul 12 06:26:00 +0000 2018,SharePlanner,FLEX,Flex Ltd.,http://bit.ly/2kVeaBG,False,6.13625
3472,1017432038255800300,"['flex', 'flex', 'downgraded', 'by', 'zacks', 'investment', 'research', 'to', 'strong', 'sell', 'httpstcorkpphqfgq']",Thu Jul 12 15:34:35 +0000 2018,TranscriptDaily,FLEX,Flex Ltd.,http://zpr.io/6aimY,False,5.815000000000001
