,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
31,1016090469292564500,"['rt', 'dailypoliticaln', 'fluor', 'co', 'new', 'flr', 'stock', 'rating', 'upgraded', 'by', 'zacks', 'investment', 'research', 'httpstcobpngsozjmh']",Sun Jul 08 22:43:40 +0000 2018,Riskographer2,FLR,Fluor Corporation,http://www.dailypolitical.com/?p=2188895,False,5.655
166,1016251974487027700,"['mt', 'stevecommedia', 'fluorcorp', 'flr', 'team', 'selected', 'for', 'canadianus', 'gordie', 'howe', 'bridge', 'project', 'businesswire', 'httpstcojisybykm']",Mon Jul 09 09:25:26 +0000 2018,Boutonski,FLR,Fluor Corporation,https://twitter.com/i/web/status/1016251974487027712,False,5.763333333333333
295,1016313742232117200,"['headtohead', 'comparison', 'construction', 'partners', 'road', 'versus', 'fluor', 'co', 'new', 'flr', 'httpstcoxdtbbilp']",Mon Jul 09 13:30:53 +0000 2018,TranscriptDaily,FLR,Fluor Corporation,http://zpr.io/6TqEZ,False,5.792857142857143
472,1016370767641096200,"['flr', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcogrzvrgh', 'httpstcobcgok']",Mon Jul 09 17:17:28 +0000 2018,optioncharts,FLR,Fluor Corporation,http://maximum-pain.com/options/max-pain/FLR,False,4.680000000000001
603,1016425741800693800,"['fluor', 'flr', 'afternoon', 'buyers', 'of', 'july', 'calls', 'today', 'with', 'shares', 'flagging', 'under', 'a', 'big', 'gap', 'from', 'april', 'earnings']",Mon Jul 09 20:55:55 +0000 2018,Wolfmetric,FLR,Fluor Corporation,,False,5.792
604,1016426296996450300,"['rt', 'wolfmetric', 'fluor', 'flr', 'afternoon', 'buyers', 'of', 'july', 'calls', 'today', 'with', 'shares', 'flagging', 'under', 'a', 'big', 'gap', 'from', 'april', 'earnings']",Mon Jul 09 20:58:08 +0000 2018,Optionstr8dr,FLR,Fluor Corporation,,False,5.734999999999999
996,1016655028193411100,"['good', 'morning', 'traders', 'here', 'is', 'some', 'oi', 'changes', 'bull', 'de', 'flr', 'hal', 'huya', 'infy', 'jwn', 'met', 'lvs', 'snap', 'pg', 'wfc', 'zion', 'httpstcoffuzdmwi']",Tue Jul 10 12:07:01 +0000 2018,OptionsMamba,FLR,Fluor Corporation,https://twitter.com/i/web/status/1016655028193411073,False,5.449230769230768
1115,1016681943369441300,"['fluor', 'co', 'new', 'flr', 'rating', 'lowered', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcoxxmyitp']",Tue Jul 10 13:53:58 +0000 2018,TheMarketsDaily,FLR,Fluor Corporation,http://zpr.io/6TixK,False,5.6450000000000005
1283,1016729018547298300,"['dxi', 'ceo', 'comments', 'on', 'exciting', 'fort', 'st', 'john', 'oil', 'and', 'natgas', 'prospects', 'httpstcousnheivlh', 'via', 'post', 'dxief', 'httpstcoytqowbjt']",Tue Jul 10 17:01:02 +0000 2018,DXIEnergy,FLR,Fluor Corporation,http://po.st/zLAdKy,False,5.535
1425,1016767690684260400,"['lead', 'plaintiff', 'deadline', 'securities', 'classaction', 'lawsuit', 'against', 'fluor', 'corporation', 'flr', 'httpstcowjtbrcvj']",Tue Jul 10 19:34:42 +0000 2018,Shareholdernews,FLR,Fluor Corporation,http://shareholdersfoundation.com/case/fluor-corporation-nyse-flr-investor-securities-class-action-lawsuit-05252018,False,4.445714285714286
