,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
12788,1019139251542380500,"['rt', 'kirillklip', 'theswitch', 'gemroyalty', 'tnrgold', 'tnrv', 'strategic', 'stake', 'in', 'internationallithium', 'ilc', 'ilcv', 'amp', 'royalty', 'on', 'mariana', 'lithiu']",Tue Jul 17 08:38:26 +0000 2018,TNR_Gold,FMC,FMC Corporation,,False,5.383333333333334
12789,1019139347310960600,"['rt', 'kirillklip', 'there', 'was', 'always', 'oligopoly', 'in', 'charge', 'of', 'lithium', 'kingdom', 'now', 'it', 'becomes', 'the', 'lithium', 'empire', 'and', 'china', 'is', 'already', 'the', 'cen']",Tue Jul 17 08:38:49 +0000 2018,TNR_Gold,FMC,FMC Corporation,,False,5.3133333333333335
12790,1019139378331947000,"['rt', 'kirillklip', 'finally', 'our', 'holly', 'grail', 'for', 'electric', 'cars', 'is', 'within', 'reach', 'even', 'if', 'it', 'will', 'end', 'up', 'to', 'be', 'elon', 'time', 'we', 'can', 'expect', 'that', 'l']",Tue Jul 17 08:38:57 +0000 2018,TNR_Gold,FMC,FMC Corporation,,False,5.488695652173913
12802,1019140121499721700,"['rt', 'kirillklip', 'kirillklip', 'gem', 'royalty', 'tnrgold', 'tnrv', 'strategic', 'stake', 'in', 'internationallithium', 'ilc', 'ilcv', 'amp', 'royalty', 'on', 'mariana', 'lit']",Tue Jul 17 08:41:54 +0000 2018,TNR_Gold,FMC,FMC Corporation,,False,5.420000000000001
12885,1019154035641929700,"['rt', 'kirillklip', 'theswitch', 'gemroyalty', 'tnrgold', 'tnrv', 'strategic', 'stake', 'in', 'internationallithium', 'ilc', 'ilcv', 'amp', 'royalty', 'on', 'mariana', 'lithiu']",Tue Jul 17 09:37:11 +0000 2018,Sufiy,FMC,FMC Corporation,,False,5.383333333333334
12887,1019154412302893000,"['rt', 'kirillklip', 'tradewars', 'amp', 'tesla', 'revolution', 'china', 'goes', 'allin', 'control', 'of', 'b', 'lithium', 'market', 'gives', 'china', 'the', 'control', 'of', 'disruption']",Tue Jul 17 09:38:41 +0000 2018,Sufiy,FMC,FMC Corporation,,False,5.354285714285714
12889,1019154848451911700,"['rt', 'kirillklip', 'there', 'was', 'always', 'oligopoly', 'in', 'charge', 'of', 'lithium', 'kingdom', 'now', 'it', 'becomes', 'the', 'lithium', 'empire', 'and', 'china', 'is', 'already', 'the', 'cen']",Tue Jul 17 09:40:25 +0000 2018,Sufiy,FMC,FMC Corporation,,False,5.3133333333333335
12891,1019154870039924700,"['rt', 'kirillklip', 'finally', 'our', 'holly', 'grail', 'for', 'electric', 'cars', 'is', 'within', 'reach', 'even', 'if', 'it', 'will', 'end', 'up', 'to', 'be', 'elon', 'time', 'we', 'can', 'expect', 'that', 'l']",Tue Jul 17 09:40:30 +0000 2018,Sufiy,FMC,FMC Corporation,,False,5.488695652173913
12892,1019154879426826200,"['rt', 'kirillklip', 'kirillklip', 'gem', 'royalty', 'tnrgold', 'tnrv', 'strategic', 'stake', 'in', 'internationallithium', 'ilc', 'ilcv', 'amp', 'royalty', 'on', 'mariana', 'lit']",Tue Jul 17 09:40:32 +0000 2018,Sufiy,FMC,FMC Corporation,,False,5.420000000000001
12897,1019154982447263700,"['rt', 'kirillklip', 'finally', 'our', 'holly', 'grail', 'for', 'electric', 'cars', 'is', 'within', 'reach', 'even', 'if', 'it', 'will', 'end', 'up', 'to', 'be', 'elon', 'time', 'we', 'can', 'expect', 'that', 'l']",Tue Jul 17 09:40:57 +0000 2018,Sufiy,FMC,FMC Corporation,,False,5.488695652173913
12898,1019154994363355100,"['rt', 'kirillklip', 'kirillklip', 'gem', 'royalty', 'tnrgold', 'tnrv', 'strategic', 'stake', 'in', 'internationallithium', 'ilc', 'ilcv', 'amp', 'royalty', 'on', 'mariana', 'lit']",Tue Jul 17 09:41:00 +0000 2018,Sufiy,FMC,FMC Corporation,,False,5.420000000000001
12902,1019155332290039800,"['brokerages', 'set', 'fmc', 'corp', 'fmc', 'price', 'target', 'at', 'httpstcogmpyuqzdeq']",Tue Jul 17 09:42:20 +0000 2018,WatchlistN,FMC,FMC Corporation,http://zpr.io/6X3LG,False,5.164
12930,1019158537023426600,"['rt', 'kirillklip', 'theswitch', 'gemroyalty', 'tnrgold', 'tnrv', 'strategic', 'stake', 'in', 'internationallithium', 'ilc', 'ilcv', 'amp', 'royalty', 'on', 'mariana', 'lithiu']",Tue Jul 17 09:55:04 +0000 2018,LithiumSpot,FMC,FMC Corporation,,False,5.383333333333334
12942,1019159459292221400,"['rt', 'kirillklip', 'there', 'was', 'always', 'oligopoly', 'in', 'charge', 'of', 'lithium', 'kingdom', 'now', 'it', 'becomes', 'the', 'lithium', 'empire', 'and', 'china', 'is', 'already', 'the', 'cen']",Tue Jul 17 09:58:44 +0000 2018,LithiumSpot,FMC,FMC Corporation,,False,5.3133333333333335
12943,1019159622165377000,"['rt', 'kirillklip', 'finally', 'our', 'holly', 'grail', 'for', 'electric', 'cars', 'is', 'within', 'reach', 'even', 'if', 'it', 'will', 'end', 'up', 'to', 'be', 'elon', 'time', 'we', 'can', 'expect', 'that', 'l']",Tue Jul 17 09:59:23 +0000 2018,LithiumSpot,FMC,FMC Corporation,,False,5.488695652173913
12944,1019159638850326500,"['rt', 'kirillklip', 'kirillklip', 'gem', 'royalty', 'tnrgold', 'tnrv', 'strategic', 'stake', 'in', 'internationallithium', 'ilc', 'ilcv', 'amp', 'royalty', 'on', 'mariana', 'lit']",Tue Jul 17 09:59:27 +0000 2018,LithiumSpot,FMC,FMC Corporation,,False,5.420000000000001
12988,1019161706579324900,"['rt', 'kirillklip', 'finally', 'our', 'holly', 'grail', 'for', 'electric', 'cars', 'is', 'within', 'reach', 'even', 'if', 'it', 'will', 'end', 'up', 'to', 'be', 'elon', 'time', 'we', 'can', 'expect', 'that', 'l']",Tue Jul 17 10:07:40 +0000 2018,LithiumSpot,FMC,FMC Corporation,,False,5.488695652173913
12989,1019161716301750300,"['rt', 'kirillklip', 'kirillklip', 'gem', 'royalty', 'tnrgold', 'tnrv', 'strategic', 'stake', 'in', 'internationallithium', 'ilc', 'ilcv', 'amp', 'royalty', 'on', 'mariana', 'lit']",Tue Jul 17 10:07:42 +0000 2018,LithiumSpot,FMC,FMC Corporation,,False,5.420000000000001
12991,1019161743891759100,"['rt', 'kirillklip', 'tradewars', 'amp', 'tesla', 'revolution', 'china', 'goes', 'allin', 'control', 'of', 'b', 'lithium', 'market', 'gives', 'china', 'the', 'control', 'of', 'disruption']",Tue Jul 17 10:07:49 +0000 2018,LithiumSpot,FMC,FMC Corporation,,False,5.354285714285714
13565,1019195162537234400,"['lithiumwatch', 'aalv', 'alb', 'enrgv', 'fmc', 'lact', 'mlv', 'nlcv', 'nmxt', 'orlt', 'sqm', 'wmlv', 'xmgc', 'lithium', 'chile', 'httpstcoxighpoljm']",Tue Jul 17 12:20:37 +0000 2018,peedeeheenee,FMC,FMC Corporation,https://twitter.com/i/web/status/1019195162537234432,False,5.74
13572,1019195464455864300,"['lithiumwatch', 'aalv', 'alb', 'enrgv', 'fmc', 'lact', 'mlv', 'nlcv', 'nmxt', 'orlt', 'sqm', 'wmlv', 'xmgc', 'lithium', 'chile', 'httpstcoroxujlbud']",Tue Jul 17 12:21:49 +0000 2018,peedeeheenee,FMC,FMC Corporation,https://twitter.com/i/web/status/1019195464455864320,False,5.74
13575,1019195533330714600,"['rt', 'peedeeheenee', 'lithiumwatch', 'aalv', 'alb', 'enrgv', 'fmc', 'lact', 'mlv', 'nlcv', 'nmxt', 'orlt', 'sqm', 'wmlv', 'xmgc', 'lithium', 'chile', 'china', 'can']",Tue Jul 17 12:22:05 +0000 2018,LithiumToday,FMC,FMC Corporation,,False,5.410000000000001
13579,1019195704848236500,"['tsla', 'lithiumwatch', 'aalv', 'alb', 'enrgv', 'fmc', 'lact', 'mlv', 'nlcv', 'nmxt', 'orlt', 'sqm', 'wmlv', 'xmgc', 'lithium', 'chile', 'httpstcovjpiggyqj']",Tue Jul 17 12:22:46 +0000 2018,peedeeheenee,FMC,FMC Corporation,https://twitter.com/i/web/status/1019195704848236544,False,5.74
13601,1019196919757750300,"['rt', 'peedeeheenee', 'lithiumwatch', 'aalv', 'alb', 'enrgv', 'fmc', 'lact', 'mlv', 'nlcv', 'nmxt', 'orlt', 'sqm', 'wmlv', 'xmgc', 'lithium', 'chile', 'china', 'can']",Tue Jul 17 12:27:36 +0000 2018,Goldenboy7123,FMC,FMC Corporation,,False,5.410000000000001
