,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
266,1016306765300928500,"['brokerages', 'set', 'fairmount', 'santrol', 'fmsa', 'target', 'price', 'at', 'httpstcoobtppefyh']",Mon Jul 09 13:03:09 +0000 2018,MareaInformativ,FMSA,Fairmount Santrol Holdings Inc.,http://www.mareainformativa.com/?p=410366,False,5.210000000000001
275,1016307185008115700,"['brokerages', 'set', 'fairmount', 'santrol', 'fmsa', 'target', 'price', 'at', 'httpstcosvzeavq']",Mon Jul 09 13:04:49 +0000 2018,EnterpriseLeade,FMSA,Fairmount Santrol Holdings Inc.,http://theenterpriseleader.com/?p=975475,False,5.210000000000001
278,1016307769576738800,"['analysts', 'set', 'fairmount', 'santrol', 'fmsa', 'price', 'target', 'at', 'httpstcozjcpceaq']",Mon Jul 09 13:07:09 +0000 2018,dispatchtribune,FMSA,Fairmount Santrol Holdings Inc.,http://dispatchtribunal.com/?p=2042711,False,5.172
2297,1017096879497252900,"['brokerages', 'set', 'fairmount', 'santrol', 'fmsa', 'pt', 'at', 'httpstcoedesherv']",Wed Jul 11 17:22:47 +0000 2018,TheMarketsDaily,FMSA,Fairmount Santrol Holdings Inc.,http://zpr.io/6ahpa,False,5.133333333333334
2706,1017232342618959900,"['head', 'to', 'head', 'survey', 'fairmount', 'santrol', 'fmsa', 'amp', 'sociedad', 'quimica', 'y', 'minera', 'de', 'chile', 'sqm', 'httpstcoatslnvej']",Thu Jul 12 02:21:04 +0000 2018,dispatchtribune,FMSA,Fairmount Santrol Holdings Inc.,http://dispatchtribunal.com/?p=2047961,False,5.445
2707,1017232450097958900,"['critical', 'review', 'fairmount', 'santrol', 'fmsa', 'amp', 'sociedad', 'quimica', 'y', 'minera', 'de', 'chile', 'sqm', 'httpstcovvnpboqyk']",Thu Jul 12 02:21:30 +0000 2018,OlympiaReport,FMSA,Fairmount Santrol Holdings Inc.,http://theolympiareport.com/?p=918626,False,4.836666666666667
6953,1018336217195274200,"['fairmount', 'santrol', 'fmsa', 'and', 'sociedad', 'quimica', 'y', 'minera', 'de', 'chile', 'sqm', 'critical', 'contrast', 'httpstcopopkurqk']",Sun Jul 15 03:27:28 +0000 2018,ConsumerFeed,FMSA,Fairmount Santrol Holdings Inc.,http://zpr.io/6NcgD,False,4.736666666666666
7160,1018374354873258000,"['analyzing', 'compass', 'minerals', 'international', 'cmp', 'amp', 'fairmount', 'santrol', 'fmsa', 'httpstcoxqgvksnvw']",Sun Jul 15 05:59:01 +0000 2018,TickerReport,FMSA,Fairmount Santrol Holdings Inc.,http://tickerreport.com/?p=3635468,False,6.0
7162,1018374596247150600,"['head', 'to', 'head', 'contrast', 'fairmount', 'santrol', 'fmsa', 'amp', 'compass', 'minerals', 'international', 'cmp', 'httpstcopmwkpxrhwk']",Sun Jul 15 05:59:58 +0000 2018,dailypoliticaln,FMSA,Fairmount Santrol Holdings Inc.,http://www.dailypolitical.com/?p=2201626,False,5.640000000000001
8358,1018556237611454500,"['its', 'been', 'a', 'crucial', 'week', 'for', 'fairmount', 'santrol', 'holdings', 'inc', 'fmsa', 'heres', 'what', 'analysts', 'have', 'to', 'say', 'httpstcoqkccfjyfif']",Sun Jul 15 18:01:45 +0000 2018,whatsonthorold2,FMSA,Fairmount Santrol Holdings Inc.,https://www.whatsonthorold.com/2018/07/15/its-been-a-crucial-week-for-fairmount-santrol-holdings-inc-nysefmsa-heres-what-analysts-have-to-say/,False,5.1123076923076916
8361,1018556323296960500,"['how', 'many', 'fairmount', 'santrol', 'holdings', 'inc', 'fmsas', 'analysts', 'are', 'bullish', 'httpstcoqrbhgwyde']",Sun Jul 15 18:02:05 +0000 2018,mmahotstuff1,FMSA,Fairmount Santrol Holdings Inc.,https://www.mmahotstuff.com/2018/07/15/how-many-fairmount-santrol-holdings-inc-nysefmsas-analysts-are-bullish.html,False,5.153333333333333
8364,1018556453160980500,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'fairmount', 'santrol', 'holdings', 'inc', 'fmsa', 'httpstcothvrzm']",Sun Jul 15 18:02:36 +0000 2018,reurope_stock,FMSA,Fairmount Santrol Holdings Inc.,https://reurope.com/2018/07/15/can-analysts-adopt-a-bullish-outlook-for-fairmount-santrol-holdings-inc-nysefmsa/,False,5.452500000000001
8366,1018556638054289400,"['analysts', 'are', 'on', 'the', 'bearish', 'side', 'about', 'fairmount', 'santrol', 'holdings', 'inc', 'fmsa', 'this', 'week', 'httpstcoexacxukgl']",Sun Jul 15 18:03:21 +0000 2018,bibeypost_stock,FMSA,Fairmount Santrol Holdings Inc.,https://www.bibeypost.com/analysts-are-on-the-bearish-side-about-fairmount-santrol-holdings-inc-nysefmsa-this-week/,False,5.138
8918,1018682110754734100,"['hclp', 'watching', 'for', 'et', 'emes', 'fmsa', 'using', 'their', 'chart', 'program', 'pro', 'httpstcoclmuxklps', 'httpstcocpvtsttk']",Mon Jul 16 02:21:56 +0000 2018,hilo_SF,FMSA,Fairmount Santrol Holdings Inc.,http://tradingview.go2cloud.org/SHOO,False,5.39
10158,1018871877333405700,"['another', 'sextuple', 'httpstconncasvanjz', 'avg', 'gain', 'always', 'unbiased', 'ne', 'auy', 'fmsa', 'jcp', 'an', 'aveo', 'httpstcoyqmwyibw']",Mon Jul 16 14:55:59 +0000 2018,FalconStocks,FMSA,Fairmount Santrol Holdings Inc.,http://FalconStocks.com,False,5.548
12734,1019129543712559100,"['comparing', 'fairmount', 'santrol', 'fmsa', 'amp', 'compass', 'minerals', 'international', 'cmp', 'httpstcolwxxzr']",Tue Jul 17 07:59:52 +0000 2018,ThisLincolnian,FMSA,Fairmount Santrol Holdings Inc.,http://thelincolnianonline.com/?p=2188061,False,6.0
12743,1019130547505979400,"['compass', 'minerals', 'international', 'cmp', 'amp', 'fairmount', 'santrol', 'fmsa', 'critical', 'review', 'httpstcoummimpuq']",Tue Jul 17 08:03:51 +0000 2018,WeekHerald,FMSA,Fairmount Santrol Holdings Inc.,http://weekherald.com/?p=2994857,False,5.135
14875,1019262391203303400,"['our', 'latest', 'double', 'meet', 'httpstcouedfvghpiz', 'avg', 'gain', 'always', 'unbiased', 'ardm', 'glyc', 'bzq', 'athn', 'etrm', 'httpstcotmevrejdn']",Tue Jul 17 16:47:45 +0000 2018,Falcon_Stocks,FMSA,Fairmount Santrol Holdings Inc.,http://FalconStocks.com,False,6.2
16069,1019320655710511100,"['head', 'to', 'head', 'comparison', 'ciner', 'resources', 'cinr', 'amp', 'fairmount', 'santrol', 'fmsa', 'httpstcoyadwmfuhg']",Tue Jul 17 20:39:17 +0000 2018,EnterpriseLeade,FMSA,Fairmount Santrol Holdings Inc.,http://theenterpriseleader.com/?p=992977,False,5.695
16073,1019320776258924500,"['head', 'to', 'head', 'comparison', 'ciner', 'resources', 'cinr', 'amp', 'fairmount', 'santrol', 'fmsa', 'httpstcotmldlwea']",Tue Jul 17 20:39:45 +0000 2018,dispatchtribune,FMSA,Fairmount Santrol Holdings Inc.,http://dispatchtribunal.com/?p=2059701,False,5.695
17429,1019405620154429400,"['fairmount', 'santrol', 'fmsa', 'versus', 'ciner', 'resources', 'cinr', 'financial', 'survey', 'httpstcodugmskop']",Wed Jul 18 02:16:54 +0000 2018,MareaInformativ,FMSA,Fairmount Santrol Holdings Inc.,http://www.mareainformativa.com/?p=465713,False,5.715
17443,1019406391650455600,"['headtohead', 'comparison', 'ciner', 'resources', 'cinr', 'vs', 'fairmount', 'santrol', 'fmsa', 'httpstcowzybhtfukl']",Wed Jul 18 02:19:58 +0000 2018,ConsumerFeed,FMSA,Fairmount Santrol Holdings Inc.,http://zpr.io/6X5FF,False,5.476666666666667
18772,1019508903527223300,"['contrasting', 'fairmount', 'santrol', 'fmsa', 'and', 'sociedad', 'quimica', 'y', 'minera', 'de', 'chile', 'sqm', 'httpstcofldqghb']",Wed Jul 18 09:07:18 +0000 2018,TranscriptDaily,FMSA,Fairmount Santrol Holdings Inc.,http://zpr.io/6Xdnn,False,5.0649999999999995
25609,1019679885135138800,"['ciner', 'resources', 'cinr', 'amp', 'fairmount', 'santrol', 'fmsa', 'financial', 'contrast', 'httpstcolhtbdgam']",Wed Jul 18 20:26:44 +0000 2018,ConsumerFeed,FMSA,Fairmount Santrol Holdings Inc.,http://zpr.io/6XBnh,False,5.565
