,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
75,1016147008980226000,"['finisar', 'co', 'fnsr', 'expected', 'to', 'announce', 'quarterly', 'sales', 'of', 'million', 'httpstconsmdfjva']",Mon Jul 09 02:28:20 +0000 2018,OlympiaReport,FNSR,Finisar Corporation,http://theolympiareport.com/?p=912207,False,5.56
76,1016147112168509400,"['finisar', 'co', 'fnsr', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'million', 'httpstcorfbriprzq']",Mon Jul 09 02:28:45 +0000 2018,WeekHerald,FNSR,Finisar Corporation,http://weekherald.com/?p=2978035,False,5.535
93,1016187324680376300,"['reverse', 'merger', 'tweet', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'rook', 'mu', 'msft', 'fb', 'sqqq', 'intc', 'cmcsa', 'amat', 'nvda', 'sgmo', 'httpstcoevpdqmfp']",Mon Jul 09 05:08:32 +0000 2018,OneOClockDrop,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1016187324680376321,False,5.14
283,1016308599411310600,"['d', 'ma', 'watch', 'list', 'gdx', 'fnsr', 'mnst', 'ko', 'gps', 'eww', 'gild', 'gpro', 'wft', 'tmus', 'amtd', 'lvs', 'utx', 'mrvl', 'gbt', 'enb', 'bbt', 'httpstcoohxymfvu']",Mon Jul 09 13:10:26 +0000 2018,TradeAcademyCo,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1016308599411310592,False,5.43
440,1016358318816878600,"['fnsr', 'iq', 'lvs', 'aapl', 'all', 'starting', 'to', 'build']",Mon Jul 09 16:28:00 +0000 2018,tim35473,FNSR,Finisar Corporation,,False,5.9799999999999995
446,1016359595156131800,"['if', 'aapl', 'buys', 'fnsr', 'lookout']",Mon Jul 09 16:33:05 +0000 2018,tim35473,FNSR,Finisar Corporation,,False,4.66
466,1016369240910200800,"['finisar', 'analizamos', 'y', 'compramos', 'fnsr', 'por', 'su', 'aspecto', 'tcnico', 'que', 'parece', 'estar', 'cambiando', 'a', 'alcista', 'httpstcoriwbxaspk']",Mon Jul 09 17:11:24 +0000 2018,Introsfera,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1016369240910200833,False,4.8999999999999995
523,1016393306694025200,"['remember', 'cdix', 'its', 'time', 'to', 'look', 'again', 'news', 'imminent', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'rook', 'mu', 'msft', 'fb', 'sqqq', 'httpstcojlthnozx']",Mon Jul 09 18:47:02 +0000 2018,OneOClockDrop,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1016393306694025216,False,5.475555555555555
829,1016557958786900000,"['critical', 'contrast', 'supercom', 'spcb', 'vs', 'finisar', 'fnsr', 'httpstcoqzpqvcnkue']",Tue Jul 10 05:41:18 +0000 2018,dakotafinancial,FNSR,Finisar Corporation,http://dakotafinancialnews.com/?p=307723,False,4.253333333333333
830,1016558261212938200,"['finisar', 'fnsr', 'vs', 'supercom', 'spcb', 'headtohead', 'review', 'httpstcotsosrht']",Tue Jul 10 05:42:30 +0000 2018,ledgerzette,FNSR,Finisar Corporation,http://ledgergazette.com/?p=2816162,False,4.96
1054,1016668567138431000,"['d', 'ma', 'watch', 'list', 'rht', 'gpro', 'aa', 'mnk', 'mnst', 'spwr', 'jpm', 'tlt', 'gps', 'gdx', 'tsla', 'fcau', 'eww', 'schw', 'fnsr', 'enb', 'httpstcojkuuslh']",Tue Jul 10 13:00:49 +0000 2018,TradeAcademyCo,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1016668567138430976,False,5.524
1269,1016726504217047000,"['cdix', 'is', 'starting', 'to', 'come', 'thru', 'more', 'revs', 'and', 'bouncing', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'rook', 'mu', 'msft', 'fb', 'sqqq', 'httpstcomiqfrbr']",Tue Jul 10 16:51:03 +0000 2018,OneOClockDrop,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1016726504217047040,False,5.5311111111111115
1331,1016743316891697200,"['the', 'news', 'below', 'is', 'one', 'of', 'their', 'subsidiaries', 'more', 'news', 'imminent', 'about', 'mergers', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'httpstcootaabwuih']",Tue Jul 10 17:57:51 +0000 2018,OneOClockDrop,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1016743316891697153,False,5.268000000000001
1665,1016864075463254000,"['finisar', 'co', 'fnsr', 'given', 'average', 'rating', 'of', 'hold', 'by', 'brokerages', 'httpstcozvpgjnfq']",Wed Jul 11 01:57:42 +0000 2018,dailypoliticaln,FNSR,Finisar Corporation,http://www.dailypolitical.com/?p=2193731,False,5.277142857142857
1667,1016864791875465200,"['brokerages', 'set', 'finisar', 'co', 'fnsr', 'pt', 'at', 'httpstcooqefziycf']",Wed Jul 11 02:00:33 +0000 2018,TickerReport,FNSR,Finisar Corporation,http://tickerreport.com/?p=3627478,False,5.085
1685,1016883134506209300,"['cdix', 'is', 'about', 'to', 'go', 'ballistic', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'rook', 'mu', 'msft', 'fb', 'sqqq', 'intc', 'cmcsa', 'amat', 'nvda', 'httpstcoashtdzmkcc']",Wed Jul 11 03:13:26 +0000 2018,OneOClockDrop,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1016883134506209281,False,5.246666666666667
1768,1016946998820376600,"['fnsr', 'is', 'bullish', 'above', 'trade', 'near', 'httpstcoqpnfgzjn', 'httpstcobnjpgvuc']",Wed Jul 11 07:27:13 +0000 2018,tradespoon,FNSR,Finisar Corporation,http://tradespoon.com/s.php?t=$FNSR,False,5.76
1872,1017000591900454900,"['get', 'the', 'latest', 'news', 'and', 'updates', 'for', 'eqnr', 'fnsr', 'azpn', 'jbt', 'kdn', 'automatically', 'with', 'marketbeat', 'daily', 'httpstconsjudsyidj']",Wed Jul 11 11:00:10 +0000 2018,RatingsNetwork,FNSR,Finisar Corporation,http://bit.ly/arndailyw,False,5.6259999999999994
2002,1017030707238105100,"['d', 'ma', 'watch', 'list', 'swks', 'gps', 'gdx', 'spwr', 'tlt', 'tsla', 'fcau', 'fnsr', 'rf', 'wfc', 'avgo', 'bbby', 'xlb', 'rht', 'gpro', 'syf', 'httpstcookrphrtmw']",Wed Jul 11 12:59:50 +0000 2018,TradeAcademyCo,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1017030707238105092,False,5.524
2217,1017074666521923600,"['screencap', 'from', 'the', 'us', 'trade', 'rep', 'document', 'tariffs', 'on', 'lots', 'of', 'things', 'this', 'would', 'cover', 'pluggable', 'optics', 'as', 'well', 'httpstcoxmwtuihqg']",Wed Jul 11 15:54:31 +0000 2018,aschmitt,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1017074666521923585,False,5.533333333333333
2319,1017100496887140400,"['looks', 'like', 'someone', 'knows', 'something', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'rook', 'mu', 'msft', 'fb', 'sqqq', 'intc', 'cmcsa', 'amat', 'httpstcoifssugghtc']",Wed Jul 11 17:37:09 +0000 2018,OneOClockDrop,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1017100496887140357,False,5.748571428571428
2371,1017116010405482500,"['cdix', 'full', 'reversal', 'its', 'go', 'time', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'rook', 'mu', 'msft', 'fb', 'sqqq', 'intc', 'cmcsa', 'amat', 'httpstcoievumvgn']",Wed Jul 11 18:38:48 +0000 2018,OneOClockDrop,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1017116010405482497,False,5.513333333333333
2538,1017159122414907400,"['our', 'best', 'trades', 'today', 'were', 'sep', 'on', 'iex', 'fnsr', 'on', 'iex', 'ardx', 'on', 'iex']",Wed Jul 11 21:30:07 +0000 2018,tradeseekerapp,FNSR,Finisar Corporation,,False,5.86
2912,1017328446312271900,"['supercom', 'spcb', 'amp', 'finisar', 'fnsr', 'headtohead', 'comparison', 'httpstcowafnryuv']",Thu Jul 12 08:42:57 +0000 2018,TheMarketsDaily,FNSR,Finisar Corporation,http://zpr.io/6a2DF,False,5.405
2941,1017336325899419600,"['as', 'finisar', 'corp', 'fnsr', 'stock', 'value', 'declined', 'holder', 'kopp', 'investment', 'advisors', 'has', 'cut', 'stake', 'robeco', 'institutional', 'as', 'httpstcoknpnvmtys']",Thu Jul 12 09:14:15 +0000 2018,The_CasualSmart,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1017336325899419649,False,4.974545454545454
3776,1017477062016274400,"['cdix', 'news', 'out', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'rook', 'mu', 'msft', 'fb', 'sqqq', 'intc', 'cmcsa', 'amat', 'nvda', 'sgmo', 'wen', 'httpstcopiyixbcqd']",Thu Jul 12 18:33:30 +0000 2018,OneOClockDrop,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1017477062016274433,False,5.128
3930,1017503591916073000,"['dsp', 'group', 'dspg', 'and', 'finisar', 'fnsr', 'critical', 'review', 'httpstcotbpejfutnq']",Thu Jul 12 20:18:55 +0000 2018,ledgerzette,FNSR,Finisar Corporation,http://ledgergazette.com/?p=2822661,False,4.92
4197,1017559619156283400,"['please', 'just', 'look', 'at', 'the', 'tweet', 'and', 'replys', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'rook', 'mu', 'msft', 'fb', 'sqqq', 'intc', 'cmcsa', 'httpstcovnzlirex']",Fri Jul 13 00:01:33 +0000 2018,OneOClockDrop,FNSR,Finisar Corporation,https://twitter.com/i/web/status/1017559619156283392,False,5.428888888888888
