,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
11916,1019011777693089800,"['rt', 'susanlitv', 'netflix', 'nflx', 'sells', 'off', 'after', 'missing', 'subscriber', 'growth', 'numbers', 'by', 'million', 'also', 'acknowledges', 'impending', 'competition', 'f']",Tue Jul 17 00:11:54 +0000 2018,kaci1951,FOXA,Twenty-First Century Fox,,False,5.326153846153845
11917,1019011777898655700,"['rt', 'susanlitv', 'netflix', 'nflx', 'sells', 'off', 'after', 'missing', 'subscriber', 'growth', 'numbers', 'by', 'million', 'also', 'acknowledges', 'impending', 'competition', 'f']",Tue Jul 17 00:11:54 +0000 2018,navy100,FOXA,Twenty-First Century Fox,,False,5.326153846153845
12039,1019029262840418300,"['rt', 'susanlitv', 'netflix', 'nflx', 'sells', 'off', 'after', 'missing', 'subscriber', 'growth', 'numbers', 'by', 'million', 'also', 'acknowledges', 'impending', 'competition', 'f']",Tue Jul 17 01:21:23 +0000 2018,peginturkey2,FOXA,Twenty-First Century Fox,,False,5.326153846153845
12221,1019057363955998700,"['besides', 'having', 'an', 'excellent', 'technical', 'rating', 'foxa', 'also', 'presents', 'a', 'decent', 'setup', 'pattern', 'httpstcowhmnwhr', 'httpstcozaqeapolxz']",Tue Jul 17 03:13:03 +0000 2018,ChartMill,FOXA,Twenty-First Century Fox,https://www.chartmill.com/analyze.php?utm_source=twitter&utm_medium=TA&utm_content=SETUP&utm_campaign=social_tracking#/FOXA?key=344853ca-7e4f-4652-9f39-3cb430341f15,False,5.761666666666667
12330,1019075456455151600,"['mymoneymystocks', 'bluegrasscap', 'i', 'imagine', 'that', 'it', 'will', 'be', 'very', 'hard', 'for', 'nflx', 'to', 'capture', 'middlelower', 'end', 'market', 'in', 'httpstcowfnkhpkq']",Tue Jul 17 04:24:56 +0000 2018,knowthyself1997,FOXA,Twenty-First Century Fox,https://twitter.com/i/web/status/1019075456455151616,False,5.3928571428571415
12336,1019076462098280400,"['rt', 'knowthyself', 'mymoneymystocks', 'bluegrasscap', 'i', 'imagine', 'that', 'it', 'will', 'be', 'very', 'hard', 'for', 'nflx', 'to', 'capture', 'middlelower', 'end', 'market', 'inter']",Tue Jul 17 04:28:56 +0000 2018,CheeHowTan,FOXA,Twenty-First Century Fox,,False,5.3213333333333335
12345,1019077621143912400,"['rt', 'warriorwin', 'eqlb', 'to', 'introduce', 'drinklastshot', 'to', 'usarmy', 'military', 'show', 'and', 'adding', 'a', 'celebrity', 'to', 'the', 'team', 'stockstowatch', 'hedgefund']",Tue Jul 17 04:33:33 +0000 2018,chunkybidz,FOXA,Twenty-First Century Fox,,False,5.395384615384616
12354,1019081335112065000,"['rt', 'susanlitv', 'netflix', 'nflx', 'sells', 'off', 'after', 'missing', 'subscriber', 'growth', 'numbers', 'by', 'million', 'also', 'acknowledges', 'impending', 'competition', 'f']",Tue Jul 17 04:48:18 +0000 2018,BPFitness,FOXA,Twenty-First Century Fox,,False,5.326153846153845
12390,1019088357178126300,"['rt', 'susanlitv', 'netflix', 'nflx', 'sells', 'off', 'after', 'missing', 'subscriber', 'growth', 'numbers', 'by', 'million', 'also', 'acknowledges', 'impending', 'competition', 'f']",Tue Jul 17 05:16:12 +0000 2018,Stanwyn,FOXA,Twenty-First Century Fox,,False,5.326153846153845
12586,1019112472714805200,"['twentyfirst', 'century', 'fox', 'inc', 'class', 'a', 'forecasted', 'to', 'earn', 'fy', 'earnings', 'of', 'per', 'share', 'foxa', 'httpstcolcshzvk']",Tue Jul 17 06:52:02 +0000 2018,ConsumerFeed,FOXA,Twenty-First Century Fox,http://zpr.io/6XwyR,False,5.765454545454546
12627,1019115981975646200,"['rt', 'susanlitv', 'netflix', 'nflx', 'sells', 'off', 'after', 'missing', 'subscriber', 'growth', 'numbers', 'by', 'million', 'also', 'acknowledges', 'impending', 'competition', 'f']",Tue Jul 17 07:05:59 +0000 2018,Ernst328,FOXA,Twenty-First Century Fox,,False,5.326153846153845
12888,1019154413775138800,"['rt', 'proxyinsight', 'iss', 'and', 'glass', 'lewis', 'back', 'disneys', 'bid', 'to', 'acquire', 'st', 'century', 'fox', 'corpgov', 'proxyvoting', 'dis', 'foxa', 'httpstcoqeoqwijaq']",Tue Jul 17 09:38:41 +0000 2018,DirectorsBoards,FOXA,Twenty-First Century Fox,http://bit.ly/2mma87G,False,5.293333333333334
13119,1019170247532785700,"['cheap', 'call', 'option', 'upside', 'jnug', 'calls', 'cheaper', 'than', 'of', 'history', 'xbi', 'bac', 'foxa', 'swn', 'bmy', 'dal']",Tue Jul 17 10:41:36 +0000 2018,getvolatility,FOXA,Twenty-First Century Fox,,False,5.598888888888889
13129,1019170868264489000,"['rt', 'getvolatility', 'cheap', 'call', 'option', 'upside', 'jnug', 'calls', 'cheaper', 'than', 'of', 'history', 'xbi', 'bac', 'foxa', 'swn', 'bmy', 'd']",Tue Jul 17 10:44:04 +0000 2018,PennyStocksMomo,FOXA,Twenty-First Century Fox,,False,5.453636363636363
13524,1019193629309481000,"['rt', 'susanlitv', 'netflix', 'nflx', 'sells', 'off', 'after', 'missing', 'subscriber', 'growth', 'numbers', 'by', 'million', 'also', 'acknowledges', 'impending', 'competition', 'f']",Tue Jul 17 12:14:31 +0000 2018,CEB_AmeriCan,FOXA,Twenty-First Century Fox,,False,5.326153846153845
13640,1019199411065376800,"['rt', 'susanlitv', 'netflix', 'nflx', 'sells', 'off', 'after', 'missing', 'subscriber', 'growth', 'numbers', 'by', 'million', 'also', 'acknowledges', 'impending', 'competition', 'f']",Tue Jul 17 12:37:30 +0000 2018,socmagmom,FOXA,Twenty-First Century Fox,,False,5.326153846153845
14010,1019215584419106800,"['rt', 'susanlitv', 'netflix', 'nflx', 'sells', 'off', 'after', 'missing', 'subscriber', 'growth', 'numbers', 'by', 'million', 'also', 'acknowledges', 'impending', 'competition', 'f']",Tue Jul 17 13:41:46 +0000 2018,hottubjohn,FOXA,Twenty-First Century Fox,,False,5.326153846153845
