,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
400,1016344414464168000,"['frt', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoogvbsaond', 'httpstcoqwagmqe']",Mon Jul 09 15:32:45 +0000 2018,optioncharts,FRT,Federal Realty Investment Trust,http://maximum-pain.com/options/max-pain/FRT,False,4.888
521,1016392113465053200,"['federal', 'realty', 'investment', 'trust', 'frt', 'has', 'been', 'in', 'rally', 'mode', 'from', 'its', 'february', 'low', 'a', 'number', 'of', 'bullish', 'signals', 'httpstcodqhsucypx']",Mon Jul 09 18:42:18 +0000 2018,realmoney,FRT,Federal Realty Investment Trust,https://twitter.com/i/web/status/1016392113465053186,False,5.27875
525,1016394838609219600,"['rt', 'realmoney', 'federal', 'realty', 'investment', 'trust', 'frt', 'has', 'been', 'in', 'rally', 'mode', 'from', 'its', 'february', 'low', 'a', 'number', 'of', 'bullish', 'signals', 'can', 'be', 'se']",Mon Jul 09 18:53:07 +0000 2018,BruceKamich,FRT,Federal Realty Investment Trust,,False,5.275999999999999
705,1016473061544091600,"['federal', 'realty', 'investment', 'trust', 'frt', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcorztfhc']",Tue Jul 10 00:03:57 +0000 2018,ThisLincolnian,FRT,Federal Realty Investment Trust,http://thelincolnianonline.com/?p=2173094,False,5.8420000000000005
709,1016473570569056300,"['zacks', 'analysts', 'expect', 'federal', 'realty', 'investment', 'trust', 'frt', 'will', 'post', 'quarterly', 'sales', 'of', 'million', 'httpstcoiuzgcwyh']",Tue Jul 10 00:05:59 +0000 2018,MareaInformativ,FRT,Federal Realty Investment Trust,http://www.mareainformativa.com/?p=412928,False,5.776363636363636
1620,1016831922234851300,"['top', 'lt', 'aristocrats', 'momentum', 'adm', 'frt', 'tgt', 'pep', 'leg', 'bottom', 'mmm', 'ben', 'cah', 'dov', 'pnr', 'httpstcopzhlonbdz']",Tue Jul 10 23:49:56 +0000 2018,AndersenBands,FRT,Federal Realty Investment Trust,https://twitter.com/i/web/status/1016831922234851329,False,5.47
1944,1017020635397132300,"['federal', 'realty', 'investment', 'trust', 'frt', 'eps', 'estimated', 'at', 'httpstcovqgnwfgoke']",Wed Jul 11 12:19:49 +0000 2018,whatsonthorold2,FRT,Federal Realty Investment Trust,https://www.whatsonthorold.com/2018/07/11/federal-realty-investment-trust-frt-eps-estimated-at-1-53/,False,5.692
1945,1017020703701454800,"['analysts', 'see', 'eps', 'for', 'federal', 'realty', 'investment', 'trust', 'frt', 'httpstcoaglocmfep']",Wed Jul 11 12:20:05 +0000 2018,mmahotstuff1,FRT,Federal Realty Investment Trust,https://www.mmahotstuff.com/2018/07/11/analysts-see-1-53-eps-for-federal-realty-investment-trust-frt.html,False,5.713333333333334
1947,1017020871905603600,"['analysts', 'see', 'eps', 'for', 'federal', 'realty', 'investment', 'trust', 'frt', 'httpstcoxhchihwtsn']",Wed Jul 11 12:20:45 +0000 2018,reurope_stock,FRT,Federal Realty Investment Trust,https://reurope.com/2018/07/11/analysts-see-1-53-eps-for-federal-realty-investment-trust-frt/,False,5.713333333333334
2444,1017139518456070100,"['rt', 'drastichs', 'stocks', 'etf', 'amp', 'funds', 'to', 'review', 'alphabetically', 'eqt', 'eri', 'erx', 'esrt', 'este', 'ete', 'etsy', 'evrg', 'expe', 'extr', 'f', 'fcea', 'fcpt', 'fc']",Wed Jul 11 20:12:13 +0000 2018,drastichs,FRT,Federal Realty Investment Trust,,False,5.222222222222222
