,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
9062,1018786823072616400,"['short', 'sale', 'vol', 'not', 'short', 'interest', 'for', 'gfi', 'on', 'is', 'httpstcoyeqqnokjln', 'iag', 'rgld', 'gg', 'aem']",Mon Jul 16 09:18:01 +0000 2018,shortvolumes,GG,Goldcorp Inc.,http://shortvolumes.com/?t=GFI,False,5.242222222222222
9155,1018802338121822200,"['goldcorp', 'inc', 'expected', 'to', 'earn', 'q', 'earnings', 'of', 'per', 'share', 'gg', 'httpstcoidcaxvlei']",Mon Jul 16 10:19:40 +0000 2018,MareaInformativ,GG,Goldcorp Inc.,http://www.mareainformativa.com/?p=453439,False,5.751111111111111
9160,1018802460289388500,"['gemroyalty', 'tnrgold', 'tnrv', 'shotgun', 'gold', 'project', 'gold', 'in', 'alaskan', 'elephant', 'country', 'httpstcouyoxtzyduh', 'httpstcojrgltsue']",Mon Jul 16 10:20:09 +0000 2018,kirillklip,GG,Goldcorp Inc.,http://kirillklip.blogspot.com/2018/06/tnr-gold-shotgun-gold-project-gold-in.html#.WxltDguksGE.twitter,False,6.036666666666666
9170,1018802834190602200,"['gemroyalty', 'co', 'tnrgold', 'tnrv', 'shotgungold', 'project', 'kirillklip', 'next', 'step', 'with', 'shotgun', 'is', 'to', 'find', 'an', 'httpstcotvztvl']",Mon Jul 16 10:21:38 +0000 2018,kirillklip,GG,Goldcorp Inc.,https://twitter.com/i/web/status/1018802834190602245,False,5.192
9190,1018804074274263000,"['investorintel', 'tnrgold', 'fine', 'tuning', 'royalty', 'model', 'for', 'green', 'energy', 'metals', 'httpstcoiiugtxgh', 'gemroyalty', 'httpstcomzsqcty']",Mon Jul 16 10:26:34 +0000 2018,kirillklip,GG,Goldcorp Inc.,http://kirillklip.blogspot.com/2018/05/investorintel-tnr-gold-fine-tuning.html#.WvK0t4XVTpg.twitter,False,6.293333333333333
9325,1018816263454199800,"['rt', 'tweetsmillenia', 'seasonax', 'just', 'published', 'a', 'closer', 'look', 'at', 'seasonal', 'trend', 'in', 'gold', 'gld', 'slv', 'gdx', 'gdxj', 'abx', 'nem', 'au', 'gg', 'bvn', 'fcx', 'rio']",Mon Jul 16 11:15:00 +0000 2018,YC90567282,GG,Goldcorp Inc.,,False,5.576923076923077
9603,1018838889727971300,"['rt', 'kirillklip', 'investorintel', 'tnrgold', 'fine', 'tuning', 'royalty', 'model', 'for', 'green', 'energy', 'metals', 'httpstcoiiugtxgh', 'gemroyalty', 'tesla']",Mon Jul 16 12:44:55 +0000 2018,LobanovaNatalie,GG,Goldcorp Inc.,http://kirillklip.blogspot.com/2018/05/investorintel-tnr-gold-fine-tuning.html#.WvK0t4XVTpg.twitter,False,6.091428571428572
9609,1018839141847568400,"['rt', 'kirillklip', 'gemroyalty', 'tnrgold', 'tnrv', 'shotgun', 'gold', 'project', 'gold', 'in', 'alaskan', 'elephant', 'country', 'httpstcouyoxtzyduh', 'alaska', 'ng', 'a']",Mon Jul 16 12:45:55 +0000 2018,LobanovaNatalie,GG,Goldcorp Inc.,http://kirillklip.blogspot.com/2018/06/tnr-gold-shotgun-gold-project-gold-in.html#.WxltDguksGE.twitter,False,5.68
9612,1018839221933629400,"['rt', 'kirillklip', 'gemroyalty', 'co', 'tnrgold', 'tnrv', 'shotgungold', 'project', 'kirillklip', 'next', 'step', 'with', 'shotgun', 'is', 'to', 'find', 'an', 'exploration', 'partne']",Mon Jul 16 12:46:14 +0000 2018,LobanovaNatalie,GG,Goldcorp Inc.,,False,5.163636363636363
10206,1018874377243451400,"['rt', 'kirillklip', 'investorintel', 'tnrgold', 'fine', 'tuning', 'royalty', 'model', 'for', 'green', 'energy', 'metals', 'httpstcoiiugtxgh', 'gemroyalty', 'tesla']",Mon Jul 16 15:05:55 +0000 2018,TNR_Gold,GG,Goldcorp Inc.,http://kirillklip.blogspot.com/2018/05/investorintel-tnr-gold-fine-tuning.html#.WvK0t4XVTpg.twitter,False,6.091428571428572
