,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
10987,1018925509890019300,"['rt', 'swingtradebot', 'recent', 'ggp', 'technical', 'alerts', 'narrow', 'range', 'bar', 'plus', 'more', 'alerts', 'httpstcorktyooyoq']",Mon Jul 16 18:29:06 +0000 2018,tradnews_,GGP,GGP Inc.,https://swingtradebot.com/equities/GGP,False,5.5925
10999,1018926250008576000,"['explore', 'fundamental', 'numbers', 'and', 'pros', 'and', 'cons', 'for', 'ggp', 'httpstcollrarlx']",Mon Jul 16 18:32:03 +0000 2018,1MinuteStock,GGP,GGP Inc.,https://unicornbay.com/t/GGP.US?utm_medium=tweet&utm_campaign=proscons&utm_source=twitter,False,5.634999999999999
11780,1018990364814962700,"['clf', 'bac', 'fb', 'ggp', 'tgt', 'iq', 'trco', 'amd', 'aaba', 'jpm', 'aapl', 'c', 'highest', 'volume', 'strikes', 'httpstcoqknmcfoks']",Mon Jul 16 22:46:49 +0000 2018,teresaarthur66,GGP,GGP Inc.,,False,5.356
11902,1019009844697878500,"['price', 'returns', 'vs', 'expected', 'daily', 'move', 'db', 'bac', 'jpm', 'c', 'wfc', 'gs', 'ms', 'schw', 'bpy', 'pypl', 'ggp', 'v', 'httpstcotyzla']",Tue Jul 17 00:04:13 +0000 2018,MC_OptionTrades,GGP,GGP Inc.,https://marketchameleon.com/Home/Dashboard/,False,5.059999999999999
12055,1019032698629886000,"['ggp', 'outperforms', 'of', 'all', 'stocks', 'httpstconmznnehcfs', 'greatlandgoldplc', 'londonstockexchange', 'ggp', 'chartmill', 'httpstcocqsfqrkwx']",Tue Jul 17 01:35:02 +0000 2018,ChartMill,GGP,GGP Inc.,https://www.chartmill.com/analyze.php?utm_source=twitterEU&utm_medium=TA&utm_content=TA&utm_campaign=social_tracking#/GGP.L?key=03dfc45f-5590-4729-af2c-0ce4a10c543a,False,5.506666666666667
12186,1019048837816700900,"['cheap', 'put', 'options', 'and', 'hedges', 'foxa', 'puts', 'cheaper', 'than', 'of', 'history', 'bmy', 'bac', 'swn', 'xbi', 'ggp', 'rig']",Tue Jul 17 02:39:10 +0000 2018,getvolatility,GGP,GGP Inc.,,False,5.408888888888888
12192,1019050329822777300,"['rt', 'getvolatility', 'cheap', 'put', 'options', 'and', 'hedges', 'foxa', 'puts', 'cheaper', 'than', 'of', 'history', 'bmy', 'bac', 'swn', 'xbi', 'ggp']",Tue Jul 17 02:45:06 +0000 2018,PennyStocksMomo,GGP,GGP Inc.,,False,5.356
12202,1019053351302881300,"['rt', 'getvolatility', 'cheap', 'put', 'options', 'and', 'hedges', 'foxa', 'puts', 'cheaper', 'than', 'of', 'history', 'bmy', 'bac', 'swn', 'xbi', 'ggp']",Tue Jul 17 02:57:06 +0000 2018,ittalexk,GGP,GGP Inc.,,False,5.356
12645,1019117757818900500,"['ggp', 'both', 'the', 'short', 'term', 'and', 'long', 'term', 'trends', 'are', 'positive', 'this', 'is', 'a', 'very', 'positive', 'sign', 'httpstconmznnehcfs', 'httpstcoqzkvuyl']",Tue Jul 17 07:13:02 +0000 2018,ChartMill,GGP,GGP Inc.,https://www.chartmill.com/analyze.php?utm_source=twitterEU&utm_medium=TA&utm_content=TA&utm_campaign=social_tracking#/GGP.L?key=03dfc45f-5590-4729-af2c-0ce4a10c543a,False,5.571249999999999
12720,1019128332917538800,"['ggp', 'greatland', 'gold', 'plc', 'black', 'hills', 'update', 'httpstcoqlpknnmnzw']",Tue Jul 17 07:55:03 +0000 2018,SubhashKishan,GGP,GGP Inc.,http://uk.advfn.com/stock-market/london/GGP/share-news/Greatland-Gold-PLC-Black-Hills-Update/77874974?adw=1126416,False,6.14
12721,1019128335761313800,"['ggp', 'greatland', 'gold', 'plc', 'black', 'hills', 'update', 'httpstcoqsidivxnzj']",Tue Jul 17 07:55:04 +0000 2018,Robbievans11,GGP,GGP Inc.,http://uk.advfn.com/stock-market/london/GGP/share-news/Greatland-Gold-PLC-Black-Hills-Update/77874974?adw=1126416,False,6.14
12722,1019128338353451000,"['ggp', 'greatland', 'gold', 'plc', 'black', 'hills', 'update', 'httpstcoynnubljbx']",Tue Jul 17 07:55:05 +0000 2018,chrisjparrish,GGP,GGP Inc.,http://uk.advfn.com/stock-market/london/GGP/share-news/Greatland-Gold-PLC-Black-Hills-Update/77874974?adw=1126416,False,6.14
12723,1019128341251674100,"['ggp', 'greatland', 'gold', 'plc', 'black', 'hills', 'update', 'httpstcodmqicmkxfx']",Tue Jul 17 07:55:05 +0000 2018,mattison76,GGP,GGP Inc.,http://uk.advfn.com/stock-market/london/GGP/share-news/Greatland-Gold-PLC-Black-Hills-Update/77874974?adw=1126416,False,6.14
12724,1019128344426803200,"['ggp', 'greatland', 'gold', 'plc', 'black', 'hills', 'update', 'httpstcothbnsfrhw']",Tue Jul 17 07:55:06 +0000 2018,johnfryUKIF,GGP,GGP Inc.,http://uk.advfn.com/stock-market/london/GGP/share-news/Greatland-Gold-PLC-Black-Hills-Update/77874974?adw=1126416,False,6.14
12773,1019135651487322100,"['rt', 'chartmill', 'ggp', 'both', 'the', 'short', 'term', 'and', 'long', 'term', 'trends', 'are', 'positive', 'this', 'is', 'a', 'very', 'positive', 'sign', 'httpstconmznnehcfs', 'greatlan']",Tue Jul 17 08:24:08 +0000 2018,clancy3105,GGP,GGP Inc.,https://www.chartmill.com/analyze.php?utm_source=twitterEU&utm_medium=TA&utm_content=TA&utm_campaign=social_tracking#/GGP.L?key=03dfc45f-5590-4729-af2c-0ce4a10c543a,False,5.5305882352941165
12846,1019147923890860000,"['ggp', 'greatland', 'gold', 'to', 'begin', 'new', 'exploration', 'programme', 'at', 'black', 'hills', 'licence', 'httpstcoauqmsxmeo', 'via', 'httpstcosrkzrgzm']",Tue Jul 17 09:12:54 +0000 2018,proactive_UK,GGP,GGP Inc.,http://tinyurl.com/y6u397l7,False,5.884444444444444
