,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
18088,1019459783840223200,"['rt', 'andybiotech', 'nvs', 'kymriah', 'q', 'sales', 'm', 'misses', 'consensus', 'of', 'm', 'gt', 'gild', 'entresto', 'q', 'sales', 'm', 'beats', 'consensus', 'of', 'm', 'finally']",Wed Jul 18 05:52:07 +0000 2018,pnani456,GILD,Gilead Sciences,,False,5.10235294117647
18124,1019463200637620200,"['rt', 'andybiotech', 'nvs', 'kymriah', 'q', 'sales', 'm', 'misses', 'consensus', 'of', 'm', 'gt', 'gild', 'entresto', 'q', 'sales', 'm', 'beats', 'consensus', 'of', 'm', 'finally']",Wed Jul 18 06:05:42 +0000 2018,ByMadeleineA,GILD,Gilead Sciences,,False,5.10235294117647
18140,1019464557549498400,"['rt', 'andybiotech', 'nvs', 'kymriah', 'q', 'sales', 'm', 'misses', 'consensus', 'of', 'm', 'gt', 'gild', 'entresto', 'q', 'sales', 'm', 'beats', 'consensus', 'of', 'm', 'finally']",Wed Jul 18 06:11:05 +0000 2018,Pharmapot,GILD,Gilead Sciences,,False,5.10235294117647
18212,1019470095633043500,"['rt', 'andybiotech', 'nvs', 'kymriah', 'q', 'sales', 'm', 'misses', 'consensus', 'of', 'm', 'gt', 'gild', 'entresto', 'q', 'sales', 'm', 'beats', 'consensus', 'of', 'm', 'finally']",Wed Jul 18 06:33:06 +0000 2018,BiotechRadar,GILD,Gilead Sciences,,False,5.10235294117647
18242,1019471596786864100,"['rt', 'andybiotech', 'nvs', 'kymriah', 'q', 'sales', 'm', 'misses', 'consensus', 'of', 'm', 'gt', 'gild', 'entresto', 'q', 'sales', 'm', 'beats', 'consensus', 'of', 'm', 'finally']",Wed Jul 18 06:39:04 +0000 2018,varma_ashwin97,GILD,Gilead Sciences,,False,5.10235294117647
18286,1019474469847556100,"['rt', 'drmiguelperales', 'cart', 'bottleneck', 'centers', 'that', 'collect', 'patient', 'cells', 'feel', 'crunch', 'from', 'growing', 'demand', 'incl', 'quotes', 'from', 'penncancer', 'dav']",Wed Jul 18 06:50:29 +0000 2018,albertomussetti,GILD,Gilead Sciences,,False,5.3116666666666665
18421,1019482248142295000,"['partial', 'profits', 'signal', 'for', 'sampp', 'can', 'also', 'take', 'partial', 'profits', 'in', 'fb', 'gild', 'opk', 'and', 'pypl', 'more', 'stocks', 'httpstcorqzuiwsw']",Wed Jul 18 07:21:23 +0000 2018,lunatictrader1,GILD,Gilead Sciences,https://twitter.com/i/web/status/1019482248142295040,False,5.665714285714286
18441,1019483319183052800,"['rt', 'lunatictrader', 'partial', 'profits', 'signal', 'for', 'sampp', 'can', 'also', 'take', 'partial', 'profits', 'in', 'fb', 'gild', 'opk', 'and', 'pypl', 'more', 'stocks', 'httpstc']",Wed Jul 18 07:25:39 +0000 2018,ReversalLevels,GILD,Gilead Sciences,,False,5.613333333333333
18496,1019486824526504000,"['rt', 'lunatictrader', 'partial', 'profits', 'signal', 'for', 'sampp', 'can', 'also', 'take', 'partial', 'profits', 'in', 'fb', 'gild', 'opk', 'and', 'pypl', 'more', 'stocks', 'httpstc']",Wed Jul 18 07:39:34 +0000 2018,FerZed,GILD,Gilead Sciences,,False,5.613333333333333
18500,1019487397837336600,"['rt', 'andybiotech', 'nvs', 'kymriah', 'q', 'sales', 'm', 'misses', 'consensus', 'of', 'm', 'gt', 'gild', 'entresto', 'q', 'sales', 'm', 'beats', 'consensus', 'of', 'm', 'finally']",Wed Jul 18 07:41:51 +0000 2018,dhovekamp42,GILD,Gilead Sciences,,False,5.10235294117647
18588,1019494250470428700,"['rt', 'andybiotech', 'nvs', 'kymriah', 'q', 'sales', 'm', 'misses', 'consensus', 'of', 'm', 'gt', 'gild', 'entresto', 'q', 'sales', 'm', 'beats', 'consensus', 'of', 'm', 'finally']",Wed Jul 18 08:09:05 +0000 2018,ByAmyBrown,GILD,Gilead Sciences,,False,5.10235294117647
18759,1019507888916779000,"['rt', 'andybiotech', 'nvs', 'kymriah', 'q', 'sales', 'm', 'misses', 'consensus', 'of', 'm', 'gt', 'gild', 'entresto', 'q', 'sales', 'm', 'beats', 'consensus', 'of', 'm', 'finally']",Wed Jul 18 09:03:16 +0000 2018,zbiotech,GILD,Gilead Sciences,,False,5.10235294117647
18798,1019511414736719900,"['clls', 'alcls', 'nvs', 'celg', 'gild', 'gsk', 'sgmo', 'httpstcoojahpf']",Wed Jul 18 09:17:17 +0000 2018,BehaviorFin,GILD,Gilead Sciences,https://twitter.com/DrMiguelPerales/status/1019237933348458498,False,0.0
18932,1019520726037090300,"['shout', 'out', 'to', 'gild', 'for', 'that', 'truvada', 'httpstcosvannams']",Wed Jul 18 09:54:17 +0000 2018,drysvictim,GILD,Gilead Sciences,,False,4.728
