,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
6838,1018313373606449200,"['sanford', 'c', 'bernstein', 'reiterates', 'sell', 'rating', 'for', 'general', 'mills', 'gis', 'httpstcozsxkwpf']",Sun Jul 15 01:56:42 +0000 2018,dailypoliticaln,GIS,General Mills,http://www.dailypolitical.com/?p=2200822,False,5.2942857142857145
6868,1018319054363381800,"['general', 'mills', 'inc', 'gis', 'receives', 'average', 'recommendation', 'of', 'hold', 'from', 'brokerages', 'httpstcoksxbkndes']",Sun Jul 15 02:19:16 +0000 2018,dakotafinancial,GIS,General Mills,http://dakotafinancialnews.com/?p=316678,False,5.33125
6869,1018319450305593300,"['general', 'mills', 'inc', 'gis', 'given', 'average', 'recommendation', 'of', 'hold', 'by', 'analysts', 'httpstcouhtpapoah']",Sun Jul 15 02:20:51 +0000 2018,ledgerzette,GIS,General Mills,http://ledgergazette.com/?p=2824935,False,5.231111111111111
6928,1018331189197901800,"['both', 'gis', 'and', 'post', 'look', 'primed', 'for', 'a', 'move', 'might', 'have', 'to', 'grab', 'a', 'bowl', 'full', 'httpstcognbtdqp']",Sun Jul 15 03:07:29 +0000 2018,maginarydragons,GIS,General Mills,,False,5.438571428571429
7039,1018355552307556400,"['general', 'mills', 'inc', 'gis', 'insider', 'sells', 'in', 'stock', 'httpstcoxnxelqu']",Sun Jul 15 04:44:18 +0000 2018,ConsumerFeed,GIS,General Mills,http://zpr.io/6NVFL,False,5.420000000000001
7434,1018416626490859500,"['earnings', 'per', 'share', 'expected', 'for', 'general', 'mills', 'inc', 'gis', 'this', 'quarter', 'httpstcovbaxbbjxbg']",Sun Jul 15 08:46:59 +0000 2018,ledgerzette,GIS,General Mills,http://ledgergazette.com/?p=2826500,False,5.648000000000001
8017,1018505533660135400,"['rt', 'andriacheng', 'its', 'not', 'just', 'a', 'story', 'of', 'frozen', 'food', 'being', 'hot', 'again', 'the', 'why', 'and', 'how', 'conagra', 'and', 'pinnacle', 'foods', 'have', 'perhaps', 'even', 'outdone']",Sun Jul 15 14:40:16 +0000 2018,AugustadSays,GIS,General Mills,,False,5.377142857142858
8206,1018534466527035400,"['piper', 'jaffray', 'companies', 'analysts', 'give', 'general', 'mills', 'gis', 'a', 'price', 'target', 'httpstcoahpqmwlzua']",Sun Jul 15 16:35:14 +0000 2018,EnterpriseLeade,GIS,General Mills,http://theenterpriseleader.com/?p=988543,False,5.415
8229,1018537676465721300,"['general', 'mills', 'gis', 'pt', 'set', 'at', 'by', 'piper', 'jaffray', 'companies', 'httpstcotsxawnnh']",Sun Jul 15 16:48:00 +0000 2018,TheMarketsDaily,GIS,General Mills,http://zpr.io/6XTi2,False,5.22
8243,1018538803512954900,"['piper', 'jaffray', 'companies', 'analysts', 'give', 'general', 'mills', 'gis', 'a', 'price', 'target', 'httpstcohezpkhmgj']",Sun Jul 15 16:52:28 +0000 2018,dispatchtribune,GIS,General Mills,http://dispatchtribunal.com/?p=2055221,False,5.415
8247,1018539174130004000,"['general', 'mills', 'gis', 'given', 'a', 'price', 'target', 'by', 'piper', 'jaffray', 'companies', 'analysts', 'httpstcoqupgpoq']",Sun Jul 15 16:53:57 +0000 2018,OlympiaReport,GIS,General Mills,http://theolympiareport.com/?p=925970,False,5.277777777777778
8299,1018548019560681500,"['general', 'mills', 'gis', 'pt', 'set', 'at', 'by', 'piper', 'jaffray', 'companies', 'httpstconqjggsdpla']",Sun Jul 15 17:29:06 +0000 2018,MareaInformativ,GIS,General Mills,http://www.mareainformativa.com/?p=451721,False,5.22
8411,1018561465790459900,"['piper', 'jaffray', 'companies', 'analysts', 'give', 'general', 'mills', 'gis', 'a', 'price', 'target', 'httpstcovyzxxebgfo']",Sun Jul 15 18:22:32 +0000 2018,MareaInformativ,GIS,General Mills,http://www.mareainformativa.com/?p=451954,False,5.415
8543,1018582243395145700,"['is', 'general', 'mills', 'incs', 'gis', 'institutional', 'investor', 'sentiment', 'httpstcokjdfpbnng']",Sun Jul 15 19:45:05 +0000 2018,whatsonthorold2,GIS,General Mills,https://www.whatsonthorold.com/2018/07/15/0-84-is-general-mills-incs-nysegis-institutional-investor-sentiment/,False,5.3933333333333335
8546,1018582321602158600,"['general', 'mills', 'inc', 'gis', 'stock', 'price', 'down', 'as', 'sentiment', 'crashes', 'httpstcoocjslipp']",Sun Jul 15 19:45:24 +0000 2018,mmahotstuff1,GIS,General Mills,https://www.mmahotstuff.com/2018/07/15/general-mills-inc-nysegis-stock-price-down-as-sentiment-crashes.html,False,5.135
8548,1018582517937369100,"['general', 'mills', 'inc', 'gis', 'sentiment', 'worsened', 'because', 'httpstcotclylhle']",Sun Jul 15 19:46:11 +0000 2018,reurope_stock,GIS,General Mills,https://reurope.com/2018/07/15/general-mills-inc-nysegis-sentiment-worsened-because/,False,5.28
