,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
17130,1019383023903690800,"['trade', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'on', 'trading', 'fees', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'httpstcosikqsctzs']",Wed Jul 18 00:47:06 +0000 2018,carolgibson394,GLW,Corning Incorporated,http://binance.com/?ref=10078236,False,5.789090909090908
17156,1019385303637921800,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcootuncdz', 'sxc', 'httpstcoyimiomicoe']",Wed Jul 18 00:56:10 +0000 2018,oliverpaige625,GLW,Corning Incorporated,http://discord.gg/tXbaTxx,False,5.630714285714286
17160,1019385436517687300,"['our', 'bot', 'detects', 'coin', 'listings', 'faster', 'than', 'official', 'announcement', 'join', 'us', 'httpstcoirbfumt', 'xios', 'httpstcodlpbxyzil']",Wed Jul 18 00:56:41 +0000 2018,Michael40684539,GLW,Corning Incorporated,http://discord.gg/tXbaTxx,False,5.775555555555556
17424,1019405315664744400,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcovwylkynu', 'bkx', 'httpstcohgozbdpjtl']",Wed Jul 18 02:15:41 +0000 2018,melaniebower89a,GLW,Corning Incorporated,http://discord.gg/tXbaTxx,False,5.630714285714286
17488,1019409935728365600,"['corning', 'incorporated', 'glw', 'price', 'movement', 'is', 'underground', 'the', 'day', 'moving', 'httpstcomspo', 'glw', 'stocks', 'stockmarket']",Wed Jul 18 02:34:03 +0000 2018,StocksPredictr,GLW,Corning Incorporated,https://www.analystrecommendation.com/2018/03/15/corning-incorporated-glw-price-movement-is-underground-the-200-day-moving-average-trend-is-negative/,False,5.381111111111111
17513,1019411460827570200,"['binance', 'has', 'stop', 'loss', 'feature', 'to', 'help', 'protect', 'your', 'assets', 'register', 'for', 'bonus', 'httpstcoufiwnbk', 'cdt', 'httpstcotigiwsm']",Wed Jul 18 02:40:06 +0000 2018,carolyn47529089,GLW,Corning Incorporated,http://binance.com/?ref=10078236,False,5.491666666666666
17603,1019419431842218000,"['binance', 'is', 'the', 'fastest', 'growing', 'crypto', 'exchange', 'in', 'join', 'us', 'register', 'for', 'bonus', 'httpstcovcjxm', 'httpstcocijydcwo']",Wed Jul 18 03:11:47 +0000 2018,AliKirk64922805,GLW,Corning Incorporated,http://binance.com/?ref=10078236,False,5.85
17704,1019428432948670500,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcovwylkynu', 'mda', 'httpstcoklvoeaql']",Wed Jul 18 03:47:33 +0000 2018,melaniebower89a,GLW,Corning Incorporated,http://discord.gg/tXbaTxx,False,5.630714285714286
17739,1019430915947319300,"['exchange', 'on', 'binance', 'with', 'discount', 'trading', 'fee', 'register', 'for', 'bonus', 'httpstcowwjyaqlvg', 'dna', 'mtl', 'httpstcolbyala']",Wed Jul 18 03:57:25 +0000 2018,JamesCribbs17,GLW,Corning Incorporated,http://binance.com/?ref=10078236,False,5.737999999999999
17797,1019434850179321900,"['huge', 'coin', 'selection', 'low', 'fees', 'and', 'very', 'reliable', 'join', 'kucoin', 'register', 'for', 'bonus', 'httpstcowypwolx', 'httpstcojlcifv']",Wed Jul 18 04:13:03 +0000 2018,PWestlake,GLW,Corning Incorporated,http://kucoin.com/#/?r=E3aQNa,False,5.724999999999999
