,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
18497,1019487014201196500,"['binance', 'has', 'over', 'million', 'users', 'join', 'us', 'today', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'aur', 'amzn', 'gm', 'httpstcotpxjfelsa']",Wed Jul 18 07:40:19 +0000 2018,chloeball366,GM,General Motors Company,http://binance.com/?ref=10078236,False,5.867272727272726
18529,1019489465319022600,"['bitmex', 'offers', 'leveraged', 'trading', 'products', 'on', 'digital', 'currencies', 'register', 'for', 'bonus', 'httpstcofwrwbzmgws', 'httpstcovekqxjbfo']",Wed Jul 18 07:50:04 +0000 2018,JustinA25256101,GM,General Motors Company,http://bitmex.com/register/6vXB0G,False,6.034999999999999
18818,1019512747497787400,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcohklaiww']",Wed Jul 18 09:22:35 +0000 2018,victorblake392,GM,General Motors Company,https://twitter.com/i/web/status/1019512747497787398,False,5.699999999999999
18936,1019520900885041200,"['xlf', 'amd', 'gm', 'amat', 'wmt', 'msft', 'c', 'roku', 'box', 'sogo', 'huya', 'high', 'call', 'volume', 'bullish']",Wed Jul 18 09:54:59 +0000 2018,Tradenews68,GM,General Motors Company,,False,5.536666666666666
19004,1019525218937856000,"['join', 'us', 'for', 'signals', 'from', 'multiple', 'paid', 'groups', 'all', 'in', 'one', 'join', 'us', 'httpstcocotmebo', 'vtc', 'iop', 'xby', 'httpstcopqculrva']",Wed Jul 18 10:12:08 +0000 2018,RonaldF05176792,GM,General Motors Company,http://discord.gg/tXbaTxx,False,5.876923076923077
19115,1019529839911620600,"['electrekco', 'gm', 'can', 'learn', 'something', 'from', 'nissan', 'here']",Wed Jul 18 10:30:30 +0000 2018,BonaireVolt,GM,General Motors Company,,False,5.466666666666666
19129,1019530044534902800,"['general', 'motors', 'gm', 'to', 'release', 'earnings', 'on', 'wednesday', 'httpstcohdvylbuqsx']",Wed Jul 18 10:31:19 +0000 2018,MareaInformativ,GM,General Motors Company,http://www.mareainformativa.com/?p=466454,False,5.6125
19166,1019531721358929900,"['sign', 'up', 'and', 'get', 'fee', 'discount', 'with', 'bitmex', 'register', 'for', 'bonus', 'httpstcolitbegn', 'xuc', 'bos', 'bpt', 'httpstcohdwbgzijso']",Wed Jul 18 10:37:59 +0000 2018,OscarBo58830892,GM,General Motors Company,http://bitmex.com/register/6vXB0G,False,5.747999999999999
19401,1019539650854162400,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcolutvssm']",Wed Jul 18 11:09:29 +0000 2018,melaniebower89a,GM,General Motors Company,https://twitter.com/i/web/status/1019539650854162433,False,5.699999999999999
19817,1019553830906859500,"['kucoin', 'lists', 'the', 'best', 'hidden', 'gem', 'coins', 'sign', 'up', 'to', 'trade', 'register', 'for', 'bonus', 'httpstcodrnsrqjof', 'edo', 'httpstcofykenos']",Wed Jul 18 12:05:50 +0000 2018,JosePerryman3,GM,General Motors Company,http://kucoin.com/#/?r=E3aQNa,False,5.714545454545454
20522,1019571657453731800,"['rampcapitalllc', 'gm', 'it', 'went', 'bankrupt', 'and', 'amr', 'also', 'bankrupt']",Wed Jul 18 13:16:40 +0000 2018,heangelman,GM,General Motors Company,,False,5.072
20583,1019572747947724800,"['kucoin', 'lists', 'the', 'best', 'hidden', 'gem', 'coins', 'sign', 'up', 'to', 'trade', 'register', 'for', 'bonus', 'httpstcodrnsrqjof', 'tix', 'httpstcoxjmtjdaqvs']",Wed Jul 18 13:21:00 +0000 2018,JosePerryman3,GM,General Motors Company,http://kucoin.com/#/?r=E3aQNa,False,5.6483333333333325
20978,1019579875764703200,"['baseball', 'beer', 'help', 'wright', 'brothers', 'hometown', 'rise', 'again', 'gm', 'gm', 'sports', 'travel', 'museums', 'httpstcovjyrlbon']",Wed Jul 18 13:49:19 +0000 2018,RatingsNetwork,GM,General Motors Company,http://zpr.io/6Xcan,False,5.968333333333334
20981,1019579912016089100,"['baseball', 'beer', 'help', 'wright', 'brothers', 'hometown', 'rise', 'again', 'gm', 'gm', 'sports', 'travel', 'museums', 'httpstcomygjpzhq']",Wed Jul 18 13:49:28 +0000 2018,MarketBeatNews,GM,General Motors Company,https://www.marketbeat.com/n/3940670/,False,5.968333333333334
21208,1019584181326753800,"['invest', 'your', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'trading', 'fee', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'httpstcoxpftfakm']",Wed Jul 18 14:06:26 +0000 2018,chloeball366,GM,General Motors Company,http://binance.com/?ref=10078236,False,5.8127272727272725
21240,1019585097182277600,"['gm', 'notable', 'premium', 'selling', 'in', 'gm', 'as', 'shares', 'trade', 'flat', 'httpstconwqttbbhc']",Wed Jul 18 14:10:04 +0000 2018,mchaudhry82,GM,General Motors Company,,False,5.573333333333333
21462,1019590480739389400,"['buyers', 'worry', 'theyll', 'lose', 'tax', 'credit', 'while', 'waiting', 'on', 'tesla', 'gm', 'gm', 'technology', 'taxrefunds', 'httpstcofjluftdy']",Wed Jul 18 14:31:28 +0000 2018,RatingsNetwork,GM,General Motors Company,https://twitter.com/i/web/status/1019590480739389441,False,4.630909090909092
21463,1019590498703564800,"['buyers', 'worry', 'theyll', 'lose', 'tax', 'credit', 'while', 'waiting', 'on', 'tesla', 'gm', 'gm', 'technology', 'taxrefunds', 'httpstcoolvhhucu']",Wed Jul 18 14:31:32 +0000 2018,MarketBeatNews,GM,General Motors Company,https://twitter.com/i/web/status/1019590498703564800,False,4.630909090909092
21629,1019594434252398600,"['rt', 'gfilche', 'if', 'tsla', 'isnt', 'on', 'steady', 'footing', 'cashflowwise', 'when', 'this', 'hits', 'depending', 'on', 'magnitude', 'of', 'next', 'recession', 'this', 'will', 'be', 'bad', 'news']",Wed Jul 18 14:47:10 +0000 2018,Tskuyomi28,GM,General Motors Company,,False,4.9663157894736845
21687,1019595723388653600,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcootuncdz', 'trig', 'httpstcozwhqltiu']",Wed Jul 18 14:52:18 +0000 2018,oliverpaige625,GM,General Motors Company,http://discord.gg/tXbaTxx,False,5.630714285714286
22581,1019614686038372400,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcofxiyvjotbs', 'nxc', 'httpstcoxyohmvou']",Wed Jul 18 16:07:39 +0000 2018,victorblake392,GM,General Motors Company,http://discord.gg/tXbaTxx,False,5.630714285714286
