,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
316,1016318773966622700,"['gnca', 'methods', 'for', 'improving', 'the', 'immunogenicity', 'and', 'efficacy', 'of', 'cancer', 'vaccines', 'httpstcoyuputmqnc', 'genoceas', 'httpstcoixwonlrv']",Mon Jul 09 13:50:52 +0000 2018,TamaleNacho,GNCA,Genocea Biosciences,https://www.ncbi.nlm.nih.gov/m/pubmed/29874943/?i=2&from=neoantigens%20cancer%20vaccine,False,4.905714285714285
358,1016334788465250300,"['rt', 'tamalenacho', 'gnca', 'methods', 'for', 'improving', 'the', 'immunogenicity', 'and', 'efficacy', 'of', 'cancer', 'vaccines', 'httpstcoyuputmqnc', 'genoceas', 'atlas', 'i']",Mon Jul 09 14:54:30 +0000 2018,ajbrzski,GNCA,Genocea Biosciences,https://www.ncbi.nlm.nih.gov/m/pubmed/29874943/?i=2&from=neoantigens%20cancer%20vaccine,False,5.015555555555555
380,1016340102539292700,"['rt', 'tamalenacho', 'gnca', 'methods', 'for', 'improving', 'the', 'immunogenicity', 'and', 'efficacy', 'of', 'cancer', 'vaccines', 'httpstcoyuputmqnc', 'genoceas', 'atlas', 'i']",Mon Jul 09 15:15:37 +0000 2018,130nobeta,GNCA,Genocea Biosciences,https://www.ncbi.nlm.nih.gov/m/pubmed/29874943/?i=2&from=neoantigens%20cancer%20vaccine,False,5.015555555555555
553,1016409495235366900,"['rt', 'tamalenacho', 'gnca', 'methods', 'for', 'improving', 'the', 'immunogenicity', 'and', 'efficacy', 'of', 'cancer', 'vaccines', 'httpstcoyuputmqnc', 'genoceas', 'atlas', 'i']",Mon Jul 09 19:51:22 +0000 2018,TamaleNacho,GNCA,Genocea Biosciences,https://www.ncbi.nlm.nih.gov/m/pubmed/29874943/?i=2&from=neoantigens%20cancer%20vaccine,False,5.015555555555555
554,1016409538277277700,"['rt', 'tamalenacho', 'therapeutic', 'cancer', 'vaccine', 'building', 'the', 'future', 'from', 'lessons', 'of', 'the', 'past', 'httpstcopbvrnoyhw', 'id', 'of', 'stimulatory', 'neoan']",Mon Jul 09 19:51:32 +0000 2018,TamaleNacho,GNCA,Genocea Biosciences,https://www.ncbi.nlm.nih.gov/m/pubmed/29978248/,False,5.103076923076923
806,1016538459991887900,"['genocea', 'biosciences', 'gnca', 'and', 'adverum', 'biotechnologies', 'advm', 'financial', 'contrast', 'httpstcodnjutxnmva']",Tue Jul 10 04:23:49 +0000 2018,MareaInformativ,GNCA,Genocea Biosciences,http://www.mareainformativa.com/?p=413512,False,5.193333333333334
809,1016538726053400600,"['genocea', 'biosciences', 'gnca', 'and', 'adverum', 'biotechnologies', 'advm', 'financial', 'contrast', 'httpstcozxpuzcfp']",Tue Jul 10 04:24:53 +0000 2018,TheMarketsDaily,GNCA,Genocea Biosciences,http://zpr.io/6T8nY,False,5.193333333333334
872,1016595224389410800,"['reviewing', 'genocea', 'biosciences', 'gnca', 'and', 'compugen', 'cgen', 'httpstcokpsvrlq']",Tue Jul 10 08:09:23 +0000 2018,OlympiaReport,GNCA,Genocea Biosciences,http://theolympiareport.com/?p=914408,False,5.22
873,1016595240126468100,"['reviewing', 'genocea', 'biosciences', 'gnca', 'and', 'compugen', 'cgen', 'httpstcoyuhlbjoqjd']",Tue Jul 10 08:09:27 +0000 2018,dispatchtribune,GNCA,Genocea Biosciences,http://dispatchtribunal.com/?p=2043852,False,5.22
924,1016629599504040000,"['reviewing', 'genocea', 'biosciences', 'gnca', 'and', 'compugen', 'cgen', 'httpstcodxelwwngo']",Tue Jul 10 10:25:59 +0000 2018,MareaInformativ,GNCA,Genocea Biosciences,http://www.mareainformativa.com/?p=414344,False,5.22
1235,1016716407550238700,"['midday', 'most', 'tweeted', 'micro', 'caps', 'check', 'out', 'gambiste', 'top', 'fat', 'clsn', 'evgn', 'dfbg', 'mgen', 'clps', 'fred', 'mnkd', 'gnca', 'httpstcolypltitvr']",Tue Jul 10 16:10:55 +0000 2018,GambisteFinance,GNCA,Genocea Biosciences,http://gambiste.com/index.php/current-month-stock-data/,False,5.3475
1287,1016732387605008400,"['genoceas', 'genital', 'herpes', 'virus', 'vaccine', 'gen', 'may', 'work', 'after', 'all', 'httpstcoixvetsjd', 'we', 'already', 'know', 'gen', 'httpstcogrdfiqb']",Tue Jul 10 17:14:25 +0000 2018,TamaleNacho,GNCA,Genocea Biosciences,https://www.precisionvaccinations.com/genocea-gen-003-phase-3-ready-investigational-immunotherapy-treatment-genital-herpes-infections-hsv2,False,5.174
1289,1016732693734686700,"['rt', 'tamalenacho', 'genoceas', 'genital', 'herpes', 'virus', 'vaccine', 'gen', 'may', 'work', 'after', 'all', 'httpstcoixvetsjd', 'we', 'already', 'know', 'gen', 'works']",Tue Jul 10 17:15:38 +0000 2018,TamaleNacho,GNCA,Genocea Biosciences,https://www.precisionvaccinations.com/genocea-gen-003-phase-3-ready-investigational-immunotherapy-treatment-genital-herpes-infections-hsv2,False,5.176666666666667
1291,1016732862484131800,"['rt', 'tamalenacho', 'genoceas', 'genital', 'herpes', 'virus', 'vaccine', 'gen', 'may', 'work', 'after', 'all', 'httpstcoixvetsjd', 'we', 'already', 'know', 'gen', 'works']",Tue Jul 10 17:16:19 +0000 2018,ajbrzski,GNCA,Genocea Biosciences,https://www.precisionvaccinations.com/genocea-gen-003-phase-3-ready-investigational-immunotherapy-treatment-genital-herpes-infections-hsv2,False,5.176666666666667
1729,1016923943616294900,"['genocea', 'biosciences', 'gnca', 'downgraded', 'to', 'sell', 'at', 'zacks', 'investment', 'research', 'httpstcomoeurh']",Wed Jul 11 05:55:36 +0000 2018,TranscriptDaily,GNCA,Genocea Biosciences,http://zpr.io/6aqng,False,5.5280000000000005
1818,1016988168275537900,"['genocea', 'biosciences', 'gnca', 'downgraded', 'to', 'sell', 'at', 'zacks', 'investment', 'research', 'httpstcomksaqm']",Wed Jul 11 10:10:48 +0000 2018,MareaInformativ,GNCA,Genocea Biosciences,http://www.mareainformativa.com/?p=420768,False,5.5280000000000005
2790,1017276381028323300,"['reviewing', 'genocea', 'biosciences', 'gnca', 'amp', 'adverum', 'biotechnologies', 'advm', 'httpstcongcujg']",Thu Jul 12 05:16:03 +0000 2018,ledgerzette,GNCA,Genocea Biosciences,http://ledgergazette.com/?p=2820570,False,5.44
3189,1017394922180218900,"['genocea', 'biosciences', 'gnca', 'lowered', 'to', 'sell', 'at', 'zacks', 'investment', 'research', 'httpstcojpfvhucsmw']",Thu Jul 12 13:07:06 +0000 2018,EnterpriseLeade,GNCA,Genocea Biosciences,http://theenterpriseleader.com/?p=981951,False,5.5280000000000005
3629,1017456966338334700,"['a', 'reversal', 'for', 'genocea', 'biosciences', 'inc', 'gnca', 'is', 'not', 'near', 'the', 'formed', 'double', 'bottom', 'pattern', 'httpstcoqkceglw']",Thu Jul 12 17:13:38 +0000 2018,mmahotstuff1,GNCA,Genocea Biosciences,https://www.mmahotstuff.com/2018/07/12/a-reversal-for-genocea-biosciences-inc-gnca-is-not-near-the-formed-double-bottom-pattern.html,False,5.098181818181818
3686,1017464443645685800,"['want', 'the', 'latest', 'upgrades', 'amp', 'downgrades', 'for', 'vcv', 'land', 'agi', 'tph', 'gnca', 'checkout', 'marketbeat', 'daily', 'httpstconsjudsyidj']",Thu Jul 12 17:43:21 +0000 2018,RatingsNetwork,GNCA,Genocea Biosciences,http://bit.ly/arndailyw,False,5.5685714285714285
4027,1017518932566184000,"['genocea', 'biosciences', 'inc', 'gnca', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcozxnxsbc']",Thu Jul 12 21:19:52 +0000 2018,TranscriptDaily,GNCA,Genocea Biosciences,http://zpr.io/6ae8k,False,5.6675
4491,1017648323984052200,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'atnm', 'on', 'is', 'httpstcoztutzdye', 'iova', 'gnca', 'bmrn', 'pgnx']",Fri Jul 13 05:54:02 +0000 2018,shortvolumes,GNCA,Genocea Biosciences,http://shortvolumes.com/?t=ATNM,False,5.273333333333333
4606,1017695744688623600,"['zacks', 'investment', 'research', 'downgrades', 'genocea', 'biosciences', 'gnca', 'to', 'sell', 'httpstcoopdigiecs']",Fri Jul 13 09:02:28 +0000 2018,TheMarketsDaily,GNCA,Genocea Biosciences,http://zpr.io/6aB3L,False,5.6850000000000005
4607,1017696228501545000,"['zacks', 'investment', 'research', 'downgrades', 'genocea', 'biosciences', 'gnca', 'to', 'sell', 'httpstcoeyxtyftpjs']",Fri Jul 13 09:04:23 +0000 2018,OlympiaReport,GNCA,Genocea Biosciences,http://theolympiareport.com/?p=921956,False,5.6850000000000005
