,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
23800,1019641918819655700,"['rt', 'deitaone', 'eu', 'ruling', 'seems', 'unlikely', 'to', 'impair', 'googles', 'economics', 'keybanc', 'goog']",Wed Jul 18 17:55:52 +0000 2018,Alea_,GOOG,Alphabet Inc.,,False,4.685714285714285
23809,1019642095391428600,"['rt', 'realmoney', 'alphabet', 'shares', 'up', 'since', 'latest', 'buy', 'recommendation', 'from', 'thestreet', 'ratings', 'goog', 'googl', 'realmoneysod', 'httpstcord']",Wed Jul 18 17:56:34 +0000 2018,TheStreet,GOOG,Alphabet Inc.,,True,5.794999999999999
23917,1019644273820667900,"['rt', 'realmoney', 'alphabet', 'shares', 'up', 'since', 'latest', 'buy', 'recommendation', 'from', 'thestreet', 'ratings', 'goog', 'googl', 'realmoneysod', 'httpstcord']",Wed Jul 18 18:05:13 +0000 2018,HowardStrauber,GOOG,Alphabet Inc.,,False,5.794999999999999
23926,1019644415730749400,"['wallstreet', 'ignores', 'billion', 'eu', 'fine', 'against', 'alphabet', 'realmoneysod', 'goog', 'googl', 'martincassidyst', 'httpstcobcrwzboap']",Wed Jul 18 18:05:47 +0000 2018,realmoney,GOOG,Alphabet Inc.,https://twitter.com/i/web/status/1019644415730749440,False,5.625
23930,1019644452829319200,"['rt', 'realmoney', 'wallstreet', 'ignores', 'billion', 'eu', 'fine', 'against', 'alphabet', 'realmoneysod', 'goog', 'googl', 'martincassidyst', 'httpstcokurssggc']",Wed Jul 18 18:05:56 +0000 2018,jimcramer,GOOG,Alphabet Inc.,,True,5.475999999999999
23932,1019644543749316600,"['tech', 'today', 'googles', 'record', 'fine', 'dumping', 'broadcom', 'twitter', 'asml', 'surges', 'httpstcokeajukuum', 'google', 'goog', 'httpstcosizwiuasv']",Wed Jul 18 18:06:17 +0000 2018,whotrades,GOOG,Alphabet Inc.,https://whotrades.com/$AMZN/4473192?showMore=1,False,6.2700000000000005
23953,1019645084785172500,"['rt', 'realmoney', 'wallstreet', 'ignores', 'billion', 'eu', 'fine', 'against', 'alphabet', 'realmoneysod', 'goog', 'googl', 'martincassidyst', 'httpstcokurssggc']",Wed Jul 18 18:08:26 +0000 2018,TheStreet,GOOG,Alphabet Inc.,,True,5.475999999999999
23990,1019645899683885000,"['entrepreneur', 'timothysykes', 'panther', 'via', 'ihub', 'nnrx', 'this', 'broke', 'out', 'on', 'may', 'th', 'was', 'httpstcomsqrdjwd', 'httpstcouolkrdurf']",Wed Jul 18 18:11:41 +0000 2018,syberstock,GOOG,Alphabet Inc.,https://investorshub.advfn.com/boards/read_msg.aspx?message_id=142288728,False,4.74
24050,1019647569817989100,"['shopping', 'apps', 'need', 'a', 'security', 'guard', 'httpstcocswejlbte', 'shop', 'ebay', 'pypl', 'goog', 'akam', 'aten', 'bdc', 'cdw', 'chkp', 'httpstcoolpyeemtc']",Wed Jul 18 18:18:19 +0000 2018,oliviabvoz,GOOG,Alphabet Inc.,https://youtu.be/Qdv_f2oq1q0,False,5.785
24058,1019647701351362600,"['guideinvestor', 'rxpert', 'stocktwits', 'i', 'own', 'both', 'amzn', 'and', 'goog', 'but', 'i', 'suspect', 'aapl', 'will', 'get', 'to', 't', 'first', 'but', 'will', 'httpstcosdgatghbsx']",Wed Jul 18 18:18:50 +0000 2018,WhitexSnake,GOOG,Alphabet Inc.,https://twitter.com/i/web/status/1019647701351362560,False,5.381428571428572
