,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
22,1019739347342577700,"['charts', 'say', 'realmoneysod', 'googl', 'could', 'rise', 'or', 'more', 'from', 'here', 'brucekamich', 'httpstcoczbrydahn']",Thu Jul 19 00:23:00 +0000 2018,jimcramer,GOOGL,Alphabet,http://bit.ly/2Nof8UW,True,5.614285714285714
25380,1019675751145091100,"['are', 'we', 'in', 'the', 'middle', 'of', 'a', 'fang', 'induced', 'bubble', 'httpstcoscgcoaglo', 'fb', 'amzn', 'nflx', 'googl', 'nvda', 'mu', 'baba', 'tsla']",Wed Jul 18 20:10:18 +0000 2018,dh_capital,GOOGL,Alphabet Inc.,https://dhcapitalblog.wordpress.com/2018/07/16/are-we-in-the-middle-of-a-fang-induced-bubble/,False,5.370000000000001
25438,1019676842289172500,"['rt', 'rampcapitalllc', 'here', 'is', 'where', 'fang', 'was', 'trading', 'the', 'last', 'time', 'the', 'national', 'league', 'won', 'the', 'mlb', 'all', 'star', 'game', 'fb', 'amzn']",Wed Jul 18 20:14:38 +0000 2018,UKStatsCat,GOOGL,Alphabet Inc.,,False,5.638888888888889
25477,1019677549876502500,"['rt', 'jimcramer', 'if', 'you', 'think', 'that', 'netflixs', 'stock', 'down', 'was', 'a', 'giant', 'buying', 'opportunity', 'after', 'a', 'less', 'than', 'stellar', 'quarter', 'how', 'about', 'goo']",Wed Jul 18 20:17:27 +0000 2018,Rushmeliss,GOOGL,Alphabet Inc.,,False,5.207499999999998
25578,1019679399291994100,"['rt', 'rampcapitalllc', 'here', 'is', 'where', 'fang', 'was', 'trading', 'the', 'last', 'time', 'the', 'national', 'league', 'won', 'the', 'mlb', 'all', 'star', 'game', 'fb', 'amzn']",Wed Jul 18 20:24:48 +0000 2018,Adnanaldo,GOOGL,Alphabet Inc.,,False,5.638888888888889
25586,1019679520104861700,"['android', 'app', 'alert', 'study', 'finds', 'android', 'shopping', 'apps', 'may', 'need', 'a', 'better', 'security', 'guard', 'googl', 'video', 'httpstcofdfforr']",Wed Jul 18 20:25:16 +0000 2018,ModernWallSt,GOOGL,Alphabet Inc.,https://twitter.com/i/web/status/1019679520104861698,False,5.776
25608,1019679873080496100,"['rt', 'rampcapitalllc', 'here', 'is', 'where', 'fang', 'was', 'trading', 'the', 'last', 'time', 'the', 'national', 'league', 'won', 'the', 'mlb', 'all', 'star', 'game', 'fb', 'amzn']",Wed Jul 18 20:26:41 +0000 2018,up_foreign,GOOGL,Alphabet Inc.,,False,5.638888888888889
25642,1019680502259900400,"['la', 'accin', 'de', 'alphabet', 'inc', 'googl', 'cierra', 'el', 'dia', 'de', 'hoy', 'con', 'precio', 'de', 'dlares', 'reportamos', 'una', 'variacin', 'de', 'httpstcojvekladlcj']",Wed Jul 18 20:29:11 +0000 2018,telconomia,GOOGL,Alphabet Inc.,https://twitter.com/i/web/status/1019680502259900416,False,4.787272727272728
25646,1019680510761668600,"['la', 'accin', 'de', 'alphabet', 'inc', 'googl', 'cierra', 'el', 'dia', 'de', 'hoy', 'con', 'precio', 'de', 'dlares', 'reportamos', 'una', 'variacin', 'de', 'httpstcozzdmhsnqjt']",Wed Jul 18 20:29:13 +0000 2018,telconomia,GOOGL,Alphabet Inc.,https://twitter.com/i/web/status/1019680510761668608,False,4.787272727272728
25683,1019681177622507500,"['rt', 'modernwallst', 'android', 'app', 'alert', 'study', 'finds', 'android', 'shopping', 'apps', 'may', 'need', 'a', 'better', 'security', 'guard', 'googl', 'video', 'httpstcoetebl']",Wed Jul 18 20:31:52 +0000 2018,JS3Multimedia,GOOGL,Alphabet Inc.,,False,5.72
25790,1019682800495185900,"['arthurdentroit', 'ne', 'bireysel', 'emeklilii', 'allasen', 'cahil', 'misiniz', 'adamlar', 'enflasyon', 'orannda', 'getiri', 'bile', 'vermiyor', 'bir', 'd', 'httpstconikmvhmie']",Wed Jul 18 20:38:19 +0000 2018,thebearyouwant,GOOGL,Alphabet Inc.,https://twitter.com/i/web/status/1019682800495185920,False,4.77
25856,1019683708775772200,"['powerserious', 'standing', 'by', 'on', 'googl']",Wed Jul 18 20:41:55 +0000 2018,seven_94509,GOOGL,Alphabet Inc.,,False,5.3
25864,1019683815558508500,"['googl', 'httpstcoxwofgseri']",Wed Jul 18 20:42:21 +0000 2018,stockassassin74,GOOGL,Alphabet Inc.,https://twitter.com/spectatorindex/status/1019680711077294082,False,0.0
25981,1019685852463681500,"['rt', 'muchoinvertir', 'a', 'lo', 'que', 'la', 'comisin', 'europea', 'llama', 'abuso', 'yo', 'lo', 'llamo', 'moat', 'la', 'ventaja', 'competitiva', 'de', 'google', 'googl', 'es', 'tan', 'amplia', 'que', 'ti']",Wed Jul 18 20:50:26 +0000 2018,catoira_manuel,GOOGL,Alphabet Inc.,,False,5.111428571428571
26021,1019686644826497000,"['rt', 'northmantrader', 'so', 'far', 'in', 'msft', 'amzn', 'googl', 'fb', 'amp', 'aapl', 'have', 'added', 'b', 'to', 'their', 'combined', 'market', 'cap', 'b', 'in', 'months']",Wed Jul 18 20:53:35 +0000 2018,trader1911,GOOGL,Alphabet Inc.,,False,5.310588235294118
26199,1019689699319918600,"['alphabet', 'inc', 'class', 'a', 'googl', 'sets', 'new', 'week', 'high', 'at', 'httpstcoubjrsltlg']",Wed Jul 18 21:05:43 +0000 2018,OlympiaReport,GOOGL,Alphabet Inc.,http://theolympiareport.com/?p=933330,False,5.4975
26208,1019689867368943600,"['alphabet', 'inc', 'class', 'a', 'googl', 'sets', 'new', 'week', 'high', 'at', 'httpstcodaukffbc']",Wed Jul 18 21:06:23 +0000 2018,dispatchtribune,GOOGL,Alphabet Inc.,http://dispatchtribunal.com/?p=2062507,False,5.4975
26243,1019690687095296000,"['on', 'the', 'way', 'into', 'timessquare', 'inewsen', 'economy', 'ibm', 'googl', 'on', 'deck', 'est']",Wed Jul 18 21:09:39 +0000 2018,davidnelsoncfa,GOOGL,Alphabet Inc.,,False,5.180000000000001
26269,1019691243708694500,"['of', 'the', 'top', 'the', 'three', 'network', 'monopolists', 'could', 'well', 'be', 'the', 'last', 'leaders', 'standing', 'googl', 'amzn', 'fb', 'httpstcoyhuhmcg']",Wed Jul 18 21:11:52 +0000 2018,TedDixon,GOOGL,Alphabet Inc.,https://twitter.com/michaelbatnick/status/1019680856837849090,False,5.478571428571429
26340,1019692175314079700,"['rt', 'teddixon', 'of', 'the', 'top', 'the', 'three', 'network', 'monopolists', 'could', 'well', 'be', 'the', 'last', 'leaders', 'standing', 'googl', 'amzn', 'fb', 'httpstcoyhuhm']",Wed Jul 18 21:15:34 +0000 2018,xisco1986,GOOGL,Alphabet Inc.,,False,5.438666666666666
26393,1019693328487600100,"['us', 'stocks', 'edge', 'higher', 'as', 'airlines', 'railroads', 'and', 'banks', 'jump', 'unp', 'txn', 'ms', 'brkb', 'ntrs', 'ual', 'googl', 'httpstcomwrbbqyix', 'via', 'barchart']",Wed Jul 18 21:20:09 +0000 2018,Barchart,GOOGL,Alphabet Inc.,https://www.barchart.com/share/news/936727,True,5.48
26583,1019696568973299700,"['rt', 'thestreet', 'over', 'the', 'past', 'months', 'googl', 'has', 'risen', 'almost', 'realmoneysod', 'httpstcoiuwpxmui']",Wed Jul 18 21:33:01 +0000 2018,IlyaTheMaster,GOOGL,Alphabet Inc.,https://buff.ly/2JysP1t,False,4.905714285714287
26769,1019700256290889700,"['rt', 'seekingalpha', 'googl', 'amzn', 'ge', 'msft', 'httpstcokpxlcwovpm']",Wed Jul 18 21:47:40 +0000 2018,OmglolU,GOOGL,Alphabet Inc.,https://seekingalpha.com/article/4188074-general-electric-microsoft-match-made-heaven?source=feed_f,False,4.88
26898,1019703441856266200,"['google', 'hit', 'with', 'bn', 'android', 'fine', 'for', 'illegal', 'practices', 'from', 'eu', 'googl', 'europe', 'market', 'httpstcolcewkocs', 'bbcnews']",Wed Jul 18 22:00:20 +0000 2018,JouleTalk,GOOGL,Alphabet Inc.,https://buff.ly/2NmmQz0,False,5.528333333333332
26922,1019703812230021100,"['given', 'ppl', 'are', 'paying', 'premium', 'to', 'googl', 'msft', 'amzn', 'for', 'clloud', 'ibm', 'is', 'doing', 'great', 'in', 'cloud', 'and', 'trading', 'below', 'dcf', 'value', 'of']",Wed Jul 18 22:01:48 +0000 2018,naashonomics,GOOGL,Alphabet Inc.,,False,5.566666666666666
27114,1019707765714047000,"['business', 'highlights', 'googl', 'googl', 'stockindicesandaverages', 'stockmarkets', 'financialmarkets', 'httpstcodigdlieuk']",Wed Jul 18 22:17:31 +0000 2018,RatingsNetwork,GOOGL,Alphabet Inc.,http://zpr.io/6XBeC,False,5.94
27119,1019707787465646100,"['business', 'highlights', 'googl', 'googl', 'stockindicesandaverages', 'stockmarkets', 'financialmarkets', 'httpstcoprbaakhoc']",Wed Jul 18 22:17:36 +0000 2018,MarketBeatNews,GOOGL,Alphabet Inc.,https://www.marketbeat.com/n/3941039/,False,5.94
27129,1019708006844518400,"['rt', 'davidnelsoncfa', 'on', 'the', 'way', 'into', 'timessquare', 'inewsen', 'economy', 'ibm', 'googl', 'on', 'deck', 'est']",Wed Jul 18 22:18:28 +0000 2018,tomborelli,GOOGL,Alphabet Inc.,,True,5.15
27202,1019709127377936400,"['rt', 'teddixon', 'of', 'the', 'top', 'the', 'three', 'network', 'monopolists', 'could', 'well', 'be', 'the', 'last', 'leaders', 'standing', 'googl', 'amzn', 'fb', 'httpstcoyhuhm']",Wed Jul 18 22:22:55 +0000 2018,Josh_Mulherin,GOOGL,Alphabet Inc.,,False,5.438666666666666
