,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
13332,1019182803043455000,"['our', 'bot', 'on', 'discord', 'notifies', 'faster', 'than', 'crypto', 'tracker', 'bot', 'join', 'us', 'httpstcomgvnmztd', 'wpx', 'wct', 'bot', 'httpstcotenblqkhv']",Tue Jul 17 11:31:30 +0000 2018,AmosPatterson13,GPS,The Gap,http://discord.gg/tXbaTxx,False,5.873333333333332
13382,1019185860699480000,"['binance', 'is', 'one', 'of', 'the', 'top', 'crypto', 'exchanges', 'sign', 'up', 'here', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'httpstcolkwmsxygva']",Tue Jul 17 11:43:39 +0000 2018,carolgibson394,GPS,The Gap,http://binance.com/?ref=10078236,False,5.696666666666666
13428,1019188188622057500,"['fast', 'cheap', 'orders', 'on', 'discounted', 'fortnite', 'vbucks', 'more', 'info', 'httpstcozslnaurry', 'pro', 'xrb', 'wings', 'vz', 'httpstcofnpvztjo']",Tue Jul 17 11:52:54 +0000 2018,OscarBo58830892,GPS,The Gap,http://discord.gg/gtJ4zym,False,5.807500000000001
13442,1019189653658796000,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcovwylkynu', 'gam', 'httpstcomtivbfzg']",Tue Jul 17 11:58:43 +0000 2018,melaniebower89a,GPS,The Gap,http://discord.gg/tXbaTxx,False,5.630714285714286
13503,1019192363342880800,"['our', 'bot', 'on', 'discord', 'notifies', 'faster', 'than', 'crypto', 'tracker', 'bot', 'join', 'us', 'httpstcotcqihqwiir', 'kmd', 'kr', 'mith', 'httpstcoeiteahqcru']",Tue Jul 17 12:09:29 +0000 2018,RicardoPark10,GPS,The Gap,http://discord.gg/tXbaTxx,False,5.873333333333332
13594,1019196450872483800,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcoksgcwgi']",Tue Jul 17 12:25:44 +0000 2018,oliverpaige625,GPS,The Gap,https://twitter.com/i/web/status/1019196450872483840,False,5.699999999999999
13632,1019199177035780100,"['binance', 'fees', 'are', 'x', 'less', 'than', 'bittrex', 'register', 'for', 'bonus', 'httpstcosaisnxjbb', 'dbix', 'nebl', 'bcd', 'fun', 'httpstcokntyhro']",Tue Jul 17 12:36:34 +0000 2018,danhodges4591,GPS,The Gap,http://binance.com/?ref=10078236,False,5.413333333333333
13751,1019204862364569600,"['up', 'to', 'a', 'year', 'on', 'a', 'compounded', 'portfolio', 'results', 'trading', 'nasdaq', 'and', 'nyse', 'stocks', 'httpstcogyznyyoy', 'amzn', 'httpstcokuymgwnug']",Tue Jul 17 12:59:09 +0000 2018,StockWebTrading,GPS,The Gap,https://www.stockwebtrading.com,False,5.495
13952,1019213189618204700,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcofxemdo']",Tue Jul 17 13:32:15 +0000 2018,victorblake392,GPS,The Gap,https://twitter.com/i/web/status/1019213189618204672,False,5.699999999999999
13964,1019213992949006300,"['daily', 'reversal', 'gps', 'last', 'phigh', 'rvol', 'pclose', 'lod', 'perf']",Tue Jul 17 13:35:26 +0000 2018,LargeVoidBot,GPS,The Gap,,False,4.933333333333334
