,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
12504,1019102846950740000,"['rt', 'reuters', 'ibm', 'asks', 'a', 'us', 'jury', 'to', 'award', 'it', 'million', 'in', 'a', 'lawsuit', 'accusing', 'groupon', 'of', 'using', 'patented', 'technology', 'without', 'authorization']",Tue Jul 17 06:13:47 +0000 2018,BillQuarks,GRPN,Groupon,,False,5.323333333333333
12540,1019105576729669600,"['rt', 'reuters', 'ibm', 'asks', 'a', 'us', 'jury', 'to', 'award', 'it', 'million', 'in', 'a', 'lawsuit', 'accusing', 'groupon', 'of', 'using', 'patented', 'technology', 'without', 'authorization']",Tue Jul 17 06:24:38 +0000 2018,WaNduta8,GRPN,Groupon,,False,5.323333333333333
12542,1019105863787798500,"['rt', 'theflynews', 'report', 'ibm', 'seeks', 'm', 'in', 'damages', 'from', 'groupon', 'in', 'patent', 'lawsuit', 'ibm', 'grpn', 'httpstcoietqtzdql']",Tue Jul 17 06:25:46 +0000 2018,mench90,GRPN,Groupon,https://bit.ly/2NnocJZ,False,4.9366666666666665
12569,1019109701873799200,"['rt', 'reuters', 'ibm', 'asks', 'a', 'us', 'jury', 'to', 'award', 'it', 'million', 'in', 'a', 'lawsuit', 'accusing', 'groupon', 'of', 'using', 'patented', 'technology', 'without', 'authorization']",Tue Jul 17 06:41:01 +0000 2018,Jdstasia,GRPN,Groupon,,False,5.323333333333333
12582,1019111904294432800,"['vareuters', 'ibm', 'asks', 'a', 'us', 'jury', 'to', 'award', 'it', 'million', 'in', 'a', 'lawsuit', 'accusing', 'groupon', 'of', 'using', 'patented', 'techno', 'httpstcooeyvvl']",Tue Jul 17 06:49:46 +0000 2018,chatbotempresas,GRPN,Groupon,https://twitter.com/i/web/status/1019111904294432768,False,5.3914285714285715
12615,1019115053772046300,"['ibm', 'asks', 'a', 'us', 'jury', 'to', 'award', 'it', 'million', 'in', 'a', 'lawsuit', 'accusing', 'groupon', 'of', 'using', 'patented', 'technology', 'without', 'au', 'httpstcoylohnjfde']",Tue Jul 17 07:02:17 +0000 2018,BSAFunds,GRPN,Groupon,https://twitter.com/i/web/status/1019115053772046336,False,5.334117647058824
12621,1019115316117491700,"['ibm', 'asks', 'a', 'us', 'jury', 'to', 'award', 'it', 'million', 'in', 'a', 'lawsuit', 'accusing', 'groupon', 'of', 'using', 'patented', 'technology', 'without', 'au', 'httpstcooytcaihnt']",Tue Jul 17 07:03:20 +0000 2018,WorldRumors,GRPN,Groupon,https://twitter.com/i/web/status/1019115316117491712,False,5.334117647058824
12626,1019115884814716900,"['reuters', 'reports', 'ibm', 'asks', 'a', 'us', 'jury', 'to', 'award', 'it', 'million', 'in', 'a', 'lawsuit', 'accusing', 'groupon', 'of', 'using', 'patented', 'techn', 'httpstcovgnxiceq']",Tue Jul 17 07:05:35 +0000 2018,channel1america,GRPN,Groupon,https://twitter.com/i/web/status/1019115884814716928,False,5.35375
12634,1019116820874264600,"['ibm', 'asks', 'a', 'us', 'jury', 'to', 'award', 'it', 'million', 'in', 'a', 'lawsuit', 'accusing', 'groupon', 'of', 'using', 'patented', 'technology', 'without', 'au', 'httpstcoeasxujjyj']",Tue Jul 17 07:09:19 +0000 2018,LloydZiel,GRPN,Groupon,https://twitter.com/i/web/status/1019116820874264577,False,5.334117647058824
12644,1019117622166556700,"['rt', 'reuters', 'ibm', 'asks', 'a', 'us', 'jury', 'to', 'award', 'it', 'million', 'in', 'a', 'lawsuit', 'accusing', 'groupon', 'of', 'using', 'patented', 'technology', 'without', 'authorization']",Tue Jul 17 07:12:30 +0000 2018,ELizaMSomers,GRPN,Groupon,,False,5.323333333333333
12660,1019119106354626600,"['ibm', 'in', 'patent', 'dispute', 'with', 'groupon', 'httpstcobyaclslsr', 'ibm', 'grpn']",Tue Jul 17 07:18:23 +0000 2018,MarketCurrents,GRPN,Groupon,https://seekingalpha.com/news/3370516-ibm-patent-dispute-groupon?source=feed_f,False,5.253333333333333
12661,1019119107428397000,"['ibm', 'in', 'patent', 'dispute', 'with', 'groupon', 'httpstcoyqvfibkft', 'ibm', 'grpn']",Tue Jul 17 07:18:24 +0000 2018,SAlphaTech,GRPN,Groupon,https://seekingalpha.com/news/3370516-ibm-patent-dispute-groupon?source=twitter_salphatech,False,5.253333333333333
12676,1019121442301009900,"['rt', 'reuters', 'ibm', 'asks', 'a', 'us', 'jury', 'to', 'award', 'it', 'million', 'in', 'a', 'lawsuit', 'accusing', 'groupon', 'of', 'using', 'patented', 'technology', 'without', 'authorization']",Tue Jul 17 07:27:40 +0000 2018,Malice27359580,GRPN,Groupon,,False,5.323333333333333
12749,1019130847646093300,"['ibm', 'seeks', 'million', 'from', 'groupon', 'in', 'dispute', 'over', 'early', 'internet', 'patents', 'httpstcorjmbpl', 'via', 'jannwolfe', 'httpstcozbhinzoc']",Tue Jul 17 08:05:03 +0000 2018,ReutersBiz,GRPN,Groupon,https://reut.rs/2NmUPXQ,True,5.632727272727274
12750,1019130851328528400,"['rt', 'reutersbiz', 'ibm', 'seeks', 'million', 'from', 'groupon', 'in', 'dispute', 'over', 'early', 'internet', 'patents', 'httpstcorjmbpl', 'via', 'jannwolfe', 'ibm', 'grp']",Tue Jul 17 08:05:04 +0000 2018,tradnews_,GRPN,Groupon,https://reut.rs/2NmUPXQ,False,5.570769230769231
12754,1019132301794533400,"['rt', 'reutersbiz', 'ibm', 'seeks', 'million', 'from', 'groupon', 'in', 'dispute', 'over', 'early', 'internet', 'patents', 'httpstcorjmbpl', 'via', 'jannwolfe', 'ibm', 'grp']",Tue Jul 17 08:10:49 +0000 2018,hardikpatel2004,GRPN,Groupon,https://reut.rs/2NmUPXQ,False,5.570769230769231
12774,1019136637350170600,"['ibm', 'in', 'patent', 'dispute', 'with', 'groupon', 'httpstcoshvgemk', 'ibm', 'grpn']",Tue Jul 17 08:28:03 +0000 2018,Nandavarapu,GRPN,Groupon,https://seekingalpha.com/news/3370516-ibm-patent-dispute-groupon?source=tweet,False,5.253333333333333
