,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
685,1016458672950710300,"['hcp', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcovhpyvtzzx', 'httpstcodaugvbjir']",Mon Jul 09 23:06:47 +0000 2018,optioncharts,HCP,HCP,http://maximum-pain.com/options/open-interest/HCP,False,5.5775
707,1016473341274808300,"['top', 'stocks', 'with', 'ta', 'score', 'trending', 'down', 'sp', 'stz', 'cboe', 'fti', 'ipg', 'ua', 'cvx', 'ni', 'nws', 'gpc', 'nwsa', 'hcp', 'intc', 'ba', 'httpstcolcrvrjewt']",Tue Jul 10 00:05:04 +0000 2018,MITickWatcher,HCP,HCP,https://twitter.com/i/web/status/1016473341274808320,False,5.2700000000000005
765,1016511332412198900,"['technical', 'indicators', 'in', 'focus', 'hcp', 'inc', 'nyse', 'hcp', 'httpstcosuixawzv', 'hcp', 'stocks', 'stockmarket']",Tue Jul 10 02:36:02 +0000 2018,StocksPredictr,HCP,HCP,http://alphabetastock.com/2018/03/15/technical-indicators-in-focus-hcp-inc-nyse-hcp/,False,5.412
1293,1016733448478879700,"['analysts', 'anticipate', 'hcp', 'inc', 'hcp', 'will', 'announce', 'quarterly', 'sales', 'of', 'million', 'httpstcogzycpoeo']",Tue Jul 10 17:18:38 +0000 2018,OlympiaReport,HCP,HCP,http://theolympiareport.com/?p=915544,False,5.569999999999999
1295,1016734129768017900,"['million', 'in', 'sales', 'expected', 'for', 'hcp', 'inc', 'hcp', 'this', 'quarter', 'httpstcoyvcggmvt']",Tue Jul 10 17:21:21 +0000 2018,dispatchtribune,HCP,HCP,http://dispatchtribunal.com/?p=2044951,False,5.620000000000001
1305,1016737829144186900,"['zacks', 'analysts', 'expect', 'hcp', 'inc', 'hcp', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoqpoxq']",Tue Jul 10 17:36:03 +0000 2018,ThisLincolnian,HCP,HCP,http://thelincolnianonline.com/?p=2174675,False,5.706666666666667
1308,1016738266912116700,"['eps', 'expected', 'for', 'hcp', 'inc', 'hcp', 'this', 'quarter', 'httpstcobeizlfhvu']",Tue Jul 10 17:37:47 +0000 2018,WeekHerald,HCP,HCP,http://weekherald.com/?p=2981363,False,5.255999999999999
1340,1016746580169412600,"['rt', 'thislincolnian', 'zacks', 'analysts', 'expect', 'hcp', 'inc', 'hcp', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoqpoxq']",Tue Jul 10 18:10:49 +0000 2018,portfolionet,HCP,HCP,http://thelincolnianonline.com/?p=2174675,False,5.624
1598,1016818490861412400,"['hcp', 'inc', 'hcp', 'receives', 'average', 'target', 'price', 'from', 'analysts', 'httpstcoioencyvoy']",Tue Jul 10 22:56:34 +0000 2018,TranscriptDaily,HCP,HCP,http://zpr.io/6aRXj,False,5.212857142857142
1629,1016835728549040100,"['top', 'stocks', 'with', 'ta', 'score', 'trending', 'down', 'sp', 'ipg', 'hfc', 'ni', 'evrg', 'stz', 'wu', 'expd', 'hrb', 'chrw', 'peg', 'mtb', 'hcp', 'tsn', 'httpstcolzyzqsdpo']",Wed Jul 11 00:05:04 +0000 2018,MITickWatcher,HCP,HCP,https://twitter.com/i/web/status/1016835728549040128,False,5.335555555555556
1847,1016996790128857100,"['hcp', 'inc', 'hcp', 'stock', 'formed', 'bullish', 'wedge', 'up', 'chart', 'pattern', 'what', 'to', 'expect', 'httpstcomisdckfwk']",Wed Jul 11 10:45:04 +0000 2018,whatsonthorold2,HCP,HCP,https://www.whatsonthorold.com/2018/07/11/hcp-inc-hcp-stock-formed-bullish-wedge-up-chart-pattern-what-to-expect/,False,5.388888888888888
1849,1016996871976386600,"['will', 'hcp', 'inc', 'hcp', 'short', 'squeeze', 'soon', 'the', 'stock', 'formed', 'a', 'bullish', 'wedge', 'up', 'chart', 'pattern', 'httpstcodisbqnx']",Wed Jul 11 10:45:23 +0000 2018,mmahotstuff1,HCP,HCP,https://www.mmahotstuff.com/2018/07/11/will-hcp-inc-hcp-short-squeeze-soon-the-stock-formed-a-bullish-wedge-up-chart-pattern.html,False,5.411666666666666
1850,1016996999751716900,"['could', 'hcp', 'inc', 'hcp', 'change', 'direction', 'after', 'this', 'wedge', 'up', 'httpstcoohkrer']",Wed Jul 11 10:45:54 +0000 2018,reurope_stock,HCP,HCP,https://reurope.com/2018/07/11/could-hcp-inc-hcp-change-direction-after-this-wedge-up/,False,5.371428571428571
1851,1016997099588726800,"['hcp', 'inc', 'hcp', 'forms', 'bullish', 'wedge', 'up', 'pattern', 'strong', 'momentum', 'for', 'buyers', 'coming', 'httpstcoadjruojmb']",Wed Jul 11 10:46:18 +0000 2018,bibeypost_stock,HCP,HCP,https://www.bibeypost.com/hcp-inc-hcp-forms-bullish-wedge-up-pattern-strong-momentum-for-buyers-coming/,False,5.609999999999999
2546,1017160609891323900,"['short', 'sale', 'volumenot', 'short', 'interest', 'for', 'sbra', 'on', 'is', 'httpstcovkqfgnybp', 'vtr', 'hcp', 'dre', 'uht']",Wed Jul 11 21:36:01 +0000 2018,shortvolumes,HCP,HCP,http://shortvolumes.com/?t=SBRA,False,5.34
2588,1017185584429838300,"['hcp', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcocjmhuxkkf', 'httpstcotcioylchv']",Wed Jul 11 23:15:16 +0000 2018,optioncharts,HCP,HCP,http://maximum-pain.com/options/max-pain/HCP,False,4.888
2952,1017337778936451100,"['artal', 'group', 'sa', 'has', 'boosted', 'its', 'position', 'in', 'incyte', 'call', 'incy', 'as', 'valuation', 'declined', 'smith', 'salley', 'amp', 'associates', 'hold', 'httpstcopatgel']",Thu Jul 12 09:20:02 +0000 2018,The_CasualSmart,HCP,HCP,https://twitter.com/i/web/status/1017337778936451072,False,5.238461538461538
2959,1017339673444782100,"['real', 'estate', 'management', 'services', 'has', 'lifted', 'by', 'million', 'its', 'hcp', 'hcp', 'position', 'last', 'week', 'euronet', 'worldwide', 'in', 'httpstcosinpyqds']",Thu Jul 12 09:27:34 +0000 2018,The_CasualSmart,HCP,HCP,https://twitter.com/i/web/status/1017339673444782080,False,5.645714285714287
3444,1017429008668086300,"['our', 'robinhood', 'dividend', 'income', 'portfolio', 'update', 'for', 'june', 'is', 'here', 'httpstcoqlhdbeaka', 'buys', 'agx', 'gis', 'dov', 'kmi', 'afl', 'hcp', 'o']",Thu Jul 12 15:22:33 +0000 2018,NorthHarborCap,HCP,HCP,https://millionairemob.com/robinhood-dividend-income/,False,5.838
4063,1017528505255514100,"['traders', 'buy', 'shares', 'of', 'hcp', 'hcp', 'on', 'weakness', 'httpstcorlyfserto']",Thu Jul 12 21:57:55 +0000 2018,ThisLincolnian,HCP,HCP,http://thelincolnianonline.com/?p=2179982,False,5.33
4088,1017535624696328200,"['f', 'ford', 'cars', 'ggp', 'hcp', 'ibm', 'irm', 'ivz', 'kmi', 'lb', 'mo', 'nlsn', 'pm', 'ppl', 'so', 't', 'vtr', 'vz', 'well', 'wmb', 'httpstcozfhthnkre']",Thu Jul 12 22:26:12 +0000 2018,SeekingAlpha,HCP,HCP,https://seekingalpha.com/article/4186990-50-top-s-and-p-500-stocks-yield-gains-and-upside-july?source=feed_f,False,5.47
4207,1017560458268586000,"['rt', 'seekingalpha', 'f', 'ford', 'cars', 'ggp', 'hcp', 'ibm', 'irm', 'ivz', 'kmi', 'lb', 'mo', 'nlsn', 'pm', 'ppl', 'so', 't', 'vtr', 'vz', 'well', 'wmb', 'httpstcozfhthnkre']",Fri Jul 13 00:04:53 +0000 2018,NewYorkbuffett,HCP,HCP,https://seekingalpha.com/article/4186990-50-top-s-and-p-500-stocks-yield-gains-and-upside-july?source=feed_f,False,5.416363636363635
4290,1017586044307492900,"['analysts', 'expect', 'hcp', 'inc', 'hcp', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcofmdajxgvyb']",Fri Jul 13 01:46:33 +0000 2018,ledgerzette,HCP,HCP,http://ledgergazette.com/?p=2822990,False,5.706666666666667
4291,1017586386952650800,"['million', 'in', 'sales', 'expected', 'for', 'hcp', 'inc', 'hcp', 'this', 'quarter', 'httpstcogxjhdla']",Fri Jul 13 01:47:55 +0000 2018,TranscriptDaily,HCP,HCP,http://zpr.io/6a4hP,False,5.620000000000001
4298,1017588582935158800,"['analysts', 'see', 'eps', 'for', 'hcp', 'inc', 'hcp', 'httpstcolfhmzuq']",Fri Jul 13 01:56:38 +0000 2018,The_CasualSmart,HCP,HCP,https://thecasualsmart.com/2018/07/13/analysts-see-0-46-eps-for-hcp-inc-hcp-2/,False,5.249999999999999
4299,1017588745858703400,"['eps', 'for', 'hcp', 'inc', 'hcp', 'expected', 'at', 'httpstcoiuhllbno']",Fri Jul 13 01:57:17 +0000 2018,whatsonthorold2,HCP,HCP,https://www.whatsonthorold.com/2018/07/13/eps-for-hcp-inc-hcp-expected-at-0-46/,False,5.140000000000001
4300,1017588829874729000,"['analysts', 'see', 'eps', 'for', 'hcp', 'inc', 'hcp', 'httpstcocwbokmssc']",Fri Jul 13 01:57:37 +0000 2018,mmahotstuff1,HCP,HCP,https://www.mmahotstuff.com/2018/07/13/analysts-see-0-46-eps-for-hcp-inc-hcp-2.html,False,5.249999999999999
4301,1017588998863192000,"['hcp', 'inc', 'hcp', 'eps', 'estimated', 'at', 'httpstcoyzbzzkv']",Fri Jul 13 01:58:17 +0000 2018,The_CasualSmart,HCP,HCP,https://floridarecorder.com/2018/07/13/hcp-inc-hcp-eps-estimated-at-0-46/,False,5.0600000000000005
4306,1017589541560115200,"['hcp', 'inc', 'hcp', 'analysts', 'see', 'eps', 'httpstcombkeuqp']",Fri Jul 13 02:00:27 +0000 2018,reurope_stock,HCP,HCP,https://reurope.com/2018/07/13/hcp-inc-hcp-analysts-see-0-46-eps/,False,5.259999999999999
4307,1017589611005177900,"['analysts', 'see', 'eps', 'for', 'hcp', 'inc', 'hcp', 'httpstcosaiuzs']",Fri Jul 13 02:00:43 +0000 2018,bibeypost_stock,HCP,HCP,https://www.bibeypost.com/analysts-see-0-46-eps-for-hcp-inc-hcp/,False,5.249999999999999
