,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
269,1016306881566945300,"['big', 'call', 'activity', 'httpstcongepovn', 'iq', 'hds', 'twtr', 'ddd', 'googl', 'amgn', 'bac', 'snap', 'bidu', 'pxd', 'atvi', 'ms', 'ko', 'httpstcozjguycmgk']",Mon Jul 09 13:03:37 +0000 2018,DailyStockPlays,HDS,HD Supply Holdings,http://www.dailystockplays.com/Unusual-Call-Option-Activity-Today-2018-07-06.html,False,5.486666666666667
1074,1016671743795179500,"['exas', 'exel', 'hds', 'mu', 'avgo', 'mar', 'opk', 'amd', 'gild', 'mrvl', 'biib', 'ca', 'ibkr', 'lrcx', 'nvda', 'orly', 'pypl', 'tsla', 'incy', 'fox', 'httpstcowsqmpsef']",Tue Jul 10 13:13:27 +0000 2018,tallytrading,HDS,HD Supply Holdings,https://twitter.com/i/web/status/1016671743795179520,False,5.135
1451,1016771203367952400,"['earnings', 'per', 'share', 'expected', 'for', 'hd', 'supply', 'holdings', 'inc', 'hds', 'this', 'quarter', 'httpstcoeusjkf']",Tue Jul 10 19:48:40 +0000 2018,dakotafinancial,HDS,HD Supply Holdings,http://dakotafinancialnews.com/?p=309247,False,5.696363636363636
1452,1016771634479403000,"['zacks', 'analysts', 'expect', 'hd', 'supply', 'holdings', 'inc', 'hds', 'to', 'post', 'eps', 'httpstcoknlggcut']",Tue Jul 10 19:50:23 +0000 2018,ledgerzette,HDS,HD Supply Holdings,http://ledgergazette.com/?p=2817652,False,5.395000000000001
1903,1017013184681607200,"['mountain', 'pacific', 'investment', 'advisers', 'inc', 'trimmed', 'hd', 'supply', 'hldgs', 'inc', 'hds', 'holding', 'by', 'million', 'shares', 'rose', 'httpstcoxwteilqzj']",Wed Jul 11 11:50:13 +0000 2018,whatsonthorold2,HDS,HD Supply Holdings,https://www.whatsonthorold.com/2018/07/11/mountain-pacific-investment-advisers-inc-trimmed-hd-supply-hldgs-inc-hds-holding-by-8-45-million-shares-rose/,False,5.907692307692309
1904,1017013254269427700,"['as', 'hd', 'supply', 'hldgs', 'inc', 'hds', 'share', 'price', 'rose', 'mountain', 'pacific', 'investment', 'advisers', 'inc', 'has', 'trimmed', 'its', 'holding', 'by', 'httpstcofczlbazi']",Wed Jul 11 11:50:29 +0000 2018,mmahotstuff1,HDS,HD Supply Holdings,https://twitter.com/i/web/status/1017013254269427712,False,5.617499999999999
1980,1017026425356988400,"['exas', 'exel', 'hds', 'mu', 'avgo', 'mar', 'opk', 'amd', 'gild', 'mrvl', 'biib', 'ca', 'ibkr', 'lrcx', 'nvda', 'orly', 'pypl', 'tsla', 'incy', 'fox', 'httpstcoebavwjgjce']",Wed Jul 11 12:42:49 +0000 2018,tallytrading,HDS,HD Supply Holdings,https://twitter.com/i/web/status/1017026425356988416,False,5.135
2767,1017263395240923100,"['looking', 'forward', 'to', 'making', 'another', 'k', 'tomorrow', 'on', 'options', 'trades', 'from', 'httpstcotuqnrradeu', 'winningtrades', 'iq', 'httpstconnejnmcy']",Thu Jul 12 04:24:27 +0000 2018,McleodHank,HDS,HD Supply Holdings,http://Optionsbypros.com,False,5.662
4024,1017518039594618900,"['get', 'the', 'latest', 'ratings', 'for', 'tpvg', 'rttr', 'hds', 'voya', 'amh', 'in', 'your', 'inbox', 'with', 'marketbeat', 'daily', 'httpstconsjudsyidj']",Thu Jul 12 21:16:19 +0000 2018,RatingsNetwork,HDS,HD Supply Holdings,http://bit.ly/arndailyw,False,5.586
4395,1017618024495566800,"['hd', 'supply', 'holdings', 'inc', 'hds', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcoslymltwcd']",Fri Jul 13 03:53:38 +0000 2018,TheMarketsDaily,HDS,HD Supply Holdings,http://zpr.io/6avah,False,5.572727272727272
