,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
177,1016262633710870500,"['million', 'in', 'sales', 'expected', 'for', 'hibbett', 'sports', 'inc', 'hibb', 'this', 'quarter', 'httpstcongkbpcmdw']",Mon Jul 09 10:07:47 +0000 2018,MareaInformativ,HIBB,Hibbett Sports,http://www.mareainformativa.com/?p=408213,False,5.66888888888889
708,1016473521910894600,"['reviewing', 'barnes', 'amp', 'noble', 'education', 'bned', 'and', 'hibbett', 'sports', 'hibb', 'httpstcoepvmihbtz']",Tue Jul 10 00:05:47 +0000 2018,MareaInformativ,HIBB,Hibbett Sports,http://www.mareainformativa.com/?p=412948,False,5.983333333333333
710,1016473582514393100,"['reviewing', 'barnes', 'amp', 'noble', 'education', 'bned', 'and', 'hibbett', 'sports', 'hibb', 'httpstcoqfiaabt']",Tue Jul 10 00:06:01 +0000 2018,TranscriptDaily,HIBB,Hibbett Sports,http://zpr.io/6ThRZ,False,5.983333333333333
848,1016569973144215600,"['hibbett', 'sports', 'hibb', 'rating', 'increased', 'to', 'hold', 'at', 'valuengine', 'httpstcoceizojz']",Tue Jul 10 06:29:03 +0000 2018,ConsumerFeed,HIBB,Hibbett Sports,http://zpr.io/6TDUS,False,5.593333333333334
901,1016618073036640300,"['earnings', 'per', 'share', 'expected', 'for', 'hibbett', 'sports', 'inc', 'hibb', 'this', 'quarter', 'httpstcoqmirkffik']",Tue Jul 10 09:40:11 +0000 2018,dailypoliticaln,HIBB,Hibbett Sports,http://www.dailypolitical.com/?p=2192375,False,5.7377777777777785
902,1016618124907606000,"['hibbett', 'sports', 'inc', 'hibb', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoofogujduqo']",Tue Jul 10 09:40:23 +0000 2018,TickerReport,HIBB,Hibbett Sports,http://tickerreport.com/?p=3626093,False,5.711111111111111
905,1016620675031883800,"['head', 'to', 'head', 'comparison', 'hibbett', 'sports', 'hibb', 'versus', 'barnes', 'amp', 'noble', 'education', 'bned', 'httpstcosrwctzdxqu']",Tue Jul 10 09:50:31 +0000 2018,dispatchtribune,HIBB,Hibbett Sports,http://dispatchtribunal.com/?p=2044261,False,5.775
1089,1016674609930883100,"['head', 'to', 'head', 'comparison', 'hibbett', 'sports', 'hibb', 'versus', 'barnes', 'amp', 'noble', 'education', 'bned', 'httpstcoukjcgdbu']",Tue Jul 10 13:24:50 +0000 2018,EnterpriseLeade,HIBB,Hibbett Sports,http://theenterpriseleader.com/?p=977394,False,5.775
1258,1016723376847622100,"['hibbett', 'sports', 'inc', 'hibb', 'receives', 'average', 'rating', 'of', 'hold', 'from', 'brokerages', 'httpstcotruoeuh']",Tue Jul 10 16:38:37 +0000 2018,MareaInformativ,HIBB,Hibbett Sports,http://www.mareainformativa.com/?p=417860,False,5.41875
1271,1016726734497034200,"['hibbett', 'sports', 'inc', 'hibb', 'given', 'consensus', 'recommendation', 'of', 'hold', 'by', 'brokerages', 'httpstcoctweshgg']",Tue Jul 10 16:51:58 +0000 2018,ThisLincolnian,HIBB,Hibbett Sports,http://thelincolnianonline.com/?p=2174637,False,5.457142857142857
1273,1016726892936908800,"['hibbett', 'sports', 'inc', 'hibb', 'receives', 'average', 'rating', 'of', 'hold', 'from', 'brokerages', 'httpstcoxnoduvdz']",Tue Jul 10 16:52:35 +0000 2018,WeekHerald,HIBB,Hibbett Sports,http://weekherald.com/?p=2981322,False,5.41875
1786,1016963129002156000,"['hibbett', 'sports', 'hibb', 'upgraded', 'by', 'valuengine', 'to', 'hold', 'httpstcokcsghwq']",Wed Jul 11 08:31:18 +0000 2018,TheMarketsDaily,HIBB,Hibbett Sports,http://zpr.io/6a7Hj,False,5.43
2801,1017281106633248800,"['hibbett', 'sports', 'hibb', 'amp', 'barnes', 'amp', 'noble', 'education', 'bned', 'financial', 'analysis', 'httpstcoartyvqne']",Thu Jul 12 05:34:50 +0000 2018,WatchlistN,HIBB,Hibbett Sports,http://zpr.io/6arjK,False,5.9175
3039,1017359294268870700,"['valuengine', 'upgrades', 'hibbett', 'sports', 'hibb', 'to', 'hold', 'httpstcoymspgrbeq']",Thu Jul 12 10:45:32 +0000 2018,MareaInformativ,HIBB,Hibbett Sports,http://www.mareainformativa.com/?p=429849,False,5.579999999999999
3342,1017413548656377900,"['valuengine', 'upgrades', 'hibbett', 'sports', 'hibb', 'to', 'hold', 'httpstcofitgdrw']",Thu Jul 12 14:21:07 +0000 2018,OlympiaReport,HIBB,Hibbett Sports,http://theolympiareport.com/?p=919990,False,5.579999999999999
3443,1017428512431591400,"['sixtime', 'gold', 'medalist', 'amy', 'van', 'dyken', 'joins', 'medical', 'marijuana', 'inc', 'mjna', 'subsidiary', 'kannaway', 'sports', 'team', 'httpstcoqhzhigepu']",Thu Jul 12 15:20:34 +0000 2018,OfficialHemp,HIBB,Hibbett Sports,https://twitter.com/i/web/status/1017428512431591424,False,5.614999999999999
3541,1017442518420639700,"['head', 'to', 'head', 'survey', 'hibbett', 'sports', 'hibb', 'and', 'barnes', 'amp', 'noble', 'education', 'bned', 'httpstcoechrkrnvo']",Thu Jul 12 16:16:14 +0000 2018,ThisLincolnian,HIBB,Hibbett Sports,http://thelincolnianonline.com/?p=2179403,False,5.898
3594,1017450984639873000,"['sporting', 'goods', 'prices', 'head', 'in', 'the', 'right', 'direction', 'httpstcopymlehpkkg', 'dks', 'spwh', 'jout', 'hibb']",Thu Jul 12 16:49:52 +0000 2018,MarketCurrents,HIBB,Hibbett Sports,https://seekingalpha.com/news/3369728-sporting-goods-prices-head-right-direction?source=feed_f,False,5.622857142857143
3647,1017458758186885100,"['million', 'in', 'sales', 'expected', 'for', 'hibbett', 'sports', 'inc', 'hibb', 'this', 'quarter', 'httpstcodfkijlbno']",Thu Jul 12 17:20:46 +0000 2018,EnterpriseLeade,HIBB,Hibbett Sports,http://theenterpriseleader.com/?p=982735,False,5.66888888888889
3664,1017460660668698600,"['hibbett', 'sports', 'inc', 'hibb', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcosnudyhm']",Thu Jul 12 17:28:19 +0000 2018,TranscriptDaily,HIBB,Hibbett Sports,http://zpr.io/6aJry,False,5.711111111111111
5120,1017795340248932400,"['hibb', 'up', 'to', 'after', 'our', 'bullish', 'setup', 'alert', 'thu', 'jul', 'after', 'the', 'close', 'swingtrading', 'httpstcoehejihlule']",Fri Jul 13 15:38:13 +0000 2018,StockSpotter,HIBB,Hibbett Sports,http://bit.ly/1J1qGc8,False,5.266666666666666
5431,1017855596584988700,"['this', 'is', 'what', 'analysts', 'have', 'to', 'say', 'about', 'hibbett', 'sports', 'inc', 'hibb', 'after', 'last', 'week', 'httpstcovnwkhtb']",Fri Jul 13 19:37:39 +0000 2018,whatsonthorold2,HIBB,Hibbett Sports,https://www.whatsonthorold.com/2018/07/13/this-is-what-analysts-have-to-say-about-hibbett-sports-inc-nasdaqhibb-after-last-week/,False,5.093846153846155
5432,1017855702965149700,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'hibbett', 'sports', 'inc', 'hibb', 'httpstcomggcpobilq']",Fri Jul 13 19:38:05 +0000 2018,mmahotstuff1,HIBB,Hibbett Sports,https://www.mmahotstuff.com/2018/07/13/can-analysts-adopt-a-bullish-outlook-for-hibbett-sports-inc-nasdaqhibb.html,False,5.517500000000001
5434,1017856027503587300,"['analysts', 'are', 'on', 'the', 'bearish', 'side', 'about', 'hibbett', 'sports', 'inc', 'hibb', 'this', 'week', 'httpstcoezvubcl']",Fri Jul 13 19:39:22 +0000 2018,reurope_stock,HIBB,Hibbett Sports,https://reurope.com/2018/07/13/analysts-are-on-the-bearish-side-about-hibbett-sports-inc-nasdaqhibb-this-week/,False,5.19
5436,1017856105903480800,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'hibbett', 'sports', 'inc', 'hibb', 'httpstcoixywuztqb']",Fri Jul 13 19:39:41 +0000 2018,bibeypost_stock,HIBB,Hibbett Sports,https://www.bibeypost.com/can-analysts-adopt-a-bullish-outlook-for-hibbett-sports-inc-nasdaqhibb/,False,5.517500000000001
5683,1017941553485090800,"['rt', 'officialhemp', 'sixtime', 'gold', 'medalist', 'amy', 'van', 'dyken', 'joins', 'medical', 'marijuana', 'inc', 'mjna', 'subsidiary', 'kannaway', 'sports', 'team', 'httpstcorc']",Sat Jul 14 01:19:13 +0000 2018,OfficialHemp,HIBB,Hibbett Sports,,False,5.533333333333333
6424,1018227472490430500,"['eps', 'for', 'hibbett', 'sports', 'inc', 'hibb', 'expected', 'at', 'httpstcopkfebbtps']",Sat Jul 14 20:15:21 +0000 2018,reurope_stock,HIBB,Hibbett Sports,https://reurope.com/2018/07/14/eps-for-hibbett-sports-inc-hibb-expected-at-0-04/,False,5.324
6425,1018227561682423800,"['hibbett', 'sports', 'inc', 'hibb', 'eps', 'estimated', 'at', 'httpstcohedxlw']",Sat Jul 14 20:15:43 +0000 2018,bibeypost_stock,HIBB,Hibbett Sports,https://www.bibeypost.com/hibbett-sports-inc-hibb-eps-estimated-at-0-04/,False,5.3100000000000005
7068,1018360156827082800,"['hibbett', 'sports', 'hibb', 'raised', 'to', 'hold', 'at', 'valuengine', 'httpstcoqhvriemd']",Sun Jul 15 05:02:36 +0000 2018,ThisLincolnian,HIBB,Hibbett Sports,http://thelincolnianonline.com/?p=2182640,False,5.640000000000001
7119,1018367629390737400,"['hibbett', 'sports', 'hibb', 'versus', 'barnes', 'amp', 'noble', 'education', 'bned', 'critical', 'contrast', 'httpstcorvdmyqwzg']",Sun Jul 15 05:32:17 +0000 2018,ThisLincolnian,HIBB,Hibbett Sports,http://thelincolnianonline.com/?p=2182786,False,5.455
7327,1018396792373895200,"['valuengine', 'upgrades', 'hibbett', 'sports', 'hibb', 'to', 'hold', 'httpstcozmvqwihaq']",Sun Jul 15 07:28:10 +0000 2018,ThisLincolnian,HIBB,Hibbett Sports,http://thelincolnianonline.com/?p=2183339,False,5.579999999999999
7474,1018424383621206000,"['barnes', 'amp', 'noble', 'education', 'bned', 'versus', 'hibbett', 'sports', 'hibb', 'head', 'to', 'head', 'analysis', 'httpstcosxlhxzmcjy']",Sun Jul 15 09:17:49 +0000 2018,WeekHerald,HIBB,Hibbett Sports,http://weekherald.com/?p=2990601,False,5.818
8341,1018554615061676000,"['analysts', 'set', 'hibbett', 'sports', 'inc', 'hibb', 'pt', 'at', 'httpstcookrwnva']",Sun Jul 15 17:55:18 +0000 2018,TranscriptDaily,HIBB,Hibbett Sports,http://zpr.io/6XasR,False,5.196666666666666
8421,1018562284053041200,"['brokerages', 'set', 'hibbett', 'sports', 'inc', 'hibb', 'target', 'price', 'at', 'httpstcokcmjasepk']",Sun Jul 15 18:25:47 +0000 2018,dakotafinancial,HIBB,Hibbett Sports,http://dakotafinancialnews.com/?p=319840,False,5.266666666666667
9958,1018859323890466800,"['hibb', 'hibbett', 'sports', 'comebackseason', 'social', 'media', 'giveaway', 'puts', 'the', 'fun', 'in', 'backtoschool', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 16 14:06:06 +0000 2018,Allstocknews,HIBB,Hibbett Sports,,False,5.821538461538461
10199,1018874151656968200,"['headtohead', 'contrast', 'hibbett', 'sports', 'hibb', 'versus', 'barnes', 'amp', 'noble', 'education', 'bned', 'httpstcojbddszwqk']",Mon Jul 16 15:05:02 +0000 2018,OlympiaReport,HIBB,Hibbett Sports,http://theolympiareport.com/?p=927635,False,5.774285714285716
10213,1018874623042125800,"['headtohead', 'analysis', 'barnes', 'amp', 'noble', 'education', 'bned', 'versus', 'hibbett', 'sports', 'hibb', 'httpstcoawkvetx']",Mon Jul 16 15:06:54 +0000 2018,dispatchtribune,HIBB,Hibbett Sports,http://dispatchtribunal.com/?p=2056892,False,5.897142857142858
11161,1018937207707533300,"['playbyplay', 'july', 'th', 'france', 'wins', 'worldcup', 'kerber', 'amp', 'djokovic', 'victorious', 'at', 'wimbledon', 'groenewegen', 'amp', 'degenkolb', 'w', 'httpstcoggjfyewvbk']",Mon Jul 16 19:15:35 +0000 2018,InvestorIdeas,HIBB,Hibbett Sports,https://twitter.com/i/web/status/1018937207707533312,False,5.6425
11306,1018945895482691600,"['july', 'th', 'playbyplay', 'france', 'wins', 'second', 'worldcup', 'kerber', 'amp', 'djokovic', 'victorious', 'at', 'wimbledon', 'groenewegen', 'amp', 'deg', 'httpstcoujsfmtrjw']",Mon Jul 16 19:50:07 +0000 2018,InvestorIdeas,HIBB,Hibbett Sports,https://twitter.com/i/web/status/1018945895482691584,False,5.7075
11397,1018953444911173600,"['playbyplay', 'for', 'july', 'th', 'france', 'wins', 'second', 'worldcup', 'kerber', 'amp', 'djokovic', 'victorious', 'at', 'wimbledon', 'dixon', 'wins', 'httpstcozmeloawq']",Mon Jul 16 20:20:07 +0000 2018,InvestorIdeas,HIBB,Hibbett Sports,https://twitter.com/i/web/status/1018953444911173632,False,5.875555555555555
11514,1018963577854677000,"['july', 'th', 'playbyplay', 'france', 'wins', 'worldcup', 'kerber', 'amp', 'djokovic', 'victorious', 'at', 'wimbledon', 'groenewegen', 'amp', 'degenkolb', 'w', 'httpstcovpivrsn']",Mon Jul 16 21:00:23 +0000 2018,InvestorIdeas,HIBB,Hibbett Sports,https://twitter.com/i/web/status/1018963577854676994,False,5.6425
11685,1018978651860357100,"['playbyplay', 'for', 'july', 'th', 'france', 'wins', 'second', 'worldcup', 'kerber', 'amp', 'djokovic', 'victorious', 'at', 'wimbledon', 'dixon', 'wins', 'httpstcojdcsvpk']",Mon Jul 16 22:00:16 +0000 2018,InvestorIdeas,HIBB,Hibbett Sports,https://twitter.com/i/web/status/1018978651860357128,False,5.875555555555555
11798,1018993747391144000,"['july', 'th', 'playbyplay', 'france', 'wins', 'worldcup', 'kerber', 'amp', 'djokovic', 'victorious', 'at', 'wimbledon', 'groenewegen', 'amp', 'degenkol', 'httpstconrtjzriglk']",Mon Jul 16 23:00:16 +0000 2018,InvestorIdeas,HIBB,Hibbett Sports,https://twitter.com/i/web/status/1018993747391143937,False,5.7542857142857144
14788,1019258111507533800,"['recent', 'research', 'analysts', 'ratings', 'changes', 'for', 'hibbett', 'sports', 'hibb', 'httpstcoifbeokia']",Tue Jul 17 16:30:45 +0000 2018,dakotafinancial,HIBB,Hibbett Sports,http://dakotafinancialnews.com/?p=323850,False,5.611428571428571
17490,1019410101139050500,"['hibbett', 'sports', 'inc', 'hibb', 'receives', 'average', 'rating', 'of', 'hold', 'from', 'analysts', 'httpstcodpvmpew']",Wed Jul 18 02:34:42 +0000 2018,OlympiaReport,HIBB,Hibbett Sports,http://theolympiareport.com/?p=931021,False,5.374444444444445
17497,1019410316420055000,"['brokerages', 'set', 'hibbett', 'sports', 'inc', 'hibb', 'pt', 'at', 'httpstcorxneogrj']",Wed Jul 18 02:35:33 +0000 2018,dispatchtribune,HIBB,Hibbett Sports,http://dispatchtribunal.com/?p=2060223,False,5.231999999999999
20399,1019569444757102600,"['satchel', 'paiges', 'dont', 'ever', 'look', 'back', 'rule', 'isnt', 'easy', 'to', 'follow', 'in', 'investing', 'vg', 'vhi', 'nl', 'hibb', 'jonmhellercfa', 'httpstcokqjtszjuz']",Wed Jul 18 13:07:52 +0000 2018,realmoney,HIBB,Hibbett Sports,https://twitter.com/i/web/status/1019569444757102592,False,5.214545454545454
