,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
247,1016299827867586600,"['will', 'hartford', 'financial', 'services', 'group', 'inc', 'deliver', 'longterm', 'returns', 'hig', 'httpstcoylchdqruf']",Mon Jul 09 12:35:35 +0000 2018,SADIFAnalytics,HIG,The Hartford Financial Services Group,https://www.sadifanalytics.com/reports/find/HIG-47187,False,5.577500000000001
376,1016339486354133000,"['top', 'implied', 'volatility', 'gainers', 'rcii', 'swks', 'twtr', 'pvg', 'qcom', 'hig', 'dal', 'tsco', 'dvmt', 'acad', 'rf', 'httpstcorvsftpuho']",Mon Jul 09 15:13:10 +0000 2018,MC_OptionTrades,HIG,The Hartford Financial Services Group,https://marketchameleon.com/volReports/topImpliedVolMovers/,False,5.89
480,1016375496441880600,"['midday', 'highest', 'trading', 'range', 'compared', 'to', 'open', 'min', 'amp', 'vol', 'gt', 'k', 'nbr', 'slb', 'crc', 'httpstcoogdcxmeeb']",Mon Jul 09 17:36:16 +0000 2018,15minofPham,HIG,The Hartford Financial Services Group,https://twitter.com/i/web/status/1016375496441880576,False,5.474545454545454
483,1016377061500444700,"['new', 'uoa', 'detected', 'for', 'hig', 'put', 'options', 'expiring', 'traded', 'for', 'bought', 'on', 'the', 'ask', 'httpstcoocngtyklr']",Mon Jul 09 17:42:29 +0000 2018,liveoptiondata,HIG,The Hartford Financial Services Group,https://www.optionsonar.com/unusual-option-activity/HIG/latest-trades,False,5.578181818181818
559,1016410633334673400,"['unusual', 'option', 'volume', 'watch', 'list', 'grpn', 'endp', 'czr', 'amgn', 'pep', 'rf', 'biib', 'pvg', 'igt', 'nrg', 'esrx', 'twtr', 'hig', 'jwn', 'xlu', 'trading', 'options']",Mon Jul 09 19:55:53 +0000 2018,TradeAcademyCo,HIG,The Hartford Financial Services Group,,False,5.680000000000001
720,1016488391251148800,"['rt', 'highlandspac', 'asx', 'and', 'pomsox', 'waiver', 'granted', 'from', 'listing', 'rule', 'hig', 'httpstcoqguilzdj', 'httpstcoqkrlpgj']",Tue Jul 10 01:04:52 +0000 2018,makcorppl,HIG,The Hartford Financial Services Group,http://bit.ly/2KSTryQ,False,5.216666666666666
734,1016497677624725500,"['nickel', 'pio', 'cav', 'tlm', 'pan', 'igo', 'avq', 'orn', 'sbr', 'arl', 'cmy', 'hgm', 'lcy', 'mth', 'sgq', 'hnr', 'wcn', 'czi', 'pos', 'gal', 'g', 'vms', 'httpstcornxjnlhg']",Tue Jul 10 01:41:46 +0000 2018,MeepMeep_Trader,HIG,The Hartford Financial Services Group,https://twitter.com/i/web/status/1016497677624725505,False,5.4375
735,1016498322108891100,"['rt', 'meepmeeptrader', 'nickel', 'pio', 'cav', 'tlm', 'pan', 'igo', 'avq', 'orn', 'sbr', 'arl', 'cmy', 'hgm', 'lcy', 'mth', 'sgq', 'hnr', 'wcn', 'czi', 'pos', 'gal', 'g', 'vms', 'gm']",Tue Jul 10 01:44:20 +0000 2018,cheap5suit,HIG,The Hartford Financial Services Group,,False,5.241666666666667
737,1016499248488054800,"['rt', 'meepmeeptrader', 'nickel', 'pio', 'cav', 'tlm', 'pan', 'igo', 'avq', 'orn', 'sbr', 'arl', 'cmy', 'hgm', 'lcy', 'mth', 'sgq', 'hnr', 'wcn', 'czi', 'pos', 'gal', 'g', 'vms', 'gm']",Tue Jul 10 01:48:01 +0000 2018,gassin123Charts,HIG,The Hartford Financial Services Group,,False,5.241666666666667
775,1016514996061253600,"['analysts', 'see', 'eps', 'for', 'the', 'hartford', 'financial', 'services', 'group', 'inc', 'hig', 'httpstcoscuegiei']",Tue Jul 10 02:50:35 +0000 2018,whatsonthorold2,HIG,The Hartford Financial Services Group,https://www.whatsonthorold.com/2018/07/10/analysts-see-1-02-eps-for-the-hartford-financial-services-group-inc-hig/,False,5.377777777777777
776,1016515259086069800,"['eps', 'for', 'the', 'hartford', 'financial', 'services', 'group', 'inc', 'hig', 'expected', 'at', 'httpstcomsosscwrx']",Tue Jul 10 02:51:38 +0000 2018,reurope_stock,HIG,The Hartford Financial Services Group,https://reurope.com/2018/07/10/eps-for-the-hartford-financial-services-group-inc-hig-expected-at-1-02/,False,5.328888888888889
777,1016515333526573000,"['analysts', 'see', 'eps', 'for', 'the', 'hartford', 'financial', 'services', 'group', 'inc', 'hig', 'httpstcoakhflgdtm']",Tue Jul 10 02:51:56 +0000 2018,bibeypost_stock,HIG,The Hartford Financial Services Group,https://www.bibeypost.com/analysts-see-1-02-eps-for-the-hartford-financial-services-group-inc-hig/,False,5.377777777777777
1296,1016735014732615700,"['unusual', 'put', 'buying', 'iwo', 'x', 'average', 'volume', 'nrg', 'x', 'pep', 'x', 'tza', 'x', 'grpn', 'x', 'hig', 'x', 'dvmt', 'x', 'twtr', 'x']",Tue Jul 10 17:24:52 +0000 2018,getvolatility,HIG,The Hartford Financial Services Group,,False,5.086153846153847
1297,1016735339027710000,"['rt', 'getvolatility', 'unusual', 'put', 'buying', 'iwo', 'x', 'average', 'volume', 'nrg', 'x', 'pep', 'x', 'tza', 'x', 'grpn', 'x', 'hig', 'x', 'dvmt', 'x', 'twtr', 'x']",Tue Jul 10 17:26:09 +0000 2018,PennyStocksMomo,HIG,The Hartford Financial Services Group,,False,5.071428571428572
1333,1016743638146134000,"['eps', 'expected', 'for', 'hartford', 'financial', 'services', 'group', 'inc', 'hig', 'this', 'quarter', 'httpstcohgirvebtca']",Tue Jul 10 17:59:08 +0000 2018,WatchlistN,HIG,The Hartford Financial Services Group,http://zpr.io/6aPxT,False,5.411111111111112
1458,1016774101153800200,"['a', 'bullish', 'big', 'mac', 'bullish', 'has', 'occurred', 'at', 'pm', 'jul', 'at', 'on', 'the', 'hartford', 'financial', 'services', 'group', 'inc', 'httpstcozzjkmhpjo']",Tue Jul 10 20:00:11 +0000 2018,websofttechies,HIG,The Hartford Financial Services Group,https://twitter.com/i/web/status/1016774101153800192,False,5.38
1763,1016943135283404800,"['trust', 'co', 'has', 'stake', 'in', 'hartford', 'financial', 'services', 'group', 'inc', 'hig', 'httpstcoppbgobwr']",Wed Jul 11 07:11:51 +0000 2018,ConsumerFeed,HIG,The Hartford Financial Services Group,https://ift.tt/2uaDnir,False,5.498
1882,1017008041965817900,"['investors', 'purchase', 'large', 'volume', 'of', 'hartford', 'financial', 'services', 'group', 'put', 'options', 'hig', 'httpstcojzglcdsbm']",Wed Jul 11 11:29:46 +0000 2018,ConsumerFeed,HIG,The Hartford Financial Services Group,http://zpr.io/6aZqM,False,5.665454545454546
1943,1017020258039877600,"['investors', 'purchase', 'high', 'volume', 'of', 'put', 'options', 'on', 'hartford', 'financial', 'services', 'group', 'hig', 'httpstcoiyyahztv']",Wed Jul 11 12:18:19 +0000 2018,MareaInformativ,HIG,The Hartford Financial Services Group,http://www.mareainformativa.com/?p=423447,False,5.705000000000001
1946,1017020708696752100,"['investors', 'purchase', 'high', 'volume', 'of', 'put', 'options', 'on', 'hartford', 'financial', 'services', 'group', 'hig', 'httpstcomirmauoo']",Wed Jul 11 12:20:06 +0000 2018,TranscriptDaily,HIG,The Hartford Financial Services Group,http://zpr.io/6ajNn,False,5.705000000000001
2661,1017206859239813100,"['highlands', 'pacific', 'higax', 'hig', 'm', 'c', 'ma', 'c', 'vol', 'm', 'av', 'm', 'soi', 'b', 'lm', 'mc', 'm', 'httpstcoliqcfxiah']",Thu Jul 12 00:39:48 +0000 2018,ShaMktAn,HIG,The Hartford Financial Services Group,https://twitter.com/i/web/status/1017206859239813126,False,5.208333333333335
2859,1017304820405792800,"['asx', 'most', 'volume', 'seh', 'volume', 'hig', 'volume', 'sya', 'httpstcojxpfnvyt']",Thu Jul 12 07:09:04 +0000 2018,Market_Scanner,HIG,The Hartford Financial Services Group,https://twitter.com/i/web/status/1017304820405792768,False,5.6240000000000006
2961,1017340251554099200,"['aar', 'air', 'valuation', 'rose', 'while', 'marcato', 'capital', 'management', 'lp', 'has', 'lowered', 'stake', 'rdl', 'financial', 'trimmed', 'hartford', 'finl', 'httpstcouansxqdey']",Thu Jul 12 09:29:51 +0000 2018,The_CasualSmart,HIG,The Hartford Financial Services Group,https://twitter.com/i/web/status/1017340251554099201,False,5.640000000000001
4097,1017537300887212000,"['hig', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoodymcnp', 'httpstcolrcmqrqlx']",Thu Jul 12 22:32:52 +0000 2018,optioncharts,HIG,The Hartford Financial Services Group,http://maximum-pain.com/options/max-pain/HIG,False,4.888
4175,1017552438612525000,"['valvesound', 'ditto', 'with', 'hig', 'valve']",Thu Jul 12 23:33:01 +0000 2018,tricky4phyl,HIG,The Hartford Financial Services Group,,False,5.65
4331,1017595079614222300,"['analyzing', 'berkshire', 'hathaway', 'inc', 'class', 'a', 'brka', 'and', 'hartford', 'financial', 'services', 'group', 'hig', 'httpstcoguoxobveh']",Fri Jul 13 02:22:27 +0000 2018,EnterpriseLeade,HIG,The Hartford Financial Services Group,http://theenterpriseleader.com/?p=983361,False,5.3875
4350,1017599184252305400,"['hartford', 'financial', 'services', 'group', 'inc', 'hig', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoipxhjslbq']",Fri Jul 13 02:38:46 +0000 2018,TranscriptDaily,HIG,The Hartford Financial Services Group,http://zpr.io/6a4Ja,False,5.63
4362,1017604540730835000,"['buysignal', 'detected', 'for', 'stocks', 'mtch', 'intc', 'hig', 'blk']",Fri Jul 13 03:00:03 +0000 2018,holycharts,HIG,The Hartford Financial Services Group,,False,5.28
4565,1017684847203143700,"['travelers', 'companies', 'trv', 'and', 'hartford', 'financial', 'services', 'group', 'hig', 'head', 'to', 'head', 'analysis', 'httpstcoouhtovxcz']",Fri Jul 13 08:19:09 +0000 2018,WatchlistN,HIG,The Hartford Financial Services Group,http://zpr.io/6aBje,False,5.623636363636363
4996,1017774232779001900,"['does', 'the', 'hartford', 'financial', 'services', 'group', 'inc', 'hig', 'have', 'any', 'gas', 'after', 'forming', 'this', 'bearish', 'double', 'bottom', 'pattern']",Fri Jul 13 14:14:21 +0000 2018,reurope_stock,HIG,The Hartford Financial Services Group,,False,5.276249999999999
5330,1017831055875870700,"['a', 'bullish', 'big', 'mac', 'bullish', 'has', 'occurred', 'at', 'pm', 'jul', 'at', 'on', 'the', 'hartford', 'financial', 'services', 'group', 'inc', 'httpstcokkjuaisf']",Fri Jul 13 18:00:08 +0000 2018,websofttechies,HIG,The Hartford Financial Services Group,https://twitter.com/i/web/status/1017831055875870722,False,5.38
5380,1017841025472008200,"['ago', 'aig', 'amrb', 'asfi', 'bsig', 'bx', 'byfc', 'c', 'cg', 'cit', 'cpss', 'dfs', 'gs', 'gwgh', 'hig', 'ibn', 'ihc', 'krny', 'mtg', 'pfsi', 'prov', 'rf', 'httpstcovajjdxxo']",Fri Jul 13 18:39:45 +0000 2018,SeekingAlpha,HIG,The Hartford Financial Services Group,https://seekingalpha.com/article/4187187-numbers-high-conviction-buybacks-financial-sector?source=feed_f,False,4.72
5642,1017917373700018200,"['hig', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcorzbwgyglv', 'httpstcosgjdmvdqzw']",Fri Jul 13 23:43:08 +0000 2018,optioncharts,HIG,The Hartford Financial Services Group,http://maximum-pain.com/options/open-interest/HIG,False,5.9975000000000005
