,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3595,1017451101719748600,"['ninjadistrict', 'stevemollenkopf', 'i', 'agree', 'stevemollenkopf', 'qualcomm', 'should', 'be', 'looking', 'at', 'kopin', 'as', 'a', 'partner', 'or', 'acq', 'httpstcorazboi']",Thu Jul 12 16:50:20 +0000 2018,DZierler,HIMX,Himax Technologies,https://twitter.com/i/web/status/1017451101719748609,False,5.652000000000001
3599,1017452392445427700,"['rt', 'dzierler', 'ninjadistrict', 'stevemollenkopf', 'i', 'agree', 'stevemollenkopf', 'qualcomm', 'should', 'be', 'looking', 'at', 'kopin', 'as', 'a', 'partner', 'or', 'acquisition', 't']",Thu Jul 12 16:55:28 +0000 2018,FormilabHX,HIMX,Himax Technologies,,False,5.541538461538462
3600,1017452499706376200,"['balanced', 'and', 'informative', 'piece', 'from', 'dancarlson', 'of', 'tailwinds', 'research', 'following', 'recent', 'visit', 'to', 'kopin', 'hq', 'httpstcoankdhqkhd']",Thu Jul 12 16:55:53 +0000 2018,DZierler,HIMX,Himax Technologies,https://twitter.com/i/web/status/1017452499706376192,False,5.603
3671,1017462423576633300,"['vuzix', 'ceo', 'says', 'i', 'dont', 'know', 'what', 'apple', 'is', 'doing', 'behind', 'closed', 'doors', 'but', 'quite', 'frankly', 'the', 'qcom', 'chipset', 'is', 'a', 'b', 'httpstcoffwtkoqfd']",Thu Jul 12 17:35:19 +0000 2018,peregrin_go,HIMX,Himax Technologies,https://twitter.com/i/web/status/1017462423576633344,False,5.129999999999999
3710,1017467761537110000,"['from', 'handheld', 'smartphone', 'ux', 'to', 'head', 'worn', 'ar', 'ux', 'augmentedreality', 'mixedreality', 'hearables', 'stockstowatch', 'kopn', 'httpstcohvpsemx']",Thu Jul 12 17:56:32 +0000 2018,DZierler,HIMX,Himax Technologies,https://twitter.com/i/web/status/1017467761537110016,False,5.054
3808,1017484744089587700,"['apple', 'is', 'up', 'to', 'something', 'big', 'lets', 'see', 'what', 'a', 'kopin', 'insider', 'knows', 'about', 'apples', 'roadmap', 'disclaimer', 'imo', 'me', 'httpstcouzmnjthmx']",Thu Jul 12 19:04:01 +0000 2018,peregrin_go,HIMX,Himax Technologies,https://twitter.com/i/web/status/1017484744089587713,False,5.730769230769231
3889,1017498738330177500,"['i', 'believe', 'kopin', 'whisperchip', 'noise', 'cancellation', 'technology', 'can', 'reduce', 'the', 'distance', 'between', 'the', 'microphones', 'an', 'httpstconqwdtld']",Thu Jul 12 19:59:38 +0000 2018,DZierler,HIMX,Himax Technologies,https://twitter.com/i/web/status/1017498738330177536,False,5.20909090909091
3928,1017503548224036900,"['kopin', 'insider', 'says', 'design', 'wins', 'inside', 'googl', 'glass', 'and', 'aapl', 'airpods', 'will', 'validate', 'my', 'thesis', 'of', 'design', 'httpstcosxdzzzt']",Thu Jul 12 20:18:44 +0000 2018,peregrin_go,HIMX,Himax Technologies,https://twitter.com/i/web/status/1017503548224036864,False,5.837272727272727
4095,1017536904236097500,"['rt', 'profittraderoom', 'hotstocks', 'today', 'cntf', 'kiq', 'izea', 'scyx', 'jagx', 'huya', 'staf', 'ntra', 'tndm', 'ccih', 'glmd', 'ca', 'zgnx', 'fpi', 'pzza', 'save', 'asmb', 'a']",Thu Jul 12 22:31:17 +0000 2018,RajeshBalu13,HIMX,Himax Technologies,,False,5.595999999999999
4212,1017564110219825200,"['himax', 'himx', 'stock', 'price', 'up', 'httpstcohpwqt']",Fri Jul 13 00:19:23 +0000 2018,OlympiaReport,HIMX,Himax Technologies,http://theolympiareport.com/?p=921134,False,5.646666666666667
4216,1017564729743691800,"['himax', 'himx', 'trading', 'higher', 'httpstcohmkaxelcf']",Fri Jul 13 00:21:51 +0000 2018,dispatchtribune,HIMX,Himax Technologies,http://dispatchtribunal.com/?p=2050442,False,6.33
4951,1017766429905612800,"['himx', 'httpstcouecyyhyx', 'short', 'play']",Fri Jul 13 13:43:20 +0000 2018,60oldman,HIMX,Himax Technologies,http://schrts.co/h6QxMb,False,5.859999999999999
5054,1017785953090498600,"['justjoenow', 'vuzix', 'a', 'big', 'joey', 'lawrence', 'woah', 'does', 'this', 'mean', 'that', 'youre', 'going', 'to', 'be', 'the', 'new', 'ceo', 'of', 'mygoldeni', 'httpstcooovljuww']",Fri Jul 13 15:00:55 +0000 2018,peregrin_go,HIMX,Himax Technologies,https://twitter.com/i/web/status/1017785953090498560,False,5.251249999999999
5199,1017808255152771100,"['kopin', 'inside', 'recon', 'died', 'intl', 'vuzi', 'kopn', 'himx', 'eman', 'httpstcopehlupsgi']",Fri Jul 13 16:29:32 +0000 2018,peregrin_go,HIMX,Himax Technologies,,False,3.4800000000000004
5242,1017815612037292000,"['as', 'ar', 'devices', 'start', 'showing', 'up', 'across', 'enterprise', 'wallstreet', 'will', 'ask', 'who', 'owns', 'all', 'the', 'ip', 'and', 'has', 'key', 'socket', 'win', 'httpstcowhyvewc']",Fri Jul 13 16:58:46 +0000 2018,DZierler,HIMX,Himax Technologies,https://twitter.com/i/web/status/1017815612037292032,False,5.73
5314,1017826992673185800,"['kopin', 'fanboys', 'popularized', 'the', 'phrase', 'fullyoccluded', 'ar', 'now', 'we', 'know', 'what', 'they', 'mean', 'they', 'cant', 'find', 'their', 'httpstcowzznnpgy']",Fri Jul 13 17:44:00 +0000 2018,peregrin_go,HIMX,Himax Technologies,https://twitter.com/i/web/status/1017826992673185793,False,5.236923076923076
