,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2197,1017070499891855400,"['hampton', 'by', 'hilton', 'hotel', 'brand', 'in', 'expansion', 'push', 'httpstcokczcgjmpi', 'hlt']",Wed Jul 11 15:37:58 +0000 2018,MarketCurrents,HLT,Hilton Worldwide Holdings Inc.,https://seekingalpha.com/news/3369363-hampton-hilton-hotel-brand-expansion-push?source=feed_f,False,5.471428571428571
2270,1017089006474027000,"['ron', 'baron', 'boosts', 'position', 'in', 'marriott', 'vacations', 'worldwide', 'httpstcoowyhgwo', 'vac', 'ilg', 'h', 'mgm', 'chh', 'hgv', 'rrr', 'httpstcoynclltxmgx']",Wed Jul 11 16:51:30 +0000 2018,gurufocus,HLT,Hilton Worldwide Holdings Inc.,https://www.gurufocus.com/news/706512,False,5.544
2272,1017089234463797200,"['rt', 'gurufocus', 'ron', 'baron', 'boosts', 'position', 'in', 'marriott', 'vacations', 'worldwide', 'httpstcoowyhgwo', 'vac', 'ilg', 'h', 'mgm', 'chh', 'hgv', 'rrr', 'hlt', 'mar']",Wed Jul 11 16:52:24 +0000 2018,gurusydneeg,HLT,Hilton Worldwide Holdings Inc.,https://www.gurufocus.com/news/706512,False,5.348571428571428
2409,1017126052907413500,"['rt', 'vulken', 'knsc', 'm', 'in', 'assets', 'with', 'm', 'in', 'revenue', 'x', 'resort', 'properties', 'in', 'orlando', 'fl', 'rbiz', 'bioaq', 'drus', 'btc', 'proud', 'ost']",Wed Jul 11 19:18:42 +0000 2018,vulken17,HLT,Hilton Worldwide Holdings Inc.,,False,5.754666666666666
2434,1017138532777889800,"['nvcn', 'neovasc', 'moves', 'are', 'being', 'made', 'for', 'those', 'who', 'want', 'inout', 'spy', 'gdx', 'fb', 'bac', 'ge', 'xlf', 'eem', 'hlt', 'tvix', 'qqq', 'mu', 'httpstcokepgfyxct']",Wed Jul 11 20:08:18 +0000 2018,PortoRicanRasta,HLT,Hilton Worldwide Holdings Inc.,https://twitter.com/i/web/status/1017138532777889792,False,5.3109090909090915
2564,1017171111887466500,"['investors', 'buy', 'hilton', 'worldwide', 'hlt', 'on', 'weakness', 'httpstcogkfmswwcw']",Wed Jul 11 22:17:45 +0000 2018,dakotafinancial,HLT,Hilton Worldwide Holdings Inc.,http://dakotafinancialnews.com/?p=311809,False,5.368
2565,1017171327634034700,"['investors', 'buy', 'hilton', 'worldwide', 'hlt', 'on', 'weakness', 'httpstcoitfcpjw']",Wed Jul 11 22:18:37 +0000 2018,ledgerzette,HLT,Hilton Worldwide Holdings Inc.,http://ledgergazette.com/?p=2820145,False,5.368
2601,1017190719755378700,"['brokerages', 'set', 'hilton', 'worldwide', 'hlt', 'pt', 'at', 'httpstcohiqgcb']",Wed Jul 11 23:35:40 +0000 2018,TranscriptDaily,HLT,Hilton Worldwide Holdings Inc.,http://zpr.io/6awi6,False,5.49
3083,1017368059282149400,"['financial', 'comparison', 'choice', 'hotels', 'international', 'chh', 'versus', 'hilton', 'hotels', 'co', 'common', 'stock', 'hlt', 'httpstcopbzhcrhq']",Thu Jul 12 11:20:21 +0000 2018,ZolmaxNews,HLT,Hilton Worldwide Holdings Inc.,http://zolmax.com/?p=2377317,False,5.656999999999999
3524,1017439379768279000,"['chh', 'mar', 'wynd', 'acrfy', 'hlt', 'shaly', 'sjjiy', 'htht', 'httpstcodirqkydqwk']",Thu Jul 12 16:03:45 +0000 2018,SeekingAlpha,HLT,Hilton Worldwide Holdings Inc.,https://seekingalpha.com/article/4186901-huazhu-group-limited-top-buy?source=feed_f,False,4.84
