,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
529,1016396601152233500,"['a', 'bullish', 'big', 'mac', 'bullish', 'has', 'occurred', 'at', 'pm', 'jul', 'at', 'on', 'hologic', 'inc', 'holx', 'holx', 'want', 'to', 'earnregi', 'httpstcoemzymfdc']",Mon Jul 09 19:00:08 +0000 2018,websofttechies,HOLX,Hologic,https://twitter.com/i/web/status/1016396601152233473,False,5.331666666666667
551,1016408737588895700,"['pricing', 'power', 'txmd', 'agn', 'vrx', 'holx', 'jnj', 'abbv', 'teva', 'pfe', 'httpstcopcqgelwg']",Mon Jul 09 19:48:21 +0000 2018,DarkSideOfTheSt,HOLX,Hologic,https://twitter.com/NYTHealth/status/1004015430330126337,False,6.68
609,1016427473989488600,"['holx', 'stock', 'quote', 'alert', 'for', 'hologic', 'inc', 'nasdaqholx', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 09 21:02:48 +0000 2018,Allstocknews,HOLX,Hologic,,False,5.432
697,1016467394578042900,"['hologic', 'holx', 'bonds', 'trading', 'higher', 'httpstcohpwavekbdh']",Mon Jul 09 23:41:26 +0000 2018,TranscriptDaily,HOLX,Hologic,http://zpr.io/6TmzQ,False,5.953333333333333
982,1016652572126580700,"['put', 'volume', 'lnc', 'pbr', 'all', 'nwl', 'six', 'adtn', 'aaoi', 'nxpi', 'ttm', 'flr', 'hbi', 'ntes', 'holx', 'peg', 'fang', 'bw', 'xon', 'wdc', 'hes', 'fti', 'hrg', 'gme', 'ttwo']",Tue Jul 10 11:57:16 +0000 2018,TopStockAlerts1,HOLX,Hologic,,False,5.4399999999999995
1004,1016657971022090200,"['doug', 'schenkel', 'assesses', 'positioning', 'and', 'market', 'expectations', 'for', 'life', 'sciences', 'diagnostics', 'amp', 'tools', 'companies', 'going', 'in', 'httpstcoczzlsqkf']",Tue Jul 10 12:18:43 +0000 2018,CowenResearch,HOLX,Hologic,https://twitter.com/i/web/status/1016657971022090242,True,5.669999999999999
2014,1017032759586512900,"['eps', 'expected', 'for', 'hologic', 'inc', 'holx', 'httpstcoipqaj']",Wed Jul 11 13:08:00 +0000 2018,The_CasualSmart,HOLX,Hologic,https://thecasualsmart.com/2018/07/11/0-56-eps-expected-for-hologic-inc-holx/,False,5.22
2015,1017033149040287700,"['hologic', 'inc', 'holx', 'eps', 'estimated', 'at', 'httpstcotcvqmp']",Wed Jul 11 13:09:32 +0000 2018,bibeypost_stock,HOLX,Hologic,https://www.bibeypost.com/hologic-inc-holx-eps-estimated-at-0-56/,False,5.0600000000000005
2510,1017152216057221100,"['holx', 'stock', 'quote', 'alert', 'for', 'hologic', 'inc', 'nasdaqholx', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Wed Jul 11 21:02:40 +0000 2018,Allstocknews,HOLX,Hologic,,False,5.432
2516,1017153377837469700,"['holx', 'been', 'chugging', 'along', 'w', 'the', 'size', 'in', 'july', 'call', 'oi']",Wed Jul 11 21:07:17 +0000 2018,OptionsHawk,HOLX,Hologic,,False,5.275555555555555
