,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
43,1016106363016147000,"['mtts', 'weekly', 'watchlist', 'for', 'july', 'th', 'cxo', 'hprspp', 'httpstcopoczdybj']",Sun Jul 08 23:46:49 +0000 2018,MttsTrading,HP,Helmerich & Payne,https://mttstrading.com/mtts-weekly-watchlist-for-july-9th-2018-cxo-hp-rspp/,False,5.3149999999999995
67,1016134583404802000,"['rt', 'mttstrading', 'mtts', 'weekly', 'watchlist', 'for', 'july', 'th', 'cxo', 'hprspp', 'httpstcopoczdybj']",Mon Jul 09 01:38:58 +0000 2018,HooverStreet51,HP,Helmerich & Payne,https://mttstrading.com/mtts-weekly-watchlist-for-july-9th-2018-cxo-hp-rspp/,False,5.228
261,1016306593191821300,"['will', 'helmerich', 'and', 'payne', 'inc', 'perform', 'long', 'term', 'hp', 'httpstcomqrlvpngfm']",Mon Jul 09 13:02:28 +0000 2018,SADIFAnalytics,HP,Helmerich & Payne,https://www.sadifanalytics.com/reports/find/HP-47217,False,5.354285714285714
416,1016351387062554600,"['is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'pqeff', 'hp', 'fnv', 'pba', 'enb', 'su', 'oilandgas', 'energy', 'httpstcovziskrku']",Mon Jul 09 16:00:28 +0000 2018,PetroteqEnergy,HP,Helmerich & Payne,http://ow.ly/uYwE30kRIQn,False,5.367272727272727
418,1016352121979977700,"['rt', 'petroteqenergy', 'is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'pqeff', 'hp', 'fnv', 'pba', 'enb', 'su', 'oilandgas', 'energy', 'httpstcovzisk']",Mon Jul 09 16:03:23 +0000 2018,BGPTRADING,HP,Helmerich & Payne,,False,5.326666666666666
423,1016352887897776100,"['rt', 'petroteqenergy', 'is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'pqeff', 'hp', 'fnv', 'pba', 'enb', 'su', 'oilandgas', 'energy', 'httpstcovzisk']",Mon Jul 09 16:06:26 +0000 2018,KarlCampbell6,HP,Helmerich & Payne,,False,5.326666666666666
430,1016355142705139700,"['is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'httpstconyxjjtpwj', 'httpstcolfhadamse', 'oilprice', 'httpstcosxvaonphy']",Mon Jul 09 16:15:23 +0000 2018,petrobloq,HP,Helmerich & Payne,http://OilPrice.com,False,5.18
453,1016362006226653200,"['rt', 'petrobloq', 'is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'httpstconyxjjtpwj', 'httpstcolfhadamse', 'oilprice', 'pqeff', 'bitc']",Mon Jul 09 16:42:40 +0000 2018,africantabs,HP,Helmerich & Payne,http://OilPrice.com,False,5.146666666666666
454,1016362064166744000,"['rt', 'petroteqenergy', 'is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'pqeff', 'hp', 'fnv', 'pba', 'enb', 'su', 'oilandgas', 'energy', 'httpstcovzisk']",Mon Jul 09 16:42:53 +0000 2018,africantabs,HP,Helmerich & Payne,,False,5.326666666666666
464,1016367485065617400,"['hal', 'hp', 'trading', 'key']",Mon Jul 09 17:04:26 +0000 2018,AlexBo6,HP,Helmerich & Payne,,False,5.8
498,1016381337421385700,"['rt', 'petroteqenergy', 'is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'pqeff', 'hp', 'fnv', 'pba', 'enb', 'su', 'oilandgas', 'energy', 'httpstcovzisk']",Mon Jul 09 17:59:28 +0000 2018,SNIFFER78,HP,Helmerich & Payne,,False,5.326666666666666
503,1016383950154076200,"['rt', 'petroteqenergy', 'is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'pqeff', 'hp', 'fnv', 'pba', 'enb', 'su', 'oilandgas', 'energy', 'httpstcovzisk']",Mon Jul 09 18:09:51 +0000 2018,FactoringforBiz,HP,Helmerich & Payne,,False,5.326666666666666
504,1016384221542338600,"['rt', 'petroteqenergy', 'is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'pqeff', 'hp', 'fnv', 'pba', 'enb', 'su', 'oilandgas', 'energy', 'httpstcovzisk']",Mon Jul 09 18:10:56 +0000 2018,MazonAssociates,HP,Helmerich & Payne,,False,5.326666666666666
539,1016403788549279700,"['rt', 'petroteqenergy', 'is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'pqeff', 'hp', 'fnv', 'pba', 'enb', 'su', 'oilandgas', 'energy', 'httpstcovzisk']",Mon Jul 09 19:28:41 +0000 2018,keya5000,HP,Helmerich & Payne,,False,5.326666666666666
546,1016406252618960900,"['rt', 'petroteqenergy', 'is', 'this', 'the', 'oil', 'tech', 'breakthrough', 'of', 'the', 'decade', 'pqeff', 'hp', 'fnv', 'pba', 'enb', 'su', 'oilandgas', 'energy', 'httpstcovzisk']",Mon Jul 09 19:38:29 +0000 2018,Kevalp187,HP,Helmerich & Payne,,False,5.326666666666666
733,1016495088346828800,"['hp', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcockzrtils', 'httpstcoryemfx']",Tue Jul 10 01:31:29 +0000 2018,optioncharts,HP,Helmerich & Payne,http://maximum-pain.com/options/open-interest/HP,False,5.5555555555555545
778,1016515626033188900,"['eps', 'for', 'helmerich', 'amp', 'payne', 'inc', 'hp', 'expected', 'at', 'httpstcohlktgwzhld']",Tue Jul 10 02:53:05 +0000 2018,whatsonthorold2,HP,Helmerich & Payne,https://www.whatsonthorold.com/2018/07/10/eps-for-helmerich-payne-inc-hp-expected-at-0-03/,False,5.2299999999999995
779,1016515796275814400,"['helmerich', 'amp', 'payne', 'inc', 'hp', 'eps', 'estimated', 'at', 'httpstcojvialvbfv']",Tue Jul 10 02:53:46 +0000 2018,reurope_stock,HP,Helmerich & Payne,https://reurope.com/2018/07/10/helmerich-payne-inc-hp-eps-estimated-at-0-03/,False,5.2
780,1016515859441995800,"['eps', 'for', 'helmerich', 'amp', 'payne', 'inc', 'hp', 'expected', 'at', 'httpstcovdosrjvsdn']",Tue Jul 10 02:54:01 +0000 2018,bibeypost_stock,HP,Helmerich & Payne,https://www.bibeypost.com/eps-for-helmerich-payne-inc-hp-expected-at-0-03/,False,5.2299999999999995
822,1016552100766023700,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'pten', 'on', 'is', 'httpstcorbehavewn', 'unt', 'nbr', 'do', 'hp']",Tue Jul 10 05:18:02 +0000 2018,shortvolumes,HP,Helmerich & Payne,http://shortvolumes.com/?t=PTEN,False,5.327272727272727
