,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1306,1016737835079086100,"['hormel', 'foods', 'corp', 'hrl', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcojquxnh']",Tue Jul 10 17:36:04 +0000 2018,ThisLincolnian,HRL,Hormel Foods Corporation,http://thelincolnianonline.com/?p=2174673,False,5.751111111111111
1307,1016737977752580100,"['analysts', 'anticipate', 'hormel', 'foods', 'corp', 'hrl', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoryjdadbbx']",Tue Jul 10 17:36:38 +0000 2018,EnterpriseLeade,HRL,Hormel Foods Corporation,http://theenterpriseleader.com/?p=977772,False,5.888888888888889
1309,1016738272465309700,"['zacks', 'brokerages', 'anticipate', 'hormel', 'foods', 'corp', 'hrl', 'will', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcobuvejcbyy']",Tue Jul 10 17:37:48 +0000 2018,WeekHerald,HRL,Hormel Foods Corporation,http://weekherald.com/?p=2981361,False,5.882499999999999
1323,1016742337047752700,"['hrl', 'new', 'insider', 'filing', 'on', 'nakasone', 'robert', 'transaction', 'code', 'm', 'httpstcovmblsrger', 'httpstcohscbilzri']",Tue Jul 10 17:53:57 +0000 2018,filing_scanner,HRL,Hormel Foods Corporation,http://www.filingscanner.com/Alerts/HRL.php,False,5.508571428571429
1660,1016856909490503700,"['hrl', 'holdings', 'hrlax', 'hrl', 'k', 'c', 'ma', 'c', 'vol', 'k', 'av', 'k', 'soi', 'm', 'cash', 'm', 'mc', 'm', 'httpstcokwlwxmt']",Wed Jul 11 01:29:14 +0000 2018,ShaMktAn,HRL,Hormel Foods Corporation,https://twitter.com/i/web/status/1016856909490503682,False,5.314285714285715
1782,1016961745385123800,"['robert', 'nakasone', 'sells', 'shares', 'of', 'hormel', 'foods', 'corp', 'hrl', 'stock', 'httpstcoaupvppzk']",Wed Jul 11 08:25:48 +0000 2018,TranscriptDaily,HRL,Hormel Foods Corporation,http://zpr.io/6a7gr,False,5.797142857142857
2644,1017201284460376000,"['wednesdays', 'close', 'gt', 'high', 'day', 'ago', 'with', 'trading', 'range', 'gt', 'daily', 'ema', 'gt', 'close', 'gt', 'ema', 'vol', 'gt', 'httpstcobmhuukhkt']",Thu Jul 12 00:17:39 +0000 2018,15minofPham,HRL,Hormel Foods Corporation,https://twitter.com/i/web/status/1017201284460376064,False,5.392500000000001
2681,1017220901438357500,"['hrl', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcokccyzrw', 'httpstcotwjobjjx']",Thu Jul 12 01:35:36 +0000 2018,optioncharts,HRL,Hormel Foods Corporation,http://maximum-pain.com/options/open-interest/HRL,False,5.5775
2974,1017343247860076500,"['hormel', 'foods', 'corp', 'hrl', 'director', 'sells', 'in', 'stock', 'httpstcobtoyixxo']",Thu Jul 12 09:41:46 +0000 2018,dispatchtribune,HRL,Hormel Foods Corporation,http://dispatchtribunal.com/?p=2048747,False,5.826666666666667
2981,1017343820340613100,"['hormel', 'foods', 'corp', 'hrl', 'director', 'sells', 'in', 'stock', 'httpstcotrbzqigiz']",Thu Jul 12 09:44:02 +0000 2018,OlympiaReport,HRL,Hormel Foods Corporation,http://theolympiareport.com/?p=919417,False,5.826666666666667
