,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
6,1019720209786114000,"['dont', 'miss', 'my', 'convo', 'with', 'one', 'of', 'my', 'favorite', 'thinkers', 'samharrisorg', 'httpstcouupvxiobch']",Wed Jul 18 23:06:58 +0000 2018,ianbremmer,HRS,Harris,https://twitter.com/samharrisorg/status/1019719376348434433,True,5.3133333333333335
119,1016212961290047500,"['argus', 'trims', 'harris', 'hrs', 'target', 'price', 'to', 'httpstcocjftgcafr']",Mon Jul 09 06:50:24 +0000 2018,TranscriptDaily,HRS,Harris Corporation,http://zpr.io/6TRz4,False,5.044
214,1016286070080704500,"['hrs', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcodvamvdb', 'httpstcotflqvgkb']",Mon Jul 09 11:40:55 +0000 2018,optioncharts,HRS,Harris Corporation,http://maximum-pain.com/options/open-interest/HRS,False,5.517777777777777
220,1016288107283583000,"['hrs', 'worstcasetarget']",Mon Jul 09 11:49:01 +0000 2018,3TriggerTrader,HRS,Harris Corporation,,False,5.04
221,1016288279942049800,"['hrs', 'fairvalueampmajorsnapback']",Mon Jul 09 11:49:42 +0000 2018,3TriggerTrader,HRS,Harris Corporation,,False,5.04
223,1016288392580083700,"['hrs', 'breakout']",Mon Jul 09 11:50:09 +0000 2018,3TriggerTrader,HRS,Harris Corporation,,False,5.04
224,1016288498544988200,"['hrs', 'range']",Mon Jul 09 11:50:34 +0000 2018,3TriggerTrader,HRS,Harris Corporation,,False,5.3
415,1016351361062010900,"['andra', 'apfonden', 'holding', 'in', 'harris', 'corp', 'del', 'hrs', 'has', 'cut', 'by', 'million', 'httpstcoopaawqitvl']",Mon Jul 09 16:00:22 +0000 2018,whatsonthorold2,HRS,Harris Corporation,https://www.whatsonthorold.com/2018/07/09/andra-ap-fonden-holding-in-harris-corp-del-hrs-has-cut-by-4-69-million/,False,5.208
417,1016351637240270800,"['harris', 'corp', 'del', 'hrs', 'shareholder', 'andra', 'apfonden', 'has', 'cut', 'position', 'by', 'million', 'as', 'market', 'valuation', 'declined', 'httpstcofajyiblwm']",Mon Jul 09 16:01:27 +0000 2018,reurope_stock,HRS,Harris Corporation,https://reurope.com/2018/07/09/harris-corp-del-hrs-shareholder-andra-ap-fonden-has-cut-position-by-4-69-million-as-market-valuation-declined/,False,5.121666666666667
420,1016352546200449000,"['will', 'harris', 'corp', 'deliver', 'longterm', 'returns', 'hrs', 'httpstcolbovnxzdw']",Mon Jul 09 16:05:04 +0000 2018,SADIFAnalytics,HRS,Harris Corporation,https://www.sadifanalytics.com/reports/find/HRS-47229,False,5.3933333333333335
1076,1016672401734688800,"['hrs', 'awarded', 'three', 'multiaward', 'idiq', 'contracts', 'with', 'ceilings', 'totaling', 'billionto', 'provide', 'thenational', 'geospatial', 'httpstcojeuczexpln']",Tue Jul 10 13:16:04 +0000 2018,OptionsHawk,HRS,Harris Corporation,https://twitter.com/i/web/status/1016672401734688769,False,5.9366666666666665
1077,1016672594911809500,"['rt', 'optionshawk', 'hrs', 'awarded', 'three', 'multiaward', 'idiq', 'contracts', 'with', 'ceilings', 'totaling', 'billionto', 'provide', 'thenational', 'geospatialintell']",Tue Jul 10 13:16:50 +0000 2018,Sandman7591,HRS,Harris Corporation,,False,5.785714285714286
1101,1016675945875419100,"['rt', 'optionshawk', 'hrs', 'awarded', 'three', 'multiaward', 'idiq', 'contracts', 'with', 'ceilings', 'totaling', 'billionto', 'provide', 'thenational', 'geospatialintell']",Tue Jul 10 13:30:09 +0000 2018,GIS_Sharer,HRS,Harris Corporation,,False,5.785714285714286
1103,1016676230286827500,"['harris', 'to', 'enhance', 'ngas', 'global', 'geospatial', 'databases', 'httpstcornixqa', 'hrs']",Tue Jul 10 13:31:16 +0000 2018,MarketCurrents,HRS,Harris Corporation,https://seekingalpha.com/news/3368916-harris-enhance-ngas-global-geospatial-databases?source=feed_f,False,5.215
1181,1016701858146992100,"['hrs', 'harris', 'awarded', 'three', 'multiaward', 'idiq', 'contracts', 'with', 'ceilings', 'totaling', 'bln', 'to', 'provide', 'the', 'national', 'httpstcozdkmbtio']",Tue Jul 10 15:13:07 +0000 2018,Briefingcom,HRS,Harris Corporation,http://bit.ly/2KYh4WI,False,5.639999999999999
1290,1016732726706229200,"['billion', 'in', 'sales', 'expected', 'for', 'harris', 'co', 'hrs', 'this', 'quarter', 'httpstcoabruqgdmo']",Tue Jul 10 17:15:46 +0000 2018,TranscriptDaily,HRS,Harris Corporation,http://zpr.io/6TQpm,False,5.526
1336,1016744555629240300,"['harris', 'co', 'hrs', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcolelerlxmfn']",Tue Jul 10 18:02:46 +0000 2018,EnterpriseLeade,HRS,Harris Corporation,http://theenterpriseleader.com/?p=977803,False,5.546
1874,1017001962452156400,"['heres', 'how', 'analysts', 'see', 'harris', 'corporation', 'hrs', 'after', 'this', 'past', 'week', 'httpstcogyqiaroz']",Wed Jul 11 11:05:37 +0000 2018,bibeypost_stock,HRS,Harris Corporation,https://www.bibeypost.com/heres-how-analysts-see-harris-corporation-nysehrs-after-this-past-week/,False,5.053999999999999
2943,1017336456522682400,"['as', 'saratoga', 'invt', 'sar', 'stock', 'value', 'rose', 'black', 'diamond', 'capital', 'management', 'upped', 'stake', 'harris', 'del', 'hrs', 'position', 'held', 'httpstcoyjkgaphshm']",Thu Jul 12 09:14:47 +0000 2018,The_CasualSmart,HRS,Harris Corporation,https://twitter.com/i/web/status/1017336456522682368,False,5.638571428571429
3560,1017444048947351600,"['hrs', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcodvamvdb', 'httpstcowxvbryhegn']",Thu Jul 12 16:22:19 +0000 2018,optioncharts,HRS,Harris Corporation,http://maximum-pain.com/options/open-interest/HRS,False,5.517777777777777
3619,1017455709976514600,"['as', 'harris', 'corp', 'del', 'hrs', 'share', 'price', 'declined', 'burney', 'co', 'has', 'lowered', 'holding', 'by', 'million', 'httpstcogukllwostj']",Thu Jul 12 17:08:39 +0000 2018,mmahotstuff1,HRS,Harris Corporation,https://www.mmahotstuff.com/2018/07/12/as-harris-corp-del-hrs-share-price-declined-burney-co-has-lowered-holding-by-3-74-million.html,False,5.25076923076923
3849,1017492521621090300,"['sparse', 'details', 'on', 'iowa', 'plans', 'that', 'bypass', 'obamas', 'health', 'law', 'hrs', 'hrs', 'health', 'legislature', 'insurance', 'httpstcoagglfps']",Thu Jul 12 19:34:55 +0000 2018,RatingsNetwork,HRS,Harris Corporation,http://zpr.io/6ad5M,False,5.586666666666666
3850,1017492542097645600,"['sparse', 'details', 'on', 'iowa', 'plans', 'that', 'bypass', 'obamas', 'health', 'law', 'hrs', 'hrs', 'health', 'legislature', 'insurance', 'httpstcofgcqdkiuy']",Thu Jul 12 19:35:00 +0000 2018,MarketBeatNews,HRS,Harris Corporation,https://www.marketbeat.com/n/3938314/,False,5.586666666666666
4032,1017521033585221600,"['still', 'time', 'to', 'look', 'at', 'hrs', 'key', 'date', 'approaching', 'httpstcovfwsatgj']",Thu Jul 12 21:28:13 +0000 2018,bdailystocks,HRS,Harris Corporation,http://crweworld.com/article/news-provided-by-business-wire/734506/harris-corporation-to-announce-fourth-quarter-results-on-tuesday-july-31-2018,False,5.47111111111111
4287,1017584958095921200,"['eps', 'expected', 'for', 'harris', 'co', 'hrs', 'this', 'quarter', 'httpstcoiacglguvd']",Fri Jul 13 01:42:14 +0000 2018,TickerReport,HRS,Harris Corporation,http://tickerreport.com/?p=3632677,False,5.2
4288,1017585170512252900,"['zacks', 'analysts', 'anticipate', 'harris', 'co', 'hrs', 'will', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcoqkslkj']",Fri Jul 13 01:43:05 +0000 2018,ZolmaxNews,HRS,Harris Corporation,http://zolmax.com/?p=2378958,False,5.465999999999999
