,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
21716,1019596344292446200,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcongdfsam']",Wed Jul 18 14:54:46 +0000 2018,victorblake392,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019596344292446208,False,5.699999999999999
21861,1019598952843436000,"['vechain', 'ven', 'is', 'valued', 'at', 'binance', 'registration', 'is', 'now', 'open', 'for', 'limited', 'time', 'httpstcopqtfwoqmaq']",Wed Jul 18 15:05:08 +0000 2018,CardiDee0x,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019598952843436032,False,5.422
21899,1019599830526644200,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcootuncdz', 'vet', 'httpstcouxfkkviuj']",Wed Jul 18 15:08:37 +0000 2018,oliverpaige625,HST,Host Hotels & Resorts,http://discord.gg/tXbaTxx,False,5.623333333333334
21900,1019599856426455000,"['current', 'iota', 'price', 'we', 'verified', 'that', 'binance', 'is', 'accepting', 'new', 'users', 'httpstcoelltaake', 'httpstcoylahovej']",Wed Jul 18 15:08:43 +0000 2018,MarthHeavy,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.625714285714287
21949,1019601130186256400,"['current', 'waves', 'price', 'best', 'and', 'cheapest', 'exchange', 'to', 'trade', 'crypto', 'check', 'it', 'out', 'httpstcoryfvwxfmy']",Wed Jul 18 15:13:47 +0000 2018,EthDizguize,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019601130186256384,False,5.632727272727273
21961,1019601455471349800,"['ethereum', 'classic', 'etc', 'price', 'binance', 'is', 'temporarily', 'accepting', 'new', 'users', 'go', 'httpstcoimsujyygrz']",Wed Jul 18 15:15:04 +0000 2018,Janicextra,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019601455471349761,False,5.682857142857142
22075,1019603983202177000,"['lisk', 'lsk', 'price', 'move', 'your', 'trading', 'to', 'the', 'crypto', 'exchange', 'today', 'sign', 'up', 'httpstcogjlbatwu']",Wed Jul 18 15:25:07 +0000 2018,DenniNicel,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019603983202177025,False,5.618
22169,1019605834970685400,"['decision', 'token', 'hst', 'crypto', 'rises', 'to', 'up', 'in', 'the', 'last', 'h', 'total', 'market', 'capitalization', 'makes', 'it', 'to', 'httpstcoscywutbfo']",Wed Jul 18 15:32:29 +0000 2018,coinmarketbot,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019605834970685441,False,5.3123076923076935
22287,1019608843624599600,"['current', 'waves', 'price', 'we', 'verified', 'that', 'binance', 'is', 'accepting', 'new', 'users', 'httpstcobxdyvcgr', 'httpstcogqentzdy']",Wed Jul 18 15:44:26 +0000 2018,LucyDropp,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.7225
22291,1019608955134324700,"['monero', 'xmr', 'price', 'we', 'verified', 'that', 'binance', 'is', 'accepting', 'new', 'users', 'httpstcomukiqxel', 'httpstcolpslno']",Wed Jul 18 15:44:52 +0000 2018,intheAyer84,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.633333333333333
22308,1019609310383493100,"['ethereum', 'eth', 'price', 'we', 'checked', 'binance', 'registration', 'is', 'currently', 'open', 'httpstcokpytbluoo', 'httpstcooidmgbtmv']",Wed Jul 18 15:46:17 +0000 2018,GoldenNick99x,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.556666666666666
22385,1019610612819746800,"['hst', 'alert', 'new', 'host', 'hotels', 'amp', 'resorts', 'inc', 'sec', 'filing', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Wed Jul 18 15:51:28 +0000 2018,Allstocknews,HST,Host Hotels & Resorts,,False,5.587692307692308
22406,1019611157320126500,"['x', 'zrx', 'is', 'currently', 'we', 'checked', 'binance', 'registration', 'is', 'currently', 'open', 'httpstcobrimgmjzms']",Wed Jul 18 15:53:38 +0000 2018,Janicextra,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019611157320126464,False,5.472500000000001
22439,1019611833240518700,"['hst', 'host', 'hotels', 'amp', 'resorts', 'inc', 'sec', 'filing', 'form', 'httpstcormowoh']",Wed Jul 18 15:56:19 +0000 2018,StockTexts,HST,Host Hotels & Resorts,http://www.sec.gov/Archives/edgar/data/1070750/000107075018000126/xslF345X03/edgardoc.xml,False,5.422857142857143
22576,1019614620678541300,"['digibyte', 'dgb', 'is', 'valued', 'at', 'quick', 'sign', 'up', 'before', 'binance', 'closes', 'registration', 'httpstcotmfqynhpy']",Wed Jul 18 16:07:23 +0000 2018,CardiDee0x,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019614620678541313,False,5.6971428571428575
22706,1019616790064836600,"['huge', 'coin', 'selection', 'low', 'fees', 'and', 'very', 'reliable', 'join', 'binance', 'register', 'for', 'bonus', 'httpstcosaisnxjbb', 'httpstconnymbjh']",Wed Jul 18 16:16:00 +0000 2018,danhodges4591,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.724999999999999
22730,1019617368673345500,"['hst', 'new', 'insider', 'filing', 'on', 'director', 'mary', 'baglivo', 'httpstcoqfarysruh']",Wed Jul 18 16:18:18 +0000 2018,InsiderAlertsIA,HST,Host Hotels & Resorts,http://insideri.com/1403594_000107075018000126_0001070750-18-000126,False,5.796
22741,1019617584130510800,"['current', 'qtum', 'price', 'binance', 'is', 'temporarily', 'accepting', 'new', 'users', 'go', 'httpstcocrogzr', 'httpstconxqdarrrol']",Wed Jul 18 16:19:10 +0000 2018,Sujix51o,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.6000000000000005
22832,1019619453846335500,"['verge', 'xvg', 'price', 'binance', 'is', 'temporarily', 'accepting', 'new', 'users', 'go', 'httpstcoonkxwsd', 'httpstcohbkusfalwk']",Wed Jul 18 16:26:36 +0000 2018,MonkeyD99z,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.604
22837,1019619520498020400,"['bitcoin', 'btc', 'price', 'is', 'binance', 'registration', 'is', 'online', 'we', 'just', 'checked', 'httpstcoankmubi']",Wed Jul 18 16:26:51 +0000 2018,intheAyer84,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019619520498020352,False,5.651428571428572
22936,1019621933841813500,"['join', 'us', 'to', 'get', 'premium', 'trading', 'signals', 'join', 'us', 'httpstcotkbynvwk', 'xom', 'cloak', 'etc', 'air', 'zil', 'pg', 'httpstcogyokwdsm']",Wed Jul 18 16:36:27 +0000 2018,MarcelinoGrant3,HST,Host Hotels & Resorts,http://discord.gg/tXbaTxx,False,5.965454545454546
23017,1019623906221723600,"['join', 'us', 'for', 'signals', 'from', 'multiple', 'paid', 'groups', 'all', 'in', 'one', 'join', 'us', 'httpstcoirbfumt', 'rec', 'qwark', 'httpstcowtfvchshd']",Wed Jul 18 16:44:17 +0000 2018,Michael40684539,HST,Host Hotels & Resorts,http://discord.gg/tXbaTxx,False,5.876923076923077
23152,1019626747124428800,"['status', 'snt', 'price', 'is', 'we', 'verified', 'that', 'binance', 'is', 'accepting', 'new', 'users', 'httpstcoaohcso']",Wed Jul 18 16:55:34 +0000 2018,AnnLovesCrypto,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019626747124428800,False,5.574999999999999
23160,1019626996912017400,"['value', 'of', 'eos', 'is', 'invest', 'your', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'trading', 'fee', 'httpstcostlvsp']",Wed Jul 18 16:56:34 +0000 2018,Sujix51o,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019626996912017409,False,5.660000000000001
23227,1019628436560719900,"['binance', 'coin', 'bnb', 'price', 'quick', 'sign', 'up', 'before', 'binance', 'closes', 'registration', 'httpstcoziogyxjgf']",Wed Jul 18 17:02:17 +0000 2018,Descendent92,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019628436560719874,False,5.743333333333333
23344,1019631075407155200,"['value', 'of', 'eos', 'is', 'binance', 'registration', 'is', 'now', 'open', 'for', 'limited', 'time', 'httpstcoemgxmennae', 'httpstcogzzwzbrbbg']",Wed Jul 18 17:12:46 +0000 2018,CryptoPuzzleGAM,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.426666666666667
23369,1019631657488445400,"['cardano', 'ada', 'price', 'you', 'can', 'trade', 'for', 'as', 'low', 'as', 'fee', 'on', 'binance', 'httpstcoelotumde', 'httpstcozfztrgr']",Wed Jul 18 17:15:05 +0000 2018,TinaNg0x,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.12909090909091
23568,1019635569356427300,"['verge', 'xvg', 'price', 'trade', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'on', 'trading', 'fees', 'httpstcorscvehjq']",Wed Jul 18 17:30:38 +0000 2018,kevindavidson58,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019635569356427264,False,5.613333333333333
23739,1019640091860455400,"['monacoin', 'mona', 'price', 'binance', 'registration', 'is', 'now', 'open', 'for', 'limited', 'time', 'httpstcokpytbluoo', 'httpstcouazevrdz']",Wed Jul 18 17:48:36 +0000 2018,GoldenNick99x,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.337142857142857
23752,1019640447583576000,"['i', 'made', 'btc', 'in', 'day', 'trading', 'on', 'binance', 'sign', 'up', 'now', 'register', 'for', 'bonus', 'httpstcosaisnxjbb', 'soar', 'httpstcoejgstdj']",Wed Jul 18 17:50:01 +0000 2018,danhodges4591,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.936666666666665
24291,1019652377262149600,"['vechain', 'ven', 'is', 'valued', 'at', 'quick', 'sign', 'up', 'before', 'binance', 'closes', 'registration', 'httpstcorqbkfnrec']",Wed Jul 18 18:37:25 +0000 2018,ShirleStraser,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019652377262149638,False,5.5975
24338,1019653548760592400,"['ripple', 'xrp', 'price', 'binance', 'registration', 'is', 'now', 'open', 'for', 'limited', 'time', 'httpstcoonkxwsd', 'httpstcospvkkwduzv']",Wed Jul 18 18:42:04 +0000 2018,MonkeyD99z,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.337142857142857
24447,1019656406121766900,"['bitcoin', 'btc', 'price', 'is', 'binance', 'registration', 'is', 'now', 'open', 'for', 'limited', 'time', 'httpstcotbfcyim']",Wed Jul 18 18:53:26 +0000 2018,AnnLovesCrypto,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019656406121766912,False,5.3175
24478,1019657340100988900,"['neo', 'is', 'valued', 'at', 'binance', 'is', 'one', 'of', 'the', 'most', 'prominent', 'exchange', 'in', 'crypto', 'httpstcodwbmgnryz']",Wed Jul 18 18:57:08 +0000 2018,RBoucer,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019657340100988928,False,5.556363636363636
24559,1019659047539298300,"['decision', 'token', 'hst', 'increased', 'for', 'a', 'day', 'httpstcoqngtdnnr']",Wed Jul 18 19:03:55 +0000 2018,mmahotstuff1,HST,Host Hotels & Resorts,https://www.mmahotstuff.com/2018/07/18/decision-token-hst-increased-0-66-for-a-day.html,False,5.628
24620,1019660160896241700,"['discount', 'on', 'all', 'trades', 'sign', 'up', 'today', 'amp', 'enjoy', 'discounts', 'register', 'for', 'bonus', 'httpstcodcqftjfxzq', 'httpstcoqzefvkj']",Wed Jul 18 19:08:21 +0000 2018,jesse_vallejo,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,6.205454545454544
24868,1019665800125452300,"['status', 'snt', 'price', 'is', 'i', 'made', 'btc', 'in', 'day', 'trading', 'on', 'binance', 'sign', 'up', 'now', 'httpstcotccmnsg']",Wed Jul 18 19:30:45 +0000 2018,DDunaay,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019665800125452292,False,5.740000000000001
24900,1019666463819554800,"['buy', 'and', 'sell', 'your', 'alt', 'coins', 'on', 'binance', 'for', 'just', 'fee', 'register', 'for', 'bonus', 'httpstcopkvulmaz', 'wpr', 'httpstcojvcaloetb']",Wed Jul 18 19:33:24 +0000 2018,RickyGr92298314,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.5218181818181815
25015,1019669096391233500,"['yoyow', 'is', 'currently', 'worth', 'we', 'verified', 'that', 'binance', 'is', 'accepting', 'new', 'users', 'httpstcoqonyylzz']",Wed Jul 18 19:43:51 +0000 2018,lilyclark210,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019669096391233538,False,5.762499999999999
25037,1019669683555983400,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcovwylkynu', 'nas', 'httpstcotsxlzxtr']",Wed Jul 18 19:46:11 +0000 2018,melaniebower89a,HST,Host Hotels & Resorts,http://discord.gg/tXbaTxx,False,5.594
25355,1019675357040009200,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcosinovl']",Wed Jul 18 20:08:44 +0000 2018,victorblake392,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019675357040009216,False,5.699999999999999
25364,1019675525650972700,"['current', 'waves', 'price', 'binance', 'is', 'one', 'of', 'the', 'most', 'prominent', 'exchange', 'in', 'crypto', 'httpstcodsmtionv']",Wed Jul 18 20:09:24 +0000 2018,kevindavidson58,HST,Host Hotels & Resorts,https://twitter.com/i/web/status/1019675525650972673,False,5.558181818181819
25591,1019679563507478500,"['lisk', 'lsk', 'price', 'binance', 'registration', 'is', 'online', 'we', 'just', 'checked', 'httpstcoclvebzmoar', 'dbc', 'httpstcoufsqmrgnf']",Wed Jul 18 20:25:27 +0000 2018,CardiDee0x,HST,Host Hotels & Resorts,http://binance.com/?ref=10078236,False,5.7299999999999995
