,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
46,1016109247048945700,"['in', 'days', 'i', 'doubled', 'my', 'account', 'with', 'the', 'option', 'trades', 'from', 'httpstcofuqggnsgds', 'winners', 'nojoke', 'xrx', 'mrtx', 'httpstcozgfirugsvq']",Sun Jul 08 23:58:17 +0000 2018,HarryPickens2,HSY,The Hershey Company,http://Optionsbypros.com,False,5.828
82,1016153595522281500,"['weekly', 'recap', 'hsy', 'price', 'moved', 'since', 'post', 'next', 'stop', 'other', 'trades', 'included', 'aa', 'spy', 'baba', 'mdso', 'ayi', 'fb', 'sh', 'httpstcougdesohx']",Mon Jul 09 02:54:31 +0000 2018,aboutheoptions,HSY,The Hershey Company,https://twitter.com/i/web/status/1016153595522281472,False,5.138181818181818
108,1016208393378283500,"['ar', 'cgc', 'dave', 'gnc', 'hsy', 'icon', 'kmb', 'm', 'pep', 'pg', 'rrc', 'smrt', 'wtw', 'httpstcoctcjlhvvlz']",Mon Jul 09 06:32:15 +0000 2018,SeekingAlpha,HSY,The Hershey Company,https://seekingalpha.com/article/4185993-sharing-2018-first-half-performance?source=feed_f,False,5.334999999999999
109,1016208591802363900,"['rt', 'seekingalpha', 'ar', 'cgc', 'dave', 'gnc', 'hsy', 'icon', 'kmb', 'm', 'pep', 'pg', 'rrc', 'smrt', 'wtw', 'httpstcoctcjlhvvlz']",Mon Jul 09 06:33:03 +0000 2018,samaninatasha,HSY,The Hershey Company,https://seekingalpha.com/article/4185993-sharing-2018-first-half-performance?source=feed_f,False,5.244
124,1016215582155444200,"['rt', 'seekingalpha', 'ar', 'cgc', 'dave', 'gnc', 'hsy', 'icon', 'kmb', 'm', 'pep', 'pg', 'rrc', 'smrt', 'wtw', 'httpstconlewsjeze']",Mon Jul 09 07:00:49 +0000 2018,CNBCTradersFan,HSY,The Hershey Company,https://seekingalpha.com/article/4185993-sharing-2018-first-half-performance?source=feed_f,False,5.244
187,1016267158106583000,"['ar', 'cgc', 'dave', 'gnc', 'hsy', 'icon', 'kmb', 'm', 'pep', 'pg', 'rrc', 'smrt', 'wtw', 'httpstcoluxupfl']",Mon Jul 09 10:25:46 +0000 2018,OLEGEFF,HSY,The Hershey Company,https://seekingalpha.com/article/4185993-sharing-2018-first-half-performance?source=tweet,False,5.334999999999999
227,1016290500184363000,"['the', 'hershey', 'company', 'hsy', 'eps', 'estimated', 'at', 'httpstcosagaryshwy']",Mon Jul 09 11:58:31 +0000 2018,whatsonthorold2,HSY,The Hershey Company,https://www.whatsonthorold.com/2018/07/09/the-hershey-company-hsy-eps-estimated-at-1-11/,False,5.225
228,1016290782255439900,"['eps', 'for', 'the', 'hershey', 'company', 'hsy', 'expected', 'at', 'httpstcoqthijv']",Mon Jul 09 11:59:38 +0000 2018,reurope_stock,HSY,The Hershey Company,https://reurope.com/2018/07/09/eps-for-the-hershey-company-hsy-expected-at-1-11/,False,5.256
231,1016290994386501600,"['eps', 'expected', 'for', 'the', 'hershey', 'company', 'hsy', 'httpstcomylzxtfpc']",Mon Jul 09 12:00:29 +0000 2018,bibeypost_stock,HSY,The Hershey Company,https://www.bibeypost.com/1-11-eps-expected-for-the-hershey-company-hsy/,False,5.345000000000001
260,1016306565165412400,"['big', 'put', 'activity', 'httpstcokemdkcp', 'xrx', 'mrtx', 'crm', 'vips', 'wfc', 'lrcx', 'sogo', 'mdlz', 'apa', 'sgyp', 'goos', 'arwr', 'httpstcovpfjil']",Mon Jul 09 13:02:21 +0000 2018,DailyStockPlays,HSY,The Hershey Company,http://www.dailystockplays.com/Unusual-Put-Option-Activity-Today-2018-07-05.html,False,5.595
272,1016306956540076000,"['big', 'call', 'activity', 'httpstcongepovn', 'aapl', 'crm', 'dks', 'ual', 'agn', 'gs', 'ntes', 'abev', 'lrcx', 'fcx', 'pii', 'wba', 'aig', 'httpstcoemzyyajn']",Mon Jul 09 13:03:55 +0000 2018,DailyStockPlays,HSY,The Hershey Company,http://www.dailystockplays.com/Unusual-Call-Option-Activity-Today-2018-07-06.html,False,6.093333333333334
284,1016308893549498400,"['downgrades', 'aks', 'amt', 'asns', 'bah', 'biib', 'cj', 'flo', 'hsy', 'lob', 'oas', 'pets', 'pg', 'rsys', 'ryi', 'sc', 'seas', 'six', 'smp', 'wba']",Mon Jul 09 13:11:36 +0000 2018,OpenOutcrier,HSY,The Hershey Company,,False,5.736
285,1016308896326209500,"['rt', 'openoutcrier', 'downgrades', 'aks', 'amt', 'asns', 'bah', 'biib', 'cj', 'flo', 'hsy', 'lob', 'oas', 'pets', 'pg', 'rsys', 'ryi', 'sc', 'seas', 'six', 'smp', 'wba']",Mon Jul 09 13:11:37 +0000 2018,tradnews_,HSY,The Hershey Company,,False,5.593333333333334
292,1016313467433709600,"['eltp', 'cent', 'drug', 'mfr', 'gets', 'fda', 'percocet', 'generic', 'approval', 'million', 'dollar', 'market', 'cjjd', 'gnc', 'dplo', 'httpstcodluebywkka']",Mon Jul 09 13:29:47 +0000 2018,Drugdoctor2014,HSY,The Hershey Company,https://twitter.com/i/web/status/1016313467433709570,False,6.054285714285713
305,1016315479504416800,"['mondays', 'top', 'analyst', 'upgrades', 'and', 'downgrades', 'baidu', 'capital', 'one', 'delphi', 'technologies', 'dunkin', 'brands', 'fireeye', 'wal', 'httpstcosmhsrfpd']",Mon Jul 09 13:37:47 +0000 2018,247WallSt,HSY,The Hershey Company,https://twitter.com/i/web/status/1016315479504416768,False,5.629999999999999
310,1016316555536158700,"['rt', 'wallst', 'mondays', 'top', 'analyst', 'upgrades', 'and', 'downgrades', 'baidu', 'capital', 'one', 'delphi', 'technologies', 'dunkin', 'brands', 'fireeye', 'walgreens', 'an']",Mon Jul 09 13:42:03 +0000 2018,PennyStocksMomo,HSY,The Hershey Company,,False,5.475999999999999
362,1016336119045279700,"['downgrades', 'oas', 'seas', 'ryi', 'six', 'cj', 'amt', 'flo', 'aks', 'asns', 'bah', 'hsy', 'sc', 'pets', 'pg', 'smp', 'wba', 'rsys', 'lob', 'biib']",Mon Jul 09 14:59:48 +0000 2018,TopStockAlerts1,HSY,The Hershey Company,,False,5.735999999999999
395,1016343932773584900,"['gterm', 'returns', 'hsy', 'httpstcolhckn']",Mon Jul 09 15:30:50 +0000 2018,SADIFAnalytics,HSY,The Hershey Company,https://www.sadifanalytics.com/reports/find/HSY-47233,False,5.24
