,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2422,1017135293315584000,"['advancers', 'bioc', 'hum', 'tree', 'amzn', 'crm', 'huya', 'yang', 'rht', 'shopdecliners', 'baba', 'uwt', 'soxl', 'ipgp', 'rh', 'ba', 'nvda', 'tsla', 'cvx']",Wed Jul 11 19:55:26 +0000 2018,royalhousofrock,HUM,Humana Inc.,,False,5.7575
2465,1017143113847132200,"['biotechhc', 'new', 'or', 'revisited', 'week', 'highs', 'abus', 'amed', 'arwr', 'bmrn', 'cemi', 'cfrx', 'cnc', 'ctso', 'dxcm', 'ecyt', 'egrx', 'hum', 'httpstcokrwwxzohi']",Wed Jul 11 20:26:30 +0000 2018,redacre,HUM,Humana Inc.,https://twitter.com/i/web/status/1017143113847132161,False,5.6325
2497,1017149225291997200,"['humana', 'and', 'private', 'equity', 'finalize', 'billon', 'curo', 'health', 'hospice', 'deal', 'via', 'forbes', 'httpstcodvoyppncs', 'humana', 'hum']",Wed Jul 11 20:50:47 +0000 2018,brucejapsen,HUM,Humana Inc.,http://www.forbes.com/sites/brucejapsen/2018/07/11/humana-and-private-equity-finalize-1-4-billon-curo-health-hospice-deal/#390bdc8d493c,False,5.6987499999999995
2514,1017153092465446900,"['rt', 'brucejapsen', 'humana', 'and', 'private', 'equity', 'finalize', 'billon', 'curo', 'health', 'hospice', 'deal', 'via', 'forbes', 'httpstcodvoyppncs', 'humana', 'hum']",Wed Jul 11 21:06:09 +0000 2018,SEProtomartyr,HUM,Humana Inc.,http://www.forbes.com/sites/brucejapsen/2018/07/11/humana-and-private-equity-finalize-1-4-billon-curo-health-hospice-deal/#390bdc8d493c,False,5.607777777777777
2519,1017153605852225500,"['nyse', 'bluesky', 'breakouts', 'tpl', 'volume', 'crm', 'volume', 'vg', 'httpstcodnzoqfyr']",Wed Jul 11 21:08:12 +0000 2018,Market_Scanner,HUM,Humana Inc.,https://twitter.com/i/web/status/1017153605852225537,False,5.78
2536,1017158616749674500,"['the', 'consortium', 'intends', 'to', 'combine', 'curo', 'with', 'the', 'hospice', 'business', 'of', 'kindred', 'at', 'home', 'to', 'create', 'the', 'countrys', 'larges', 'httpstcovxtxzpzoui']",Wed Jul 11 21:28:06 +0000 2018,brucejapsen,HUM,Humana Inc.,https://twitter.com/i/web/status/1017158616749674496,False,5.366666666666666
2559,1017166504637485000,"['rt', 'brucejapsen', 'medicare', 'advantage', 'enrollment', 'is', 'projected', 'to', 'rise', 'to', 'million', 'or', 'market', 'penetration', 'by', 'the', 'end', 'of', 'httpstc']",Wed Jul 11 21:59:27 +0000 2018,Geek_Nurse,HUM,Humana Inc.,,False,5.453333333333334
2607,1017192951791923200,"['dang', 'he', 'cry', 'my', 'foe', 'hum', 'air', 'for', 'ads', 'fly', 'one', 'king']",Wed Jul 11 23:44:32 +0000 2018,stockbard,HUM,Humana Inc.,,False,5.1175
2698,1017230567891505200,"['rt', 'brucejapsen', 'medicare', 'advantage', 'enrollment', 'is', 'projected', 'to', 'rise', 'to', 'million', 'or', 'market', 'penetration', 'by', 'the', 'end', 'of', 'httpstc']",Thu Jul 12 02:14:01 +0000 2018,ElenaRiosMD,HUM,Humana Inc.,,False,5.453333333333334
2720,1017239513175904300,"['rt', 'brucejapsen', 'medicare', 'advantage', 'enrollment', 'is', 'projected', 'to', 'rise', 'to', 'million', 'or', 'market', 'penetration', 'by', 'the', 'end', 'of', 'httpstc']",Thu Jul 12 02:49:33 +0000 2018,GCHPedsChair,HUM,Humana Inc.,,False,5.453333333333334
2983,1017344759889907700,"['rt', 'brucejapsen', 'medicare', 'advantage', 'enrollment', 'is', 'projected', 'to', 'rise', 'to', 'million', 'or', 'market', 'penetration', 'by', 'the', 'end', 'of', 'httpstc']",Thu Jul 12 09:47:46 +0000 2018,MartinHamlette,HUM,Humana Inc.,,False,5.453333333333334
3000,1017349971593629700,"['rt', 'brucejapsen', 'medicare', 'advantage', 'enrollment', 'is', 'projected', 'to', 'rise', 'to', 'million', 'or', 'market', 'penetration', 'by', 'the', 'end', 'of', 'httpstc']",Thu Jul 12 10:08:29 +0000 2018,EricHStarke,HUM,Humana Inc.,,False,5.453333333333334
3203,1017396189610893300,"['thursdays', 'top', 'analyst', 'upgrades', 'and', 'downgrades', 'part', 'abbv', 'amzn', 'apc', 'apa', 'bkh', 'avgo', 'ca', 'cmg', 'cop', 'dvn', 'gds', 'httpstcoowehacpolr']",Thu Jul 12 13:12:08 +0000 2018,jonogg,HUM,Humana Inc.,https://twitter.com/i/web/status/1017396189610893312,False,5.3
3230,1017399938811093000,"['initiations', 'arrs', 'brg', 'ceqp', 'cop', 'ebix', 'eght', 'egn', 'emr', 'env', 'etn', 'fmbh', 'ful', 'gds', 'glmd', 'hes', 'hon', 'hum', 'lfgr']",Thu Jul 12 13:27:02 +0000 2018,OpenOutcrier,HUM,Humana Inc.,,False,4.970000000000001
3231,1017399941369655300,"['rt', 'openoutcrier', 'initiations', 'arrs', 'brg', 'ceqp', 'cop', 'ebix', 'eght', 'egn', 'emr', 'env', 'etn', 'fmbh', 'ful', 'gds', 'glmd', 'hes', 'hon', 'hum', 'lfgr']",Thu Jul 12 13:27:03 +0000 2018,tradnews_,HUM,Humana Inc.,,False,4.9475
