,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4223,1017567798233624600,"['rt', 'pharris', 'ibd', 'big', 'cap', 'withrank', 'july', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'isrg', 'ctas', 'idxx', 'bsx']",Fri Jul 13 00:34:03 +0000 2018,fook_up,IDXX,IDEXX Laboratories,,False,5.594999999999999
4257,1017576135423594500,"['idxx', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoorhdqhcesw', 'httpstcotwdsbtqgj']",Fri Jul 13 01:07:10 +0000 2018,optioncharts,IDXX,IDEXX Laboratories,http://maximum-pain.com/options/max-pain/IDXX,False,4.680000000000001
4330,1017595072450322400,"['idexx', 'laboratories', 'inc', 'idxx', 'analysts', 'see', 'eps', 'httpstcolbfxztfpj']",Fri Jul 13 02:22:25 +0000 2018,The_CasualSmart,IDXX,IDEXX Laboratories,https://thecasualsmart.com/2018/07/13/idexx-laboratories-inc-idxx-analysts-see-1-18-eps/,False,5.259999999999999
4334,1017595223013249000,"['idexx', 'laboratories', 'inc', 'idxx', 'analysts', 'see', 'eps', 'httpstcorfjvmlfth']",Fri Jul 13 02:23:01 +0000 2018,whatsonthorold2,IDXX,IDEXX Laboratories,https://www.whatsonthorold.com/2018/07/13/idexx-laboratories-inc-idxx-analysts-see-1-18-eps/,False,5.259999999999999
4336,1017595479977353200,"['idexx', 'laboratories', 'inc', 'idxx', 'analysts', 'see', 'eps', 'httpstcomlxbtve']",Fri Jul 13 02:24:03 +0000 2018,mmahotstuff1,IDXX,IDEXX Laboratories,https://www.mmahotstuff.com/2018/07/13/idexx-laboratories-inc-idxx-analysts-see-1-18-eps.html,False,5.259999999999999
4337,1017595748651798500,"['eps', 'expected', 'for', 'idexx', 'laboratories', 'inc', 'idxx', 'httpstcomdsxihg']",Fri Jul 13 02:25:07 +0000 2018,The_CasualSmart,IDXX,IDEXX Laboratories,https://floridarecorder.com/2018/07/13/1-18-eps-expected-for-idexx-laboratories-inc-idxx/,False,5.22
4338,1017595933448601600,"['idexx', 'laboratories', 'inc', 'idxx', 'analysts', 'see', 'eps', 'httpstcobtwgybbquq']",Fri Jul 13 02:25:51 +0000 2018,reurope_stock,IDXX,IDEXX Laboratories,https://reurope.com/2018/07/13/idexx-laboratories-inc-idxx-analysts-see-1-18-eps/,False,5.259999999999999
4339,1017596038327218200,"['idexx', 'laboratories', 'inc', 'idxx', 'analysts', 'see', 'eps', 'httpstcokuttndhd']",Fri Jul 13 02:26:16 +0000 2018,bibeypost_stock,IDXX,IDEXX Laboratories,https://www.bibeypost.com/idexx-laboratories-inc-idxx-analysts-see-1-18-eps/,False,5.259999999999999
4344,1017596590549332000,"['rt', 'pharris', 'ibd', 'big', 'cap', 'withrank', 'july', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'isrg', 'ctas', 'idxx', 'bsx']",Fri Jul 13 02:28:27 +0000 2018,GreenTreeLLC1,IDXX,IDEXX Laboratories,,False,5.594999999999999
4345,1017596921521860600,"['rt', 'pharris', 'ibd', 'big', 'cap', 'withrank', 'july', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'isrg', 'ctas', 'idxx', 'bsx']",Fri Jul 13 02:29:46 +0000 2018,ChrissyPetrill1,IDXX,IDEXX Laboratories,,False,5.594999999999999
4399,1017618954850717700,"['watchlist', 'for', 'tomorrow', 'ba', 'spy', 'roku', 'lly', 'idxx', 'fb']",Fri Jul 13 03:57:19 +0000 2018,spreadeagletrad,IDXX,IDEXX Laboratories,,False,5.16
4469,1017640056570499100,"['night', 'most', 'tweeted', 'big', 'caps', 'check', 'out', 'gambiste', 'top', 'iq', 'fang', 'ipgp', 'amd', 'abmd', 'ca', 'incy', 'idxx', 'ea', 'fisv', 'httpstcolypltitvr']",Fri Jul 13 05:21:10 +0000 2018,GambisteFinance,IDXX,IDEXX Laboratories,http://gambiste.com/index.php/current-month-stock-data/,False,5.782222222222221
4522,1017666044146737200,"['idexx', 'laboratories', 'idxx', 'versus', 'nymox', 'pharmaceutical', 'nymx', 'critical', 'contrast', 'httpstcobmstmigvt']",Fri Jul 13 07:04:26 +0000 2018,ZolmaxNews,IDXX,IDEXX Laboratories,http://zolmax.com/?p=2379352,False,4.32
4591,1017693242475900900,"['analyzing', 'idexx', 'laboratories', 'idxx', 'and', 'ipsen', 's', 'as', 'ipsey', 'httpstcoqpdtvmahhf']",Fri Jul 13 08:52:31 +0000 2018,OlympiaReport,IDXX,IDEXX Laboratories,http://theolympiareport.com/?p=921917,False,5.16
4593,1017693350659608600,"['analyzing', 'ipsen', 's', 'as', 'ipsey', 'and', 'idexx', 'laboratories', 'idxx', 'httpstcoqtanplf']",Fri Jul 13 08:52:57 +0000 2018,dispatchtribune,IDXX,IDEXX Laboratories,http://dispatchtribunal.com/?p=2051209,False,5.16
4608,1017696351956754400,"['rt', 'tmfjmo', 'healthcare', 'amp', 'wealthcare', 'basket', 'update', 'at', 'the', 'vet', 'yesterday', 'he', 'private', 'practice', 'remains', 'a', 'happy', 'idxx', 'customer', 'his', 'perspect']",Fri Jul 13 09:04:52 +0000 2018,MP_Fitzgerald,IDXX,IDEXX Laboratories,,False,5.538823529411765
4790,1017743448240160800,"['idxx', 'utx', 'ms', 'idexx', 'ceo', 'jon', 'ayers', 'passion', 'drives', 'innovation', 'in', 'pet', 'health', 'care', 'httpstcotxficrrb']",Fri Jul 13 12:12:01 +0000 2018,ProVesting,IDXX,IDEXX Laboratories,https://www.StockNewsWires.com/idxx-utx-ms-idexx-ceo-jon-ayers-passion-drives-innovation-in-pet-health-care/,False,6.022222222222222
4811,1017745875173544000,"['morning', 'most', 'tweeted', 'big', 'caps', 'check', 'out', 'gambiste', 'top', 'iq', 'fang', 'mtch', 'amd', 'dbx', 'ca', 'incy', 'ipgp', 'abmd', 'idxx', 'httpstcolypltitvr']",Fri Jul 13 12:21:40 +0000 2018,GambisteFinance,IDXX,IDEXX Laboratories,http://gambiste.com/index.php/current-month-stock-data/,False,5.819999999999999
4842,1017751231052169200,"['rt', 'pharris', 'ibd', 'big', 'cap', 'withrank', 'july', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'isrg', 'ctas', 'idxx', 'bsx']",Fri Jul 13 12:42:57 +0000 2018,TradingMVPs,IDXX,IDEXX Laboratories,,False,5.594999999999999
4967,1017769038884364300,"['idexx', 'laboratories', 'inc', 'the', 'stock', 'is', 'testing', 'its', 'highs', 'idxx', 'httpstcorlzbww', 'httpstcowzzorraw']",Fri Jul 13 13:53:42 +0000 2018,MScreener,IDXX,IDEXX Laboratories,http://www.4-traders.com//IDEXX-LABORATORIES-INC-9641/,False,5.086666666666667
5004,1017776242697764900,"['rt', 'pharris', 'ibd', 'big', 'cap', 'withrank', 'july', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'isrg', 'ctas', 'idxx', 'bsx']",Fri Jul 13 14:22:20 +0000 2018,neoken,IDXX,IDEXX Laboratories,,False,5.594999999999999
5109,1017792933712494600,"['made', 'over', 'k', 'today', 'thanks', 'to', 'the', 'options', 'trades', 'from', 'httpstcollpvlkfqn', 'sjm', 'bam', 'len', 'ppc', 'xli', 'lrcx', 'amwd', 'httpstcoxxpzzcto']",Fri Jul 13 15:28:39 +0000 2018,JaredPickens2,IDXX,IDEXX Laboratories,http://Optionsbypros.com,False,5.572
5117,1017794540386897900,"['interviewed', 'by', 'ibdinvestors', 'idxx', 'ceo', 'jon', 'ayers', 'said', 'were', 'growing', 'at', 'a', 'rate', 'that', 'is', 'faster', 'than', 'it', 'has', 'been', 'fo', 'httpstcoqsoqsnjy']",Fri Jul 13 15:35:02 +0000 2018,IDEXX,IDXX,IDEXX Laboratories,https://twitter.com/i/web/status/1017794540386897920,False,5.22
5501,1017867885635567600,"['biotechhc', 'new', 'or', 'revisited', 'week', 'highs', 'aeri', 'aldr', 'amed', 'blfs', 'bmrn', 'cers', 'cnc', 'ecyt', 'egrx', 'idxx', 'irwd', 'isrg', 'httpstcozerrej']",Fri Jul 13 20:26:29 +0000 2018,redacre,IDXX,IDEXX Laboratories,https://twitter.com/i/web/status/1017867885635567619,False,5.626666666666668
5560,1017882097539862500,"['idxx', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoorhdqhcesw', 'httpstcowygdiw']",Fri Jul 13 21:22:58 +0000 2018,optioncharts,IDXX,IDEXX Laboratories,http://maximum-pain.com/options/max-pain/IDXX,False,4.888
5908,1018085104869101600,"['ibd', 'big', 'cap', 'wrank', 'july', 'abmd', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'googl', 'isrg', 'httpstcoeekllqaih']",Sat Jul 14 10:49:38 +0000 2018,pharris667,IDXX,IDEXX Laboratories,https://twitter.com/i/web/status/1018085104869101568,False,5.697142857142857
5933,1018088592344744000,"['rt', 'pharris', 'ibd', 'big', 'cap', 'wrank', 'july', 'abmd', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'googl', 'isrg', 'adbe', 'p']",Sat Jul 14 11:03:30 +0000 2018,johnscharts,IDXX,IDEXX Laboratories,,False,5.535555555555555
5960,1018094186229268500,"['rt', 'pharris', 'ibd', 'big', 'cap', 'wrank', 'july', 'abmd', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'googl', 'isrg', 'adbe', 'p']",Sat Jul 14 11:25:43 +0000 2018,archna2011,IDXX,IDEXX Laboratories,,False,5.535555555555555
5968,1018096569545977900,"['rt', 'pharris', 'ibd', 'big', 'cap', 'wrank', 'july', 'abmd', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'googl', 'isrg', 'adbe', 'p']",Sat Jul 14 11:35:12 +0000 2018,afhamidnow,IDXX,IDEXX Laboratories,,False,5.535555555555555
5972,1018097767812456400,"['rt', 'pharris', 'ibd', 'big', 'cap', 'wrank', 'july', 'abmd', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'googl', 'isrg', 'adbe', 'p']",Sat Jul 14 11:39:57 +0000 2018,robertorhu,IDXX,IDEXX Laboratories,,False,5.535555555555555
6197,1018153745543237600,"['whats', 'propelling', 'idexx', 'laboratories', 'inc', 'idxx', 'to', 'reach', 'week', 'high', 'httpstcoxkffxfm']",Sat Jul 14 15:22:23 +0000 2018,whatsonthorold2,IDXX,IDEXX Laboratories,https://www.whatsonthorold.com/2018/07/14/whats-propelling-idexx-laboratories-inc-idxx-to-reach-52-week-high/,False,5.316666666666666
6199,1018153831920697300,"['does', 'idexx', 'laboratories', 'inc', 'idxx', 'have', 'more', 'gas', 'after', 'reaching', 'week', 'high', 'httpstcouieqqypv']",Sat Jul 14 15:22:44 +0000 2018,mmahotstuff1,IDXX,IDEXX Laboratories,https://www.mmahotstuff.com/2018/07/14/does-idexx-laboratories-inc-idxx-have-more-gas-after-reaching-52-week-high.html,False,5.46
6255,1018205070591225900,"['today', 'idexx', 'laboratories', 'inc', 'idxx', 'stock', 'reaches', 'record', 'high', 'httpstcojocncmty']",Sat Jul 14 18:46:20 +0000 2018,whatsonthorold2,IDXX,IDEXX Laboratories,https://www.whatsonthorold.com/2018/07/14/today-idexx-laboratories-inc-idxx-stock-reaches-record-high/,False,5.8500000000000005
6257,1018205159858548700,"['could', 'idexx', 'laboratories', 'inc', 'idxx', 'change', 'direction', 'after', 'touching', 'all', 'time', 'high', 'httpstcoebdijdqggq']",Sat Jul 14 18:46:42 +0000 2018,mmahotstuff1,IDXX,IDEXX Laboratories,https://www.mmahotstuff.com/2018/07/14/could-idexx-laboratories-inc-idxx-change-direction-after-touching-all-time-high.html,False,5.734444444444445
7329,1018396913069183000,"['stifel', 'nicolaus', 'increases', 'idexx', 'laboratories', 'idxx', 'price', 'target', 'to', 'httpstcouwtiavjo']",Sun Jul 15 07:28:39 +0000 2018,dailypoliticaln,IDXX,IDEXX Laboratories,http://www.dailypolitical.com/?p=2202067,False,5.445
7384,1018408449783328800,"['stifel', 'nicolaus', 'boosts', 'idexx', 'laboratories', 'idxx', 'price', 'target', 'to', 'httpstcodymezpbjq']",Sun Jul 15 08:14:30 +0000 2018,ledgerzette,IDXX,IDEXX Laboratories,http://ledgergazette.com/?p=2826342,False,5.113333333333333
7515,1018433754161930200,"['stifel', 'nicolaus', 'increases', 'idexx', 'laboratories', 'idxx', 'price', 'target', 'to', 'httpstcozpiztysmtg']",Sun Jul 15 09:55:03 +0000 2018,ZolmaxNews,IDXX,IDEXX Laboratories,http://zolmax.com/?p=2382805,False,5.445
7663,1018455196895187000,"['reviewing', 'idexx', 'laboratories', 'idxx', 'amp', 'nymox', 'pharmaceutical', 'nymx', 'httpstcoendrqdknu']",Sun Jul 15 11:20:15 +0000 2018,MareaInformativ,IDXX,IDEXX Laboratories,http://www.mareainformativa.com/?p=448219,False,5.44
7772,1018472875001598000,"['idexx', 'laboratories', 'idxx', 'amp', 'ipsen', 's', 'as', 'ipsey', 'head', 'to', 'head', 'survey', 'httpstcokxihqs']",Sun Jul 15 12:30:30 +0000 2018,TickerReport,IDXX,IDEXX Laboratories,http://tickerreport.com/?p=3636777,False,5.54
8120,1018525427718086700,"['idexx', 'laboratories', 'inc', 'idxx', 'receives', 'consensus', 'target', 'price', 'from', 'brokerages', 'httpstcolbmveuips']",Sun Jul 15 15:59:19 +0000 2018,EnterpriseLeade,IDXX,IDEXX Laboratories,http://theenterpriseleader.com/?p=988436,False,5.408333333333334
8212,1018535071303729200,"['idexx', 'laboratories', 'inc', 'idxx', 'receives', 'consensus', 'rating', 'of', 'buy', 'from', 'brokerages', 'httpstcomqoabaxypg']",Sun Jul 15 16:37:39 +0000 2018,TheMarketsDaily,IDXX,IDEXX Laboratories,http://zpr.io/6XTkM,False,5.55
8213,1018535140472049700,"['idexx', 'laboratories', 'inc', 'idxx', 'receives', 'average', 'target', 'price', 'from', 'brokerages', 'httpstcovbbrdxzyb']",Sun Jul 15 16:37:55 +0000 2018,WeekHerald,IDXX,IDEXX Laboratories,http://weekherald.com/?p=2991660,False,5.245
8346,1018555537523466200,"['head', 'to', 'head', 'review', 'idexx', 'laboratories', 'idxx', 'amp', 'ipsen', 's', 'as', 'ipsey', 'httpstcorcskxycw']",Sun Jul 15 17:58:58 +0000 2018,WatchlistN,IDXX,IDEXX Laboratories,http://zpr.io/6XaY7,False,5.417142857142857
8405,1018560631245590500,"['reviewing', 'idexx', 'laboratories', 'idxx', 'amp', 'nymox', 'pharmaceutical', 'nymx', 'httpstcolvkfbrwcvj']",Sun Jul 15 18:19:13 +0000 2018,ledgerzette,IDXX,IDEXX Laboratories,http://ledgergazette.com/?p=2828085,False,5.44
9142,1018801916791414800,"['stocks', 'etf', 'amp', 'funds', 'to', 'review', 'alphabetically', 'hei', 'hewc', 'hiw', 'hog', 'holx', 'hpr', 'hpt', 'hqcl', 'hqy', 'hr', 'hsc', 'hscz', 'httpstcohzirgigb']",Mon Jul 16 10:18:00 +0000 2018,drastichs,IDXX,IDEXX Laboratories,https://twitter.com/i/web/status/1018801916791414784,False,5.346666666666668
9168,1018802806311084000,"['rt', 'drastichs', 'stocks', 'etf', 'amp', 'funds', 'to', 'review', 'alphabetically', 'hei', 'hewc', 'hiw', 'hog', 'holx', 'hpr', 'hpt', 'hqcl', 'hqy', 'hr', 'hsc', 'hscz', 'hsic', 'hta']",Mon Jul 16 10:21:32 +0000 2018,drastichs,IDXX,IDEXX Laboratories,,False,5.28
9300,1018813637564289000,"['true', 'private', 'wealth', 'advisors', 'buys', 'new', 'position', 'in', 'idexx', 'laboratories', 'inc', 'idxx', 'httpstcoofdgotgge']",Mon Jul 16 11:04:34 +0000 2018,ConsumerFeed,IDXX,IDEXX Laboratories,https://ift.tt/2LcunD3,False,6.180000000000001
9885,1018855914588295200,"['idexx', 'laboratories', 'inc', 'the', 'stock', 'is', 'testing', 'its', 'highs', 'idxx', 'httpstcorlzbww', 'httpstcodfieyhisj']",Mon Jul 16 13:52:34 +0000 2018,MScreener,IDXX,IDEXX Laboratories,http://www.4-traders.com//IDEXX-LABORATORIES-INC-9641/,False,5.086666666666667
10248,1018876685373014000,"['how', 'analysts', 'rated', 'idexx', 'laboratories', 'inc', 'idxx', 'last', 'week', 'httpstcopexnsalk']",Mon Jul 16 15:15:06 +0000 2018,whatsonthorold2,IDXX,IDEXX Laboratories,https://www.whatsonthorold.com/2018/07/16/how-analysts-rated-idexx-laboratories-inc-nasdaqidxx-last-week/,False,4.786666666666666
10250,1018876763907285000,"['how', 'analysts', 'rated', 'idexx', 'laboratories', 'inc', 'idxx', 'last', 'week', 'httpstcomruitutb']",Mon Jul 16 15:15:24 +0000 2018,mmahotstuff1,IDXX,IDEXX Laboratories,https://www.mmahotstuff.com/2018/07/16/how-analysts-rated-idexx-laboratories-inc-nasdaqidxx-last-week.html,False,4.786666666666666
10258,1018877108456771600,"['are', 'analysts', 'bullish', 'idexx', 'laboratories', 'inc', 'idxx', 'after', 'last', 'week', 'httpstcoydqzlqclf']",Mon Jul 16 15:16:47 +0000 2018,bibeypost_stock,IDXX,IDEXX Laboratories,https://www.bibeypost.com/are-analysts-bullish-idexx-laboratories-inc-nasdaqidxx-after-last-week/,False,4.796666666666667
10327,1018881663647043600,"['what', 'will', 'happen', 'to', 'idexx', 'laboratories', 'inc', 'idxx', 'next', 'the', 'stock', 'just', 'reaches', 'week', 'high', 'httpstcosnivirlgd']",Mon Jul 16 15:34:53 +0000 2018,whatsonthorold2,IDXX,IDEXX Laboratories,https://www.whatsonthorold.com/2018/07/16/what-will-happen-to-idexx-laboratories-inc-idxx-next-the-stock-just-reaches-52-week-high/,False,5.468333333333333
10330,1018881736053264400,"['idexx', 'laboratories', 'inc', 'idxx', 'on', 'focus', 'after', 'trading', 'at', 'week', 'highs', 'httpstcormxhsdkl']",Mon Jul 16 15:35:10 +0000 2018,mmahotstuff1,IDXX,IDEXX Laboratories,https://www.mmahotstuff.com/2018/07/16/idexx-laboratories-inc-idxx-on-focus-after-trading-at-52-week-highs.html,False,5.377142857142857
10335,1018881997572329500,"['idexx', 'laboratories', 'inc', 'idxx', 'cant', 'burn', 'your', 'long', 'portfolio', 'just', 'reaches', 'week', 'high', 'httpstcolodxrhsr']",Mon Jul 16 15:36:12 +0000 2018,bibeypost_stock,IDXX,IDEXX Laboratories,https://www.bibeypost.com/idexx-laboratories-inc-idxx-cant-burn-your-long-portfolio-just-reaches-52-week-high/,False,5.082
