,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8134,1018527575012991000,"['some', 'of', 'the', 'most', 'innovative', 'disruptive', 'companies', 'aapl', 'amzn', 'tsla', 'nflx', 'fb', 'crm', 'nvda', 'googl', 'cmg', 'blue', 'httpstcosmmsiudw']",Sun Jul 15 16:07:51 +0000 2018,davidmoble,ILMN,Illumina,https://twitter.com/i/web/status/1018527575012990976,False,5.365714285714286
8496,1018575071076593700,"['as', 'shares', 'of', 'ilmn', 'hit', 'new', 'highs', 'investors', 'need', 'to', 'keep', 'an', 'eye', 'on', 'competitive', 'threats', 'one', 'genetics', 'startup', 'that', 'httpstcohyswlwv']",Sun Jul 15 19:16:35 +0000 2018,nanalyzetweets,ILMN,Illumina,https://twitter.com/i/web/status/1018575071076593664,False,5.29
9041,1018781500651855900,"['insider', 'selling', 'illumina', 'inc', 'ilmn', 'insider', 'sells', 'shares', 'of', 'stock', 'httpstcotzeqavwtz']",Mon Jul 16 08:56:52 +0000 2018,ThisLincolnian,ILMN,Illumina,http://thelincolnianonline.com/?p=2186020,False,5.583333333333333
9065,1018788232375480300,"['francis', 'a', 'desouza', 'sells', 'shares', 'of', 'illumina', 'inc', 'ilmn', 'stock', 'httpstcoffuimxp']",Mon Jul 16 09:23:37 +0000 2018,WeekHerald,ILMN,Illumina,http://weekherald.com/?p=2992826,False,5.471428571428571
10139,1018870866321530900,"['morgan', 'stanley', 'raises', 'illumina', 'ilmn', 'price', 'target', 'to', 'httpstcohsirhqfay']",Mon Jul 16 14:51:58 +0000 2018,ZolmaxNews,ILMN,Illumina,http://zolmax.com/?p=2384923,False,5.413333333333334
10156,1018871736643792900,"['morgan', 'stanley', 'raises', 'illumina', 'ilmn', 'price', 'target', 'to', 'httpstcofeecaprqg']",Mon Jul 16 14:55:26 +0000 2018,dailypoliticaln,ILMN,Illumina,http://www.dailypolitical.com/?p=2204807,False,5.413333333333334
10391,1018885080222195700,"['comparing', 'illumina', 'ilmn', 'and', 'biorad', 'laboratories', 'inc', 'class', 'a', 'common', 'stock', 'bio', 'httpstcowpmvrqpn']",Mon Jul 16 15:48:27 +0000 2018,ThisLincolnian,ILMN,Illumina,http://thelincolnianonline.com/?p=2186807,False,5.231428571428572
10787,1018908881756610600,"['illumina', 'ilmn', 'reaches', 'new', 'month', 'high', 'on', 'analyst', 'upgrade', 'httpstcokrsritnof']",Mon Jul 16 17:23:02 +0000 2018,TheMarketsDaily,ILMN,Illumina,http://zpr.io/6XKRU,False,6.042857142857143
10993,1018926008316153900,"['illumina', 'inc', 'ilmn', 'institutional', 'investor', 'sentiment', 'down', 'to', 'httpstcosqovtfmmu']",Mon Jul 16 18:31:05 +0000 2018,whatsonthorold2,ILMN,Illumina,https://www.whatsonthorold.com/2018/07/16/illumina-inc-nasdaqilmn-institutional-investor-sentiment-down-to-1-35/,False,4.9366666666666665
11019,1018926745330872300,"['illumina', 'inc', 'ilmn', 'q', 'sentiment', 'report', 'httpstcopccdewqa']",Mon Jul 16 18:34:01 +0000 2018,bibeypost_stock,ILMN,Illumina,https://www.bibeypost.com/illumina-inc-nasdaqilmn-2018-q1-sentiment-report/,False,4.965
11239,1018942669932957700,"['whats', 'illumina', 'inc', 'ilmn', 'upside', 'after', 'making', 'alltime', 'high', 'httpstcogtjllnvr']",Mon Jul 16 19:37:18 +0000 2018,whatsonthorold2,ILMN,Illumina,https://www.whatsonthorold.com/2018/07/16/whats-illumina-inc-ilmn-upside-after-making-all-time-high/,False,5.605
11242,1018942777567203300,"['illumina', 'inc', 'ilmns', 'stock', 'is', 'buy', 'after', 'touching', 'record', 'high', 'httpstcosferbci']",Mon Jul 16 19:37:43 +0000 2018,mmahotstuff1,ILMN,Illumina,https://www.mmahotstuff.com/2018/07/16/illumina-inc-ilmns-stock-is-buy-after-touching-record-high.html,False,5.75875
11252,1018943092400033800,"['what', 'next', 'for', 'illumina', 'inc', 'ilmn', 'stock', 'after', 'touching', 'all', 'time', 'high', 'httpstcopegruvtm']",Mon Jul 16 19:38:58 +0000 2018,bibeypost_stock,ILMN,Illumina,https://www.bibeypost.com/what-next-for-illumina-inc-ilmn-stock-after-touching-all-time-high/,False,5.643
11449,1018957278584680400,"['ilmn', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcouqxviz', 'httpstcolvezxiyyz']",Mon Jul 16 20:35:21 +0000 2018,optioncharts,ILMN,Illumina,http://maximum-pain.com/options/max-pain/ILMN,False,4.680000000000001
11926,1019012593363640300,"['illumina', 'ilmn', 'versus', 'precipio', 'prpo', 'financial', 'survey', 'httpstcoqtmdccj']",Tue Jul 17 00:15:09 +0000 2018,MareaInformativ,ILMN,Illumina,http://www.mareainformativa.com/?p=459175,False,5.466666666666666
11932,1019012825342242800,"['precipio', 'prpo', 'versus', 'illumina', 'ilmn', 'financial', 'survey', 'httpstcobckbanszh']",Tue Jul 17 00:16:04 +0000 2018,TranscriptDaily,ILMN,Illumina,http://zpr.io/6X8T7,False,5.466666666666666
12417,1019092386767626200,"['illumina', 'ilmn', 'hits', 'new', 'month', 'high', 'after', 'analyst', 'upgrade', 'httpstcomqxfbsc']",Tue Jul 17 05:32:13 +0000 2018,ledgerzette,ILMN,Illumina,http://ledgergazette.com/?p=2830600,False,5.8342857142857145
12429,1019093642517123100,"['illumina', 'inc', 'to', 'post', 'q', 'earnings', 'of', 'per', 'share', 'leerink', 'swann', 'forecasts', 'ilmn', 'httpstcoccexqbvjcs']",Tue Jul 17 05:37:12 +0000 2018,ConsumerFeed,ILMN,Illumina,http://zpr.io/6Xw6s,False,5.5
12519,1019103838786093000,"['ilmn', 'if', 'u', 'look', 'at', 'bios', 'u', 'will', 'find', 'many', 'reversals', 'httpstcogfdhzkq']",Tue Jul 17 06:17:43 +0000 2018,Jcaptrading,ILMN,Illumina,,False,5.4975
12609,1019114755343179800,"['zentrends', 'bostonchaahhts', 'ilmn', 'is', 'a', 'perfect', 'example']",Tue Jul 17 07:01:06 +0000 2018,tradepriceonly,ILMN,Illumina,,False,5.855
12635,1019116841510363100,"['contrasting', 'biorad', 'laboratories', 'inc', 'class', 'a', 'common', 'stock', 'bio', 'and', 'illumina', 'ilmn', 'httpstcoqitwmpfhp']",Tue Jul 17 07:09:23 +0000 2018,TheMarketsDaily,ILMN,Illumina,http://zpr.io/6Xw3P,False,5.231428571428571
12701,1019125807124541400,"['morgan', 'stanley', 'raises', 'illumina', 'ilmn', 'price', 'target', 'to', 'httpstcowvzozzlwqk']",Tue Jul 17 07:45:01 +0000 2018,ConsumerFeed,ILMN,Illumina,http://zpr.io/6Xwcj,False,5.413333333333334
12708,1019126378984280000,"['morgan', 'stanley', 'raises', 'illumina', 'ilmn', 'price', 'target', 'to', 'httpstcoczerfaocyf']",Tue Jul 17 07:47:17 +0000 2018,dispatchtribune,ILMN,Illumina,http://dispatchtribunal.com/?p=2058285,False,5.413333333333334
12755,1019132590756892700,"['insider', 'selling', 'illumina', 'inc', 'ilmn', 'insider', 'sells', 'shares', 'of', 'stock', 'httpstcoxlcqdkmcq']",Tue Jul 17 08:11:58 +0000 2018,OlympiaReport,ILMN,Illumina,http://theolympiareport.com/?p=929088,False,5.583333333333333
12756,1019132700555391000,"['insider', 'selling', 'illumina', 'inc', 'ilmn', 'insider', 'sells', 'in', 'stock', 'httpstconupxhdirj']",Tue Jul 17 08:12:25 +0000 2018,dispatchtribune,ILMN,Illumina,http://dispatchtribunal.com/?p=2058325,False,5.476000000000001
