,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4902,1017758355476156400,"['downgrades', 'avgo', 'fun', 'hl', 'incy', 'ingr', 'ivz', 'kgc', 'lstr', 'nwhm', 'oec', 'pegi', 'stor', 't', 'vc', 'vmi', 'wetf', 'xlrn']",Fri Jul 13 13:11:15 +0000 2018,OpenOutcrier,INCY,Incyte Corporation,,False,5.88
4905,1017758613161566200,"['incy', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoydvoa', 'httpstcofabxwzbfwb']",Fri Jul 13 13:12:17 +0000 2018,optioncharts,INCY,Incyte Corporation,http://maximum-pain.com/options/max-pain/INCY,False,4.680000000000001
4910,1017759813365887000,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'vfc', 'chr']",Fri Jul 13 13:17:03 +0000 2018,tomnels52,INCY,Incyte Corporation,,False,5.322222222222222
4911,1017760000868003800,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'vfc', 'chr']",Fri Jul 13 13:17:47 +0000 2018,IlinInvest,INCY,Incyte Corporation,,False,5.322222222222222
4919,1017760847102267400,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'vfc', 'chr']",Fri Jul 13 13:21:09 +0000 2018,MisterRayW,INCY,Incyte Corporation,,False,5.322222222222222
4921,1017761039796981800,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'vfc', 'chr']",Fri Jul 13 13:21:55 +0000 2018,null_lynda,INCY,Incyte Corporation,,False,5.322222222222222
4925,1017761814690566100,"['the', 'market', 'in', 'minutes', 'atampttime', 'warner', 'appeal', 'johnson', 'amp', 'johnson', 'lawsuit', 'theresa', 'may', 'and', 'more', 'httpstcogkdrevps']",Fri Jul 13 13:25:00 +0000 2018,Benzinga,INCY,Incyte Corporation,https://twitter.com/i/web/status/1017761814690566144,True,5.307692307692307
4928,1017762001836236800,"['rt', 'benzinga', 'the', 'market', 'in', 'minutes', 'atampttime', 'warner', 'appeal', 'johnson', 'amp', 'johnson', 'lawsuit', 'theresa', 'may', 'and', 'more', 'httpstcogffgaendt', 't']",Fri Jul 13 13:25:44 +0000 2018,OptionAlarm,INCY,Incyte Corporation,https://benzinga.com/z/12016916,False,5.248
4956,1017767447695446000,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'vfc', 'chr']",Fri Jul 13 13:47:23 +0000 2018,gwoodyard747,INCY,Incyte Corporation,,False,5.322222222222222
5012,1017777141637959700,"['incyte', 'has', 'limited', 'catalysts', 'in', 'next', 'months', 'but', 'could', 'be', 'pivotal', 'morgan', 'stanley', 'says', 'in', 'downgrade', 'httpstcogyafdqvxp', 'incy']",Fri Jul 13 14:25:54 +0000 2018,Benzinga,INCY,Incyte Corporation,https://www.benzinga.com/analyst-ratings/analyst-color/18/07/12017106/incyte-has-limited-catalysts-in-next-6-months-but-2019-,True,5.198333333333333
