,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
17208,1019388362921336800,"['intel', 'corporation', 'nasdaqintc', 'may', 'this', 'data', 'fuel', 'up', 'investoramps', 'confidence', 'httpstcokloyfztv', 'intc', 'stocks', 'stockmarket']",Wed Jul 18 01:08:19 +0000 2018,StockScoops,INTC,Intel Corporation,http://nasdaqjournal.com/index.php/2018/03/05/intel-corporation-nasdaqintc-may-this-data-fuel-up-investors-confidence/,False,5.677499999999999
17247,1019391232114602000,"['intc', 'lost', 'the', 'trendline', 'httpstcowewoghag']",Wed Jul 18 01:19:43 +0000 2018,YELLINGTRADER,INTC,Intel Corporation,,False,3.87
17523,1019412574163685400,"['we', 'are', 'coming', 'and', 'we', 'are', 'coming', 'in', 'wave', 'biconeeeeeeeeeeeeeeeeee', 'btc', 'eth', 'ltc', 'ramp', 'it', 'up', 'amd', 'nvda', 'mu', 'httpstcoorlfazxgf']",Wed Jul 18 02:44:32 +0000 2018,ArnericanSniper,INTC,Intel Corporation,https://twitter.com/i/web/status/1019412574163685376,False,5.676666666666667
17843,1019439855602929700,"['rt', 'barronstechblog', 'micron', 'and', 'intel', 'part', 'ways', 'and', 'micron', 'bulls', 'love', 'it', 'barrons', 'tech', 'trader', 'daily', 'mu', 'intc', 'httpstcofirythnkoz']",Wed Jul 18 04:32:56 +0000 2018,meen_srini,INTC,Intel Corporation,https://www.barrons.com/articles/micron-and-intel-part-ways-and-micron-bulls-love-it-1531853118,False,5.579999999999999
18232,1019470934456131600,"['intels', 'intc', 'neutral', 'rating', 'reaffirmed', 'at', 'royal', 'bank', 'of', 'canada', 'httpstconaugfihk']",Wed Jul 18 06:36:26 +0000 2018,ThisLincolnian,INTC,Intel Corporation,http://thelincolnianonline.com/?p=2190301,False,5.4542857142857155
18234,1019471155999199200,"['intel', 'intc', 'stock', 'rating', 'reaffirmed', 'by', 'stifel', 'nicolaus', 'httpstcozpuzuplyl']",Wed Jul 18 06:37:19 +0000 2018,TranscriptDaily,INTC,Intel Corporation,http://zpr.io/6XJU7,False,5.44
18237,1019471251893571600,"['intel', 'intc', 'stock', 'rating', 'reaffirmed', 'by', 'royal', 'bank', 'of', 'canada', 'httpstcofzkbfwsn']",Wed Jul 18 06:37:41 +0000 2018,WeekHerald,INTC,Intel Corporation,http://weekherald.com/?p=2997128,False,5.568571428571429
18560,1019491982178168800,"['micron', 'and', 'intel', 'part', 'on', 'xpoint', 'development', 'mu', 'intc', 'httpstcozlasufaqca']",Wed Jul 18 08:00:04 +0000 2018,SandraNooren,INTC,Intel Corporation,https://seekingalpha.com/news/3370772,False,5.4559999999999995
18756,1019507831614197800,"['intc', 'has', 'only', 'a', 'medium', 'technical', 'rating', 'but', 'it', 'does', 'show', 'a', 'decent', 'setup', 'pattern', 'httpstcojvvoqtiodx', 'httpstcogzyfnbb']",Wed Jul 18 09:03:03 +0000 2018,ChartMill,INTC,Intel Corporation,https://www.chartmill.com/analyze.php?utm_source=twitter&utm_medium=TA&utm_content=SETUP&utm_campaign=social_tracking#/INTC?key=7b587a96-4d14-402a-afe0-f18f26f89061,False,5.282857142857144
18853,1019514673559949300,"['analyst', 'recommendations', 'in', 'focus', 'on', 'shares', 'of', 'intel', 'corporation', 'nasdaqintc', 'httpstcoprzamxhjp', 'intc', 'stocks', 'stockmarket']",Wed Jul 18 09:30:14 +0000 2018,StockScoops,INTC,Intel Corporation,https://danversrecord.com/2018/03/05/analyst-recommendations-in-focus-on-shares-of-intel-corporation-nasdaqintc/,False,5.664444444444444
18923,1019519937344344000,"['pfizer', 'inc', 'intc', 'cut', 'to', 'inline', 'at', 'evercore', 'isi', 'httpstcoqsohjlrg']",Wed Jul 18 09:51:09 +0000 2018,WeekHerald,INTC,Intel Corporation,http://weekherald.com/?p=2997780,False,4.5
19769,1019552479774695400,"['tdih', 'intc', 'intel', 'is', 'founded', 'with', 'million', 'in', 'capital', 'today', 'the', 'company', 'is', 'worth', 'a', 'little', 'bit', 'more', 'abo', 'httpstcohefxsoxw']",Wed Jul 18 12:00:28 +0000 2018,BeginToInvest,INTC,Intel Corporation,https://twitter.com/i/web/status/1019552479774695430,False,5.679999999999998
19883,1019555886484762600,"['this', 'tech', 'leader', 'has', 'faced', 'adversity', 'several', 'times', 'this', 'year', 'and', 'kept', 'its', 'earnings', 'up', 'valuestocks', 'intc', 'httpstcokorrlxwlq']",Wed Jul 18 12:14:00 +0000 2018,TSINetwork,INTC,Intel Corporation,https://tsinet.ca/2zKLzev,False,5.667142857142856
20211,1019565192982810600,"['cei', 'taking', 'off', 'boom', 'debt', 'cleared', 'nyse', 'ext', 'granted', 'on', 'the', 'road', 'to', 'to', 'remain', 'on', 'nyse', 'up', 'premark', 'httpstcofajnokmvzm']",Wed Jul 18 12:50:59 +0000 2018,tricknorth,INTC,Intel Corporation,https://twitter.com/i/web/status/1019565192982810624,False,5.16
20398,1019569428965576700,"['looking', 'for', 'some', 'continuation', 'on', 'amd', 'amp', 'nvda', 'off', 'of', 'this', 'intc', 'downgrade', 'yesterday']",Wed Jul 18 13:07:49 +0000 2018,phillip_lemp,INTC,Intel Corporation,,False,5.131111111111112
