,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
144,1016231241035595800,"['btw', 'estimated', 'earnings', 'per', 'share', 'for', 'ip', 'is', 'its', 'of', 'the', 'current', 'price', 'httpstcouuifizdoj']",Mon Jul 09 08:03:03 +0000 2018,1MinuteStock,IP,International Paper Company,https://unicornbay.com/t/IP.US?utm_medium=tweet&utm_campaign=eps&utm_source=twitter,False,5.476666666666667
191,1016269550067900400,"['rt', 'vaultitude', 'vaultitude', 'is', 'a', 'project', 'all', 'about', 'making', 'use', 'of', 'blockchain', 'technology', 'to', 'protect', 'intellectual', 'property', 'our', 'ico', 'is', 'coming']",Mon Jul 09 10:35:16 +0000 2018,from121rus,IP,International Paper Company,,False,5.747058823529413
198,1016275423129456600,"['international', 'paper', 'ip', 'rating', 'increased', 'to', 'buy', 'at', 'wells', 'fargo', 'amp', 'co', 'httpstcotcetjtwbt']",Mon Jul 09 10:58:37 +0000 2018,MareaInformativ,IP,International Paper Company,http://www.mareainformativa.com/?p=409266,False,5.63
249,1016301282485682200,"['rails', 'server', 'b', 'ip', 'p', 'port']",Mon Jul 09 12:41:22 +0000 2018,gg_Pissarro,IP,International Paper Company,,False,5.185
330,1016322662031937500,"['some', 'charts', 'take', 'time', 'wear', 'you', 'out', 'and', 'so', 'on', 'due', 'to', 'ecommerce', 'growth', 'i', 'am', 'long', 'longer', 'calls', 'right', 'here', 'of', 'pkg', 'httpstcopqdgzqsec']",Mon Jul 09 14:06:19 +0000 2018,iSPYpotential,IP,International Paper Company,https://twitter.com/i/web/status/1016322662031937536,False,5.3999999999999995
370,1016337634250063900,"['stocks', 'for', 'this', 'paper', 'straw', 'craze', 'ip']",Mon Jul 09 15:05:49 +0000 2018,timmyotoole23,IP,International Paper Company,,False,5.36
403,1016346018978369500,"['just', 'made', 'k', 'trading', 'options', 'today', 'makingmoney', 'thanks', 'to', 'the', 'option', 'trades', 'from', 'httpstcolfljcxab', 'cfg', 'httpstcomwcvpptyv']",Mon Jul 09 15:39:08 +0000 2018,WillSBritton1,IP,International Paper Company,http://Optionsbypros.com,False,5.805454545454545
673,1016451202962350100,"['rt', 'teresaarthur', 'jnj', 'wmt', 'low', 't', 'andv', 'dps', 'bdx', 'so', 'pg', 'ctlt', 'br', 'sre', 'bhge', 'gs', 'it', 'fii', 'eix', 'nee', 'ip', 'mmm', 'uri', 'ehc', 'largest', 'moc', 'se']",Mon Jul 09 22:37:06 +0000 2018,freelancer1a2b,IP,International Paper Company,,False,5.033333333333334
789,1016522054588358700,"['analysts', 'see', 'eps', 'for', 'international', 'paper', 'company', 'ip', 'httpstcomcnebsd']",Tue Jul 10 03:18:38 +0000 2018,whatsonthorold2,IP,International Paper Company,https://www.whatsonthorold.com/2018/07/10/analysts-see-1-13-eps-for-international-paper-company-ip/,False,5.683333333333333
790,1016522278576812000,"['eps', 'for', 'international', 'paper', 'company', 'ip', 'expected', 'at', 'httpstcospumjdhe']",Tue Jul 10 03:19:31 +0000 2018,reurope_stock,IP,International Paper Company,https://reurope.com/2018/07/10/eps-for-international-paper-company-ip-expected-at-1-13/,False,5.609999999999999
791,1016522341562699800,"['analysts', 'see', 'eps', 'for', 'international', 'paper', 'company', 'ip', 'httpstcojhuhjqzzs']",Tue Jul 10 03:19:46 +0000 2018,bibeypost_stock,IP,International Paper Company,https://www.bibeypost.com/analysts-see-1-13-eps-for-international-paper-company-ip-2/,False,5.683333333333333
