,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
9465,1018829004596502500,"['g', 'update', 'for', 'interpublic', 'group', 'of', 'companies', 'inc', 'ipg', 'httpstcorhtyylemx']",Mon Jul 16 12:05:38 +0000 2018,SADIFAnalytics,IPG,The Interpublic Group of Companies,https://www.sadifanalytics.com/reports/find/IPG-47281,False,5.242857142857143
12001,1019024448123560000,"['price', 'returns', 'vs', 'expected', 'daily', 'move', 'ipg', 'nflx', 'cmcsa', 'amzn', 'dis', 'baba', 'wmt', 'tgt', 'csx', 'sbux', 'foxa', 'trco', 'httpstcotyzla']",Tue Jul 17 01:02:15 +0000 2018,MC_OptionTrades,IPG,The Interpublic Group of Companies,https://marketchameleon.com/Home/Dashboard/,False,5.1257142857142854
12559,1019109195042390000,"['brokers', 'issue', 'forecasts', 'for', 'interpublic', 'group', 'of', 'companies', 'incs', 'fy', 'earnings', 'ipg', 'httpstcodnaafztah']",Tue Jul 17 06:39:00 +0000 2018,dakotafinancial,IPG,The Interpublic Group of Companies,http://dakotafinancialnews.com/?p=322523,False,5.391428571428572
12562,1019109394565525500,"['brokers', 'issue', 'forecasts', 'for', 'interpublic', 'group', 'of', 'companies', 'incs', 'fy', 'earnings', 'ipg', 'httpstcoyeehwrky']",Tue Jul 17 06:39:48 +0000 2018,TheMarketsDaily,IPG,The Interpublic Group of Companies,http://zpr.io/6XwE9,False,5.391428571428572
13694,1019202874385952800,"['omnicom', 'down', 'as', 'top', 'line', 'comes', 'up', 'short', 'httpstcoaxxmakwl', 'premarket', 'omc', 'wpp', 'pubgy', 'ipg']",Tue Jul 17 12:51:15 +0000 2018,MarketCurrents,IPG,The Interpublic Group of Companies,https://seekingalpha.com/news/3370627-omnicom-4-percent-top-line-comes-short?source=feed_f,False,5.257142857142857
13811,1019206681144758300,"['rt', 'marketcurrents', 'omnicom', 'down', 'as', 'top', 'line', 'comes', 'up', 'short', 'httpstcoaxxmakwl', 'premarket', 'omc', 'wpp', 'pubgy', 'ipg']",Tue Jul 17 13:06:23 +0000 2018,sep_sal,IPG,The Interpublic Group of Companies,https://seekingalpha.com/news/3370627-omnicom-4-percent-top-line-comes-short?source=feed_f,False,5.21
14030,1019216180601606100,"['heres', 'my', 'watchlist', 'for', 'the', 'day', 'acet', 'ag', 'cdmo', 'fpi', 'gbr', 'gol', 'gt', 'igt', 'innt', 'ipg', 'iq', 'mtsl', 'nflx', 'httpstcokiindhmm']",Tue Jul 17 13:44:08 +0000 2018,davemabe,IPG,The Interpublic Group of Companies,https://twitter.com/i/web/status/1019216180601606144,False,5.5
14667,1019251532368371700,"['omnicom', 'omc', 'q', 'earnings', 'surpass', 'estimates', 'revenues', 'lag', 'httpstcofgsfmubd', 'omc', 'tru', 'ipg', 'iqv']",Tue Jul 17 16:04:36 +0000 2018,whotrades,IPG,The Interpublic Group of Companies,https://whotrades.com/people/984697114/timeline/4471619?showMore=1,False,5.954999999999999
14768,1019257074461630500,"['traditional', 'ad', 'companies', 'suffering', 'today', 'on', 'no', 'organic', 'revenue', 'growth', 'no', 'top', 'line', 'growth', 'last', 'years', 'vs', 'd', 'httpstcozbwzpcksm']",Tue Jul 17 16:26:38 +0000 2018,GregoireDup,IPG,The Interpublic Group of Companies,https://twitter.com/i/web/status/1019257074461630466,False,5.198888888888887
14929,1019265499044118500,"['interpublic', 'grp', 'ipg', 'is', 'down', 'httpstcovzjnwdjxb']",Tue Jul 17 17:00:06 +0000 2018,InvestingStockz,IPG,The Interpublic Group of Companies,https://invst.ly/5k1-9,False,4.42
16420,1019338146260181000,"['ipg', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcopaxoslop', 'httpstcociwgibvh']",Tue Jul 17 21:48:47 +0000 2018,optioncharts,IPG,The Interpublic Group of Companies,http://maximum-pain.com/options/open-interest/IPG,False,5.5775
17108,1019381613384405000,"['interpublic', 'group', 'of', 'companies', 'ipg', 'shares', 'down', 'httpstcovpoidx']",Wed Jul 18 00:41:30 +0000 2018,ConsumerFeed,IPG,The Interpublic Group of Companies,http://zpr.io/6X57c,False,5.292
24799,1019664028304597000,"['interpublic', 'group', 'of', 'companies', 'ipg', 'shares', 'gap', 'down', 'to', 'httpstcozhbdybjzrv']",Wed Jul 18 19:23:43 +0000 2018,WatchlistN,IPG,The Interpublic Group of Companies,http://zpr.io/6XVb5,False,5.194285714285714
