,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
38,1016098363517726700,"['do', 'you', 'know', 'that', 'wallstreet', 'price', 'for', 'irm', 'is', 'httpstcoktfsufesc']",Sun Jul 08 23:15:02 +0000 2018,1MinuteStock,IRM,Iron Mountain Incorporated,https://unicornbay.com/t/IRM.US?utm_medium=tweet&utm_campaign=wallstreet&utm_source=twitter,False,5.491428571428572
39,1016101380958744600,"['wondering', 'about', 'risks', 'of', 'irm', 'the', 'day', 'volatility', 'is', 'httpstcokpjapfac']",Sun Jul 08 23:27:02 +0000 2018,1MinuteStock,IRM,Iron Mountain Incorporated,https://unicornbay.com/t/IRM.US?utm_medium=tweet&utm_campaign=volatility&utm_source=twitter,False,5.185714285714285
42,1016104407988162600,"['cube', 'exr', 'hog', 'ko', 'lsi', 'psa', 'irm', 'httpstconjguhzqx']",Sun Jul 08 23:39:03 +0000 2018,Jake_Hunter,IRM,Iron Mountain Incorporated,https://seekingalpha.com/article/4185504-blue-chip-yielding-6_7-percent-opportunistic-buy-30-percent-minimum-upside?source=tweet,False,5.24
137,1016226857442684900,"['rt', 'iregmedofficial', 'our', 'goal', 'is', 'maximum', 'efficiency', 'with', 'minimal', 'side', 'effects', 'prof', 'dr', 'ulrich', 'schneider', 'irm', 'health', 'blockchain', 'bitcoi']",Mon Jul 09 07:45:38 +0000 2018,rahmiyanty1,IRM,Iron Mountain Incorporated,,False,5.814166666666666
168,1016254169903136800,"['iron', 'mountain', 'inc', 'irm', 'director', 'sells', 'in', 'stock', 'httpstcokofbeamkx']",Mon Jul 09 09:34:09 +0000 2018,dakotafinancial,IRM,Iron Mountain Incorporated,http://dakotafinancialnews.com/?p=306461,False,5.594285714285713
189,1016268483556933600,"['irm', 'ironmountain', 'iron', 'mountain', 'begins', 'construction', 'on', 'phoenix', 'data', 'center', 'campus', 'expansion', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 09 10:31:02 +0000 2018,Allstocknews,IRM,Iron Mountain Incorporated,,False,5.734666666666667
257,1016305988050141200,"['cube', 'exr', 'hog', 'ko', 'lsi', 'psa', 'irm', 'httpstcogfztpviifx']",Mon Jul 09 13:00:04 +0000 2018,SAlphaTech,IRM,Iron Mountain Incorporated,https://seekingalpha.com/article/4185504-blue-chip-yielding-6_7-percent-opportunistic-buy-30-percent-minimum-upside?source=feed_tags,False,5.24
394,1016343884484497400,"['irm', 'httpstcoroxshxjha']",Mon Jul 09 15:30:39 +0000 2018,Accurate_Trader,IRM,Iron Mountain Incorporated,,False,0.0
398,1016344196343447600,"['added', 'starters', 'of', 'ladr', 'and', 'irm', 'to', 'div', 'portfolio']",Mon Jul 09 15:31:53 +0000 2018,ScottsdaleDoug,IRM,Iron Mountain Incorporated,,False,5.372000000000001
739,1016501055931048000,"['rt', 'iregmedofficial', 'we', 'are', 'proudly', 'announcing', 'our', 'grand', 'opening', 'june', 'pm', 'cet', 'irm', 'health', 'blockchain', 'bitcoin', 'ethereum', 'ico', 'pr']",Tue Jul 10 01:55:12 +0000 2018,rahmiyanty1,IRM,Iron Mountain Incorporated,,False,5.983999999999999
