,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
14460,1019240370675372000,"['binance', 'has', 'over', 'million', 'users', 'join', 'us', 'today', 'register', 'for', 'bonus', 'httpstcosyjwfred', 'etf', 'djia', 'httpstcowtdtbjrcs']",Tue Jul 17 15:20:15 +0000 2018,evanalsop4864,ITUB,ItaíëŒ_ Unibanco Holding S.A.,http://binance.com/?ref=10078236,False,5.9719999999999995
14486,1019241862006231000,"['binance', 'fees', 'are', 'x', 'less', 'than', 'bittrex', 'register', 'for', 'bonus', 'httpstcoufiwnbk', 'nlg', 'tnt', 'prg', 'xmr', 'httpstcovmpetrbaje']",Tue Jul 17 15:26:11 +0000 2018,carolyn47529089,ITUB,ItaíëŒ_ Unibanco Holding S.A.,http://binance.com/?ref=10078236,False,5.095
14607,1019248525731881000,['itub'],Tue Jul 17 15:52:39 +0000 2018,AndrewD88355412,ITUB,ItaíëŒ_ Unibanco Holding S.A.,,False,0.0
14839,1019260224916648000,"['httpstcogghihaeayg', 'itub', 'stop', 'ita', 'unibanco', 'up', 'million', 'gain', 'itub', 'has', 'made', 'notable', 'gains', 'i', 'httpstcorhpyxram']",Tue Jul 17 16:39:09 +0000 2018,42Stocks,ITUB,ItaíëŒ_ Unibanco Holding S.A.,http://42stocks.com/sym/itub.html,False,5.9625
14979,1019268439494549500,"['brasil', 'confirmando', 'el', 'excelente', 'momento', 'por', 'el', 'que', 'est', 'pasando', 'equipobursatil', 'de', 'faustodelarrosa', 'suben', 'con', 'fue', 'httpstcovyopeae']",Tue Jul 17 17:11:47 +0000 2018,RuL_FGInvesting,ITUB,ItaíëŒ_ Unibanco Holding S.A.,https://twitter.com/i/web/status/1019268439494549506,False,4.878
14985,1019268513767321600,"['rt', 'rulfginvesting', 'brasil', 'confirmando', 'el', 'excelente', 'momento', 'por', 'el', 'que', 'est', 'pasando', 'equipobursatil', 'de', 'faustodelarrosa', 'suben', 'con', 'fuerza']",Tue Jul 17 17:12:05 +0000 2018,AlbertoOKA,ITUB,ItaíëŒ_ Unibanco Holding S.A.,,False,4.862
15754,1019307582391976000,"['binance', 'has', 'mobile', 'apps', 'so', 'you', 'can', 'trade', 'anywhere', 'sign', 'up', 'register', 'for', 'bonus', 'httpstcovcjxm', 'httpstcolyarfnetf']",Tue Jul 17 19:47:20 +0000 2018,AliKirk64922805,ITUB,ItaíëŒ_ Unibanco Holding S.A.,http://binance.com/?ref=10078236,False,5.81076923076923
15852,1019312449609191400,"['itub', 'one', 'good', 'catalyst', 'and', 'these', 'shorts', 'are', 'going', 'to', 'be', 'smoked', 'to', 'much', 'accumulation', 'from', 'to', 'now', 'without', 'ca', 'httpstcocfcailw']",Tue Jul 17 20:06:40 +0000 2018,AndrewD88355412,ITUB,ItaíëŒ_ Unibanco Holding S.A.,https://twitter.com/i/web/status/1019312449609191426,False,5.336666666666667
15940,1019315819241705500,"['buy', 'and', 'sell', 'your', 'alt', 'coins', 'on', 'binance', 'for', 'just', 'fee', 'register', 'for', 'bonus', 'httpstcoufiwnbk', 'lba', 'httpstcoegazstvxs']",Tue Jul 17 20:20:03 +0000 2018,carolyn47529089,ITUB,ItaíëŒ_ Unibanco Holding S.A.,http://binance.com/?ref=10078236,False,5.5218181818181815
16195,1019326522560262100,"['join', 'binance', 'it', 'is', 'the', 'fastest', 'growing', 'exchange', 'in', 'the', 'world', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'httpstcofhapnhiwc']",Tue Jul 17 21:02:35 +0000 2018,carolgibson394,ITUB,ItaíëŒ_ Unibanco Holding S.A.,http://binance.com/?ref=10078236,False,5.7299999999999995
